date,JNJ,JNJ_EPS,PE Ratio
1989-09-19,6.53,,
1989-09-20,6.59,,
1989-09-21,6.52,,
1989-09-22,6.52,,
1989-09-25,6.53,,
1989-09-26,6.53,,
1989-09-27,6.63,,
1989-09-28,6.75,,
1989-09-29,6.84,,
1989-10-02,6.84,,
1989-10-03,6.88,,
1989-10-04,6.97,,
1989-10-05,6.92,,
1989-10-06,7.0,,
1989-10-09,7.03,,
1989-10-10,7.03,,
1989-10-11,6.98,,
1989-10-12,6.89,,
1989-10-13,6.33,,
1989-10-16,6.78,,
1989-10-17,6.84,,
1989-10-18,6.81,,
1989-10-19,6.88,,
1989-10-20,6.92,,
1989-10-23,6.88,,
1989-10-24,6.83,,
1989-10-25,6.81,,
1989-10-26,6.78,,
1989-10-27,6.69,,
1989-10-30,6.72,,
1989-10-31,6.92,,
1989-11-01,6.95,,
1989-11-02,6.84,,
1989-11-03,6.8,,
1989-11-06,6.67,,
1989-11-07,6.77,,
1989-11-08,6.91,,
1989-11-09,6.88,,
1989-11-10,7.0,,
1989-11-13,7.0,,
1989-11-14,6.92,,
1989-11-15,7.02,,
1989-11-16,6.92,,
1989-11-17,6.91,,
1989-11-20,6.88,,
1989-11-21,6.91,,
1989-11-22,7.05,,
1989-11-24,7.09,,
1989-11-27,7.05,,
1989-11-28,7.02,,
1989-11-29,6.98,,
1989-11-30,7.06,,
1989-12-01,7.17,,
1989-12-04,7.25,,
1989-12-05,7.19,,
1989-12-06,7.23,,
1989-12-07,7.23,,
1989-12-08,7.27,,
1989-12-11,7.28,,
1989-12-12,7.25,,
1989-12-13,7.31,,
1989-12-14,7.25,,
1989-12-15,7.17,,
1989-12-18,7.02,,
1989-12-19,7.02,,
1989-12-20,7.05,,
1989-12-21,7.08,,
1989-12-22,7.11,,
1989-12-26,7.13,,
1989-12-27,7.31,,
1989-12-28,7.39,,
1989-12-29,7.42,,
1990-01-02,7.48,,
1990-01-03,7.52,,
1990-01-04,7.53,,
1990-01-05,7.45,,
1990-01-08,7.58,,
1990-01-09,7.34,,
1990-01-10,7.23,,
1990-01-11,7.33,,
1990-01-12,7.11,,
1990-01-15,7.08,,
1990-01-16,7.08,,
1990-01-17,7.02,,
1990-01-18,7.08,,
1990-01-19,7.17,,
1990-01-22,6.92,,
1990-01-23,6.91,,
1990-01-24,6.78,,
1990-01-25,6.63,,
1990-01-26,6.61,,
1990-01-29,6.61,,
1990-01-30,6.5,,
1990-01-31,6.55,,
1990-02-01,6.67,,
1990-02-02,6.83,,
1990-02-05,6.78,,
1990-02-06,6.75,,
1990-02-07,6.84,,
1990-02-08,6.97,,
1990-02-09,7.02,,
1990-02-12,6.97,,
1990-02-13,6.88,,
1990-02-14,6.94,,
1990-02-15,7.05,,
1990-02-16,6.94,,
1990-02-20,6.81,,
1990-02-21,6.72,,
1990-02-22,6.64,,
1990-02-23,6.52,,
1990-02-26,6.67,,
1990-02-27,6.67,,
1990-02-28,6.7,,
1990-03-01,6.75,,
1990-03-02,6.88,,
1990-03-05,6.77,,
1990-03-06,6.91,,
1990-03-07,6.91,,
1990-03-08,6.98,,
1990-03-09,6.95,,
1990-03-12,6.92,,
1990-03-13,6.8,,
1990-03-14,6.89,,
1990-03-15,7.11,,
1990-03-16,7.16,,
1990-03-19,7.13,,
1990-03-20,7.05,,
1990-03-21,6.98,,
1990-03-22,6.86,,
1990-03-23,6.97,,
1990-03-26,6.98,,
1990-03-27,7.14,,
1990-03-28,7.14,,
1990-03-29,7.08,,
1990-03-30,7.02,,
1990-04-02,7.02,,
1990-04-03,7.2,,
1990-04-04,7.09,,
1990-04-05,7.14,,
1990-04-06,7.14,,
1990-04-09,7.27,,
1990-04-10,7.27,,
1990-04-11,7.28,,
1990-04-12,7.33,,
1990-04-16,7.3,,
1990-04-17,7.39,,
1990-04-18,7.33,,
1990-04-19,7.27,,
1990-04-20,7.28,,
1990-04-23,7.14,,
1990-04-24,7.08,,
1990-04-25,7.06,,
1990-04-26,7.14,,
1990-04-27,7.05,,
1990-04-30,7.08,,
1990-05-01,7.16,,
1990-05-02,7.28,,
1990-05-03,7.25,,
1990-05-04,7.38,,
1990-05-07,7.42,,
