date,VZ,VZ_EPS,PE Ratio
1983-11-21,7.9,,
1983-11-22,7.87,,
1983-11-23,7.83,,
1983-11-25,7.74,,
1983-11-28,7.53,,
1983-11-29,7.45,,
1983-11-30,7.45,,
1983-12-01,7.45,,
1983-12-02,7.43,,
1983-12-05,7.35,,
1983-12-06,7.38,,
1983-12-07,7.45,,
1983-12-08,7.46,,
1983-12-09,7.48,,
1983-12-12,7.49,,
1983-12-13,7.6,,
1983-12-14,7.63,,
1983-12-15,7.57,,
1983-12-16,7.62,,
1983-12-19,7.59,,
1983-12-20,7.55,,
1983-12-21,7.5,,
1983-12-22,7.41,,
1983-12-23,7.36,,
1983-12-27,7.32,,
1983-12-28,7.38,,
1983-12-29,7.36,,
1983-12-30,7.34,,
1984-01-03,7.55,,
1984-01-04,7.77,,
1984-01-05,7.84,,
1984-01-06,7.98,,
1984-01-09,7.88,,
1984-01-10,7.91,,
1984-01-11,7.93,,
1984-01-12,7.98,,
1984-01-13,8.04,,
1984-01-16,8.11,,
1984-01-17,8.18,,
1984-01-18,8.21,,
1984-01-19,8.21,,
1984-01-20,8.26,,
1984-01-23,8.22,,
1984-01-24,8.21,,
1984-01-25,8.22,,
1984-01-26,8.18,,
1984-01-27,8.29,,
1984-01-30,8.26,,
1984-01-31,8.3,,
1984-02-01,8.33,,
1984-02-02,8.4,,
1984-02-03,8.28,,
1984-02-06,8.23,,
1984-02-07,8.22,,
1984-02-08,7.93,,
1984-02-09,7.94,,
1984-02-10,7.9,,
1984-02-13,7.88,,
1984-02-14,7.98,,
1984-02-15,8.04,,
1984-02-16,8.15,,
1984-02-17,8.15,,
1984-02-21,8.07,,
1984-02-22,7.97,,
1984-02-23,7.88,,
1984-02-24,8.0,,
1984-02-27,7.97,,
1984-02-28,7.83,,
1984-02-29,7.95,,
1984-03-01,8.08,,
1984-03-02,8.19,,
1984-03-05,8.04,,
1984-03-06,8.05,,
1984-03-07,8.02,,
1984-03-08,8.01,,
1984-03-09,7.94,,
1984-03-12,7.94,,
1984-03-13,7.95,,
1984-03-14,7.97,,
1984-03-15,7.95,,
1984-03-16,8.05,,
1984-03-19,7.97,,
1984-03-20,8.02,,
1984-03-21,8.0,,
1984-03-22,7.98,,
1984-03-23,8.02,,
1984-03-26,7.88,,
1984-03-27,7.88,,
1984-03-28,7.9,,
1984-03-29,7.93,,
1984-03-30,7.91,,
1984-04-02,7.81,,
1984-04-03,7.81,,
1984-04-04,7.73,,
1984-04-05,7.63,,
1984-04-06,7.67,,
1984-04-09,7.56,,
1984-04-10,7.56,,
1984-04-11,7.49,,
1984-04-12,7.49,,
1984-04-13,7.46,,
1984-04-16,7.45,,
1984-04-17,7.55,,
1984-04-18,7.52,,
1984-04-19,7.5,,
1984-04-23,7.53,,
1984-04-24,7.64,,
1984-04-25,7.74,,
1984-04-26,7.87,,
1984-04-27,7.78,,
1984-04-30,7.74,,
1984-05-01,7.86,,
1984-05-02,7.94,,
1984-05-03,7.97,,
1984-05-04,7.88,,
1984-05-07,7.84,,
1984-05-08,7.93,,
1984-05-09,7.98,,
1984-05-10,8.0,,
1984-05-11,7.95,,
1984-05-14,7.9,,
1984-05-15,7.88,,
1984-05-16,7.84,,
1984-05-17,7.76,,
1984-05-18,7.73,,
1984-05-21,7.73,,
1984-05-22,7.7,,
1984-05-23,7.71,,
1984-05-24,7.84,,
1984-05-25,7.71,,
1984-05-29,7.62,,
1984-05-30,7.63,,
1984-05-31,7.67,,
1984-06-01,7.81,,
1984-06-04,7.8,,
1984-06-05,7.74,,
1984-06-06,7.86,,
1984-06-07,7.83,,
1984-06-08,7.94,,
1984-06-11,7.87,,
1984-06-12,7.87,,
1984-06-13,7.9,,
1984-06-14,7.84,,
1984-06-15,7.87,,
1984-06-18,7.95,,
1984-06-19,7.93,,
1984-06-20,7.91,,
1984-06-21,7.87,,
1984-06-22,7.87,,
1984-06-25,7.74,,
1984-06-26,7.74,,
1984-06-27,7.62,,
1984-06-28,7.64,,
1984-06-29,7.63,,
1984-07-02,7.67,,
1984-07-03,7.77,,
1984-07-05,7.73,,
1984-07-06,7.81,,
1984-07-09,7.94,,
1984-07-10,8.05,,
1984-07-11,8.0,,
1984-07-12,8.09,,
1984-07-13,8.09,,
1984-07-16,8.05,,
1984-07-17,8.12,,
1984-07-18,8.01,,
1984-07-19,8.01,,
1984-07-20,8.02,,
1984-07-23,8.18,,
1984-07-24,8.15,,
1984-07-25,8.15,,
1984-07-26,8.26,,
1984-07-27,8.21,,
1984-07-30,8.16,,
1984-07-31,8.18,,
1984-08-01,8.18,,
1984-08-02,8.46,,
1984-08-03,8.43,,
1984-08-06,8.29,,
1984-08-07,8.22,,
1984-08-08,8.16,,
1984-08-09,8.25,,
1984-08-10,8.18,,
1984-08-13,8.28,,
1984-08-14,8.23,,
1984-08-15,8.18,,
1984-08-16,8.25,,
1984-08-17,8.26,,
1984-08-20,8.3,,
1984-08-21,8.42,,
1984-08-22,8.35,,
1984-08-23,8.39,,
1984-08-24,8.42,,
1984-08-27,8.37,,
1984-08-28,8.42,,
1984-08-29,8.4,,
1984-08-30,8.45,,
1984-08-31,8.46,,
1984-09-04,8.45,,
1984-09-05,8.39,,
1984-09-06,8.4,,
1984-09-07,8.45,,
1984-09-10,8.43,,
1984-09-11,8.45,,
1984-09-12,8.49,,
1984-09-13,8.59,,
1984-09-14,8.57,,
1984-09-17,8.57,,
1984-09-18,8.56,,
1984-09-19,8.59,,
1984-09-20,8.7,,
1984-09-21,8.71,,
1984-09-24,8.52,,
1984-09-25,8.52,,
1984-09-26,8.54,,
1984-09-27,8.67,,
1984-09-28,8.63,,
1984-10-01,8.57,,
1984-10-02,8.54,,
1984-10-03,8.52,,
1984-10-04,8.5,,
1984-10-05,8.49,,
1984-10-08,8.46,,
1984-10-09,8.45,,
1984-10-10,8.52,,
1984-10-11,8.54,,
1984-10-12,8.54,,
1984-10-15,8.63,,
1984-10-16,8.7,,
1984-10-17,8.68,,
1984-10-18,8.85,,
1984-10-19,8.89,,
1984-10-22,8.85,,
1984-10-23,8.67,,
1984-10-24,8.63,,
1984-10-25,8.67,,
1984-10-26,8.68,,
1984-10-29,8.68,,
1984-10-30,8.73,,
1984-10-31,8.74,,
1984-11-01,8.74,,
1984-11-02,8.74,,
1984-11-05,8.78,,
1984-11-06,8.82,,
1984-11-07,8.8,,
1984-11-08,8.74,,
1984-11-09,8.7,,
1984-11-12,8.67,,
1984-11-13,8.66,,
1984-11-14,8.61,,
1984-11-15,8.67,,
1984-11-16,8.68,,
1984-11-19,8.68,,
1984-11-20,8.7,,
1984-11-21,8.82,,
1984-11-23,8.97,,
1984-11-26,8.84,,
1984-11-27,8.92,,
1984-11-28,8.85,,
1984-11-29,8.82,,
1984-11-30,8.84,,
1984-12-03,8.82,,
1984-12-04,8.85,,
1984-12-05,8.81,,
1984-12-06,8.81,,
1984-12-07,8.85,,
1984-12-10,8.85,,
1984-12-11,8.85,,
1984-12-12,8.84,,
1984-12-13,8.84,,
1984-12-14,8.91,,
1984-12-17,8.98,,
1984-12-18,9.33,,
1984-12-19,9.19,,
1984-12-20,9.11,,
1984-12-21,8.8,,
1984-12-24,8.92,,
1984-12-26,8.88,,
1984-12-27,8.87,,
1984-12-28,8.89,,
1984-12-31,9.04,,
1985-01-02,8.97,,
1985-01-03,8.92,,
1985-01-04,8.92,,
1985-01-07,8.91,,
1985-01-08,8.85,,
1985-01-09,8.94,,
1985-01-10,8.97,,
1985-01-11,8.88,,
1985-01-14,8.97,,
1985-01-15,8.92,,
1985-01-16,8.85,,
1985-01-17,8.81,,
1985-01-18,8.84,,
1985-01-21,8.85,,
1985-01-22,8.8,,
1985-01-23,8.81,,
1985-01-24,8.77,,
1985-01-25,8.94,,
1985-01-28,9.11,,
1985-01-29,9.18,,
1985-01-30,9.26,,
1985-01-31,9.25,,
1985-02-01,9.23,,
1985-02-04,9.2,,
1985-02-05,9.13,,
1985-02-06,9.19,,
1985-02-07,9.2,,
1985-02-08,9.23,,
1985-02-11,9.26,,
1985-02-12,9.3,,
1985-02-13,9.46,,
1985-02-14,9.41,,
1985-02-15,9.46,,
1985-02-19,9.5,,
1985-02-20,9.49,,
1985-02-21,9.39,,
1985-02-22,9.41,,
1985-02-25,9.39,,
1985-02-26,9.41,,
1985-02-27,9.4,,
1985-02-28,9.34,,
1985-03-01,9.34,,
1985-03-04,9.34,,
1985-03-05,9.29,,
1985-03-06,9.23,,
1985-03-07,9.26,,
1985-03-08,9.25,,
1985-03-11,9.27,,
1985-03-12,9.3,,
1985-03-13,9.32,,
1985-03-14,9.39,,
1985-03-15,9.34,,
1985-03-18,9.37,,
1985-03-19,9.54,,
1985-03-20,9.49,,
1985-03-21,9.49,,
1985-03-22,9.54,,
1985-03-25,9.36,,
1985-03-26,9.29,,
1985-03-27,9.3,,
1985-03-28,9.36,,
1985-03-29,9.34,,
1985-04-01,9.4,,
1985-04-02,9.47,,
1985-04-03,9.34,,
1985-04-04,9.36,,
1985-04-08,9.3,,
1985-04-09,9.29,,
1985-04-10,9.37,,
1985-04-11,9.49,,
1985-04-12,9.54,,
1985-04-15,9.53,,
1985-04-16,9.57,,
1985-04-17,9.56,,
1985-04-18,9.5,,
1985-04-19,9.6,,
1985-04-22,9.65,,
1985-04-23,9.68,,
1985-04-24,9.74,,
1985-04-25,9.81,,
1985-04-26,9.82,,
1985-04-29,9.84,,
1985-04-30,9.79,,
1985-05-01,9.78,,
1985-05-02,9.74,,
1985-05-03,9.79,,
1985-05-06,9.71,,
1985-05-07,9.63,,
1985-05-08,9.65,,
1985-05-09,9.64,,
1985-05-10,9.7,,
1985-05-13,9.75,,
1985-05-14,9.79,,
1985-05-15,9.81,,
1985-05-16,9.88,,
1985-05-17,10.17,,
1985-05-20,10.06,,
1985-05-21,10.0,,
1985-05-22,9.89,,
1985-05-23,9.84,,
1985-05-24,9.95,,
1985-05-28,9.95,,
1985-05-29,9.91,,
1985-05-30,10.0,,
1985-05-31,10.1,,
1985-06-03,10.17,,
1985-06-04,10.26,,
1985-06-05,10.3,,
1985-06-06,10.36,,
1985-06-07,10.43,,
1985-06-10,10.31,,
1985-06-11,10.27,,
1985-06-12,10.26,,
1985-06-13,10.24,,
1985-06-14,10.31,,
1985-06-17,10.29,,
1985-06-18,10.31,,
1985-06-19,10.26,,
1985-06-20,10.27,,
1985-06-21,10.41,,
1985-06-24,10.22,,
1985-06-25,10.24,,
1985-06-26,10.24,,
1985-06-27,10.4,,
1985-06-28,10.41,,
1985-07-01,10.43,,
1985-07-02,10.47,,
1985-07-03,10.48,,
1985-07-05,10.52,,
1985-07-08,10.54,,
1985-07-09,10.57,,
1985-07-10,10.65,,
1985-07-11,10.68,,
1985-07-12,10.65,,
1985-07-15,10.71,,
1985-07-16,10.81,,
1985-07-17,10.78,,
1985-07-18,10.68,,
1985-07-19,10.55,,
1985-07-22,10.45,,
1985-07-23,10.05,,
1985-07-24,9.99,,
1985-07-25,9.95,,
1985-07-26,9.95,,
1985-07-29,9.84,,
1985-07-30,9.92,,
1985-07-31,9.95,,
1985-08-01,10.08,,
1985-08-02,9.98,,
1985-08-05,9.93,,
1985-08-06,9.78,,
1985-08-07,9.84,,
1985-08-08,9.96,,
1985-08-09,9.93,,
1985-08-12,9.95,,
1985-08-13,9.99,,
1985-08-14,10.0,,
1985-08-15,10.0,,
1985-08-16,9.98,,
1985-08-19,10.0,,
1985-08-20,10.17,,
1985-08-21,10.16,,
1985-08-22,10.15,,
1985-08-23,10.13,,
1985-08-26,10.15,,
1985-08-27,10.23,,
1985-08-28,10.2,,
1985-08-29,10.19,,
1985-08-30,10.24,,
1985-09-03,10.24,,
1985-09-04,10.31,,
1985-09-05,10.38,,
1985-09-06,10.43,,
1985-09-09,10.31,,
1985-09-10,10.15,,
1985-09-11,10.0,,
1985-09-12,9.96,,
