date,O,O_EPS,PE Ratio
,,0.18,
1994-10-18,8.0,0.18,44.44444444444444
1994-10-19,8.69,0.18,48.27777777777778
1994-10-20,8.75,0.18,48.611111111111114
1994-10-21,8.63,0.18,47.94444444444445
1994-10-24,8.44,0.18,46.888888888888886
1994-10-25,8.56,0.18,47.55555555555556
1994-10-26,8.44,0.18,46.888888888888886
1994-10-27,8.44,0.18,46.888888888888886
1994-10-28,8.31,0.18,46.16666666666667
1994-10-31,8.31,0.18,46.16666666666667
1994-11-01,8.31,0.18,46.16666666666667
1994-11-02,8.25,0.18,45.833333333333336
1994-11-03,8.19,0.18,45.5
1994-11-04,8.0,0.18,44.44444444444444
1994-11-07,8.0,0.18,44.44444444444444
1994-11-08,8.13,0.18,45.16666666666667
1994-11-09,8.06,0.18,44.777777777777786
1994-11-10,7.88,0.18,43.77777777777778
1994-11-11,7.81,0.18,43.388888888888886
1994-11-14,7.88,0.18,43.77777777777778
1994-11-15,7.69,0.18,42.72222222222223
1994-11-16,7.75,0.18,43.05555555555556
1994-11-17,7.81,0.18,43.388888888888886
1994-11-18,7.63,0.18,42.38888888888889
1994-11-21,7.75,0.18,43.05555555555556
1994-11-22,7.75,0.18,43.05555555555556
1994-11-23,7.81,0.18,43.388888888888886
1994-11-25,7.81,0.18,43.388888888888886
1994-11-28,7.94,0.18,44.111111111111114
1994-11-29,7.88,0.18,43.77777777777778
1994-11-30,8.0,0.18,44.44444444444444
1994-12-01,8.06,0.18,44.777777777777786
1994-12-02,7.94,0.18,44.111111111111114
1994-12-05,7.94,0.18,44.111111111111114
1994-12-06,7.94,0.18,44.111111111111114
1994-12-07,7.94,0.18,44.111111111111114
1994-12-08,7.88,0.18,43.77777777777778
1994-12-09,7.88,0.18,43.77777777777778
1994-12-12,7.88,0.18,43.77777777777778
1994-12-13,7.88,0.18,43.77777777777778
1994-12-14,8.0,0.18,44.44444444444444
1994-12-15,8.0,0.18,44.44444444444444
1994-12-16,8.25,0.18,45.833333333333336
1994-12-19,8.38,0.18,46.555555555555564
1994-12-20,8.38,0.18,46.555555555555564
1994-12-21,8.38,0.18,46.555555555555564
1994-12-22,8.38,0.18,46.555555555555564
1994-12-23,8.31,0.18,46.16666666666667
1994-12-27,8.19,0.18,45.5
1994-12-28,8.31,0.18,46.16666666666667
1994-12-29,8.25,0.18,45.833333333333336
1994-12-30,8.56,0.18,47.55555555555556
1995-01-03,8.44,0.18,46.888888888888886
1995-01-04,8.25,0.18,45.833333333333336
1995-01-05,8.31,0.18,46.16666666666667
1995-01-06,8.31,0.18,46.16666666666667
1995-01-09,8.5,0.18,47.22222222222222
1995-01-10,8.5,0.18,47.22222222222222
1995-01-11,8.5,0.18,47.22222222222222
1995-01-12,8.63,0.18,47.94444444444445
1995-01-13,8.69,0.18,48.27777777777778
1995-01-16,8.69,0.18,48.27777777777778
1995-01-17,8.69,0.18,48.27777777777778
1995-01-18,8.75,0.18,48.611111111111114
1995-01-19,8.75,0.18,48.611111111111114
1995-01-20,8.69,0.18,48.27777777777778
1995-01-23,8.88,0.18,49.33333333333334
1995-01-24,8.81,0.18,48.94444444444445
1995-01-25,8.81,0.18,48.94444444444445
1995-01-26,8.81,0.18,48.94444444444445
1995-01-27,9.0,0.18,50.0
1995-01-30,9.0,0.18,50.0
1995-01-31,8.88,0.18,49.33333333333334
1995-02-01,8.88,0.18,49.33333333333334
1995-02-02,8.81,0.18,48.94444444444445
1995-02-03,8.81,0.18,48.94444444444445
1995-02-06,8.88,0.18,49.33333333333334
1995-02-07,9.0,0.18,50.0
1995-02-08,8.75,0.18,48.611111111111114
1995-02-09,9.0,0.18,50.0
1995-02-10,9.0,0.18,50.0
1995-02-13,9.0,0.18,50.0
1995-02-14,9.13,0.18,50.72222222222223
1995-02-15,9.31,0.18,51.72222222222223
1995-02-16,9.5,0.18,52.77777777777778
1995-02-17,9.5,0.18,52.77777777777778
1995-02-21,9.31,0.18,51.72222222222223
1995-02-22,9.44,0.18,52.44444444444444
1995-02-23,9.13,0.18,50.72222222222223
1995-02-24,9.38,0.18,52.111111111111114
1995-02-27,9.25,0.18,51.38888888888889
1995-02-28,9.5,0.18,52.77777777777778
1995-03-01,9.44,0.18,52.44444444444444
1995-03-02,9.38,0.18,52.111111111111114
1995-03-03,9.38,0.18,52.111111111111114
1995-03-06,9.25,0.18,51.38888888888889
1995-03-07,9.25,0.18,51.38888888888889
1995-03-08,9.25,0.18,51.38888888888889
1995-03-09,9.31,0.18,51.72222222222223
1995-03-10,9.31,0.18,51.72222222222223
1995-03-13,9.31,0.18,51.72222222222223
1995-03-14,9.25,0.18,51.38888888888889
1995-03-15,9.06,0.18,50.333333333333336
1995-03-16,9.19,0.18,51.05555555555556
1995-03-17,9.19,0.18,51.05555555555556
1995-03-20,9.13,0.18,50.72222222222223
1995-03-21,9.06,0.18,50.333333333333336
1995-03-22,9.06,0.18,50.333333333333336
1995-03-23,9.13,0.18,50.72222222222223
1995-03-24,9.0,0.18,50.0
1995-03-27,9.0,0.18,50.0
1995-03-28,9.0,0.18,50.0
1995-03-29,9.13,0.18,50.72222222222223
1995-03-30,9.0,0.18,50.0
1995-03-31,9.06,0.18,50.333333333333336
1995-04-03,9.0,0.18,50.0
1995-04-04,9.06,0.18,50.333333333333336
1995-04-05,9.06,0.18,50.333333333333336
1995-04-06,9.0,0.18,50.0
1995-04-07,9.06,0.18,50.333333333333336
1995-04-10,9.13,0.18,50.72222222222223
1995-04-11,9.06,0.18,50.333333333333336
1995-04-12,9.13,0.18,50.72222222222223
1995-04-13,9.19,0.18,51.05555555555556
1995-04-17,9.19,0.18,51.05555555555556
1995-04-18,9.19,0.18,51.05555555555556
1995-04-19,9.13,0.18,50.72222222222223
1995-04-20,9.19,0.18,51.05555555555556
1995-04-21,9.13,0.18,50.72222222222223
1995-04-24,9.25,0.18,51.38888888888889
1995-04-25,9.25,0.18,51.38888888888889
1995-04-26,9.06,0.18,50.333333333333336
1995-04-27,9.13,0.18,50.72222222222223
1995-04-28,9.19,0.18,51.05555555555556
1995-05-01,9.19,0.18,51.05555555555556
1995-05-02,9.25,0.18,51.38888888888889
1995-05-03,9.13,0.18,50.72222222222223
1995-05-04,9.31,0.18,51.72222222222223
1995-05-05,9.56,0.18,53.111111111111114
1995-05-08,9.88,0.18,54.88888888888889
1995-05-09,10.31,0.18,57.277777777777786
1995-05-10,10.75,0.18,59.72222222222222
1995-05-11,10.56,0.18,58.66666666666667
1995-05-12,10.13,0.18,56.277777777777786
1995-05-15,10.19,0.18,56.61111111111111
1995-05-16,10.13,0.18,56.277777777777786
1995-05-17,10.13,0.18,56.277777777777786
1995-05-18,9.69,0.18,53.833333333333336
1995-05-19,9.75,0.18,54.16666666666667
1995-05-22,10.06,0.18,55.88888888888889
1995-05-23,10.31,0.18,57.277777777777786
1995-05-24,10.25,0.18,56.94444444444445
1995-05-25,10.06,0.18,55.88888888888889
1995-05-26,9.69,0.18,53.833333333333336
1995-05-30,9.75,0.18,54.16666666666667
1995-05-31,9.88,0.18,54.88888888888889
1995-06-01,10.0,0.18,55.55555555555556
1995-06-02,10.0,0.18,55.55555555555556
1995-06-05,9.94,0.18,55.22222222222222
1995-06-06,10.06,0.18,55.88888888888889
1995-06-07,10.13,0.18,56.277777777777786
1995-06-08,10.19,0.18,56.61111111111111
1995-06-09,10.06,0.18,55.88888888888889
1995-06-12,9.88,0.18,54.88888888888889
1995-06-13,9.94,0.18,55.22222222222222
1995-06-14,9.88,0.18,54.88888888888889
1995-06-15,9.88,0.18,54.88888888888889
1995-06-16,10.06,0.18,55.88888888888889
1995-06-19,10.06,0.18,55.88888888888889
1995-06-20,10.13,0.18,56.277777777777786
1995-06-21,10.0,0.18,55.55555555555556
1995-06-22,9.94,0.18,55.22222222222222
1995-06-23,10.0,0.18,55.55555555555556
1995-06-26,10.0,0.18,55.55555555555556
1995-06-27,10.13,0.18,56.277777777777786
1995-06-28,10.19,0.18,56.61111111111111
1995-06-29,10.19,0.18,56.61111111111111
1995-06-30,10.56,0.18,58.66666666666667
1995-07-03,10.38,0.18,57.66666666666667
1995-07-05,10.44,0.18,58.0
1995-07-06,10.44,0.18,58.0
1995-07-07,10.5,0.18,58.333333333333336
1995-07-10,10.75,0.18,59.72222222222222
1995-07-11,10.69,0.18,59.388888888888886
1995-07-12,10.63,0.18,59.055555555555564
