date,VRSK,VRSK_EPS,PE Ratio
2009-10-07,27.22,,
2009-10-08,26.6,,
2009-10-09,26.4,,
2009-10-12,26.25,,
2009-10-13,27.19,,
2009-10-14,27.99,,
2009-10-15,28.31,,
2009-10-16,28.57,,
2009-10-19,27.5,,
2009-10-20,28.06,,
2009-10-21,28.0,,
2009-10-22,27.89,,
2009-10-23,28.37,,
2009-10-26,28.45,,
2009-10-27,28.56,,
2009-10-28,27.69,,
2009-10-29,27.89,,
2009-10-30,27.43,,
2009-11-02,27.37,,
2009-11-03,27.36,,
2009-11-04,26.96,,
2009-11-05,27.3,,
2009-11-06,27.1,,
2009-11-09,27.58,,
2009-11-10,27.67,,
2009-11-11,28.98,,
2009-11-12,28.9,,
2009-11-13,28.9,,
2009-11-16,28.85,,
2009-11-17,27.85,,
2009-11-18,28.5,,
2009-11-19,28.54,,
2009-11-20,28.55,,
2009-11-23,28.4,,
2009-11-24,27.78,,
2009-11-25,27.3,,
2009-11-27,26.99,,
2009-11-30,26.91,,
2009-12-01,27.78,,
2009-12-02,27.51,,
2009-12-03,27.72,,
2009-12-04,28.43,,
2009-12-07,28.74,,
2009-12-08,28.61,,
2009-12-09,28.65,,
2009-12-10,28.4,,
2009-12-11,28.66,,
2009-12-14,28.99,,
2009-12-15,29.3,,
2009-12-16,30.39,,
2009-12-17,30.4,,
2009-12-18,30.56,,
2009-12-21,30.5,,
2009-12-22,30.58,,
2009-12-23,30.68,,
2009-12-24,30.8,,
2009-12-28,30.96,,
2009-12-29,31.0,,
2009-12-30,31.0,,
2009-12-31,30.28,,
2010-01-04,29.85,,
2010-01-05,30.05,,
2010-01-06,30.44,,
2010-01-07,30.39,,
2010-01-08,30.0,,
2010-01-11,29.93,,
2010-01-12,30.16,,
2010-01-13,30.15,,
2010-01-14,29.91,,
2010-01-15,28.95,,
2010-01-19,27.95,,
2010-01-20,27.99,,
2010-01-21,28.04,,
2010-01-22,28.01,,
2010-01-25,27.95,,
2010-01-26,28.35,,
2010-01-27,28.9,,
2010-01-28,28.77,,
2010-01-29,28.12,,
2010-02-01,28.41,,
2010-02-02,27.96,,
2010-02-03,27.99,,
2010-02-04,27.75,,
2010-02-05,27.7,,
2010-02-08,27.63,,
2010-02-09,27.84,,
2010-02-10,27.84,,
2010-02-11,28.02,,
2010-02-12,28.31,,
2010-02-16,28.25,,
2010-02-17,27.94,,
2010-02-18,28.0,,
2010-02-19,28.01,,
2010-02-22,28.24,,
2010-02-23,28.01,,
2010-02-24,27.96,,
