date,TDY,TDY_EPS,PE Ratio
1999-11-23,8.44,,
1999-11-24,10.5,,
1999-11-26,10.5,,
1999-11-29,9.25,,
1999-11-30,8.81,,
1999-12-01,9.63,,
1999-12-02,9.38,,
1999-12-03,9.44,,
1999-12-06,9.25,,
1999-12-07,8.94,,
1999-12-08,9.0,,
1999-12-09,8.38,,
1999-12-10,8.06,,
1999-12-13,7.94,,
1999-12-14,7.94,,
1999-12-15,8.06,,
1999-12-16,8.31,,
1999-12-17,8.38,,
1999-12-20,8.44,,
1999-12-21,8.38,,
1999-12-22,8.75,,
1999-12-23,8.88,,
1999-12-27,9.0,,
1999-12-28,9.19,,
1999-12-29,9.38,,
1999-12-30,9.25,,
1999-12-31,9.44,,
2000-01-03,9.38,,
2000-01-04,9.13,,
2000-01-05,9.5,,
2000-01-06,9.25,,
2000-01-07,9.56,,
2000-01-10,9.75,,
2000-01-11,9.38,,
2000-01-12,9.38,,
2000-01-13,9.25,,
2000-01-14,9.56,,
2000-01-18,9.63,,
2000-01-19,9.69,,
2000-01-20,9.44,,
2000-01-21,9.75,,
2000-01-24,9.63,,
2000-01-25,9.56,,
2000-01-26,9.56,,
2000-01-27,9.69,,
2000-01-28,9.25,,
2000-01-31,9.25,,
2000-02-01,9.25,,
2000-02-02,9.19,,
2000-02-03,9.19,,
2000-02-04,9.0,,
2000-02-07,8.94,,
2000-02-08,9.0,,
2000-02-09,8.94,,
2000-02-10,8.75,,
2000-02-11,8.69,,
2000-02-14,8.63,,
2000-02-15,8.94,,
2000-02-16,8.81,,
2000-02-17,9.0,,
2000-02-18,9.19,,
2000-02-22,9.5,,
2000-02-23,9.0,,
2000-02-24,8.88,,
2000-02-25,8.81,,
2000-02-28,8.88,,
2000-02-29,8.69,,
2000-03-01,8.56,,
2000-03-02,8.5,,
2000-03-03,8.88,,
2000-03-06,9.0,,
2000-03-07,8.63,,
2000-03-08,8.81,,
2000-03-09,9.0,,
2000-03-10,9.31,,
2000-03-13,10.19,,
2000-03-14,10.81,,
2000-03-15,10.63,,
2000-03-16,10.94,,
2000-03-17,12.38,,
2000-03-20,13.06,,
2000-03-21,13.63,,
2000-03-22,13.56,,
2000-03-23,13.63,,
2000-03-24,15.69,,
2000-03-27,18.38,,
2000-03-28,26.0,,
2000-03-29,18.75,,
2000-03-30,19.0,,
2000-03-31,18.5,,
2000-04-03,15.81,,
2000-04-04,14.88,,
2000-04-05,16.0,,
2000-04-06,15.81,,
2000-04-07,15.94,,
2000-04-10,15.88,,
2000-04-11,15.63,,
2000-04-12,15.56,,
2000-04-13,16.19,,
2000-04-14,13.88,,
2000-04-17,14.63,,
2000-04-18,16.56,,
2000-04-19,17.13,,
2000-04-20,17.06,,
2000-04-24,17.81,,
2000-04-25,19.19,,
2000-04-26,19.63,,
2000-04-27,18.13,,
2000-04-28,17.5,,
2000-05-01,18.06,,
2000-05-02,18.13,,
2000-05-03,18.0,,
2000-05-04,18.13,,
2000-05-05,18.69,,
2000-05-08,18.31,,
2000-05-09,18.88,,
2000-05-10,17.63,,
2000-05-11,17.69,,
2000-05-12,17.5,,
2000-05-15,16.38,,
2000-05-16,16.0,,
2000-05-17,15.19,,
2000-05-18,14.25,,
2000-05-19,13.88,,
2000-05-22,13.13,,
2000-05-23,13.06,,
2000-05-24,11.5,,
2000-05-25,12.88,,
2000-05-26,12.69,,
2000-05-30,16.0,,
2000-05-31,15.81,,
2000-06-01,14.88,,
2000-06-02,14.5,,
2000-06-05,14.31,,
2000-06-06,13.44,,
2000-06-07,14.44,,
2000-06-08,13.69,,
2000-06-09,13.5,,
2000-06-12,13.5,,
2000-06-13,13.75,,
2000-06-14,13.31,,
2000-06-15,13.19,,
2000-06-16,13.5,,
2000-06-19,13.63,,
2000-06-20,13.56,,
2000-06-21,13.88,,
2000-06-22,16.0,,
2000-06-23,15.94,,
2000-06-26,16.88,,
2000-06-27,17.63,,
2000-06-28,18.75,,
2000-06-29,19.13,,
2000-06-30,18.88,,
2000-07-03,18.69,,
2000-07-05,17.5,,
2000-07-06,16.81,,
2000-07-07,17.06,,
2000-07-10,17.13,,
2000-07-11,17.25,,
2000-07-12,17.5,,
2000-07-13,17.56,,
2000-07-14,17.38,,
2000-07-17,17.31,,
2000-07-18,17.94,,
2000-07-19,17.63,,
2000-07-20,18.94,,
2000-07-21,18.94,,
2000-07-24,18.94,,
2000-07-25,18.94,,
