date,LYB,LYB_EPS,PE Ratio
2010-04-28,22.0,,
2010-04-29,23.0,,
2010-04-30,22.3,,
2010-05-03,22.8,,
2010-05-04,21.5,,
2010-05-05,20.59,,
2010-05-06,19.45,,
2010-05-07,18.6,,
2010-05-10,19.01,,
2010-05-11,18.9,,
2010-05-12,19.8,,
2010-05-13,19.65,,
2010-05-14,18.75,,
2010-05-17,18.85,,
2010-05-18,18.79,,
2010-05-19,17.7,,
2010-05-20,16.9,,
2010-05-21,16.55,,
2010-05-24,16.9,,
2010-05-25,16.57,,
2010-05-26,17.15,,
2010-05-27,17.9,,
2010-05-28,17.77,,
2010-06-01,17.5,,
2010-06-02,17.33,,
2010-06-03,17.33,,
2010-06-04,17.05,,
2010-06-07,16.89,,
2010-06-08,16.75,,
2010-06-09,16.79,,
2010-06-10,16.97,,
2010-06-11,17.14,,
2010-06-14,17.49,,
2010-06-15,17.97,,
2010-06-16,17.64,,
2010-06-17,17.3,,
2010-06-18,17.21,,
2010-06-21,17.1,,
2010-06-22,16.84,,
2010-06-23,16.65,,
2010-06-24,16.8,,
2010-06-25,16.82,,
2010-06-28,16.87,,
2010-06-29,16.25,,
2010-06-30,16.15,,
2010-07-01,15.55,,
2010-07-02,15.48,,
2010-07-06,15.06,,
2010-07-07,15.0,,
2010-07-08,15.05,,
2010-07-09,15.8,,
2010-07-12,15.82,,
2010-07-13,16.4,,
2010-07-14,16.4,,
2010-07-15,16.37,,
2010-07-16,16.2,,
2010-07-19,16.45,,
2010-07-20,16.19,,
2010-07-21,16.24,,
2010-07-22,16.55,,
2010-07-23,16.78,,
2010-07-26,17.65,,
2010-07-27,18.23,,
2010-07-28,17.93,,
2010-07-29,17.94,,
2010-07-30,18.0,,
2010-08-02,18.06,,
2010-08-03,17.9,,
2010-08-04,18.3,,
2010-08-05,18.24,,
2010-08-06,18.0,,
2010-08-09,18.05,,
2010-08-10,17.99,,
2010-08-11,17.61,,
2010-08-12,17.5,,
2010-08-13,18.02,,
2010-08-16,18.7,,
2010-08-17,19.07,,
2010-08-18,19.8,,
2010-08-19,19.8,,
2010-08-20,19.89,,
2010-08-23,20.06,,
2010-08-24,19.99,,
2010-08-25,19.93,,
2010-08-26,20.0,,
2010-08-27,20.44,,
2010-08-30,20.22,,
2010-08-31,20.5,,
2010-09-01,21.02,,
2010-09-02,20.95,,
2010-09-03,21.13,,
2010-09-07,20.96,,
2010-09-08,20.99,,
2010-09-09,20.7,,
2010-09-10,20.79,,
2010-09-13,21.38,,
2010-09-14,21.51,,
2010-09-15,21.56,,
2010-09-16,21.85,,
2010-09-17,22.25,,
2010-09-20,22.2,,
2010-09-21,22.21,,
2010-09-22,21.94,,
2010-09-23,21.85,,
2010-09-24,22.46,,
2010-09-27,23.1,,
2010-09-28,23.45,,
2010-09-29,23.62,,
2010-09-30,23.9,,
2010-10-01,23.87,,
2010-10-04,24.09,,
2010-10-05,24.79,,
2010-10-06,24.22,,
2010-10-07,24.45,,
2010-10-08,25.25,,
2010-10-11,26.16,,
2010-10-12,26.3,,
2010-10-13,26.97,,
2010-10-14,27.02,,
2010-10-15,26.5,,
2010-10-18,26.75,,
2010-10-19,26.52,,
2010-10-20,27.13,,
2010-10-21,27.56,,
2010-10-22,27.55,,
2010-10-25,27.96,,
2010-10-26,27.72,,
2010-10-27,27.21,,
2010-10-28,27.51,,
2010-10-29,26.86,,
2010-11-01,26.0,,
2010-11-02,26.63,,
2010-11-03,26.95,,
2010-11-04,27.41,,
2010-11-05,28.35,,
2010-11-08,28.85,,
2010-11-09,28.44,,
2010-11-10,28.34,,
2010-11-11,28.29,,
2010-11-12,27.4,,
2010-11-15,27.66,,
2010-11-16,26.7,,
2010-11-17,27.23,,
2010-11-18,27.69,,
2010-11-19,28.75,,
2010-11-22,29.68,,
2010-11-23,28.95,,
2010-11-24,29.5,,
2010-11-26,29.38,,
2010-11-29,29.75,,
2010-11-30,29.21,,
2010-12-01,29.88,,
2010-12-02,30.49,,
2010-12-03,30.52,,
2010-12-06,31.08,,
2010-12-07,31.6,,
2010-12-08,30.86,,
2010-12-09,30.61,,
2010-12-10,31.1,,
2010-12-13,31.86,,
2010-12-14,31.99,,
2010-12-15,31.75,,
2010-12-16,31.2,,
2010-12-17,31.87,,
2010-12-20,32.1,,
2010-12-21,32.55,,
2010-12-22,32.95,,
2010-12-23,32.93,,
2010-12-27,32.96,,
2010-12-28,33.28,,
2010-12-29,33.4,,
2010-12-30,33.76,,
2010-12-31,34.4,,
2011-01-03,34.56,,
2011-01-04,34.87,,
2011-01-05,34.85,,
2011-01-06,34.97,,
2011-01-07,34.62,,
2011-01-10,35.24,,
2011-01-11,36.47,,
2011-01-12,36.74,,
2011-01-13,36.4,,
2011-01-14,36.61,,
2011-01-18,36.5,,
2011-01-19,35.66,,
2011-01-20,35.42,,
2011-01-21,35.05,,
2011-01-24,35.65,,
2011-01-25,35.7,,
2011-01-26,36.0,,
2011-01-27,36.2,,
2011-01-28,34.86,,
2011-01-31,35.94,,
2011-02-01,36.84,,
2011-02-02,36.55,,
2011-02-03,36.12,,
2011-02-04,36.17,,
2011-02-07,35.52,,
2011-02-08,35.48,,
2011-02-09,35.84,,
2011-02-10,36.75,,
2011-02-11,37.07,,
2011-02-14,37.4,,
2011-02-15,37.48,,
2011-02-16,37.54,,
2011-02-17,38.59,,
2011-02-18,37.95,,
2011-02-22,35.84,,
2011-02-23,36.64,,
2011-02-24,36.7,,
2011-02-25,38.17,,
2011-02-28,38.08,,
2011-03-01,37.06,,
2011-03-02,38.07,,
2011-03-03,39.56,,
2011-03-04,39.64,,
2011-03-07,39.83,,
2011-03-08,40.73,,
2011-03-09,40.9,,
2011-03-10,39.69,,
2011-03-11,39.16,,
2011-03-14,39.19,,
2011-03-15,38.28,,
2011-03-16,38.09,,
2011-03-17,38.99,,
2011-03-18,38.4,0.0,inf
2011-03-21,39.67,0.0,inf
2011-03-22,39.05,0.0,inf
2011-03-23,39.87,0.0,inf
2011-03-24,40.39,0.0,inf
2011-03-25,40.36,0.0,inf
2011-03-28,40.21,0.0,inf
2011-03-29,40.14,0.0,inf
2011-03-30,39.68,0.0,inf
2011-03-31,39.55,0.0,inf
2011-04-01,40.27,0.0,inf
2011-04-04,40.65,0.0,inf
2011-04-05,41.34,0.0,inf
2011-04-06,41.61,0.0,inf
2011-04-07,41.5,0.0,inf
2011-04-08,42.58,0.0,inf
2011-04-11,42.49,0.0,inf
2011-04-12,40.53,0.0,inf
2011-04-13,40.63,0.0,inf
2011-04-14,40.42,0.0,inf
2011-04-15,41.01,0.0,inf
2011-04-18,40.06,0.0,inf
2011-04-19,40.78,0.0,inf
2011-04-20,42.0,0.0,inf
2011-04-21,42.73,0.0,inf
2011-04-25,43.26,0.0,inf
2011-04-26,43.79,0.0,inf
2011-04-27,43.7,0.0,inf
2011-04-28,44.44,0.0,inf
2011-04-29,44.5,0.0,inf
2011-05-02,45.62,0.0,inf
2011-05-03,44.57,0.0,inf
2011-05-04,42.83,0.0,inf
2011-05-05,41.65,0.0,inf
2011-05-06,41.08,0.0,inf
2011-05-09,41.5,0.0,inf
2011-05-10,42.24,0.0,inf
2011-05-11,42.22,0.0,inf
2011-05-12,41.33,0.0,inf
2011-05-13,39.68,0.0,inf
2011-05-16,38.1,0.0,inf
2011-05-17,38.95,0.0,inf
2011-05-18,41.0,0.0,inf
2011-05-19,41.0,0.0,inf
2011-05-20,40.0,0.0,inf
2011-05-23,38.9,0.0,inf
2011-05-24,39.75,0.0,inf
2011-05-25,41.59,0.0,inf
2011-05-26,41.76,0.0,inf
2011-05-27,42.74,0.0,inf
2011-05-31,43.81,0.0,inf
2011-06-01,42.28,0.0,inf
2011-06-02,41.7,0.0,inf
2011-06-03,39.89,0.0,inf
2011-06-06,38.24,0.0,inf
2011-06-07,38.88,0.0,inf
2011-06-08,39.22,0.0,inf
