date,MCHP,MCHP_EPS,PE Ratio
1993-03-19,0.65,,
1993-03-22,0.63,,
1993-03-23,0.63,,
1993-03-24,0.64,,
1993-03-25,0.66,,
1993-03-26,0.69,,
1993-03-29,0.69,,
1993-03-30,0.7,,
1993-03-31,0.71,,
1993-04-01,0.7,,
1993-04-02,0.71,,
1993-04-05,0.71,,
1993-04-06,0.69,,
1993-04-07,0.71,,
1993-04-08,0.71,,
1993-04-12,0.7,,
1993-04-13,0.72,,
1993-04-14,0.75,,
1993-04-15,0.72,,
1993-04-16,0.74,,
1993-04-19,0.71,,
1993-04-20,0.71,,
1993-04-21,0.74,,
1993-04-22,0.78,,
1993-04-23,0.82,,
1993-04-26,0.83,,
1993-04-27,0.87,,
1993-04-28,0.92,,
1993-04-29,0.88,,
1993-04-30,0.93,,
1993-05-03,0.94,,
1993-05-04,0.9,,
1993-05-05,0.91,,
1993-05-06,0.93,,
1993-05-07,0.98,,
1993-05-10,1.03,,
1993-05-11,1.03,,
1993-05-12,1.03,,
1993-05-13,0.98,,
1993-05-14,0.99,,
1993-05-17,1.02,,
1993-05-18,1.06,,
1993-05-19,1.04,,
1993-05-20,1.05,,
1993-05-21,1.08,,
1993-05-24,1.0,,
1993-05-25,1.01,,
1993-05-26,1.03,,
1993-05-27,1.02,,
1993-05-28,1.02,,
1993-06-01,1.0,,
1993-06-02,1.0,,
1993-06-03,1.0,,
1993-06-04,0.94,,
1993-06-07,0.97,,
1993-06-08,0.89,,
1993-06-09,0.92,,
1993-06-10,0.94,,
1993-06-11,1.03,,
1993-06-14,1.06,,
1993-06-15,1.08,,
1993-06-16,1.16,,
1993-06-17,1.16,,
1993-06-18,1.16,,
1993-06-21,1.23,,
1993-06-22,1.22,,
1993-06-23,1.27,,
1993-06-24,1.32,,
1993-06-25,1.31,,
1993-06-28,1.31,,
1993-06-29,1.27,,
1993-06-30,1.28,,
1993-07-01,1.25,,
1993-07-02,1.27,,
1993-07-06,1.24,,
1993-07-07,1.23,,
1993-07-08,1.26,,
1993-07-09,1.25,,
1993-07-12,1.26,,
1993-07-13,1.23,,
1993-07-14,1.33,,
1993-07-15,1.29,,
1993-07-16,1.21,,
1993-07-19,1.17,,
1993-07-20,1.16,,
1993-07-21,1.21,,
1993-07-22,1.23,,
1993-07-23,1.21,,
1993-07-26,1.25,,
1993-07-27,1.25,,
1993-07-28,1.22,,
1993-07-29,1.23,,
1993-07-30,1.25,,
1993-08-02,1.28,,
1993-08-03,1.24,,
1993-08-04,1.28,,
1993-08-05,1.28,,
1993-08-06,1.35,,
1993-08-09,1.32,,
1993-08-10,1.34,,
1993-08-11,1.29,,
1993-08-12,1.47,,
1993-08-13,1.6,,
1993-08-16,1.62,,
1993-08-17,1.62,,
1993-08-18,1.69,,
1993-08-19,1.71,,
1993-08-20,1.7,,
1993-08-23,1.69,,
1993-08-24,1.83,,
1993-08-25,1.94,,
1993-08-26,2.04,,
1993-08-27,2.09,,
1993-08-30,2.11,,
1993-08-31,2.04,,
1993-09-01,2.0,,
1993-09-02,2.07,,
1993-09-03,2.17,,
1993-09-07,2.25,,
1993-09-08,2.15,,
1993-09-09,2.11,,
1993-09-10,2.11,,
1993-09-13,2.1,,
1993-09-14,2.11,,
1993-09-15,2.11,,
1993-09-16,2.06,,
1993-09-17,2.07,,
1993-09-20,2.11,,
1993-09-21,2.13,,
1993-09-22,2.14,,
1993-09-23,2.15,,
1993-09-24,2.13,,
1993-09-27,2.09,,
1993-09-28,2.06,,
1993-09-29,2.24,,
1993-09-30,2.28,,
1993-10-01,2.39,,
1993-10-04,2.28,,
1993-10-05,2.28,,
1993-10-06,2.28,,
1993-10-07,2.3,,
1993-10-08,2.44,,
1993-10-11,2.5,,
1993-10-12,2.71,,
1993-10-13,3.0,,
1993-10-14,2.98,,
1993-10-15,3.01,,
1993-10-18,2.85,,
1993-10-19,2.63,,
1993-10-20,2.61,,
1993-10-21,2.57,,
1993-10-22,2.68,,
1993-10-25,2.61,,
1993-10-26,2.66,,
1993-10-27,2.83,,
1993-10-28,2.81,,
1993-10-29,2.81,,
1993-11-01,2.83,,
1993-11-02,2.9,,
1993-11-03,2.9,,
1993-11-04,2.92,,
1993-11-05,2.96,,
1993-11-08,2.96,,
1993-11-09,3.04,,
1993-11-10,3.2,,
1993-11-11,3.18,,
1993-11-12,3.09,,
1993-11-15,3.03,,
1993-11-16,2.98,,
1993-11-17,2.93,,
1993-11-18,2.81,,
1993-11-19,2.66,,
1993-11-22,2.46,,
1993-11-23,2.48,,
1993-11-24,2.69,,
1993-11-26,2.83,,
1993-11-29,2.79,,
1993-11-30,2.81,,
1993-12-01,2.9,,
1993-12-02,2.9,,
1993-12-03,3.27,,
1993-12-06,3.12,,
1993-12-07,3.16,,
1993-12-08,3.12,,
1993-12-09,3.09,,
1993-12-10,3.16,,
1993-12-13,3.14,,
1993-12-14,3.05,,
1993-12-15,3.07,,
1993-12-16,3.09,,
1993-12-17,3.25,,
1993-12-20,3.26,,
1993-12-21,3.16,,
1993-12-22,3.18,,
1993-12-23,3.18,,
1993-12-27,3.09,,
1993-12-28,3.07,,
1993-12-29,3.27,,
1993-12-30,3.31,,
1993-12-31,3.42,,
1994-01-03,3.25,,
1994-01-04,3.14,,
1994-01-05,3.12,,
1994-01-06,3.03,,
1994-01-07,3.07,,
1994-01-10,3.14,,
1994-01-11,3.25,,
1994-01-12,3.46,,
1994-01-13,3.38,,
1994-01-14,3.38,,
1994-01-17,3.5,,
1994-01-18,3.53,,
1994-01-19,3.38,,
1994-01-20,3.62,,
1994-01-21,3.49,,
1994-01-24,3.51,,
1994-01-25,3.56,,
1994-01-26,3.51,,
1994-01-27,3.53,,
1994-01-28,3.52,,
1994-01-31,3.49,,
1994-02-01,3.45,,
1994-02-02,3.34,,
1994-02-03,3.31,,
1994-02-04,3.18,,
1994-02-07,3.31,,
1994-02-08,3.51,,
1994-02-09,3.49,,
1994-02-10,3.34,,
1994-02-11,3.25,,
1994-02-14,3.49,,
1994-02-15,3.47,,
1994-02-16,3.51,,
1994-02-17,3.53,,
1994-02-18,3.53,,
1994-02-22,3.56,,
1994-02-23,3.71,,
1994-02-24,3.71,,
1994-02-25,3.78,,
1994-02-28,3.91,,
1994-03-01,3.84,,
1994-03-02,3.84,,
1994-03-03,3.82,,
1994-03-04,3.78,,
1994-03-07,3.8,,
1994-03-08,3.86,,
1994-03-09,3.84,,
1994-03-10,3.71,,
1994-03-11,3.76,,
1994-03-14,3.8,,
1994-03-15,3.93,,
1994-03-16,4.02,,
1994-03-17,4.02,,
1994-03-18,4.02,,
1994-03-21,3.93,,
1994-03-22,3.99,,
1994-03-23,3.95,,
1994-03-24,3.78,,
1994-03-25,3.52,,
1994-03-28,3.45,,
1994-03-29,3.31,,
1994-03-30,3.28,,
1994-03-31,3.36,,
1994-04-04,3.29,,
1994-04-05,3.65,,
1994-04-06,3.56,,
1994-04-07,3.56,,
1994-04-08,3.59,,
1994-04-11,3.69,,
1994-04-12,3.47,,
1994-04-13,3.39,,
1994-04-14,3.36,,
1994-04-15,3.16,,
1994-04-18,2.95,,
1994-04-19,2.9,,
1994-04-20,2.61,,
1994-04-21,2.93,,
1994-04-22,3.33,,
1994-04-25,3.65,,
1994-04-26,3.82,,
1994-04-28,3.57,,
1994-04-29,3.69,,
1994-05-02,3.85,,
1994-05-03,3.82,,
1994-05-04,3.62,,
1994-05-05,3.7,,
1994-05-06,3.88,,
1994-05-09,3.88,,
1994-05-10,3.82,,
1994-05-11,3.75,,
1994-05-12,3.82,,
1994-05-13,3.62,,
1994-05-16,3.67,,
1994-05-17,3.57,,
1994-05-18,3.82,,
1994-05-19,3.98,,
1994-05-20,3.95,,
1994-05-23,3.92,,
1994-05-24,4.08,,
1994-05-25,4.02,,
1994-05-26,3.95,,
1994-05-27,4.03,,
1994-05-31,4.08,,
1994-06-01,4.31,,
1994-06-02,4.48,,
1994-06-03,4.61,,
1994-06-06,4.54,,
1994-06-07,4.51,,
1994-06-08,4.35,,
1994-06-09,4.31,,
1994-06-10,4.26,,
1994-06-13,4.21,,
1994-06-14,4.28,,
1994-06-15,4.51,,
1994-06-16,4.51,,
1994-06-17,4.38,,
1994-06-20,4.35,,
1994-06-21,4.18,,
1994-06-22,4.35,,
1994-06-23,4.05,,
1994-06-24,4.0,,
1994-06-27,4.21,,
1994-06-28,4.44,,
1994-06-29,4.64,,
1994-06-30,4.64,,
1994-07-01,4.64,,
1994-07-05,4.61,,
1994-07-06,4.48,,
1994-07-07,4.44,,
1994-07-08,4.58,,
1994-07-11,4.67,,
1994-07-12,4.79,,
1994-07-13,5.0,,
1994-07-14,5.04,,
1994-07-15,4.81,,
1994-07-18,4.28,,
1994-07-19,4.35,,
1994-07-20,4.25,,
1994-07-21,4.25,,
1994-07-22,4.07,,
1994-07-25,4.05,,
1994-07-26,4.26,,
1994-07-27,4.31,,
1994-07-28,4.18,,
1994-07-29,4.21,,
1994-08-01,4.53,,
1994-08-02,4.71,,
1994-08-03,4.54,,
1994-08-04,4.49,,
1994-08-05,4.35,,
1994-08-08,4.44,,
1994-08-09,4.61,,
1994-08-10,4.64,,
1994-08-11,4.61,,
1994-08-12,4.48,,
1994-08-15,4.58,,
1994-08-16,4.71,,
1994-08-17,4.77,,
1994-08-18,4.61,,
1994-08-19,4.63,,
1994-08-22,4.71,,
1994-08-23,4.84,,
1994-08-24,4.89,,
1994-08-25,4.86,,
1994-08-26,4.86,,
1994-08-29,4.86,,
1994-08-30,4.91,,
1994-08-31,4.84,,
1994-09-01,4.77,,
1994-09-02,4.84,,
1994-09-06,4.91,,
1994-09-07,5.0,,
1994-09-08,4.97,,
1994-09-09,4.81,,
1994-09-12,4.84,,
1994-09-13,4.95,,
1994-09-14,5.12,,
1994-09-15,5.04,,
1994-09-16,5.1,,
1994-09-19,5.17,,
1994-09-20,5.2,,
1994-09-21,5.17,,
1994-09-22,5.23,,
1994-09-23,5.2,,
1994-09-26,5.0,,
1994-09-27,4.91,,
1994-09-28,4.97,,
1994-09-29,5.0,,
1994-09-30,5.17,,
1994-10-03,5.2,,
1994-10-04,4.94,,
1994-10-05,4.79,,
1994-10-06,4.74,,
1994-10-07,5.0,,
1994-10-10,5.17,,
1994-10-11,5.42,,
1994-10-12,5.47,,
1994-10-13,5.55,,
1994-10-14,5.56,,
1994-10-17,5.47,,
1994-10-18,5.5,,
1994-10-19,5.5,,
1994-10-20,5.45,,
1994-10-21,5.66,,
1994-10-24,5.53,,
1994-10-25,5.53,,
1994-10-26,5.71,,
1994-10-27,5.79,,
1994-10-28,5.96,,
1994-10-31,6.17,,
1994-11-01,6.09,,
1994-11-02,6.06,,
1994-11-03,5.96,,
1994-11-04,6.06,,
1994-11-07,6.16,,
1994-11-08,5.93,,
1994-11-09,6.02,,
1994-11-10,6.07,,
1994-11-11,5.98,,
1994-11-14,5.93,,
1994-11-15,5.95,,
1994-11-16,5.98,,
1994-11-17,5.98,,
1994-11-18,6.0,,
1994-11-21,5.83,,
1994-11-22,5.53,,
1994-11-23,5.53,,
1994-11-25,5.63,,
1994-11-28,5.98,,
1994-11-29,5.93,,
1994-11-30,5.88,,
1994-12-01,5.65,,
1994-12-02,5.9,,
1994-12-05,5.93,,
1994-12-06,5.83,,
1994-12-07,5.73,,
1994-12-08,5.53,,
1994-12-09,5.36,,
1994-12-12,5.33,,
1994-12-13,5.28,,
1994-12-14,5.48,,
1994-12-15,5.33,,
1994-12-16,5.23,,
1994-12-19,5.19,,
1994-12-20,5.14,,
1994-12-21,5.43,,
1994-12-22,5.32,,
1994-12-23,5.23,,
1994-12-27,5.48,,
1994-12-28,5.53,,
1994-12-29,5.53,,
1994-12-30,5.43,,
1995-01-03,5.2,,
1995-01-04,5.06,,
1995-01-05,4.89,,
1995-01-06,5.14,,
1995-01-09,5.43,,
1995-01-10,5.73,,
1995-01-11,5.65,,
1995-01-12,5.58,,
1995-01-13,5.48,,
1995-01-16,5.48,,
1995-01-17,4.99,,
1995-01-18,5.16,,
1995-01-19,5.04,,
1995-01-20,4.94,,
1995-01-23,5.14,,
1995-01-24,5.06,,
1995-01-25,4.84,,
1995-01-26,4.62,,
1995-01-27,4.72,,
1995-01-30,4.54,,
1995-01-31,4.42,,
1995-02-01,4.44,,
1995-02-02,4.4,,
1995-02-03,4.72,,
1995-02-06,4.81,,
1995-02-07,4.99,,
1995-02-08,4.94,,
1995-02-09,5.14,,
1995-02-10,5.19,,
1995-02-13,5.19,,
1995-02-14,5.21,,
1995-02-15,5.46,,
1995-02-16,5.43,,
1995-02-17,5.21,,
1995-02-21,5.14,,
1995-02-22,5.04,,
1995-02-23,4.99,,
1995-02-24,5.04,,
1995-02-27,4.99,,
1995-02-28,4.99,,
1995-03-01,4.84,,
1995-03-02,4.91,,
1995-03-03,5.26,,
1995-03-06,4.9,,
1995-03-07,4.84,,
1995-03-08,4.79,,
1995-03-09,4.84,,
1995-03-10,4.89,,
1995-03-13,5.14,,
1995-03-14,5.19,,
1995-03-15,5.23,,
1995-03-16,5.23,,
1995-03-17,5.19,,
1995-03-20,5.38,,
1995-03-21,5.33,,
1995-03-22,5.09,,
1995-03-23,5.16,,
1995-03-24,5.23,,
1995-03-27,5.51,,
1995-03-28,5.48,,
1995-03-29,5.51,,
1995-03-30,5.43,,
1995-03-31,5.56,,
1995-04-03,5.46,,
1995-04-04,5.31,,
1995-04-05,5.37,,
1995-04-06,5.43,,
1995-04-07,5.36,,
1995-04-10,5.63,,
