date,INCY,INCY_EPS,PE Ratio
1993-11-04,1.88,,
1993-11-05,1.97,,
1993-11-08,1.97,,
1993-11-09,1.97,,
1993-11-10,2.0,,
1993-11-11,2.03,,
1993-11-12,2.09,,
1993-11-15,2.31,,
1993-11-16,2.44,,
1993-11-17,2.38,,
1993-11-18,2.31,,
1993-11-19,2.34,,
1993-11-22,2.25,,
1993-11-23,2.41,,
1993-11-24,2.34,,
1993-11-26,2.38,,
1993-11-29,2.25,,
1993-11-30,2.25,,
1993-12-01,2.19,,
1993-12-02,2.59,,
1993-12-03,2.56,,
1993-12-06,2.41,,
1993-12-07,2.34,,
1993-12-08,2.38,,
1993-12-09,2.34,,
1993-12-10,2.31,,
1993-12-13,2.22,,
1993-12-14,2.19,,
1993-12-15,2.22,,
1993-12-16,2.22,,
1993-12-17,2.16,,
1993-12-20,2.22,,
1993-12-21,2.19,,
1993-12-22,2.19,,
1993-12-23,2.28,,
1993-12-27,2.31,,
1993-12-28,2.28,,
1993-12-29,2.25,,
1993-12-30,2.22,,
1993-12-31,2.25,,
1994-01-03,2.19,,
1994-01-04,2.16,,
1994-01-05,2.22,,
1994-01-06,2.22,,
1994-01-07,2.19,,
1994-01-10,2.16,,
1994-01-11,2.16,,
1994-01-12,2.19,,
1994-01-13,2.13,,
1994-01-14,2.06,,
1994-01-17,2.09,,
1994-01-18,2.13,,
1994-01-19,2.25,,
1994-01-20,2.28,,
1994-01-21,2.28,,
1994-01-24,2.34,,
1994-01-25,2.31,,
1994-01-26,2.63,,
1994-01-27,2.69,,
1994-01-28,2.72,,
1994-01-31,2.78,,
1994-02-01,2.72,,
1994-02-02,2.66,,
1994-02-03,2.66,,
1994-02-04,2.53,,
1994-02-07,2.56,,
1994-02-08,2.5,,
1994-02-09,2.78,,
1994-02-10,2.81,,
1994-02-11,2.75,,
1994-02-14,2.81,,
1994-02-15,2.75,,
1994-02-16,2.75,,
1994-02-17,2.72,,
1994-02-18,2.66,,
1994-02-22,2.56,,
1994-02-23,2.53,,
1994-02-24,2.5,,
1994-02-25,2.5,,
1994-02-28,2.59,,
1994-03-01,2.59,,
1994-03-02,2.53,,
1994-03-03,2.56,,
1994-03-04,2.53,,
1994-03-07,2.59,,
1994-03-08,2.53,,
1994-03-09,2.5,,
1994-03-10,2.44,,
1994-03-11,2.41,,
1994-03-14,2.41,,
1994-03-15,2.34,,
1994-03-16,2.44,,
1994-03-17,2.38,,
1994-03-18,2.56,,
1994-03-21,2.59,,
1994-03-22,2.5,,
1994-03-23,2.47,,
1994-03-24,2.5,,
1994-03-25,2.44,,
1994-03-28,2.38,,
1994-03-29,2.38,,
1994-03-30,2.31,,
1994-03-31,2.19,,
1994-04-04,2.22,,
1994-04-05,2.19,,
1994-04-06,2.19,,
1994-04-07,2.16,,
1994-04-08,2.16,,
1994-04-11,2.09,,
1994-04-12,1.97,,
1994-04-13,1.88,,
1994-04-14,2.06,,
1994-04-15,1.97,,
1994-04-18,1.94,,
1994-04-19,1.88,,
1994-04-20,1.72,,
