date,DUK,DUK_EPS,PE Ratio
1989-09-19,22.39,,
1989-09-20,22.5,,
1989-09-21,22.44,,
1989-09-22,22.44,,
1989-09-25,22.23,,
1989-09-26,22.28,,
1989-09-27,22.17,,
1989-09-28,22.23,,
1989-09-29,22.39,,
1989-10-02,22.44,,
1989-10-03,22.39,,
1989-10-04,22.5,,
1989-10-05,22.5,,
1989-10-06,22.44,,
1989-10-09,22.34,,
1989-10-10,22.28,,
1989-10-11,22.44,,
1989-10-12,22.5,,
1989-10-13,22.28,,
1989-10-16,22.44,,
1989-10-17,22.44,,
1989-10-18,22.5,,
1989-10-19,22.61,,
1989-10-20,22.55,,
1989-10-23,22.77,,
1989-10-24,22.77,,
1989-10-25,22.77,,
1989-10-26,22.77,,
1989-10-27,22.77,,
1989-10-30,22.66,,
1989-10-31,22.99,,
1989-11-01,23.1,,
1989-11-02,23.04,,
1989-11-03,23.1,,
1989-11-06,23.1,,
1989-11-07,22.99,,
1989-11-08,22.88,,
1989-11-09,22.88,,
1989-11-10,22.88,,
1989-11-13,22.66,,
1989-11-14,22.72,,
1989-11-15,22.83,,
1989-11-16,22.94,,
1989-11-17,22.83,,
1989-11-20,22.66,,
1989-11-21,22.66,,
1989-11-22,22.72,,
1989-11-24,22.83,,
1989-11-27,22.88,,
1989-11-28,22.88,,
1989-11-29,22.99,,
1989-11-30,23.21,,
1989-12-01,23.43,,
1989-12-04,23.37,,
1989-12-05,23.37,,
1989-12-06,23.43,,
1989-12-07,23.48,,
1989-12-08,23.7,,
1989-12-11,23.75,,
1989-12-12,23.97,,
1989-12-13,23.86,,
1989-12-14,23.81,,
1989-12-15,23.97,,
1989-12-18,23.81,,
1989-12-19,23.97,,
1989-12-20,24.3,,
1989-12-21,24.3,,
1989-12-22,24.35,,
1989-12-26,24.41,,
1989-12-27,24.52,,
1989-12-28,24.46,,
1989-12-29,24.46,,
1990-01-02,24.41,,
1990-01-03,24.46,,
1990-01-04,24.3,,
1990-01-05,24.02,,
1990-01-08,23.86,,
1990-01-09,23.43,,
1990-01-10,23.53,,
1990-01-11,23.64,,
1990-01-12,22.77,,
1990-01-15,22.55,,
1990-01-16,22.77,,
1990-01-17,22.55,,
1990-01-18,22.55,,
1990-01-19,22.88,,
1990-01-22,22.88,,
1990-01-23,22.99,,
1990-01-24,23.04,,
1990-01-25,22.99,,
1990-01-26,22.88,,
1990-01-29,22.94,,
1990-01-30,22.99,,
1990-01-31,23.43,,
1990-02-01,23.43,,
1990-02-02,23.53,,
1990-02-05,23.48,,
1990-02-06,23.53,,
1990-02-07,23.48,,
1990-02-08,23.7,,
1990-02-09,23.64,,
1990-02-12,23.32,,
1990-02-13,23.43,,
1990-02-14,23.53,,
1990-02-15,23.53,,
1990-02-16,23.37,,
1990-02-20,23.15,,
1990-02-21,23.1,,
1990-02-22,23.04,,
1990-02-23,23.04,,
1990-02-26,23.26,,
1990-02-27,23.81,,
1990-02-28,23.86,,
1990-03-01,23.97,,
1990-03-02,24.02,,
1990-03-05,23.97,,
1990-03-06,24.08,,
1990-03-07,23.92,,
1990-03-08,24.41,,
1990-03-09,23.86,,
1990-03-12,23.75,,
1990-03-13,23.75,,
1990-03-14,23.92,,
1990-03-15,24.3,,
1990-03-16,24.46,,
1990-03-19,24.46,,
1990-03-20,24.41,,
1990-03-21,24.19,,
1990-03-22,23.92,,
1990-03-23,23.86,,
1990-03-26,23.81,,
1990-03-27,24.08,,
1990-03-28,24.08,,
1990-03-29,23.97,,
1990-03-30,23.97,,
1990-04-02,23.92,,
1990-04-03,24.02,,
1990-04-04,23.86,,
1990-04-05,23.86,,
1990-04-06,23.92,,
1990-04-09,23.97,,
1990-04-10,23.86,,
1990-04-11,23.75,,
1990-04-12,23.86,,
1990-04-16,23.97,,
1990-04-17,24.08,,
1990-04-18,24.08,,
1990-04-19,23.97,,
1990-04-20,23.53,,
1990-04-23,23.21,,
1990-04-24,23.32,,
1990-04-25,23.48,,
1990-04-26,23.48,,
1990-04-27,23.1,,
1990-04-30,23.04,,
1990-05-01,22.94,,
1990-05-02,23.1,,
1990-05-03,23.26,,
1990-05-04,23.43,,
1990-05-07,23.7,,
1990-05-08,23.81,,
1990-05-09,23.92,,
1990-05-10,23.92,,
1990-05-11,24.46,,
1990-05-14,24.19,,
1990-05-15,24.24,,
1990-05-16,24.3,,
1990-05-17,24.52,,
1990-05-18,24.52,,
1990-05-21,24.52,,
1990-05-22,24.35,,
1990-05-23,24.35,,
1990-05-24,24.3,,
1990-05-25,24.08,,
1990-05-29,24.13,,
1990-05-30,24.13,,
1990-05-31,24.02,,
1990-06-01,24.08,,
1990-06-04,24.41,,
1990-06-05,24.52,,
1990-06-06,24.46,,
1990-06-07,24.41,,
1990-06-08,24.13,,
1990-06-11,24.24,,
1990-06-12,24.3,,
1990-06-13,24.41,,
1990-06-14,24.35,,
1990-06-15,24.41,,
1990-06-18,24.19,,
1990-06-19,24.13,,
1990-06-20,24.08,,
1990-06-21,24.19,,
1990-06-22,24.19,,
1990-06-25,24.02,,
1990-06-26,24.08,,
1990-06-27,24.24,,
1990-06-28,24.35,,
1990-06-29,24.35,,
1990-07-02,24.41,,
1990-07-03,24.57,,
1990-07-05,24.41,,
1990-07-06,24.52,,
1990-07-09,24.46,,
1990-07-10,24.24,,
1990-07-11,24.35,,
1990-07-12,24.52,,
1990-07-13,24.41,,
1990-07-16,24.46,,
1990-07-17,24.57,,
1990-07-18,24.41,,
1990-07-19,24.35,,
1990-07-20,24.19,,
1990-07-23,23.92,,
1990-07-24,23.86,,
1990-07-25,24.08,,
1990-07-26,24.19,,
1990-07-27,24.19,,
1990-07-30,24.84,,
1990-07-31,25.28,,
1990-08-01,25.71,,
1990-08-02,25.71,,
1990-08-03,25.55,,
1990-08-06,25.11,,
1990-08-07,25.11,,
1990-08-08,25.44,,
1990-08-09,25.6,,
1990-08-10,25.55,,
1990-08-13,25.06,,
1990-08-14,25.5,,
1990-08-15,25.6,,
1990-08-16,25.55,,
1990-08-17,25.33,,
1990-08-20,25.17,,
1990-08-21,24.95,,
1990-08-22,24.68,,
1990-08-23,24.08,,
1990-08-24,23.81,,
1990-08-27,24.24,,
1990-08-28,24.19,,
1990-08-29,24.19,,
1990-08-30,23.92,,
1990-08-31,24.19,,
1990-09-04,24.19,,
1990-09-05,24.13,,
1990-09-06,23.81,,
1990-09-07,23.86,,
1990-09-10,24.08,,
1990-09-11,24.13,,
1990-09-12,24.13,,
1990-09-13,24.08,,
1990-09-14,24.02,,
1990-09-17,24.02,,
1990-09-18,23.97,,
1990-09-19,24.02,,
1990-09-20,23.75,,
1990-09-21,23.81,,
1990-09-24,23.7,,
1990-09-25,23.7,,
1990-09-26,23.75,,
1990-09-27,24.02,,
1990-09-28,24.24,,
1990-10-01,24.84,,
1990-10-02,24.95,,
1990-10-03,24.84,,
1990-10-04,25.17,,
1990-10-05,25.17,,
1990-10-08,25.5,,
1990-10-09,25.5,,
1990-10-10,24.62,,
1990-10-11,24.73,,
1990-10-12,25.6,,
1990-10-15,25.71,,
1990-10-16,25.71,,
1990-10-17,26.26,,
1990-10-18,26.91,,
1990-10-19,27.46,,
1990-10-22,28.22,,
1990-10-23,27.57,,
1990-10-24,26.91,,
1990-10-25,26.91,,
1990-10-26,26.37,,
1990-10-29,26.48,,
1990-10-30,27.35,,
1990-10-31,27.78,,
1990-11-01,28.11,,
1990-11-02,27.89,,
1990-11-05,27.46,,
1990-11-06,27.13,,
1990-11-07,26.37,,
1990-11-08,26.69,,
1990-11-09,26.48,,
1990-11-12,26.69,,
1990-11-13,26.48,,
1990-11-14,26.26,,
1990-11-15,25.82,,
1990-11-16,25.82,,
1990-11-19,25.71,,
1990-11-20,25.6,,
1990-11-21,26.04,,
1990-11-23,25.71,,
1990-11-26,25.93,,
1990-11-27,25.93,,
1990-11-28,26.26,,
1990-11-29,26.26,,
1990-11-30,26.91,,
1990-12-03,27.35,,
1990-12-04,27.89,,
1990-12-05,27.46,,
1990-12-06,27.02,,
1990-12-07,26.69,,
1990-12-10,26.26,,
1990-12-11,26.26,,
1990-12-12,26.59,,
1990-12-13,26.69,,
1990-12-14,26.91,,
1990-12-17,26.91,,
1990-12-18,27.67,,
1990-12-19,27.46,,
1990-12-20,27.02,,
1990-12-21,27.57,,
1990-12-24,27.46,,
1990-12-26,27.46,,
1990-12-27,27.46,,
1990-12-28,26.8,,
1990-12-31,26.69,,
1991-01-02,26.48,,
1991-01-03,26.37,,
1991-01-04,26.37,,
1991-01-07,26.26,,
1991-01-08,26.37,,
1991-01-09,26.26,,
1991-01-10,26.48,,
1991-01-11,26.04,,
1991-01-14,24.95,,
1991-01-15,25.5,,
1991-01-16,25.39,,
1991-01-17,26.15,,
1991-01-18,25.28,,
1991-01-21,25.5,,
1991-01-22,24.3,,
1991-01-23,24.41,,
1991-01-24,24.62,,
1991-01-25,24.62,,
1991-01-28,24.3,,
1991-01-29,24.3,,
1991-01-30,24.08,,
1991-01-31,24.08,,
1991-02-01,23.75,,
1991-02-04,23.86,,
1991-02-05,23.86,,
1991-02-06,24.19,,
1991-02-07,24.73,,
1991-02-08,25.17,,
1991-02-11,25.39,,
1991-02-12,24.95,,
1991-02-13,25.06,,
1991-02-14,24.41,,
1991-02-15,24.41,,
1991-02-19,24.62,,
1991-02-20,24.52,,
1991-02-21,24.73,,
1991-02-22,24.84,,
1991-02-25,24.95,,
1991-02-26,24.52,,
1991-02-27,24.41,,
1991-02-28,24.73,,
1991-03-01,24.41,,
1991-03-04,23.97,,
1991-03-05,23.86,,
1991-03-06,23.43,,
1991-03-07,23.64,,
1991-03-08,23.43,,
1991-03-11,23.64,,
1991-03-12,23.86,,
1991-03-13,24.3,,
1991-03-14,24.73,,
1991-03-15,24.73,,
1991-03-18,24.62,,
1991-03-19,24.52,,
1991-03-20,24.62,,
1991-03-21,24.73,,
1991-03-22,25.06,,
1991-03-25,25.5,,
1991-03-26,25.39,,
1991-03-27,24.95,,
1991-03-28,25.06,,
1991-04-01,24.73,,
1991-04-02,25.39,,
1991-04-03,25.28,,
1991-04-04,25.39,,
1991-04-05,24.95,,
1991-04-08,25.39,,
1991-04-09,24.95,,
1991-04-10,24.95,,
1991-04-11,25.06,,
1991-04-12,25.17,,
1991-04-15,25.06,,
1991-04-16,24.84,,
1991-04-17,25.06,,
1991-04-18,24.73,,
1991-04-19,24.62,,
1991-04-22,24.84,,
1991-04-23,24.95,,
1991-04-24,24.73,,
1991-04-25,24.52,,
1991-04-26,24.41,,
1991-04-29,24.08,,
1991-04-30,24.19,,
1991-05-01,24.62,,
1991-05-02,24.62,,
1991-05-03,24.62,,
1991-05-06,24.52,,
1991-05-07,24.84,,
1991-05-08,24.84,,
1991-05-09,24.84,,
1991-05-10,24.62,,
1991-05-13,24.08,,
1991-05-14,23.75,,
1991-05-15,23.97,,
1991-05-16,24.19,,
1991-05-17,24.41,,
1991-05-20,24.41,,
1991-05-21,24.3,,
1991-05-22,23.97,,
1991-05-23,24.19,,
1991-05-24,23.75,,
1991-05-28,23.75,,
1991-05-29,24.08,,
1991-05-30,24.41,,
1991-05-31,24.19,,
1991-06-03,24.08,,
1991-06-04,23.97,,
1991-06-05,23.97,,
1991-06-06,24.19,,
1991-06-07,23.86,,
1991-06-10,23.97,,
1991-06-11,24.19,,
1991-06-12,24.19,,
1991-06-13,24.62,,
1991-06-14,24.84,,
1991-06-17,24.41,,
1991-06-18,23.97,,
1991-06-19,24.08,,
1991-06-20,24.41,,
1991-06-21,24.41,,
1991-06-24,24.19,,
1991-06-25,24.41,,
1991-06-26,24.19,,
1991-06-27,24.19,,
1991-06-28,24.08,,
1991-07-01,24.3,,
1991-07-02,24.52,,
1991-07-03,24.3,,
1991-07-05,24.3,,
1991-07-08,24.41,,
1991-07-09,24.3,,
1991-07-10,24.3,,
1991-07-11,24.41,,
1991-07-12,24.95,,
1991-07-15,24.84,,
1991-07-16,24.52,,
1991-07-17,24.73,,
1991-07-18,24.95,,
1991-07-19,24.62,,
1991-07-22,24.95,,
1991-07-23,24.62,,
1991-07-24,24.62,,
1991-07-25,25.17,,
1991-07-26,25.28,,
1991-07-29,25.82,,
1991-07-30,26.04,,
1991-07-31,25.5,,
1991-08-01,25.39,,
1991-08-02,25.82,,
1991-08-05,25.71,,
1991-08-06,26.15,,
1991-08-07,26.04,,
1991-08-08,26.04,,
1991-08-09,25.93,,
1991-08-12,25.6,,
1991-08-13,25.82,,
1991-08-14,26.04,,
1991-08-15,26.48,,
1991-08-16,26.48,,
1991-08-19,25.71,,
1991-08-20,26.04,,
1991-08-21,26.37,,
1991-08-22,26.59,,
1991-08-23,26.48,,
1991-08-26,26.48,,
1991-08-27,26.69,,
1991-08-28,26.8,,
1991-08-29,26.15,,
1991-08-30,26.15,,
1991-09-03,26.26,,
1991-09-04,26.15,,
1991-09-05,25.93,,
1991-09-06,25.93,,
1991-09-09,26.04,,
1991-09-10,26.04,,
1991-09-11,26.26,,
1991-09-12,26.37,,
1991-09-13,26.37,,
1991-09-16,26.69,,
1991-09-17,26.48,,
1991-09-18,26.59,,
1991-09-19,26.59,,
1991-09-20,26.91,,
1991-09-23,26.59,,
1991-09-24,26.69,,
1991-09-25,27.13,,
1991-09-26,27.35,,
1991-09-27,27.89,,
1991-09-30,28.22,,
1991-10-01,28.76,,
1991-10-02,28.44,,
1991-10-03,28.33,,
1991-10-04,28.11,,
1991-10-07,27.89,,
1991-10-08,27.89,,
1991-10-09,27.35,,
1991-10-10,27.46,,
1991-10-11,27.24,,
1991-10-14,27.46,,
1991-10-15,27.46,,
1991-10-16,27.46,,
1991-10-17,27.46,,
1991-10-18,27.02,,
1991-10-21,26.8,,
1991-10-22,26.8,,
1991-10-23,26.91,,
1991-10-24,26.91,,
1991-10-25,26.91,,
1991-10-28,27.13,,
1991-10-29,27.46,,
1991-10-30,27.57,,
1991-10-31,27.35,,
1991-11-01,27.24,,
1991-11-04,27.13,,
1991-11-05,27.02,,
1991-11-06,27.35,,
1991-11-07,27.67,,
1991-11-08,26.91,,
1991-11-11,26.69,,
1991-11-12,27.24,,
1991-11-13,27.35,,
1991-11-14,27.46,,
1991-11-15,27.02,,
1991-11-18,26.91,,
1991-11-19,26.48,,
1991-11-20,26.8,,
1991-11-21,27.24,,
1991-11-22,27.13,,
1991-11-25,27.24,,
1991-11-26,27.02,,
1991-11-27,27.35,,
1991-11-29,27.13,,
1991-12-02,28.0,,
1991-12-03,28.22,,
1991-12-04,28.0,,
1991-12-05,28.11,,
1991-12-06,28.55,,
1991-12-09,28.22,,
1991-12-10,28.33,,
1991-12-11,28.66,,
1991-12-12,28.98,,
1991-12-13,28.44,,
1991-12-16,28.11,,
1991-12-17,27.67,,
1991-12-18,27.89,,
1991-12-19,28.0,,
1991-12-20,28.55,,
1991-12-23,28.87,,
1991-12-24,28.87,,
1991-12-26,29.09,,
1991-12-27,29.2,,
1991-12-30,30.07,,
1991-12-31,30.51,,
1992-01-02,30.18,,
1992-01-03,30.18,,
1992-01-06,29.75,,
1992-01-07,29.53,,
1992-01-08,29.64,,
1992-01-09,29.42,,
1992-01-10,29.09,,
1992-01-13,28.33,,
1992-01-14,28.76,,
1992-01-15,28.44,,
1992-01-16,27.57,,
1992-01-17,27.78,,
1992-01-20,27.46,,
1992-01-21,28.0,,
1992-01-22,28.87,,
1992-01-23,28.44,,
1992-01-24,29.31,,
1992-01-27,28.98,,
1992-01-28,28.76,,
1992-01-29,28.76,,
1992-01-30,28.55,,
1992-01-31,28.55,,
1992-02-03,28.44,,
1992-02-04,28.33,,
1992-02-05,27.89,,
1992-02-06,28.22,,
1992-02-07,28.0,,
1992-02-10,27.57,,
1992-02-11,28.0,,
1992-02-12,28.11,,
1992-02-13,27.78,,
1992-02-14,27.67,,
1992-02-18,27.89,,
1992-02-19,27.89,,
1992-02-20,28.22,,
1992-02-21,27.46,,
1992-02-24,27.78,,
1992-02-25,28.0,,
1992-02-26,28.0,,
1992-02-27,27.67,,
1992-02-28,27.78,,
1992-03-02,27.78,,
1992-03-03,28.11,,
1992-03-04,28.0,,
1992-03-05,27.78,,
1992-03-06,27.57,,
1992-03-09,28.0,,
1992-03-10,28.0,,
1992-03-11,27.67,,
1992-03-12,27.67,,
1992-03-13,27.78,,
1992-03-16,27.89,,
1992-03-17,27.89,,
1992-03-18,28.22,,
1992-03-19,28.11,,
1992-03-20,28.22,,
1992-03-23,28.11,,
1992-03-24,28.11,,
1992-03-25,27.89,,
1992-03-26,27.89,,
1992-03-27,27.57,,
1992-03-30,27.67,,
1992-03-31,27.89,,
1992-04-01,28.22,,
1992-04-02,28.0,,
1992-04-03,28.11,,
1992-04-06,28.33,,
1992-04-07,28.22,,
1992-04-08,28.22,,
1992-04-09,28.55,,
1992-04-10,28.44,,
1992-04-13,28.55,,
1992-04-14,28.98,,
1992-04-15,29.64,,
1992-04-16,29.53,,
1992-04-20,28.98,,
1992-04-21,28.98,,
1992-04-22,29.2,,
1992-04-23,29.2,,
1992-04-24,28.98,,
1992-04-27,28.98,,
1992-04-28,29.42,,
1992-04-29,29.53,,
1992-04-30,29.53,,
1992-05-01,29.42,,
1992-05-04,29.64,,
