date,LRCX,LRCX_EPS,PE Ratio
1984-05-04,2.22,,
1984-05-07,2.19,,
1984-05-08,2.19,,
1984-05-09,2.19,,
1984-05-10,2.14,,
1984-05-11,2.11,,
1984-05-14,2.11,,
1984-05-15,2.17,,
1984-05-16,2.17,,
1984-05-17,2.17,,
1984-05-18,1.89,,
1984-05-21,1.89,,
1984-05-22,1.89,,
1984-05-23,1.92,,
1984-05-24,1.92,,
1984-05-25,1.92,,
1984-05-29,1.92,,
1984-05-30,1.92,,
1984-05-31,1.92,,
1984-06-01,1.97,,
1984-06-04,2.0,,
1984-06-05,2.03,,
1984-06-06,2.03,,
1984-06-07,2.08,,
1984-06-08,2.08,,
1984-06-11,2.08,,
1984-06-12,2.11,,
1984-06-13,2.11,,
1984-06-14,2.11,,
1984-06-15,2.11,,
1984-06-18,2.11,,
1984-06-19,2.14,,
1984-06-20,2.14,,
1984-06-21,2.14,,
1984-06-22,2.14,,
1984-06-25,2.11,,
1984-06-26,2.06,,
1984-06-27,2.06,,
1984-06-28,2.0,,
1984-06-29,2.0,,
1984-07-02,2.0,,
1984-07-03,1.89,,
1984-07-05,1.89,,
1984-07-06,1.89,,
1984-07-09,1.83,,
1984-07-10,1.83,,
1984-07-11,1.86,,
1984-07-12,1.86,,
1984-07-13,1.86,,
1984-07-16,1.86,,
1984-07-17,1.86,,
1984-07-18,1.89,,
1984-07-19,1.92,,
1984-07-20,1.92,,
1984-07-23,1.92,,
1984-07-24,1.92,,
1984-07-25,1.92,,
1984-07-26,1.92,,
1984-07-27,1.92,,
1984-07-30,1.89,,
1984-07-31,1.89,,
1984-08-01,1.89,,
1984-08-02,1.92,,
1984-08-03,2.03,,
1984-08-06,2.14,,
1984-08-07,2.11,,
1984-08-08,2.11,,
1984-08-09,2.11,,
1984-08-10,2.11,,
1984-08-13,2.17,,
1984-08-14,2.17,,
1984-08-15,2.17,,
1984-08-16,2.17,,
1984-08-17,2.17,,
1984-08-20,2.17,,
1984-08-21,2.17,,
1984-08-22,2.28,,
1984-08-23,2.22,,
1984-08-24,2.22,,
1984-08-27,2.17,,
1984-08-28,2.17,,
1984-08-29,2.17,,
1984-08-30,2.19,,
1984-08-31,2.19,,
1984-09-04,2.22,,
1984-09-05,2.22,,
1984-09-06,2.22,,
1984-09-07,2.36,,
1984-09-10,2.36,,
1984-09-11,2.42,,
1984-09-12,2.44,,
1984-09-13,2.53,,
1984-09-14,2.58,,
1984-09-17,2.64,,
1984-09-18,2.64,,
1984-09-19,2.64,,
1984-09-20,2.39,,
1984-09-21,2.39,,
1984-09-24,2.39,,
1984-09-25,2.22,,
1984-09-26,2.19,,
1984-09-27,2.14,,
1984-09-28,2.0,,
1984-10-01,1.94,,
1984-10-02,1.89,,
1984-10-03,1.89,,
1984-10-04,1.86,,
1984-10-05,1.86,,
1984-10-08,1.86,,
1984-10-09,1.86,,
1984-10-10,1.86,,
1984-10-11,1.86,,
1984-10-12,1.86,,
1984-10-15,1.78,,
1984-10-16,1.72,,
1984-10-17,1.67,,
1984-10-18,1.67,,
1984-10-19,1.67,,
1984-10-22,1.67,,
1984-10-23,1.67,,
1984-10-24,1.67,,
1984-10-25,1.67,,
1984-10-26,1.67,,
1984-10-29,1.67,,
1984-10-30,1.78,,
1984-10-31,1.81,,
1984-11-01,1.83,,
1984-11-02,1.83,,
1984-11-05,1.92,,
1984-11-06,1.89,,
1984-11-07,1.89,,
1984-11-08,1.89,,
1984-11-09,1.89,,
1984-11-12,1.92,,
1984-11-13,1.94,,
1984-11-14,1.94,,
1984-11-15,1.94,,
1984-11-16,1.94,,
1984-11-19,1.94,,
1984-11-20,1.92,,
1984-11-21,1.81,,
1984-11-23,1.81,,
1984-11-26,1.81,,
1984-11-27,1.81,,
1984-11-28,1.83,,
1984-11-29,1.83,,
1984-11-30,1.83,,
1984-12-03,1.83,,
1984-12-04,1.83,,
1984-12-05,1.83,,
