date,AZO,AZO_EPS,PE Ratio
1991-04-02,7.34,,
1991-04-03,7.31,,
1991-04-04,7.22,,
1991-04-05,7.13,,
1991-04-08,7.13,,
1991-04-09,7.19,,
1991-04-10,7.5,,
1991-04-11,8.06,,
1991-04-12,8.16,,
1991-04-15,8.0,,
1991-04-16,8.09,,
1991-04-17,7.94,,
1991-04-18,8.0,,
1991-04-19,8.03,,
1991-04-22,7.59,,
1991-04-23,7.81,,
1991-04-24,8.03,,
1991-04-25,8.06,,
1991-04-26,8.0,,
1991-04-29,8.19,,
1991-04-30,8.06,,
1991-05-01,8.19,,
1991-05-02,8.25,,
1991-05-03,8.25,,
1991-05-06,8.16,,
1991-05-07,8.03,,
1991-05-08,8.0,,
1991-05-09,8.06,,
1991-05-10,7.94,,
1991-05-13,7.78,,
1991-05-14,7.5,,
1991-05-15,7.66,,
1991-05-16,7.75,,
1991-05-17,7.47,,
1991-05-20,7.69,,
1991-05-21,7.75,,
1991-05-22,7.88,,
1991-05-23,7.72,,
1991-05-24,7.81,,
1991-05-28,7.75,,
1991-05-29,7.63,,
1991-05-30,7.56,,
1991-05-31,7.53,,
1991-06-03,7.69,,
1991-06-04,7.84,,
1991-06-05,8.16,,
1991-06-06,8.16,,
1991-06-07,8.19,,
1991-06-10,8.34,,
1991-06-11,8.41,,
1991-06-12,8.03,,
1991-06-13,7.94,,
1991-06-14,8.38,,
1991-06-17,8.66,,
1991-06-18,8.66,,
1991-06-19,8.38,,
1991-06-20,8.25,,
1991-06-21,8.31,,
1991-06-24,8.16,,
1991-06-25,7.97,,
1991-06-26,7.97,,
1991-06-27,8.38,,
1991-06-28,8.47,,
1991-07-01,9.06,,
1991-07-02,9.28,,
1991-07-03,9.28,,
1991-07-05,9.63,,
1991-07-08,9.91,,
1991-07-09,10.19,,
1991-07-10,10.06,,
1991-07-11,9.63,,
1991-07-12,9.63,,
1991-07-15,10.0,,
1991-07-16,9.94,,
1991-07-17,9.97,,
1991-07-18,10.09,,
1991-07-19,10.0,,
1991-07-22,9.75,,
1991-07-23,9.75,,
1991-07-24,9.66,,
1991-07-25,9.75,,
1991-07-26,9.72,,
1991-07-29,9.72,,
1991-07-30,9.75,,
1991-07-31,9.44,,
1991-08-01,9.44,,
1991-08-02,9.56,,
1991-08-05,9.56,,
1991-08-06,9.56,,
1991-08-07,9.72,,
1991-08-08,9.81,,
1991-08-09,9.81,,
1991-08-12,9.78,,
1991-08-13,9.84,,
1991-08-14,9.84,,
1991-08-15,9.66,,
1991-08-16,9.47,,
1991-08-19,9.13,,
1991-08-20,9.22,,
