date,CAH,CAH_EPS,PE Ratio
1989-09-19,3.13,,
1989-09-20,3.09,,
1989-09-21,3.09,,
1989-09-22,3.06,,
1989-09-25,3.09,,
1989-09-26,3.06,,
1989-09-27,3.13,,
1989-09-28,3.19,,
1989-09-29,3.17,,
1989-10-02,3.22,,
1989-10-03,3.38,,
1989-10-04,3.38,,
1989-10-05,3.38,,
1989-10-06,3.36,,
1989-10-09,3.38,,
1989-10-10,3.41,,
1989-10-11,3.41,,
1989-10-12,3.3,,
1989-10-13,3.22,,
1989-10-16,3.19,,
1989-10-17,3.19,,
1989-10-18,3.22,,
1989-10-19,3.26,,
1989-10-20,3.19,,
1989-10-23,3.26,,
1989-10-24,3.13,,
1989-10-25,3.19,,
1989-10-26,3.11,,
1989-10-27,3.11,,
1989-10-30,3.19,,
1989-10-31,3.19,,
1989-11-01,3.19,,
1989-11-02,3.19,,
1989-11-03,3.17,,
1989-11-06,3.07,,
1989-11-07,3.11,,
1989-11-08,3.11,,
1989-11-09,3.15,,
1989-11-10,3.15,,
1989-11-13,3.19,,
1989-11-14,3.17,,
1989-11-15,3.15,,
1989-11-16,3.19,,
1989-11-17,3.19,,
1989-11-20,3.26,,
1989-11-21,3.19,,
1989-11-22,3.24,,
1989-11-24,3.24,,
1989-11-27,3.34,,
1989-11-28,3.34,,
1989-11-29,3.38,,
1989-11-30,3.43,,
1989-12-01,3.53,,
1989-12-04,3.53,,
1989-12-05,3.53,,
1989-12-06,3.53,,
1989-12-07,3.57,,
1989-12-08,3.64,,
1989-12-11,3.57,,
1989-12-12,3.64,,
1989-12-13,3.6,,
1989-12-14,3.64,,
1989-12-15,3.64,,
1989-12-18,3.53,,
1989-12-19,3.53,,
1989-12-20,3.57,,
1989-12-21,3.6,,
1989-12-22,3.6,,
1989-12-26,3.6,,
1989-12-27,3.64,,
1989-12-28,3.64,,
1989-12-29,3.72,,
1990-01-02,3.68,,
1990-01-03,3.72,,
1990-01-04,3.72,,
1990-01-05,3.79,,
1990-01-08,3.72,,
1990-01-09,3.68,,
1990-01-10,3.64,,
1990-01-11,3.64,,
1990-01-12,3.68,,
1990-01-15,3.49,,
1990-01-16,3.45,,
1990-01-17,3.34,,
1990-01-18,3.19,,
1990-01-19,3.22,,
1990-01-22,3.03,,
1990-01-23,3.11,,
1990-01-24,3.07,,
1990-01-25,3.09,,
1990-01-26,3.0,,
1990-01-29,3.03,,
1990-01-30,3.03,,
1990-01-31,3.07,,
1990-02-01,3.15,,
1990-02-02,3.19,,
1990-02-05,3.15,,
1990-02-06,3.19,,
1990-02-07,3.26,,
1990-02-08,3.26,,
1990-02-09,3.34,,
1990-02-12,3.34,,
1990-02-13,3.26,,
1990-02-14,3.34,,
1990-02-15,3.28,,
1990-02-16,3.26,,
1990-02-20,3.3,,
1990-02-21,3.26,,
1990-02-22,3.26,,
1990-02-23,3.3,,
1990-02-26,3.19,,
1990-02-27,3.22,,
1990-02-28,3.22,,
1990-03-01,3.22,,
1990-03-02,3.3,,
1990-03-05,3.3,,
1990-03-06,3.34,,
1990-03-07,3.3,,
1990-03-08,3.34,,
1990-03-09,3.3,,
1990-03-12,3.26,,
1990-03-13,3.15,,
1990-03-14,3.22,,
1990-03-15,3.22,,
1990-03-16,3.3,,
1990-03-19,3.22,,
1990-03-20,3.28,,
1990-03-21,3.34,,
1990-03-22,3.22,,
1990-03-23,3.22,,
1990-03-26,3.22,,
1990-03-27,3.34,,
1990-03-28,3.3,,
1990-03-29,3.22,,
1990-03-30,3.26,,
1990-04-02,3.38,,
1990-04-03,3.32,,
1990-04-04,3.38,,
1990-04-05,3.38,,
1990-04-06,3.34,,
1990-04-09,3.41,,
1990-04-10,3.47,,
1990-04-11,3.57,,
