date,LEN,LEN_EPS,PE Ratio
1980-03-17,1.21,,
1980-03-18,1.24,,
1980-03-19,1.23,,
1980-03-20,1.23,,
1980-03-21,1.23,,
1980-03-24,1.18,,
1980-03-25,1.22,,
1980-03-26,1.3,,
1980-03-27,1.19,,
1980-03-28,1.29,,
1980-03-31,1.3,,
1980-04-01,1.3,,
1980-04-02,1.33,,
1980-04-03,1.33,,
1980-04-07,1.33,,
1980-04-08,1.34,,
1980-04-09,1.41,,
1980-04-10,1.45,,
1980-04-11,1.42,,
1980-04-14,1.39,,
1980-04-15,1.36,,
1980-04-16,1.35,,
1980-04-17,1.39,,
1980-04-18,1.39,,
1980-04-21,1.35,,
1980-04-22,1.5,,
1980-04-23,1.54,,
1980-04-24,1.57,,
1980-04-25,1.52,,
1980-04-28,1.53,,
1980-04-29,1.56,,
1980-04-30,1.55,,
1980-05-01,1.56,,
1980-05-02,1.53,,
1980-05-05,1.52,,
1980-05-06,1.51,,
1980-05-07,1.64,,
1980-05-08,1.69,,
1980-05-09,1.66,,
1980-05-12,1.66,,
1980-05-13,1.72,,
1980-05-14,1.76,,
1980-05-15,1.8,,
1980-05-16,1.81,,
1980-05-19,1.77,,
1980-05-20,1.71,,
1980-05-21,1.68,,
1980-05-22,1.76,,
1980-05-23,1.79,,
1980-05-27,1.87,,
1980-05-28,1.95,,
1980-05-29,1.87,,
1980-05-30,1.97,,
1980-06-02,1.97,,
1980-06-03,1.96,,
1980-06-04,1.88,,
1980-06-05,1.88,,
1980-06-06,1.86,,
1980-06-09,1.84,,
1980-06-10,1.79,,
1980-06-11,1.85,,
1980-06-12,1.86,,
1980-06-13,2.01,,
1980-06-16,2.06,,
1980-06-17,1.98,,
1980-06-18,1.99,,
1980-06-19,1.99,,
1980-06-20,2.02,,
1980-06-23,2.04,,
1980-06-24,2.05,,
1980-06-25,2.11,,
1980-06-26,2.17,,
1980-06-27,2.14,,
1980-06-30,2.13,,
1980-07-01,2.34,,
1980-07-02,2.27,,
1980-07-03,2.27,,
1980-07-07,2.34,,
1980-07-08,2.28,,
1980-07-09,2.31,,
1980-07-10,2.28,,
1980-07-11,2.3,,
1980-07-14,2.34,,
1980-07-15,2.35,,
1980-07-16,2.35,,
1980-07-17,2.54,,
1980-07-18,2.6,,
1980-07-21,2.76,,
1980-07-22,2.68,,
1980-07-23,2.7,,
1980-07-24,2.64,,
1980-07-25,2.58,,
1980-07-28,2.63,,
1980-07-29,2.64,,
1980-07-30,2.65,,
1980-07-31,2.66,,
1980-08-01,2.68,,
1980-08-04,2.6,,
1980-08-05,2.49,,
1980-08-06,2.6,,
1980-08-07,2.67,,
1980-08-08,2.66,,
1980-08-11,2.75,,
1980-08-12,2.69,,
1980-08-13,2.76,,
1980-08-14,2.75,,
1980-08-15,2.62,,
1980-08-18,2.56,,
1980-08-19,2.45,,
1980-08-20,2.46,,
1980-08-21,2.46,,
1980-08-22,2.48,,
1980-08-25,2.47,,
1980-08-26,2.45,,
1980-08-27,2.36,,
1980-08-28,2.34,,
1980-08-29,2.4,,
1980-09-02,2.39,,
1980-09-03,2.51,,
1980-09-04,2.52,,
1980-09-05,2.53,,
1980-09-08,2.43,,
1980-09-09,2.4,,
1980-09-10,2.46,,
1980-09-11,2.45,,
1980-09-12,2.42,,
1980-09-15,2.42,,
1980-09-16,2.41,,
1980-09-17,2.46,,
1980-09-18,2.47,,
1980-09-19,2.53,,
1980-09-22,2.52,,
1980-09-23,2.48,,
1980-09-24,2.42,,
1980-09-25,2.33,,
1980-09-26,2.21,,
1980-09-29,2.12,,
1980-09-30,2.23,,
1980-10-01,2.27,,
1980-10-02,2.38,,
1980-10-03,2.64,,
1980-10-06,2.78,,
1980-10-07,2.75,,
1980-10-08,2.84,,
1980-10-09,2.77,,
1980-10-10,2.77,,
1980-10-13,2.76,,
1980-10-14,2.75,,
1980-10-15,2.78,,
1980-10-16,2.71,,
1980-10-17,2.66,,
1980-10-20,2.77,,
1980-10-21,2.73,,
1980-10-22,2.76,,
1980-10-23,2.72,,
1980-10-24,2.77,,
1980-10-27,2.7,,
1980-10-28,2.66,,
1980-10-29,2.62,,
1980-10-30,2.54,,
1980-10-31,2.66,,
1980-11-03,2.93,,
1980-11-05,3.13,,
1980-11-06,2.99,,
1980-11-07,2.91,,
1980-11-10,2.87,,
1980-11-11,3.07,,
1980-11-12,3.26,,
1980-11-13,3.38,,
1980-11-14,3.3,,
1980-11-17,3.22,,
1980-11-18,3.28,,
1980-11-19,3.32,,
1980-11-20,3.26,,
1980-11-21,3.22,,
1980-11-24,3.11,,
1980-11-25,3.11,,
1980-11-26,3.2,,
1980-11-28,3.18,,
1980-12-01,3.13,,
1980-12-02,3.11,,
1980-12-03,3.18,,
1980-12-04,3.18,,
1980-12-05,3.07,,
1980-12-08,2.85,,
1980-12-09,2.79,,
1980-12-10,2.81,,
1980-12-11,2.77,,
1980-12-12,2.95,,
1980-12-15,3.03,,
1980-12-16,2.99,,
1980-12-17,3.03,,
1980-12-18,3.42,,
1980-12-19,3.52,,
1980-12-22,3.77,,
1980-12-23,3.71,,
1980-12-24,3.63,,
1980-12-26,3.58,,
1980-12-29,3.48,,
1980-12-30,3.52,,
1980-12-31,3.63,,
1981-01-02,3.65,,
1981-01-05,3.75,,
1981-01-06,3.73,,
1981-01-07,3.46,,
1981-01-08,3.36,,
1981-01-09,3.3,,
1981-01-12,3.38,,
1981-01-13,3.38,,
1981-01-14,3.42,,
1981-01-15,3.46,,
1981-01-16,3.44,,
1981-01-19,3.56,,
1981-01-20,3.61,,
1981-01-21,3.58,,
1981-01-22,3.61,,
1981-01-23,3.71,,
1981-01-26,3.58,,
1981-01-27,3.56,,
1981-01-28,3.61,,
1981-01-29,3.67,,
1981-01-30,3.63,,
1981-02-02,3.32,,
1981-02-03,3.36,,
1981-02-04,3.46,,
1981-02-05,3.42,,
1981-02-06,3.56,,
1981-02-09,3.54,,
1981-02-10,3.56,,
1981-02-11,3.61,,
1981-02-12,3.52,,
1981-02-13,3.36,,
1981-02-17,3.34,,
1981-02-18,3.3,,
1981-02-19,3.2,,
1981-02-20,3.2,,
1981-02-23,3.24,,
1981-02-24,3.22,,
1981-02-25,3.24,,
1981-02-26,3.22,,
1981-02-27,3.4,,
1981-03-02,3.34,,
1981-03-03,3.26,,
1981-03-04,3.2,,
1981-03-05,3.2,,
1981-03-06,3.24,,
1981-03-09,3.28,,
1981-03-10,3.56,,
1981-03-11,3.61,,
1981-03-12,3.73,,
1981-03-13,3.71,,
1981-03-16,3.89,,
1981-03-17,4.04,,
1981-03-18,4.32,,
1981-03-19,4.2,,
1981-03-20,4.2,,
1981-03-23,4.3,,
1981-03-24,4.06,,
1981-03-25,4.1,,
1981-03-26,3.93,,
1981-03-27,3.73,,
1981-03-30,3.89,,
1981-03-31,3.93,,
1981-04-01,3.93,,
1981-04-02,3.95,,
1981-04-03,3.87,,
1981-04-06,3.73,,
1981-04-07,3.73,,
1981-04-08,3.69,,
1981-04-09,3.61,,
1981-04-10,3.69,,
1981-04-13,3.69,,
1981-04-14,3.58,,
1981-04-15,3.56,,
1981-04-16,3.52,,
1981-04-20,3.48,,
1981-04-21,3.36,,
1981-04-22,3.26,,
1981-04-23,3.2,,
1981-04-24,3.36,,
1981-04-27,3.4,,
1981-04-28,3.36,,
1981-04-29,3.28,,
