date,VTR,VTR_EPS,PE Ratio
1997-05-05,24.48,,
1997-05-06,24.55,,
1997-05-07,22.77,,
1997-05-08,21.55,,
1997-05-09,21.55,,
1997-05-12,21.55,,
1997-05-13,21.41,,
1997-05-14,21.84,,
1997-05-15,22.41,,
1997-05-16,22.13,,
1997-05-19,22.41,,
1997-05-20,22.7,,
1997-05-21,22.84,,
1997-05-22,22.84,,
1997-05-23,22.98,,
1997-05-27,23.12,,
1997-05-28,23.2,,
1997-05-29,23.12,,
1997-05-30,23.27,,
1997-06-02,23.98,,
1997-06-03,24.27,,
1997-06-04,23.98,,
1997-06-05,24.41,,
1997-06-06,24.62,,
1997-06-09,24.98,,
1997-06-10,24.98,,
1997-06-11,24.27,,
1997-06-12,23.98,,
1997-06-13,24.12,,
1997-06-16,23.84,,
1997-06-17,23.84,,
1997-06-18,23.91,,
1997-06-19,24.98,,
1997-06-20,24.98,,
1997-06-23,25.27,,
1997-06-24,24.77,,
1997-06-25,24.55,,
1997-06-26,24.48,,
1997-06-27,24.12,,
1997-06-30,24.12,,
1997-07-01,24.98,,
1997-07-02,24.55,,
1997-07-03,24.34,,
1997-07-07,24.41,,
1997-07-08,23.98,,
1997-07-09,23.7,,
1997-07-10,24.34,,
1997-07-11,24.27,,
1997-07-14,24.16,,
1997-07-15,24.27,,
1997-07-16,24.09,,
1997-07-17,23.87,,
1997-07-18,23.45,,
1997-07-21,22.7,,
1997-07-22,22.98,,
1997-07-23,24.55,,
1997-07-24,24.05,,
1997-07-25,24.05,,
1997-07-28,23.62,,
1997-07-29,22.98,,
1997-07-30,23.55,,
1997-07-31,22.98,,
1997-08-01,22.55,,
1997-08-04,22.34,,
1997-08-05,22.34,,
1997-08-06,22.62,,
1997-08-07,22.13,,
1997-08-08,22.48,,
1997-08-11,22.55,,
1997-08-12,22.2,,
1997-08-13,22.05,,
1997-08-14,22.13,,
1997-08-15,21.98,,
1997-08-18,21.77,,
1997-08-19,21.98,,
1997-08-20,22.84,,
1997-08-21,22.55,,
1997-08-22,22.62,,
1997-08-25,22.91,,
1997-08-26,22.84,,
1997-08-27,22.91,,
1997-08-28,22.91,,
1997-08-29,22.91,,
1997-09-02,23.62,,
1997-09-03,23.84,,
1997-09-04,23.62,,
1997-09-05,23.98,,
1997-09-08,23.98,,
1997-09-09,24.12,,
1997-09-10,24.23,,
1997-09-11,24.05,,
1997-09-12,24.55,,
1997-09-15,24.62,,
1997-09-16,24.73,,
1997-09-17,25.3,,
1997-09-18,24.44,,
1997-09-19,25.09,,
1997-09-22,25.19,,
1997-09-23,24.34,,
1997-09-24,23.23,,
1997-09-25,22.27,,
1997-09-26,22.41,,
1997-09-29,23.2,,
1997-09-30,23.55,,
1997-10-01,23.59,,
1997-10-02,23.52,,
1997-10-03,23.59,,
1997-10-06,23.62,,
