date,close price,PEG_SHE,PEG_TA,PEG_TL,market cap,PB Ratio
1980-01-02,6.38,,,,,
1980-01-03,6.42,,,,,
1980-01-04,6.46,,,,,
1980-01-07,6.46,,,,,
1980-01-08,6.42,,,,,
1980-01-09,6.38,,,,,
1980-01-10,6.38,,,,,
1980-01-11,6.33,,,,,
1980-01-14,6.33,,,,,
1980-01-15,6.33,,,,,
1980-01-16,6.38,,,,,
1980-01-17,6.33,,,,,
1980-01-18,6.21,,,,,
1980-01-21,6.04,,,,,
1980-01-22,6.08,,,,,
1980-01-23,6.08,,,,,
1980-01-24,6.04,,,,,
1980-01-25,6.0,,,,,
1980-01-28,6.0,,,,,
1980-01-29,6.08,,,,,
1980-01-30,5.92,,,,,
1980-01-31,5.96,,,,,
1980-02-01,5.96,,,,,
1980-02-04,6.04,,,,,
1980-02-05,5.92,,,,,
1980-02-06,5.96,,,,,
1980-02-07,5.96,,,,,
1980-02-08,6.0,,,,,
1980-02-11,5.88,,,,,
1980-02-12,5.67,,,,,
1980-02-13,5.71,,,,,
1980-02-14,5.71,,,,,
1980-02-15,5.67,,,,,
1980-02-19,5.5,,,,,
1980-02-20,5.5,,,,,
1980-02-21,5.54,,,,,
1980-02-22,5.54,,,,,
1980-02-25,5.38,,,,,
1980-02-26,5.38,,,,,
1980-02-27,5.33,,,,,
1980-02-28,5.29,,,,,
1980-02-29,5.67,,,,,
1980-03-03,5.54,,,,,
1980-03-04,5.42,,,,,
1980-03-05,5.29,,,,,
1980-03-06,5.25,,,,,
1980-03-07,5.25,,,,,
1980-03-10,5.46,,,,,
1980-03-11,5.63,,,,,
1980-03-12,5.5,,,,,
1980-03-13,5.42,,,,,
1980-03-14,5.42,,,,,
1980-03-17,5.42,,,,,
1980-03-18,5.42,,,,,
1980-03-19,5.5,,,,,
1980-03-20,5.42,,,,,
1980-03-21,5.5,,,,,
1980-03-24,5.38,,,,,
1980-03-25,5.29,,,,,
1980-03-26,5.33,,,,,
1980-03-27,5.25,,,,,
1980-03-28,5.29,,,,,
1980-03-31,5.54,,,,,
1980-04-01,5.67,,,,,
1980-04-02,5.71,,,,,
1980-04-03,5.83,,,,,
1980-04-07,5.83,,,,,
1980-04-08,5.83,,,,,
1980-04-09,6.0,,,,,
1980-04-10,6.08,,,,,
1980-04-11,6.08,,,,,
1980-04-14,6.0,,,,,
1980-04-15,5.92,,,,,
1980-04-16,6.25,,,,,
1980-04-17,6.29,,,,,
1980-04-18,6.33,,,,,
1980-04-21,6.29,,,,,
1980-04-22,6.46,,,,,
1980-04-23,6.58,,,,,
1980-04-24,6.71,,,,,
1980-04-25,6.63,,,,,
1980-04-28,6.63,,,,,
1980-04-29,6.63,,,,,
1980-04-30,6.67,,,,,
1980-05-01,6.63,,,,,
1980-05-02,6.58,,,,,
1980-05-05,6.63,,,,,
1980-05-06,6.58,,,,,
1980-05-07,6.75,,,,,
1980-05-08,6.83,,,,,
1980-05-09,6.79,,,,,
1980-05-12,6.83,,,,,
1980-05-13,6.88,,,,,
1980-05-14,6.92,,,,,
1980-05-15,6.92,,,,,
1980-05-16,6.92,,,,,
1980-05-19,6.75,,,,,
1980-05-20,6.75,,,,,
1980-05-21,6.71,,,,,
1980-05-22,6.71,,,,,
1980-05-23,6.67,,,,,
1980-05-27,6.54,,,,,
1980-05-28,6.67,,,,,
1980-05-29,6.67,,,,,
1980-05-30,6.71,,,,,
1980-06-02,6.67,,,,,
1980-06-03,6.63,,,,,
1980-06-04,6.67,,,,,
1980-06-05,6.58,,,,,
1980-06-06,6.58,,,,,
1980-06-09,6.58,,,,,
1980-06-10,6.54,,,,,
1980-06-11,6.63,,,,,
1980-06-12,6.67,,,,,
1980-06-13,6.67,,,,,
1980-06-16,6.79,,,,,
1980-06-17,6.83,,,,,
1980-06-18,6.92,,,,,
1980-06-19,6.79,,,,,
1980-06-20,6.79,,,,,
1980-06-23,6.75,,,,,
1980-06-24,6.75,,,,,
1980-06-25,6.83,,,,,
1980-06-26,6.96,,,,,
1980-06-27,6.96,,,,,
1980-06-30,6.88,,,,,
1980-07-01,6.92,,,,,
1980-07-02,6.83,,,,,
1980-07-03,6.96,,,,,
1980-07-07,6.96,,,,,
1980-07-08,6.92,,,,,
1980-07-09,6.88,,,,,
1980-07-10,6.88,,,,,
1980-07-11,6.88,,,,,
1980-07-14,6.88,,,,,
1980-07-15,6.92,,,,,
1980-07-16,6.96,,,,,
1980-07-17,6.88,,,,,
1980-07-18,6.83,,,,,
1980-07-21,6.79,,,,,
1980-07-22,6.88,,,,,
1980-07-23,6.71,,,,,
1980-07-24,6.75,,,,,
1980-07-25,6.67,,,,,
1980-07-28,6.67,,,,,
1980-07-29,6.71,,,,,
1980-07-30,6.67,,,,,
1980-07-31,6.67,,,,,
1980-08-01,6.58,,,,,
1980-08-04,6.46,,,,,
1980-08-05,6.42,,,,,
1980-08-06,6.38,,,,,
1980-08-07,6.33,,,,,
1980-08-08,6.38,,,,,
1980-08-11,6.42,,,,,
1980-08-12,6.42,,,,,
1980-08-13,6.42,,,,,
1980-08-14,6.46,,,,,
1980-08-15,6.5,,,,,
1980-08-18,6.42,,,,,
1980-08-19,6.5,,,,,
1980-08-20,6.46,,,,,
1980-08-21,6.46,,,,,
1980-08-22,6.5,,,,,
1980-08-25,6.5,,,,,
1980-08-26,6.42,,,,,
1980-08-27,6.42,,,,,
1980-08-28,6.46,,,,,
1980-08-29,6.58,,,,,
1980-09-02,6.38,,,,,
1980-09-03,6.46,,,,,
1980-09-04,6.5,,,,,
1980-09-05,6.42,,,,,
1980-09-08,6.33,,,,,
1980-09-09,6.38,,,,,
1980-09-10,6.33,,,,,
1980-09-11,6.29,,,,,
1980-09-12,6.33,,,,,
1980-09-15,6.29,,,,,
1980-09-16,6.21,,,,,
1980-09-17,6.25,,,,,
1980-09-18,6.33,,,,,
1980-09-19,6.33,,,,,
1980-09-22,6.25,,,,,
1980-09-23,6.21,,,,,
1980-09-24,6.17,,,,,
1980-09-25,6.08,,,,,
1980-09-26,6.08,,,,,
1980-09-29,5.96,,,,,
1980-09-30,6.0,,,,,
1980-10-01,6.0,,,,,
1980-10-02,5.96,,,,,
1980-10-03,5.96,,,,,
1980-10-06,6.08,,,,,
1980-10-07,6.17,,,,,
1980-10-08,6.21,,,,,
1980-10-09,6.17,,,,,
1980-10-10,6.17,,,,,
1980-10-13,6.17,,,,,
1980-10-14,6.17,,,,,
1980-10-15,6.21,,,,,
1980-10-16,6.17,,,,,
1980-10-17,6.17,,,,,
1980-10-20,6.17,,,,,
1980-10-21,6.17,,,,,
1980-10-22,6.08,,,,,
1980-10-23,6.04,,,,,
1980-10-24,6.0,,,,,
1980-10-27,6.04,,,,,
1980-10-28,5.92,,,,,
1980-10-29,5.92,,,,,
1980-10-30,5.75,,,,,
1980-10-31,5.79,,,,,
1980-11-03,5.83,,,,,
1980-11-05,5.83,,,,,
1980-11-06,5.79,,,,,
1980-11-07,5.79,,,,,
1980-11-10,5.79,,,,,
1980-11-11,6.0,,,,,
1980-11-12,6.17,,,,,
1980-11-13,6.0,,,,,
1980-11-14,6.08,,,,,
1980-11-17,6.0,,,,,
1980-11-18,6.04,,,,,
1980-11-19,6.04,,,,,
1980-11-20,5.96,,,,,
1980-11-21,5.92,,,,,
1980-11-24,5.79,,,,,
1980-11-25,5.83,,,,,
1980-11-26,5.83,,,,,
1980-11-28,5.88,,,,,
1980-12-01,5.54,,,,,
1980-12-02,5.58,,,,,
1980-12-03,5.54,,,,,
1980-12-04,5.46,,,,,
1980-12-05,5.5,,,,,
1980-12-08,5.46,,,,,
1980-12-09,5.46,,,,,
1980-12-10,5.5,,,,,
1980-12-11,5.5,,,,,
1980-12-12,5.5,,,,,
1980-12-15,5.42,,,,,
1980-12-16,5.38,,,,,
1980-12-17,5.38,,,,,
1980-12-18,5.67,,,,,
1980-12-19,5.75,,,,,
1980-12-22,5.92,,,,,
1980-12-23,5.92,,,,,
1980-12-24,5.88,,,,,
1980-12-26,5.75,,,,,
1980-12-29,5.75,,,,,
1980-12-30,5.67,,,,,
1980-12-31,5.67,,,,,
1981-01-02,5.71,,,,,
1981-01-05,5.92,,,,,
1981-01-06,6.13,,,,,
1981-01-07,6.13,,,,,
1981-01-08,6.04,,,,,
1981-01-09,5.96,,,,,
1981-01-12,6.17,,,,,
1981-01-13,6.04,,,,,
1981-01-14,6.04,,,,,
1981-01-15,6.04,,,,,
1981-01-16,6.08,,,,,
1981-01-19,6.21,,,,,
1981-01-20,6.21,,,,,
1981-01-21,6.33,,,,,
1981-01-22,6.29,,,,,
1981-01-23,6.25,,,,,
1981-01-26,6.13,,,,,
1981-01-27,6.21,,,,,
1981-01-28,6.25,,,,,
1981-01-29,6.25,,,,,
1981-01-30,6.29,,,,,
1981-02-02,6.25,,,,,
1981-02-03,6.13,,,,,
1981-02-04,6.13,,,,,
1981-02-05,6.13,,,,,
1981-02-06,6.25,,,,,
1981-02-09,6.17,,,,,
1981-02-10,6.17,,,,,
1981-02-11,6.13,,,,,
1981-02-12,6.08,,,,,
1981-02-13,6.04,,,,,
1981-02-17,6.08,,,,,
1981-02-18,6.08,,,,,
1981-02-19,5.96,,,,,
1981-02-20,6.04,,,,,
1981-02-23,6.17,,,,,
1981-02-24,6.21,,,,,
1981-02-25,6.13,,,,,
1981-02-26,6.13,,,,,
1981-02-27,6.17,,,,,
1981-03-02,5.96,,,,,
1981-03-03,5.88,,,,,
1981-03-04,5.88,,,,,
1981-03-05,5.88,,,,,
1981-03-06,5.83,,,,,
1981-03-09,5.88,,,,,
1981-03-10,5.92,,,,,
1981-03-11,6.0,,,,,
1981-03-12,6.04,,,,,
1981-03-13,6.25,,,,,
1981-03-16,6.25,,,,,
1981-03-17,6.21,,,,,
1981-03-18,6.25,,,,,
1981-03-19,6.17,,,,,
1981-03-20,6.08,,,,,
1981-03-23,6.08,,,,,
1981-03-24,6.17,,,,,
1981-03-25,6.21,,,,,
1981-03-26,6.21,,,,,
1981-03-27,6.08,,,,,
1981-03-30,6.0,,,,,
1981-03-31,6.0,,,,,
1981-04-01,6.08,,,,,
1981-04-02,6.17,,,,,
1981-04-03,6.08,,,,,
1981-04-06,6.08,,,,,
1981-04-07,6.0,,,,,
1981-04-08,5.96,,,,,
1981-04-09,5.96,,,,,
1981-04-10,5.92,,,,,
1981-04-13,5.83,,,,,
1981-04-14,5.83,,,,,
1981-04-15,5.83,,,,,
1981-04-16,5.96,,,,,
1981-04-20,6.13,,,,,
1981-04-21,6.13,,,,,
1981-04-22,6.08,,,,,
1981-04-23,5.96,,,,,
1981-04-24,5.92,,,,,
1981-04-27,6.0,,,,,
1981-04-28,5.92,,,,,
1981-04-29,5.92,,,,,
1981-04-30,6.0,,,,,
1981-05-01,5.96,,,,,
1981-05-04,5.75,,,,,
1981-05-05,5.75,,,,,
1981-05-06,5.71,,,,,
1981-05-07,5.71,,,,,
1981-05-08,5.71,,,,,
1981-05-11,5.79,,,,,
1981-05-12,5.88,,,,,
1981-05-13,5.92,,,,,
1981-05-14,6.0,,,,,
1981-05-15,6.04,,,,,
1981-05-18,6.04,,,,,
1981-05-19,5.88,,,,,
1981-05-20,5.92,,,,,
1981-05-21,5.83,,,,,
1981-05-22,5.96,,,,,
1981-05-26,6.17,,,,,
1981-05-27,5.92,,,,,
1981-05-28,6.08,,,,,
1981-05-29,6.13,,,,,
1981-06-01,5.92,,,,,
1981-06-02,5.83,,,,,
1981-06-03,5.83,,,,,
1981-06-04,5.75,,,,,
1981-06-05,5.88,,,,,
1981-06-08,5.83,,,,,
1981-06-09,5.83,,,,,
1981-06-10,5.88,,,,,
1981-06-11,6.04,,,,,
1981-06-12,6.08,,,,,
1981-06-15,6.42,,,,,
1981-06-16,6.38,,,,,
1981-06-17,6.5,,,,,
1981-06-18,6.38,,,,,
1981-06-19,6.38,,,,,
1981-06-22,6.38,,,,,
1981-06-23,6.38,,,,,
1981-06-24,6.38,,,,,
1981-06-25,6.38,,,,,
1981-06-26,6.42,,,,,
1981-06-29,6.17,,,,,
1981-06-30,6.13,,,,,
1981-07-01,6.08,,,,,
1981-07-02,6.04,,,,,
1981-07-06,5.92,,,,,
1981-07-07,6.0,,,,,
1981-07-08,6.0,,,,,
1981-07-09,6.04,,,,,
1981-07-10,6.13,,,,,
1981-07-13,6.21,,,,,
1981-07-14,6.17,,,,,
1981-07-15,6.21,,,,,
1981-07-16,6.13,,,,,
1981-07-17,6.13,,,,,
1981-07-20,6.04,,,,,
1981-07-21,5.92,,,,,
1981-07-22,5.92,,,,,
1981-07-23,5.92,,,,,
1981-07-24,5.92,,,,,
1981-07-27,6.04,,,,,
1981-07-28,6.0,,,,,
1981-07-29,6.0,,,,,
1981-07-30,5.96,,,,,
1981-07-31,6.0,,,,,
1981-08-03,6.04,,,,,
1981-08-04,6.08,,,,,
1981-08-05,6.08,,,,,
1981-08-06,6.13,,,,,
1981-08-07,6.13,,,,,
1981-08-10,6.25,,,,,
1981-08-11,6.38,,,,,
1981-08-12,6.38,,,,,
1981-08-13,6.38,,,,,
1981-08-14,6.33,,,,,
1981-08-17,6.25,,,,,
1981-08-18,6.29,,,,,
1981-08-19,6.29,,,,,
1981-08-20,6.25,,,,,
1981-08-21,6.17,,,,,
1981-08-24,6.13,,,,,
1981-08-25,6.04,,,,,
1981-08-26,6.04,,,,,
1981-08-27,6.04,,,,,
1981-08-28,6.17,,,,,
1981-08-31,6.17,,,,,
1981-09-01,5.92,,,,,
1981-09-02,5.88,,,,,
1981-09-03,5.83,,,,,
1981-09-04,5.67,,,,,
1981-09-08,5.63,,,,,
1981-09-09,5.58,,,,,
1981-09-10,5.79,,,,,
1981-09-11,5.92,,,,,
1981-09-14,5.83,,,,,
1981-09-15,5.83,,,,,
1981-09-16,5.83,,,,,
1981-09-17,5.83,,,,,
1981-09-18,5.79,,,,,
1981-09-21,5.88,,,,,
1981-09-22,5.79,,,,,
1981-09-23,5.83,,,,,
1981-09-24,5.79,,,,,
1981-09-25,5.71,,,,,
1981-09-28,5.63,,,,,
1981-09-29,5.67,,,,,
1981-09-30,5.63,,,,,
1981-10-01,5.58,,,,,
1981-10-02,5.71,,,,,
1981-10-05,5.75,,,,,
1981-10-06,5.67,,,,,
1981-10-07,5.75,,,,,
1981-10-08,5.75,,,,,
1981-10-09,5.75,,,,,
1981-10-12,5.75,,,,,
1981-10-13,5.75,,,,,
1981-10-14,5.71,,,,,
1981-10-15,5.75,,,,,
1981-10-16,5.71,,,,,
1981-10-19,5.75,,,,,
1981-10-20,5.75,,,,,
1981-10-21,5.71,,,,,
1981-10-22,5.67,,,,,
1981-10-23,5.71,,,,,
1981-10-26,5.71,,,,,
1981-10-27,5.75,,,,,
1981-10-28,5.88,,,,,
1981-10-29,5.92,,,,,
1981-10-30,6.21,,,,,
1981-11-02,6.21,,,,,
1981-11-03,6.25,,,,,
1981-11-04,6.33,,,,,
1981-11-05,6.29,,,,,
1981-11-06,6.25,,,,,
1981-11-09,6.42,,,,,
1981-11-10,6.54,,,,,
1981-11-11,6.5,,,,,
1981-11-12,6.63,,,,,
1981-11-13,6.67,,,,,
1981-11-16,6.58,,,,,
1981-11-17,6.54,,,,,
1981-11-18,6.54,,,,,
1981-11-19,6.58,,,,,
1981-11-20,6.63,,,,,
1981-11-23,6.54,,,,,
1981-11-24,6.63,,,,,
1981-11-25,6.58,,,,,
1981-11-27,6.63,,,,,
1981-11-30,6.58,,,,,
1981-12-01,6.38,,,,,
1981-12-02,6.33,,,,,
1981-12-03,6.33,,,,,
1981-12-04,6.33,,,,,
1981-12-07,6.33,,,,,
1981-12-08,6.33,,,,,
1981-12-09,6.29,,,,,
1981-12-10,6.25,,,,,
1981-12-11,6.25,,,,,
1981-12-14,6.04,,,,,
1981-12-15,6.04,,,,,
1981-12-16,5.88,,,,,
1981-12-17,5.92,,,,,
1981-12-18,6.13,,,,,
1981-12-21,6.0,,,,,
1981-12-22,6.04,,,,,
1981-12-23,6.0,,,,,
1981-12-24,5.92,,,,,
1981-12-28,5.88,,,,,
1981-12-29,5.92,,,,,
