date,close price,CHRW_SHE,CHRW_TA,CHRW_TL,market cap,PB Ratio
1998-03-23,5.81,181700000.0,383100000.0,201400000.0,,
1998-03-24,6.0,181700000.0,383100000.0,201400000.0,,
1998-03-25,5.88,181700000.0,383100000.0,201400000.0,,
1998-03-26,5.88,181700000.0,383100000.0,201400000.0,,
1998-03-27,5.95,181700000.0,383100000.0,201400000.0,,
1998-03-30,6.0,181700000.0,383100000.0,201400000.0,,
1998-03-31,6.5,181700000.0,383100000.0,201400000.0,,
1998-04-01,6.19,181700000.0,383100000.0,201400000.0,,
1998-04-02,6.69,181700000.0,383100000.0,201400000.0,,
1998-04-03,6.28,181700000.0,383100000.0,201400000.0,,
1998-04-06,6.33,181700000.0,383100000.0,201400000.0,,
1998-04-07,6.19,181700000.0,383100000.0,201400000.0,,
1998-04-08,6.13,181700000.0,383100000.0,201400000.0,,
1998-04-09,6.0,181700000.0,383100000.0,201400000.0,,
1998-04-13,5.81,181700000.0,383100000.0,201400000.0,,
1998-04-14,5.78,181700000.0,383100000.0,201400000.0,,
1998-04-15,5.75,181700000.0,383100000.0,201400000.0,,
1998-04-16,5.83,181700000.0,383100000.0,201400000.0,,
1998-04-17,5.83,181700000.0,383100000.0,201400000.0,,
1998-04-20,5.81,181700000.0,383100000.0,201400000.0,,
1998-04-21,5.75,181700000.0,383100000.0,201400000.0,,
1998-04-22,5.81,181700000.0,383100000.0,201400000.0,,
1998-04-23,5.78,181700000.0,383100000.0,201400000.0,,
1998-04-24,5.75,181700000.0,383100000.0,201400000.0,,
1998-04-27,5.63,181700000.0,383100000.0,201400000.0,,
1998-04-28,5.59,181700000.0,383100000.0,201400000.0,,
1998-04-29,5.63,181700000.0,383100000.0,201400000.0,,
1998-04-30,5.72,181700000.0,383100000.0,201400000.0,,
1998-05-01,5.73,181700000.0,383100000.0,201400000.0,,
1998-05-04,5.69,181700000.0,383100000.0,201400000.0,,
1998-05-05,5.69,181700000.0,383100000.0,201400000.0,,
1998-05-06,5.72,181700000.0,383100000.0,201400000.0,,
1998-05-07,5.69,181700000.0,383100000.0,201400000.0,,
1998-05-08,5.69,181700000.0,383100000.0,201400000.0,,
1998-05-11,5.65,181700000.0,383100000.0,201400000.0,,
1998-05-12,5.64,181700000.0,383100000.0,201400000.0,,
1998-05-13,5.59,181700000.0,383100000.0,201400000.0,,
1998-05-14,5.53,143900000.0,339400000.0,195500000.0,,
1998-05-15,5.59,143900000.0,339400000.0,195500000.0,,
1998-05-18,5.44,143900000.0,339400000.0,195500000.0,,
1998-05-19,5.53,143900000.0,339400000.0,195500000.0,,
1998-05-20,5.63,143900000.0,339400000.0,195500000.0,,
1998-05-21,5.66,143900000.0,339400000.0,195500000.0,,
1998-05-22,5.69,143900000.0,339400000.0,195500000.0,,
1998-05-26,5.69,143900000.0,339400000.0,195500000.0,,
1998-05-27,5.7,143900000.0,339400000.0,195500000.0,,
1998-05-28,5.72,143900000.0,339400000.0,195500000.0,,
1998-05-29,5.78,143900000.0,339400000.0,195500000.0,,
1998-06-01,5.89,143900000.0,339400000.0,195500000.0,,
1998-06-02,5.97,143900000.0,339400000.0,195500000.0,,
1998-06-03,5.97,143900000.0,339400000.0,195500000.0,,
1998-06-04,5.89,143900000.0,339400000.0,195500000.0,,
1998-06-05,5.81,143900000.0,339400000.0,195500000.0,,
1998-06-08,5.94,143900000.0,339400000.0,195500000.0,,
1998-06-09,5.92,143900000.0,339400000.0,195500000.0,,
1998-06-10,5.72,143900000.0,339400000.0,195500000.0,,
1998-06-11,5.56,143900000.0,339400000.0,195500000.0,,
1998-06-12,5.53,143900000.0,339400000.0,195500000.0,,
1998-06-15,5.5,143900000.0,339400000.0,195500000.0,,
1998-06-16,5.88,143900000.0,339400000.0,195500000.0,,
1998-06-17,5.72,143900000.0,339400000.0,195500000.0,,
1998-06-18,5.77,143900000.0,339400000.0,195500000.0,,
1998-06-19,5.97,143900000.0,339400000.0,195500000.0,,
1998-06-22,6.0,143900000.0,339400000.0,195500000.0,,
1998-06-23,5.98,143900000.0,339400000.0,195500000.0,,
1998-06-24,5.97,143900000.0,339400000.0,195500000.0,,
1998-06-25,5.97,143900000.0,339400000.0,195500000.0,,
1998-06-26,6.11,143900000.0,339400000.0,195500000.0,,
1998-06-29,6.17,143900000.0,339400000.0,195500000.0,,
1998-06-30,6.22,143900000.0,339400000.0,195500000.0,,
1998-07-01,6.23,143900000.0,339400000.0,195500000.0,,
1998-07-02,6.28,143900000.0,339400000.0,195500000.0,,
1998-07-06,6.34,143900000.0,339400000.0,195500000.0,,
1998-07-07,6.45,143900000.0,339400000.0,195500000.0,,
1998-07-08,6.16,143900000.0,339400000.0,195500000.0,,
1998-07-09,6.25,143900000.0,339400000.0,195500000.0,,
1998-07-10,6.09,143900000.0,339400000.0,195500000.0,,
1998-07-13,6.13,143900000.0,339400000.0,195500000.0,,
1998-07-14,6.19,143900000.0,339400000.0,195500000.0,,
1998-07-15,6.27,143900000.0,339400000.0,195500000.0,,
1998-07-16,6.28,143900000.0,339400000.0,195500000.0,,
1998-07-17,6.31,143900000.0,339400000.0,195500000.0,,
1998-07-20,6.34,143900000.0,339400000.0,195500000.0,,
1998-07-21,6.31,143900000.0,339400000.0,195500000.0,,
1998-07-22,6.31,143900000.0,339400000.0,195500000.0,,
1998-07-23,6.31,143900000.0,339400000.0,195500000.0,,
1998-07-24,6.27,143900000.0,339400000.0,195500000.0,,
1998-07-27,5.91,143900000.0,339400000.0,195500000.0,,
1998-07-28,6.03,143900000.0,339400000.0,195500000.0,,
1998-07-29,6.09,143900000.0,339400000.0,195500000.0,,
1998-07-30,6.09,143900000.0,339400000.0,195500000.0,,
1998-07-31,6.16,143900000.0,339400000.0,195500000.0,,
1998-08-03,6.05,143900000.0,339400000.0,195500000.0,,
1998-08-04,5.75,143900000.0,339400000.0,195500000.0,,
1998-08-05,5.94,143900000.0,339400000.0,195500000.0,,
1998-08-06,5.84,143900000.0,339400000.0,195500000.0,,
1998-08-07,5.82,143900000.0,339400000.0,195500000.0,,
1998-08-10,5.53,143900000.0,339400000.0,195500000.0,,
1998-08-11,5.63,143900000.0,339400000.0,195500000.0,,
1998-08-12,5.7,143900000.0,339400000.0,195500000.0,,
1998-08-13,5.56,143900000.0,339400000.0,195500000.0,,
1998-08-14,5.52,152600000.0,398300000.0,245700000.0,,
1998-08-17,5.75,152600000.0,398300000.0,245700000.0,,
1998-08-18,5.98,152600000.0,398300000.0,245700000.0,,
1998-08-19,5.89,152600000.0,398300000.0,245700000.0,,
1998-08-20,6.03,152600000.0,398300000.0,245700000.0,,
1998-08-21,6.06,152600000.0,398300000.0,245700000.0,,
1998-08-24,5.94,152600000.0,398300000.0,245700000.0,,
1998-08-25,6.03,152600000.0,398300000.0,245700000.0,,
1998-08-26,6.03,152600000.0,398300000.0,245700000.0,,
1998-08-27,6.0,152600000.0,398300000.0,245700000.0,,
1998-08-28,5.69,152600000.0,398300000.0,245700000.0,,
1998-08-31,5.0,152600000.0,398300000.0,245700000.0,,
1998-09-01,5.28,152600000.0,398300000.0,245700000.0,,
1998-09-02,5.5,152600000.0,398300000.0,245700000.0,,
1998-09-03,4.97,152600000.0,398300000.0,245700000.0,,
1998-09-04,4.63,152600000.0,398300000.0,245700000.0,,
1998-09-08,5.11,152600000.0,398300000.0,245700000.0,,
1998-09-09,4.75,152600000.0,398300000.0,245700000.0,,
1998-09-10,4.38,152600000.0,398300000.0,245700000.0,,
1998-09-11,4.52,152600000.0,398300000.0,245700000.0,,
1998-09-14,4.47,152600000.0,398300000.0,245700000.0,,
1998-09-15,4.47,152600000.0,398300000.0,245700000.0,,
1998-09-16,4.56,152600000.0,398300000.0,245700000.0,,
1998-09-17,4.5,152600000.0,398300000.0,245700000.0,,
1998-09-18,4.67,152600000.0,398300000.0,245700000.0,,
1998-09-21,4.8,152600000.0,398300000.0,245700000.0,,
1998-09-22,4.98,152600000.0,398300000.0,245700000.0,,
1998-09-23,5.11,152600000.0,398300000.0,245700000.0,,
1998-09-24,5.13,152600000.0,398300000.0,245700000.0,,
1998-09-25,5.06,152600000.0,398300000.0,245700000.0,,
1998-09-28,5.09,152600000.0,398300000.0,245700000.0,,
1998-09-29,5.06,152600000.0,398300000.0,245700000.0,,
1998-09-30,5.03,152600000.0,398300000.0,245700000.0,,
1998-10-01,4.75,152600000.0,398300000.0,245700000.0,,
1998-10-02,4.72,152600000.0,398300000.0,245700000.0,,
1998-10-05,4.34,152600000.0,398300000.0,245700000.0,,
1998-10-06,4.23,152600000.0,398300000.0,245700000.0,,
1998-10-07,4.13,152600000.0,398300000.0,245700000.0,,
1998-10-08,3.69,152600000.0,398300000.0,245700000.0,,
1998-10-09,3.92,152600000.0,398300000.0,245700000.0,,
1998-10-12,4.56,152600000.0,398300000.0,245700000.0,,
1998-10-13,4.52,152600000.0,398300000.0,245700000.0,,
1998-10-14,4.5,152600000.0,398300000.0,245700000.0,,
1998-10-15,5.0,152600000.0,398300000.0,245700000.0,,
1998-10-16,4.75,152600000.0,398300000.0,245700000.0,,
1998-10-19,4.83,152600000.0,398300000.0,245700000.0,,
1998-10-20,5.0,152600000.0,398300000.0,245700000.0,,
1998-10-21,5.25,152600000.0,398300000.0,245700000.0,,
1998-10-22,5.23,152600000.0,398300000.0,245700000.0,,
1998-10-23,5.19,152600000.0,398300000.0,245700000.0,,
1998-10-26,5.3,152600000.0,398300000.0,245700000.0,,
1998-10-27,5.25,152600000.0,398300000.0,245700000.0,,
1998-10-28,5.27,152600000.0,398300000.0,245700000.0,,
1998-10-29,5.34,152600000.0,398300000.0,245700000.0,,
1998-10-30,5.55,152600000.0,398300000.0,245700000.0,,
1998-11-02,5.69,152600000.0,398300000.0,245700000.0,,
1998-11-03,5.7,152600000.0,398300000.0,245700000.0,,
1998-11-04,5.95,152600000.0,398300000.0,245700000.0,,
1998-11-05,5.86,152600000.0,398300000.0,245700000.0,,
1998-11-06,5.92,152600000.0,398300000.0,245700000.0,,
1998-11-09,5.98,152600000.0,398300000.0,245700000.0,,
1998-11-10,6.02,152600000.0,398300000.0,245700000.0,,
1998-11-11,5.99,152600000.0,398300000.0,245700000.0,,
1998-11-12,6.0,152600000.0,398300000.0,245700000.0,,
1998-11-13,5.98,161700000.0,406100000.0,244400000.0,,
1998-11-16,5.58,161700000.0,406100000.0,244400000.0,,
1998-11-17,5.75,161700000.0,406100000.0,244400000.0,,
1998-11-18,5.84,161700000.0,406100000.0,244400000.0,,
1998-11-19,5.83,161700000.0,406100000.0,244400000.0,,
1998-11-20,5.77,161700000.0,406100000.0,244400000.0,,
1998-11-23,5.75,161700000.0,406100000.0,244400000.0,,
1998-11-24,5.66,161700000.0,406100000.0,244400000.0,,
1998-11-25,5.56,161700000.0,406100000.0,244400000.0,,
1998-11-27,5.61,161700000.0,406100000.0,244400000.0,,
1998-11-30,5.64,161700000.0,406100000.0,244400000.0,,
1998-12-01,5.86,161700000.0,406100000.0,244400000.0,,
1998-12-02,5.72,161700000.0,406100000.0,244400000.0,,
1998-12-03,5.91,161700000.0,406100000.0,244400000.0,,
1998-12-04,6.06,161700000.0,406100000.0,244400000.0,,
1998-12-07,5.97,161700000.0,406100000.0,244400000.0,,
1998-12-08,6.06,161700000.0,406100000.0,244400000.0,,
1998-12-09,5.91,161700000.0,406100000.0,244400000.0,,
1998-12-10,5.98,161700000.0,406100000.0,244400000.0,,
1998-12-11,5.94,161700000.0,406100000.0,244400000.0,,
1998-12-14,5.88,161700000.0,406100000.0,244400000.0,,
1998-12-15,5.88,161700000.0,406100000.0,244400000.0,,
1998-12-16,6.06,161700000.0,406100000.0,244400000.0,,
1998-12-17,6.17,161700000.0,406100000.0,244400000.0,,
1998-12-18,6.23,161700000.0,406100000.0,244400000.0,,
1998-12-21,6.25,161700000.0,406100000.0,244400000.0,,
1998-12-22,6.25,161700000.0,406100000.0,244400000.0,,
1998-12-23,6.38,161700000.0,406100000.0,244400000.0,,
1998-12-24,6.34,161700000.0,406100000.0,244400000.0,,
1998-12-28,6.47,161700000.0,406100000.0,244400000.0,,
1998-12-29,6.5,161700000.0,406100000.0,244400000.0,,
1998-12-30,6.42,161700000.0,406100000.0,244400000.0,,
1998-12-31,6.48,161700000.0,406100000.0,244400000.0,,
1999-01-04,6.38,161700000.0,406100000.0,244400000.0,,
1999-01-05,6.44,161700000.0,406100000.0,244400000.0,,
1999-01-06,6.38,161700000.0,406100000.0,244400000.0,,
1999-01-07,6.44,161700000.0,406100000.0,244400000.0,,
1999-01-08,6.25,161700000.0,406100000.0,244400000.0,,
1999-01-11,6.39,161700000.0,406100000.0,244400000.0,,
1999-01-12,6.36,161700000.0,406100000.0,244400000.0,,
1999-01-13,6.5,161700000.0,406100000.0,244400000.0,,
1999-01-14,6.5,161700000.0,406100000.0,244400000.0,,
1999-01-15,6.52,161700000.0,406100000.0,244400000.0,,
1999-01-19,6.48,161700000.0,406100000.0,244400000.0,,
1999-01-20,6.47,161700000.0,406100000.0,244400000.0,,
1999-01-21,6.59,161700000.0,406100000.0,244400000.0,,
1999-01-22,6.59,161700000.0,406100000.0,244400000.0,,
1999-01-25,6.66,161700000.0,406100000.0,244400000.0,,
1999-01-26,6.63,161700000.0,406100000.0,244400000.0,,
1999-01-27,6.69,161700000.0,406100000.0,244400000.0,,
1999-01-28,6.73,161700000.0,406100000.0,244400000.0,,
1999-01-29,6.84,161700000.0,406100000.0,244400000.0,,
1999-02-01,7.05,161700000.0,406100000.0,244400000.0,,
1999-02-02,7.34,161700000.0,406100000.0,244400000.0,,
1999-02-03,7.41,161700000.0,406100000.0,244400000.0,,
1999-02-04,7.25,161700000.0,406100000.0,244400000.0,,
1999-02-05,7.22,161700000.0,406100000.0,244400000.0,,
1999-02-08,7.31,161700000.0,406100000.0,244400000.0,,
1999-02-09,6.84,161700000.0,406100000.0,244400000.0,,
1999-02-10,6.81,161700000.0,406100000.0,244400000.0,,
1999-02-11,6.75,161700000.0,406100000.0,244400000.0,,
1999-02-12,6.3,161700000.0,406100000.0,244400000.0,,
1999-02-16,6.42,161700000.0,406100000.0,244400000.0,,
1999-02-17,6.42,161700000.0,406100000.0,244400000.0,,
1999-02-18,6.34,161700000.0,406100000.0,244400000.0,,
1999-02-19,6.28,161700000.0,406100000.0,244400000.0,,
1999-02-22,6.5,161700000.0,406100000.0,244400000.0,,
1999-02-23,6.44,161700000.0,406100000.0,244400000.0,,
1999-02-24,6.3,161700000.0,406100000.0,244400000.0,,
1999-02-25,6.38,161700000.0,406100000.0,244400000.0,,
1999-02-26,6.56,161700000.0,406100000.0,244400000.0,,
1999-03-01,6.91,161700000.0,406100000.0,244400000.0,,
1999-03-02,6.88,161700000.0,406100000.0,244400000.0,,
1999-03-03,6.88,161700000.0,406100000.0,244400000.0,,
1999-03-04,6.88,161700000.0,406100000.0,244400000.0,,
1999-03-05,6.94,161700000.0,406100000.0,244400000.0,,
1999-03-08,6.88,161700000.0,406100000.0,244400000.0,,
1999-03-09,6.8,161700000.0,406100000.0,244400000.0,,
1999-03-10,6.81,161700000.0,406100000.0,244400000.0,,
1999-03-11,6.78,161700000.0,406100000.0,244400000.0,,
1999-03-12,6.72,161700000.0,406100000.0,244400000.0,,
1999-03-15,6.7,161700000.0,406100000.0,244400000.0,,
1999-03-16,6.47,161700000.0,406100000.0,244400000.0,,
1999-03-17,6.5,161700000.0,406100000.0,244400000.0,,
1999-03-18,6.47,161700000.0,406100000.0,244400000.0,,
1999-03-19,6.44,161700000.0,406100000.0,244400000.0,,
1999-03-22,6.38,161700000.0,406100000.0,244400000.0,,
1999-03-23,6.34,161700000.0,406100000.0,244400000.0,,
1999-03-24,6.36,161700000.0,406100000.0,244400000.0,,
1999-03-25,6.41,161700000.0,406100000.0,244400000.0,,
1999-03-26,6.5,161700000.0,406100000.0,244400000.0,,
1999-03-29,6.68,161700000.0,406100000.0,244400000.0,,
1999-03-30,6.56,161700000.0,406100000.0,244400000.0,,
1999-03-31,6.36,161700000.0,406100000.0,244400000.0,,
1999-04-01,6.44,161700000.0,406100000.0,244400000.0,,
1999-04-05,6.48,161700000.0,406100000.0,244400000.0,,
1999-04-06,6.59,161700000.0,406100000.0,244400000.0,,
1999-04-07,6.52,161700000.0,406100000.0,244400000.0,,
1999-04-08,6.47,161700000.0,406100000.0,244400000.0,,
1999-04-09,6.48,161700000.0,406100000.0,244400000.0,,
1999-04-12,6.48,161700000.0,406100000.0,244400000.0,,
1999-04-13,6.52,161700000.0,406100000.0,244400000.0,,
1999-04-14,6.69,161700000.0,406100000.0,244400000.0,,
1999-04-15,6.75,161700000.0,406100000.0,244400000.0,,
1999-04-16,6.77,161700000.0,406100000.0,244400000.0,,
1999-04-19,6.97,161700000.0,406100000.0,244400000.0,,
1999-04-20,6.84,161700000.0,406100000.0,244400000.0,,
1999-04-21,7.22,161700000.0,406100000.0,244400000.0,,
1999-04-22,7.33,161700000.0,406100000.0,244400000.0,,
1999-04-23,7.22,161700000.0,406100000.0,244400000.0,,
1999-04-26,7.34,161700000.0,406100000.0,244400000.0,,
1999-04-27,7.31,161700000.0,406100000.0,244400000.0,,
1999-04-28,7.25,161700000.0,406100000.0,244400000.0,,
1999-04-29,7.25,161700000.0,406100000.0,244400000.0,,
1999-04-30,7.48,161700000.0,406100000.0,244400000.0,,
1999-05-03,7.64,161700000.0,406100000.0,244400000.0,,
1999-05-04,7.92,161700000.0,406100000.0,244400000.0,,
1999-05-05,7.98,161700000.0,406100000.0,244400000.0,,
1999-05-06,8.13,161700000.0,406100000.0,244400000.0,,
1999-05-07,7.94,161700000.0,406100000.0,244400000.0,,
1999-05-10,8.13,161700000.0,406100000.0,244400000.0,,
1999-05-11,8.17,161700000.0,406100000.0,244400000.0,,
1999-05-12,8.5,161700000.0,406100000.0,244400000.0,,
1999-05-13,8.53,161700000.0,406100000.0,244400000.0,,
1999-05-14,8.13,177400000.0,437500000.0,260100000.0,,
1999-05-17,8.16,177400000.0,437500000.0,260100000.0,,
1999-05-18,7.88,177400000.0,437500000.0,260100000.0,,
1999-05-19,7.84,177400000.0,437500000.0,260100000.0,,
1999-05-20,7.94,177400000.0,437500000.0,260100000.0,,
1999-05-21,8.0,177400000.0,437500000.0,260100000.0,,
1999-05-24,7.69,177400000.0,437500000.0,260100000.0,,
1999-05-25,7.91,177400000.0,437500000.0,260100000.0,,
1999-05-26,8.06,177400000.0,437500000.0,260100000.0,,
1999-05-27,8.03,177400000.0,437500000.0,260100000.0,,
1999-05-28,8.08,177400000.0,437500000.0,260100000.0,,
1999-06-01,8.56,177400000.0,437500000.0,260100000.0,,
1999-06-02,8.73,177400000.0,437500000.0,260100000.0,,
1999-06-03,8.56,177400000.0,437500000.0,260100000.0,,
1999-06-04,8.38,177400000.0,437500000.0,260100000.0,,
1999-06-07,8.27,177400000.0,437500000.0,260100000.0,,
1999-06-08,8.2,177400000.0,437500000.0,260100000.0,,
1999-06-09,7.81,177400000.0,437500000.0,260100000.0,,
1999-06-10,7.88,177400000.0,437500000.0,260100000.0,,
1999-06-11,7.95,177400000.0,437500000.0,260100000.0,,
1999-06-14,7.94,177400000.0,437500000.0,260100000.0,,
1999-06-15,7.97,177400000.0,437500000.0,260100000.0,,
1999-06-16,8.47,177400000.0,437500000.0,260100000.0,,
1999-06-17,8.64,177400000.0,437500000.0,260100000.0,,
1999-06-18,8.86,177400000.0,437500000.0,260100000.0,,
1999-06-21,8.91,177400000.0,437500000.0,260100000.0,,
1999-06-22,8.8,177400000.0,437500000.0,260100000.0,,
1999-06-23,8.94,177400000.0,437500000.0,260100000.0,,
1999-06-24,8.73,177400000.0,437500000.0,260100000.0,,
1999-06-25,8.89,177400000.0,437500000.0,260100000.0,,
1999-06-28,9.17,177400000.0,437500000.0,260100000.0,,
1999-06-29,9.16,177400000.0,437500000.0,260100000.0,,
1999-06-30,9.19,177400000.0,437500000.0,260100000.0,,
1999-07-01,9.13,177400000.0,437500000.0,260100000.0,,
1999-07-02,9.34,177400000.0,437500000.0,260100000.0,,
1999-07-06,9.22,177400000.0,437500000.0,260100000.0,,
1999-07-07,8.44,177400000.0,437500000.0,260100000.0,,
1999-07-08,8.77,177400000.0,437500000.0,260100000.0,,
1999-07-09,8.78,177400000.0,437500000.0,260100000.0,,
1999-07-12,8.8,177400000.0,437500000.0,260100000.0,,
1999-07-13,8.72,177400000.0,437500000.0,260100000.0,,
1999-07-14,8.56,177400000.0,437500000.0,260100000.0,,
1999-07-15,8.64,177400000.0,437500000.0,260100000.0,,
1999-07-16,8.61,177400000.0,437500000.0,260100000.0,,
1999-07-19,8.78,177400000.0,437500000.0,260100000.0,,
1999-07-20,9.09,177400000.0,437500000.0,260100000.0,,
1999-07-21,9.03,177400000.0,437500000.0,260100000.0,,
1999-07-22,8.81,177400000.0,437500000.0,260100000.0,,
1999-07-23,8.78,177400000.0,437500000.0,260100000.0,,
1999-07-26,8.95,177400000.0,437500000.0,260100000.0,,
1999-07-27,8.97,177400000.0,437500000.0,260100000.0,,
1999-07-28,8.78,177400000.0,437500000.0,260100000.0,,
