date,close price,MMM_SHE,MMM_TA,MMM_TL,market cap,PB Ratio
1970-01-02,6.85,,,,,
1970-01-05,6.89,,,,,
1970-01-06,6.96,,,,,
1970-01-07,7.0,,,,,
1970-01-08,7.09,,,,,
1970-01-09,7.08,,,,,
1970-01-12,7.09,,,,,
1970-01-13,7.06,,,,,
1970-01-14,7.14,,,,,
1970-01-15,7.0,,,,,
1970-01-16,6.95,,,,,
1970-01-19,6.81,,,,,
1970-01-20,6.87,,,,,
1970-01-21,6.85,,,,,
1970-01-22,6.89,,,,,
1970-01-23,6.82,,,,,
1970-01-26,6.79,,,,,
1970-01-27,6.58,,,,,
1970-01-28,6.54,,,,,
1970-01-29,6.44,,,,,
1970-01-30,6.27,,,,,
1970-02-02,6.27,,,,,
1970-02-03,6.44,,,,,
1970-02-04,6.3,,,,,
1970-02-05,6.28,,,,,
1970-02-06,6.27,,,,,
1970-02-09,6.33,,,,,
1970-02-10,6.35,,,,,
1970-02-11,6.34,,,,,
1970-02-12,6.45,,,,,
1970-02-13,6.48,,,,,
1970-02-16,6.61,,,,,
1970-02-17,6.7,,,,,
1970-02-18,6.8,,,,,
1970-02-19,6.8,,,,,
1970-02-20,6.75,,,,,
1970-02-24,6.7,,,,,
1970-02-25,6.86,,,,,
1970-02-26,6.84,,,,,
1970-02-27,6.81,,,,,
1970-03-02,6.8,,,,,
1970-03-03,6.73,,,,,
1970-03-04,6.79,,,,,
1970-03-05,6.69,,,,,
1970-03-06,6.66,,,,,
1970-03-09,6.6,,,,,
1970-03-10,6.65,,,,,
1970-03-11,6.64,,,,,
1970-03-12,6.63,,,,,
1970-03-13,6.63,,,,,
1970-03-16,6.39,,,,,
1970-03-17,6.44,,,,,
1970-03-18,6.42,,,,,
1970-03-19,6.45,,,,,
1970-03-20,6.38,,,,,
1970-03-23,6.28,,,,,
1970-03-24,6.34,,,,,
1970-03-25,6.48,,,,,
1970-03-26,6.46,,,,,
1970-03-30,6.5,,,,,
1970-03-31,6.53,,,,,
1970-04-01,6.63,,,,,
1970-04-02,6.66,,,,,
1970-04-03,6.65,,,,,
1970-04-06,6.52,,,,,
1970-04-07,6.52,,,,,
1970-04-08,6.45,,,,,
1970-04-09,6.48,,,,,
1970-04-10,6.47,,,,,
1970-04-13,6.42,,,,,
1970-04-14,6.38,,,,,
1970-04-15,6.31,,,,,
1970-04-16,6.3,,,,,
1970-04-17,6.19,,,,,
1970-04-20,6.19,,,,,
1970-04-21,6.16,,,,,
1970-04-22,6.03,,,,,
1970-04-23,5.95,,,,,
1970-04-24,6.0,,,,,
1970-04-27,5.94,,,,,
1970-04-28,5.9,,,,,
1970-04-29,5.93,,,,,
1970-04-30,5.86,,,,,
1970-05-01,5.88,,,,,
1970-05-04,5.67,,,,,
1970-05-05,5.62,,,,,
1970-05-06,5.7,,,,,
1970-05-07,5.83,,,,,
1970-05-08,5.88,,,,,
1970-05-11,5.8,,,,,
1970-05-12,5.76,,,,,
1970-05-13,5.56,,,,,
1970-05-14,5.53,,,,,
1970-05-15,5.63,,,,,
1970-05-18,5.65,,,,,
1970-05-19,5.53,,,,,
1970-05-20,5.29,,,,,
1970-05-21,5.23,,,,,
1970-05-22,5.22,,,,,
1970-05-25,4.88,,,,,
1970-05-26,4.86,,,,,
1970-05-27,5.15,,,,,
