date,close price,NOV_SHE,NOV_TA,NOV_TL,market cap,PB Ratio
1996-10-29,4.54,,,,,
1996-10-30,5.13,,,,,
1996-10-31,5.24,,,,,
1996-11-01,4.96,,,,,
1996-11-04,4.9,,,,,
1996-11-05,4.87,,,,,
1996-11-06,4.93,,,,,
1996-11-07,4.99,,,,,
1996-11-08,5.18,,,,,
1996-11-11,5.3,,,,,
1996-11-12,5.41,,,,,
1996-11-13,5.75,,,,,
1996-11-14,5.92,,,,,
1996-11-15,5.89,,,,,
1996-11-18,5.75,,,,,
1996-11-19,5.8,,,,,
1996-11-20,5.78,,,,,
1996-11-21,5.72,,,,,
1996-11-22,5.75,,,,,
1996-11-25,6.09,,,,,
1996-11-26,6.2,,,,,
1996-11-27,6.31,,,,,
1996-11-29,6.37,,,,,
1996-12-02,6.31,,,,,
1996-12-03,6.57,,,,,
1996-12-04,6.42,,,,,
1996-12-05,6.48,,,,,
1996-12-06,6.31,,,,,
1996-12-09,6.48,,,,,
1996-12-10,6.26,,,,,
1996-12-11,5.89,,,,,
1996-12-12,6.06,,,,,
1996-12-13,6.03,,,,,
1996-12-16,6.2,,,,,
1996-12-17,6.26,,,,,
1996-12-18,6.23,,,,,
1996-12-19,6.54,,,,,
1996-12-20,6.76,,,,,
1996-12-23,6.79,,,,,
1996-12-24,6.85,,,,,
1996-12-26,6.85,,,,,
1996-12-27,6.68,,,,,
1996-12-30,6.71,,,,,
1996-12-31,6.93,,,,,
1997-01-02,6.9,,,,,
1997-01-03,6.76,,,,,
1997-01-06,6.79,,,,,
1997-01-07,6.82,,,,,
1997-01-08,6.82,,,,,
1997-01-09,7.19,,,,,
1997-01-10,7.5,,,,,
1997-01-13,7.38,,,,,
1997-01-14,7.38,,,,,
1997-01-15,8.12,,,,,
1997-01-16,8.57,,,,,
1997-01-17,8.12,,,,,
1997-01-20,7.97,,,,,
1997-01-21,7.86,,,,,
1997-01-22,7.72,,,,,
1997-01-23,7.5,,,,,
1997-01-24,7.24,,,,,
1997-01-27,7.1,,,,,
1997-01-28,7.21,,,,,
1997-01-29,7.24,,,,,
1997-01-30,7.19,,,,,
1997-01-31,7.21,,,,,
1997-02-03,7.24,,,,,
1997-02-04,6.71,,,,,
1997-02-05,6.96,,,,,
1997-02-06,6.85,,,,,
1997-02-07,6.76,,,,,
1997-02-10,6.54,,,,,
1997-02-11,6.73,,,,,
1997-02-12,7.44,,,,,
1997-02-13,7.55,,,,,
1997-02-14,7.81,,,,,
1997-02-18,7.86,,,,,
1997-02-19,7.81,,,,,
1997-02-20,7.69,,,,,
1997-02-21,7.44,,,,,
1997-02-24,7.44,,,,,
1997-02-25,7.44,,,,,
1997-02-26,7.3,,,,,
1997-02-27,6.99,,,,,
