date,close price,WRK_SHE,WRK_TA,WRK_TL,market cap,PB Ratio
2015-06-24,57.1,,,,,
2015-06-25,55.77,,,,,
2015-06-26,55.77,,,,,
2015-06-29,54.78,,,,,
2015-06-30,54.87,,,,,
2015-07-01,56.22,,,,,
2015-07-02,58.55,,,,,
2015-07-06,57.44,,,,,
2015-07-07,56.28,,,,,
2015-07-08,53.8,,,,,
2015-07-09,53.62,,,,,
2015-07-10,55.32,,,,,
2015-07-13,55.97,,,,,
2015-07-14,56.03,,,,,
2015-07-15,55.52,,,,,
2015-07-16,56.15,,,,,
2015-07-17,55.64,,,,,
2015-07-20,55.46,,,,,
2015-07-21,53.92,,,,,
2015-07-22,54.19,,,,,
2015-07-23,53.92,,,,,
2015-07-24,53.08,,,,,
2015-07-27,52.43,,,,,
2015-07-28,53.46,,,,,
2015-07-29,53.51,,,,,
2015-07-30,56.61,,,,,
2015-07-31,56.82,,,,,
2015-08-03,56.92,,,,,
2015-08-04,56.37,,,,,
2015-08-05,56.54,,,,,
2015-08-06,55.63,,,,,
2015-08-07,56.37,,,,,
2015-08-10,56.74,,,,,
2015-08-11,57.12,,,,,
2015-08-12,57.04,,,,,
2015-08-13,56.88,,,,,
2015-08-14,56.97,,,,,
2015-08-17,57.07,,,,,
2015-08-18,56.91,,,,,
2015-08-19,55.92,,,,,
2015-08-20,54.67,,,,,
2015-08-21,53.17,,,,,
2015-08-24,50.87,,,,,
2015-08-25,50.0,,,,,
2015-08-26,50.86,,,,,
2015-08-27,53.36,,,,,
2015-08-28,54.29,,,,,
2015-08-31,53.47,,,,,
2015-09-01,52.64,,,,,
2015-09-02,52.41,,,,,
2015-09-03,52.91,,,,,
2015-09-04,51.67,,,,,
2015-09-08,52.8,,,,,
2015-09-09,52.48,,,,,
2015-09-10,52.92,,,,,
2015-09-11,52.93,,,,,
2015-09-14,53.68,,,,,
2015-09-15,53.77,,,,,
2015-09-16,52.97,,,,,
2015-09-17,52.01,,,,,
2015-09-18,50.18,,,,,
2015-09-21,50.33,,,,,
2015-09-22,48.6,,,,,
2015-09-23,47.56,,,,,
2015-09-24,47.13,,,,,
2015-09-25,46.81,,,,,
2015-09-28,45.02,,,,,
2015-09-29,45.56,,,,,
2015-09-30,46.35,,,,,
2015-10-01,46.85,,,,,
2015-10-02,47.76,,,,,
2015-10-05,48.74,,,,,
2015-10-06,48.93,,,,,
2015-10-07,48.71,,,,,
2015-10-08,48.82,,,,,
2015-10-09,51.87,,,,,
2015-10-12,50.75,,,,,
2015-10-13,50.04,,,,,
2015-10-14,50.24,,,,,
2015-10-15,50.46,,,,,
2015-10-16,50.27,,,,,
2015-10-19,48.9,,,,,
2015-10-20,48.44,,,,,
2015-10-21,47.36,,,,,
2015-10-22,47.3,,,,,
2015-10-23,48.09,,,,,
2015-10-26,47.99,,,,,
2015-10-27,47.82,,,,,
2015-10-28,49.02,,,,,
2015-10-29,48.71,,,,,
2015-10-30,48.44,,,,,
2015-11-02,48.74,,,,,
2015-11-03,47.95,,,,,
2015-11-04,47.98,,,,,
2015-11-05,46.29,,,,,
2015-11-06,48.35,,,,,
2015-11-09,46.76,,,,,
2015-11-10,46.25,,,,,
2015-11-11,46.45,,,,,
2015-11-12,44.39,,,,,
2015-11-13,43.74,,,,,
2015-11-16,43.18,,,,,
2015-11-17,43.02,,,,,
2015-11-18,44.66,,,,,
2015-11-19,45.21,,,,,
