date,close price,JCI_SHE,JCI_TA,JCI_TL,market cap,PB Ratio
1985-03-27,1.76,,,,,
1985-03-28,1.73,,,,,
1985-03-29,1.77,,,,,
1985-04-01,1.75,,,,,
1985-04-02,1.73,,,,,
1985-04-03,1.74,,,,,
1985-04-04,1.74,,,,,
1985-04-08,1.74,,,,,
1985-04-09,1.74,,,,,
1985-04-10,1.71,,,,,
1985-04-11,1.66,,,,,
1985-04-12,1.66,,,,,
1985-04-15,1.65,,,,,
1985-04-16,1.68,,,,,
1985-04-17,1.67,,,,,
1985-04-18,1.68,,,,,
1985-04-19,1.69,,,,,
1985-04-22,1.68,,,,,
1985-04-23,1.67,,,,,
1985-04-24,1.66,,,,,
1985-04-25,1.66,,,,,
1985-04-26,1.66,,,,,
1985-04-29,1.65,,,,,
1985-04-30,1.65,,,,,
1985-05-01,1.65,,,,,
1985-05-02,1.65,,,,,
1985-05-03,1.65,,,,,
1985-05-06,1.65,,,,,
1985-05-07,1.63,,,,,
1985-05-08,1.62,,,,,
1985-05-09,1.67,,,,,
1985-05-10,1.68,,,,,
1985-05-13,1.72,,,,,
1985-05-14,1.71,,,,,
1985-05-15,1.72,,,,,
1985-05-16,1.71,,,,,
1985-05-17,1.73,,,,,
1985-05-20,1.75,,,,,
1985-05-21,1.77,,,,,
1985-05-22,1.75,,,,,
1985-05-23,1.73,,,,,
1985-05-24,1.72,,,,,
1985-05-28,1.71,,,,,
1985-05-29,1.71,,,,,
1985-05-30,1.7,,,,,
1985-05-31,1.71,,,,,
1985-06-03,1.71,,,,,
1985-06-04,1.7,,,,,
1985-06-05,1.71,,,,,
1985-06-06,1.71,,,,,
1985-06-07,1.71,,,,,
1985-06-10,1.69,,,,,
1985-06-11,1.72,,,,,
1985-06-12,1.71,,,,,
1985-06-13,1.71,,,,,
1985-06-14,1.71,,,,,
1985-06-17,1.7,,,,,
1985-06-18,1.7,,,,,
1985-06-19,1.71,,,,,
1985-06-20,1.71,,,,,
1985-06-21,1.72,,,,,
1985-06-24,1.71,,,,,
1985-06-25,1.73,,,,,
1985-06-26,1.74,,,,,
1985-06-27,1.77,,,,,
1985-06-28,1.78,,,,,
1985-07-01,1.78,,,,,
1985-07-02,1.79,,,,,
1985-07-03,1.8,,,,,
1985-07-05,1.83,,,,,
1985-07-08,1.8,,,,,
1985-07-09,1.8,,,,,
1985-07-10,1.8,,,,,
1985-07-11,1.77,,,,,
1985-07-12,1.78,,,,,
1985-07-15,1.78,,,,,
1985-07-16,1.77,,,,,
1985-07-17,1.78,,,,,
1985-07-18,1.77,,,,,
1985-07-19,1.77,,,,,
1985-07-22,1.75,,,,,
1985-07-23,1.75,,,,,
1985-07-24,1.77,,,,,
1985-07-25,1.76,,,,,
1985-07-26,1.79,,,,,
1985-07-29,1.79,,,,,
1985-07-30,1.79,,,,,
1985-07-31,1.85,,,,,
1985-08-01,1.85,,,,,
1985-08-02,1.83,,,,,
1985-08-05,1.82,,,,,
1985-08-06,1.82,,,,,
1985-08-07,1.84,,,,,
1985-08-08,1.88,,,,,
1985-08-09,1.86,,,,,
1985-08-12,1.84,,,,,
1985-08-13,1.82,,,,,
1985-08-14,1.81,,,,,
1985-08-15,1.81,,,,,
1985-08-16,1.8,,,,,
1985-08-19,1.79,,,,,
1985-08-20,1.77,,,,,
1985-08-21,1.74,,,,,
1985-08-22,1.74,,,,,
1985-08-23,1.74,,,,,
1985-08-26,1.73,,,,,
1985-08-27,1.76,,,,,
1985-08-28,1.76,,,,,
1985-08-29,1.77,,,,,
1985-08-30,1.76,,,,,
1985-09-03,1.77,,,,,
1985-09-04,1.76,,,,,
1985-09-05,1.76,,,,,
1985-09-06,1.75,,,,,
1985-09-09,1.72,,,,,
1985-09-10,1.72,,,,,
1985-09-11,1.72,,,,,
1985-09-12,1.73,,,,,
1985-09-13,1.72,,,,,
1985-09-16,1.7,,,,,
1985-09-17,1.69,,,,,
1985-09-18,1.7,,,,,
1985-09-19,1.69,,,,,
1985-09-20,1.7,,,,,
1985-09-23,1.7,,,,,
1985-09-24,1.7,,,,,
1985-09-25,1.69,,,,,
1985-09-26,1.69,,,,,
1985-09-30,1.7,,,,,
1985-10-01,1.69,,,,,
1985-10-02,1.7,,,,,
1985-10-03,1.7,,,,,
1985-10-04,1.69,,,,,
1985-10-07,1.69,,,,,
1985-10-08,1.68,,,,,
1985-10-09,1.68,,,,,
1985-10-10,1.68,,,,,
1985-10-11,1.68,,,,,
1985-10-14,1.69,,,,,
1985-10-15,1.7,,,,,
1985-10-16,1.73,,,,,
1985-10-17,1.77,,,,,
1985-10-18,1.77,,,,,
1985-10-21,1.78,,,,,
1985-10-22,1.81,,,,,
1985-10-23,1.79,,,,,
1985-10-24,1.79,,,,,
1985-10-25,1.78,,,,,
1985-10-28,1.79,,,,,
1985-10-29,1.79,,,,,
1985-10-30,1.78,,,,,
1985-10-31,1.78,,,,,
1985-11-01,1.79,,,,,
1985-11-04,1.8,,,,,
1985-11-05,1.83,,,,,
1985-11-06,1.85,,,,,
1985-11-07,1.86,,,,,
1985-11-08,1.86,,,,,
1985-11-11,1.86,,,,,
1985-11-12,1.91,,,,,
1985-11-13,1.93,,,,,
1985-11-14,1.97,,,,,
1985-11-15,1.93,,,,,
1985-11-18,1.93,,,,,
1985-11-19,1.94,,,,,
1985-11-20,1.93,,,,,
1985-11-21,1.96,,,,,
1985-11-22,2.03,,,,,
1985-11-25,2.04,,,,,
1985-11-26,2.01,,,,,
1985-11-27,2.0,,,,,
1985-11-29,2.0,,,,,
1985-12-02,2.0,,,,,
1985-12-03,2.01,,,,,
1985-12-04,2.03,,,,,
1985-12-05,2.05,,,,,
1985-12-06,2.06,,,,,
1985-12-09,2.05,,,,,
1985-12-10,2.04,,,,,
1985-12-11,2.04,,,,,
1985-12-12,2.06,,,,,
1985-12-13,2.08,,,,,
1985-12-16,2.09,,,,,
1985-12-17,2.09,,,,,
1985-12-18,2.05,,,,,
1985-12-19,2.04,,,,,
1985-12-20,2.04,,,,,
1985-12-23,2.01,,,,,
1985-12-24,1.99,,,,,
1985-12-26,2.02,,,,,
1985-12-27,2.03,,,,,
1985-12-30,2.04,,,,,
1985-12-31,2.04,,,,,
1986-01-02,2.05,,,,,
1986-01-03,2.07,,,,,
1986-01-06,2.09,,,,,
1986-01-07,2.11,,,,,
1986-01-08,2.1,,,,,
1986-01-09,2.0,,,,,
1986-01-10,2.05,,,,,
1986-01-13,2.06,,,,,
1986-01-14,2.06,,,,,
1986-01-15,2.08,,,,,
1986-01-16,2.13,,,,,
1986-01-17,2.2,,,,,
1986-01-20,2.18,,,,,
1986-01-21,2.16,,,,,
1986-01-22,2.16,,,,,
1986-01-23,2.15,,,,,
1986-01-24,2.15,,,,,
1986-01-27,2.17,,,,,
1986-01-28,2.18,,,,,
1986-01-29,2.18,,,,,
1986-01-30,2.22,,,,,
1986-01-31,2.22,,,,,
1986-02-03,2.26,,,,,
1986-02-04,2.24,,,,,
1986-02-05,2.27,,,,,
1986-02-06,2.27,,,,,
1986-02-07,2.27,,,,,
1986-02-10,2.32,,,,,
1986-02-11,2.31,,,,,
1986-02-12,2.33,,,,,
1986-02-13,2.33,,,,,
1986-02-14,2.34,,,,,
1986-02-18,2.33,,,,,
1986-02-19,2.34,,,,,
1986-02-20,2.34,,,,,
1986-02-21,2.37,,,,,
1986-02-24,2.35,,,,,
1986-02-25,2.31,,,,,
1986-02-26,2.28,,,,,
1986-02-27,2.35,,,,,
1986-02-28,2.39,,,,,
1986-03-03,2.4,,,,,
1986-03-04,2.46,,,,,
1986-03-05,2.44,,,,,
1986-03-06,2.44,,,,,
1986-03-07,2.45,,,,,
1986-03-10,2.45,,,,,
1986-03-11,2.46,,,,,
1986-03-12,2.49,,,,,
1986-03-13,2.53,,,,,
1986-03-14,2.58,,,,,
1986-03-17,2.61,,,,,
1986-03-18,2.54,,,,,
1986-03-19,2.54,,,,,
1986-03-20,2.55,,,,,
1986-03-21,2.54,,,,,
1986-03-24,2.54,,,,,
1986-03-25,2.51,,,,,
1986-03-26,2.51,,,,,
1986-03-27,2.33,,,,,
1986-03-31,2.42,,,,,
1986-04-01,2.39,,,,,
1986-04-02,2.39,,,,,
1986-04-03,2.38,,,,,
1986-04-04,2.39,,,,,
1986-04-07,2.35,,,,,
1986-04-08,2.38,,,,,
1986-04-09,2.38,,,,,
1986-04-10,2.43,,,,,
1986-04-11,2.41,,,,,
1986-04-14,2.4,,,,,
1986-04-15,2.36,,,,,
1986-04-16,2.4,,,,,
1986-04-17,2.41,,,,,
1986-04-18,2.38,,,,,
1986-04-21,2.39,,,,,
1986-04-22,2.38,,,,,
1986-04-23,2.42,,,,,
1986-04-24,2.4,,,,,
1986-04-25,2.39,,,,,
1986-04-28,2.4,,,,,
1986-04-29,2.4,,,,,
1986-04-30,2.44,,,,,
1986-05-01,2.41,,,,,
1986-05-02,2.44,,,,,
1986-05-05,2.44,,,,,
1986-05-06,2.42,,,,,
1986-05-07,2.43,,,,,
1986-05-08,2.52,,,,,
1986-05-09,2.54,,,,,
1986-05-12,2.53,,,,,
1986-05-13,2.52,,,,,
1986-05-14,2.52,,,,,
