date,close price,SNA_SHE,SNA_TA,SNA_TL,market cap,PB Ratio
1989-09-19,23.33,,,,,
1989-09-20,23.33,,,,,
1989-09-21,23.33,,,,,
1989-09-22,23.5,,,,,
1989-09-25,23.33,,,,,
1989-09-26,23.33,,,,,
1989-09-27,23.42,,,,,
1989-09-28,23.42,,,,,
1989-09-29,23.92,,,,,
1989-10-02,23.92,,,,,
1989-10-03,24.0,,,,,
1989-10-04,23.92,,,,,
1989-10-05,23.33,,,,,
1989-10-06,24.0,,,,,
1989-10-09,24.25,,,,,
1989-10-10,24.17,,,,,
1989-10-11,24.17,,,,,
1989-10-12,24.08,,,,,
1989-10-13,23.25,,,,,
1989-10-16,22.67,,,,,
1989-10-17,23.17,,,,,
1989-10-18,22.83,,,,,
1989-10-19,22.92,,,,,
1989-10-20,22.75,,,,,
1989-10-23,22.58,,,,,
1989-10-24,22.42,,,,,
1989-10-25,22.08,,,,,
1989-10-26,22.0,,,,,
1989-10-27,21.92,,,,,
1989-10-30,21.92,,,,,
1989-10-31,22.25,,,,,
1989-11-01,22.25,,,,,
1989-11-02,22.0,,,,,
1989-11-03,22.33,,,,,
1989-11-06,22.0,,,,,
1989-11-07,22.08,,,,,
1989-11-08,22.17,,,,,
1989-11-09,21.83,,,,,
1989-11-10,22.08,,,,,
1989-11-13,21.58,,,,,
1989-11-14,21.25,,,,,
1989-11-15,21.33,,,,,
1989-11-16,21.33,,,,,
1989-11-17,21.42,,,,,
1989-11-20,20.83,,,,,
1989-11-21,19.58,,,,,
1989-11-22,20.17,,,,,
1989-11-24,21.0,,,,,
1989-11-27,21.0,,,,,
1989-11-28,20.83,,,,,
1989-11-29,20.5,,,,,
1989-11-30,20.67,,,,,
1989-12-01,20.42,,,,,
1989-12-04,20.42,,,,,
1989-12-05,20.33,,,,,
1989-12-06,20.33,,,,,
1989-12-07,20.0,,,,,
1989-12-08,20.17,,,,,
1989-12-11,20.17,,,,,
1989-12-12,20.42,,,,,
1989-12-13,20.33,,,,,
1989-12-14,20.33,,,,,
1989-12-15,20.25,,,,,
1989-12-18,20.08,,,,,
1989-12-19,19.92,,,,,
1989-12-20,20.17,,,,,
1989-12-21,20.33,,,,,
1989-12-22,20.5,,,,,
1989-12-26,20.42,,,,,
1989-12-27,20.92,,,,,
1989-12-28,21.5,,,,,
1989-12-29,21.67,,,,,
1990-01-02,22.0,,,,,
1990-01-03,21.83,,,,,
1990-01-04,21.75,,,,,
1990-01-05,22.0,,,,,
1990-01-08,21.92,,,,,
1990-01-09,21.75,,,,,
1990-01-10,21.75,,,,,
1990-01-11,21.75,,,,,
1990-01-12,21.75,,,,,
1990-01-15,21.75,,,,,
1990-01-16,21.92,,,,,
1990-01-17,22.17,,,,,
1990-01-18,22.58,,,,,
1990-01-19,21.92,,,,,
1990-01-22,21.75,,,,,
1990-01-23,21.58,,,,,
1990-01-24,21.08,,,,,
1990-01-25,21.08,,,,,
1990-01-26,20.83,,,,,
1990-01-29,21.0,,,,,
1990-01-30,21.0,,,,,
1990-01-31,21.75,,,,,
1990-02-01,21.25,,,,,
1990-02-02,21.08,,,,,
1990-02-05,20.92,,,,,
1990-02-06,20.92,,,,,
1990-02-07,20.92,,,,,
1990-02-08,21.08,,,,,
1990-02-09,21.58,,,,,
1990-02-12,21.42,,,,,
1990-02-13,21.33,,,,,
1990-02-14,21.42,,,,,
1990-02-15,21.5,,,,,
1990-02-16,21.58,,,,,
1990-02-20,21.25,,,,,
1990-02-21,21.08,,,,,
1990-02-22,21.0,,,,,
1990-02-23,21.08,,,,,
1990-02-26,21.17,,,,,
1990-02-27,21.58,,,,,
1990-02-28,21.92,,,,,
1990-03-01,21.92,,,,,
1990-03-02,22.0,,,,,
1990-03-05,21.5,,,,,
1990-03-06,21.83,,,,,
1990-03-07,22.5,,,,,
1990-03-08,22.25,,,,,
1990-03-09,22.17,,,,,
1990-03-12,22.17,,,,,
1990-03-13,21.92,,,,,
1990-03-14,21.67,,,,,
1990-03-15,21.75,,,,,
1990-03-16,21.42,,,,,
1990-03-19,21.0,,,,,
1990-03-20,20.75,,,,,
1990-03-21,21.0,,,,,
1990-03-22,21.17,,,,,
1990-03-23,21.5,,,,,
1990-03-26,21.42,,,,,
1990-03-27,21.5,,,,,
1990-03-28,22.0,,,,,
