date,close price,CVX_SHE,CVX_TA,CVX_TL,market cap,PB Ratio
1962-01-02,3.3,,,,,
1962-01-03,3.29,,,,,
1962-01-04,3.26,,,,,
1962-01-05,3.18,,,,,
1962-01-08,3.16,,,,,
1962-01-09,3.21,,,,,
1962-01-10,3.21,,,,,
1962-01-11,3.29,,,,,
1962-01-12,3.28,,,,,
1962-01-15,3.23,,,,,
1962-01-16,3.24,,,,,
1962-01-17,3.21,,,,,
1962-01-18,3.26,,,,,
1962-01-19,3.24,,,,,
1962-01-22,3.26,,,,,
1962-01-23,3.24,,,,,
1962-01-24,3.22,,,,,
1962-01-25,3.23,,,,,
1962-01-26,3.25,,,,,
1962-01-29,3.23,,,,,
1962-01-30,3.24,,,,,
1962-01-31,3.22,,,,,
1962-02-01,3.3,,,,,
1962-02-02,3.45,,,,,
1962-02-05,3.39,,,,,
1962-02-06,3.36,,,,,
1962-02-07,3.43,,,,,
1962-02-08,3.44,,,,,
1962-02-09,3.47,,,,,
1962-02-12,3.51,,,,,
1962-02-13,3.5,,,,,
1962-02-14,3.5,,,,,
1962-02-15,3.51,,,,,
1962-02-16,3.54,,,,,
1962-02-19,3.55,,,,,
1962-02-20,3.55,,,,,
1962-02-21,3.52,,,,,
1962-02-23,3.5,,,,,
1962-02-26,3.48,,,,,
1962-02-27,3.51,,,,,
1962-02-28,3.48,,,,,
1962-03-01,3.5,,,,,
1962-03-02,3.5,,,,,
1962-03-05,3.5,,,,,
1962-03-06,3.47,,,,,
1962-03-07,3.46,,,,,
1962-03-08,3.45,,,,,
1962-03-09,3.45,,,,,
1962-03-12,3.48,,,,,
1962-03-13,3.47,,,,,
1962-03-14,3.47,,,,,
1962-03-15,3.5,,,,,
1962-03-16,3.52,,,,,
1962-03-19,3.53,,,,,
1962-03-20,3.54,,,,,
1962-03-21,3.53,,,,,
1962-03-22,3.5,,,,,
1962-03-23,3.53,,,,,
1962-03-26,3.46,,,,,
1962-03-27,3.47,,,,,
1962-03-28,3.5,,,,,
1962-03-29,3.49,,,,,
1962-03-30,3.5,,,,,
1962-04-02,3.47,,,,,
1962-04-03,3.45,,,,,
1962-04-04,3.45,,,,,
1962-04-05,3.45,,,,,
1962-04-06,3.5,,,,,
1962-04-09,3.49,,,,,
1962-04-10,3.5,,,,,
1962-04-11,3.48,,,,,
1962-04-12,3.47,,,,,
1962-04-13,3.47,,,,,
1962-04-16,3.45,,,,,
1962-04-17,3.54,,,,,
1962-04-18,3.54,,,,,
1962-04-19,3.56,,,,,
1962-04-23,3.56,,,,,
1962-04-24,3.58,,,,,
1962-04-25,3.58,,,,,
1962-04-26,3.52,,,,,
1962-04-27,3.51,,,,,
1962-04-30,3.47,,,,,
1962-05-01,3.5,,,,,
1962-05-02,3.53,,,,,
1962-05-03,3.58,,,,,
1962-05-04,3.59,,,,,
1962-05-07,3.57,,,,,
1962-05-08,3.55,,,,,
1962-05-09,3.55,,,,,
1962-05-10,3.47,,,,,
1962-05-11,3.44,,,,,
1962-05-14,3.46,,,,,
1962-05-15,3.47,,,,,
1962-05-16,3.48,,,,,
1962-05-17,3.49,,,,,
