date,close price,DRE_SHE,DRE_TA,DRE_TL,market cap,PB Ratio
1986-02-06,16.54,,,,,
1986-02-07,16.54,,,,,
1986-02-10,16.54,,,,,
1986-02-11,16.54,,,,,
1986-02-12,16.54,,,,,
1986-02-13,16.54,,,,,
1986-02-14,16.54,,,,,
1986-02-18,16.54,,,,,
1986-02-19,16.54,,,,,
1986-02-20,16.54,,,,,
1986-02-21,16.54,,,,,
1986-02-24,16.54,,,,,
1986-02-25,16.54,,,,,
1986-02-26,16.54,,,,,
1986-02-27,16.54,,,,,
1986-02-28,16.54,,,,,
1986-03-03,16.28,,,,,
1986-03-04,16.28,,,,,
1986-03-05,16.54,,,,,
1986-03-06,16.54,,,,,
1986-03-07,16.28,,,,,
1986-03-10,16.54,,,,,
1986-03-11,16.28,,,,,
1986-03-12,16.28,,,,,
1986-03-13,16.28,,,,,
1986-03-14,16.54,,,,,
1986-03-17,16.54,,,,,
1986-03-18,16.28,,,,,
1986-03-19,16.28,,,,,
1986-03-20,16.28,,,,,
1986-03-21,16.54,,,,,
1986-03-24,16.28,,,,,
1986-03-25,16.28,,,,,
1986-03-26,16.54,,,,,
1986-03-27,16.28,,,,,
1986-03-31,16.28,,,,,
1986-04-01,16.28,,,,,
1986-04-02,16.28,,,,,
1986-04-03,16.28,,,,,
1986-04-04,16.28,,,,,
1986-04-07,16.01,,,,,
1986-04-08,16.01,,,,,
1986-04-09,16.01,,,,,
1986-04-10,16.28,,,,,
1986-04-11,16.01,,,,,
1986-04-14,16.01,,,,,
1986-04-15,16.01,,,,,
1986-04-16,16.01,,,,,
1986-04-17,15.75,,,,,
1986-04-18,15.49,,,,,
1986-04-21,15.23,,,,,
1986-04-22,15.49,,,,,
1986-04-23,15.23,,,,,
1986-04-24,15.75,,,,,
1986-04-25,15.23,,,,,
1986-04-28,15.49,,,,,
1986-04-29,14.96,,,,,
1986-04-30,15.49,,,,,
1986-05-01,15.49,,,,,
1986-05-02,15.49,,,,,
1986-05-05,16.01,,,,,
1986-05-06,16.8,,,,,
1986-05-07,16.8,,,,,
1986-05-08,17.06,,,,,
1986-05-09,17.06,,,,,
1986-05-12,17.33,,,,,
1986-05-13,17.06,,,,,
1986-05-14,17.06,,,,,
1986-05-15,16.8,,,,,
1986-05-16,16.8,,,,,
1986-05-19,16.01,,,,,
1986-05-20,16.01,,,,,
1986-05-21,15.49,,,,,
1986-05-22,15.49,,,,,
1986-05-23,15.49,,,,,
1986-05-27,16.28,,,,,
1986-05-28,15.75,,,,,
1986-05-29,16.28,,,,,
1986-05-30,16.28,,,,,
1986-06-02,15.75,,,,,
1986-06-03,15.23,,,,,
1986-06-04,15.23,,,,,
1986-06-05,15.23,,,,,
1986-06-06,15.49,,,,,
1986-06-09,15.75,,,,,
1986-06-10,15.49,,,,,
1986-06-11,15.49,,,,,
1986-06-12,15.75,,,,,
1986-06-13,15.49,,,,,
1986-06-16,16.01,,,,,
1986-06-17,16.01,,,,,
1986-06-18,15.75,,,,,
1986-06-19,15.75,,,,,
1986-06-20,15.23,,,,,
1986-06-23,14.96,,,,,
1986-06-24,15.23,,,,,
1986-06-25,15.23,,,,,
1986-06-26,15.23,,,,,
1986-06-27,15.23,,,,,
1986-06-30,15.23,,,,,
1986-07-01,15.23,,,,,
1986-07-02,15.23,,,,,
1986-07-03,15.49,,,,,
1986-07-07,15.23,,,,,
1986-07-08,15.23,,,,,
1986-07-09,15.23,,,,,
1986-07-10,15.23,,,,,
1986-07-11,15.23,,,,,
1986-07-14,15.49,,,,,
1986-07-15,14.7,,,,,
1986-07-16,14.96,,,,,
1986-07-17,15.75,,,,,
1986-07-18,15.49,,,,,
1986-07-21,15.49,,,,,
1986-07-22,16.01,,,,,
1986-07-23,16.01,,,,,
1986-07-24,16.01,,,,,
1986-07-25,15.75,,,,,
1986-07-28,16.01,,,,,
1986-07-29,15.75,,,,,
1986-07-30,16.01,,,,,
1986-07-31,16.01,,,,,
1986-08-01,16.28,,,,,
1986-08-04,16.28,,,,,
1986-08-05,16.01,,,,,
1986-08-06,15.49,,,,,
1986-08-07,15.75,,,,,
1986-08-08,16.01,,,,,
1986-08-11,15.49,,,,,
1986-08-12,15.49,,,,,
