date,close price,IBM_SHE,IBM_TA,IBM_TL,market cap,PB Ratio
1962-01-02,7.63,,,,,
1962-01-03,7.69,,,,,
1962-01-04,7.62,,,,,
1962-01-05,7.47,,,,,
1962-01-08,7.33,,,,,
1962-01-09,7.41,,,,,
1962-01-10,7.43,,,,,
1962-01-11,7.51,,,,,
1962-01-12,7.52,,,,,
1962-01-15,7.55,,,,,
1962-01-16,7.47,,,,,
1962-01-17,7.35,,,,,
1962-01-18,7.37,,,,,
1962-01-19,7.38,,,,,
1962-01-22,7.37,,,,,
1962-01-23,7.29,,,,,
1962-01-24,7.33,,,,,
1962-01-25,7.25,,,,,
1962-01-26,7.22,,,,,
1962-01-29,7.09,,,,,
1962-01-30,7.0,,,,,
1962-01-31,7.23,,,,,
1962-02-01,7.39,,,,,
1962-02-02,7.44,,,,,
1962-02-05,7.35,,,,,
1962-02-06,7.35,,,,,
1962-02-07,7.36,,,,,
1962-02-08,7.37,,,,,
1962-02-09,7.42,,,,,
1962-02-12,7.43,,,,,
1962-02-13,7.31,,,,,
1962-02-14,7.29,,,,,
1962-02-15,7.27,,,,,
1962-02-16,7.26,,,,,
1962-02-19,7.19,,,,,
1962-02-20,7.19,,,,,
1962-02-21,7.14,,,,,
1962-02-23,7.16,,,,,
1962-02-26,7.13,,,,,
1962-02-27,7.15,,,,,
1962-02-28,7.16,,,,,
1962-03-01,7.25,,,,,
1962-03-02,7.31,,,,,
1962-03-05,7.28,,,,,
1962-03-06,7.29,,,,,
1962-03-07,7.31,,,,,
1962-03-08,7.33,,,,,
1962-03-09,7.37,,,,,
1962-03-12,7.37,,,,,
1962-03-13,7.36,,,,,
1962-03-14,7.35,,,,,
1962-03-15,7.33,,,,,
1962-03-16,7.37,,,,,
1962-03-19,7.39,,,,,
1962-03-20,7.34,,,,,
1962-03-21,7.35,,,,,
1962-03-22,7.27,,,,,
1962-03-23,7.29,,,,,
1962-03-26,7.29,,,,,
1962-03-27,7.15,,,,,
1962-03-28,7.19,,,,,
1962-03-29,7.17,,,,,
1962-03-30,7.1,,,,,
1962-04-02,7.01,,,,,
1962-04-03,6.83,,,,,
1962-04-04,6.8,,,,,
1962-04-05,6.95,,,,,
1962-04-06,6.94,,,,,
1962-04-09,6.95,,,,,
1962-04-10,6.97,,,,,
1962-04-11,6.88,,,,,
1962-04-12,6.81,,,,,
1962-04-13,6.91,,,,,
1962-04-16,6.9,,,,,
1962-04-17,6.93,,,,,
1962-04-18,6.92,,,,,
1962-04-19,6.92,,,,,
1962-04-23,6.91,,,,,
1962-04-24,6.91,,,,,
1962-04-25,6.83,,,,,
1962-04-26,6.66,,,,,
1962-04-27,6.47,,,,,
1962-04-30,6.05,,,,,
1962-05-01,6.16,,,,,
1962-05-02,6.3,,,,,
1962-05-03,6.43,,,,,
1962-05-04,6.48,,,,,
1962-05-07,6.34,,,,,
1962-05-08,6.13,,,,,
1962-05-09,6.01,,,,,
1962-05-10,6.04,,,,,
1962-05-11,5.95,,,,,
1962-05-14,6.06,,,,,
1962-05-15,6.03,,,,,
1962-05-16,6.09,,,,,
1962-05-17,5.99,,,,,
1962-05-18,6.02,,,,,
1962-05-21,6.0,,,,,
1962-05-22,5.8,,,,,
1962-05-23,5.54,,,,,
1962-05-24,5.31,,,,,
1962-05-25,5.31,,,,,
1962-05-28,4.81,,,,,
1962-05-29,5.11,,,,,
1962-05-31,5.23,,,,,
1962-06-01,5.13,,,,,
1962-06-04,4.8,,,,,
1962-06-05,4.86,,,,,
1962-06-06,4.87,,,,,
1962-06-07,4.93,,,,,
1962-06-08,4.95,,,,,
1962-06-11,4.79,,,,,
1962-06-12,4.47,,,,,
1962-06-13,4.3,,,,,
1962-06-14,4.08,,,,,
1962-06-15,4.45,,,,,
1962-06-18,4.4,,,,,
1962-06-19,4.48,,,,,
1962-06-20,4.37,,,,,
1962-06-21,4.21,,,,,
1962-06-22,4.27,,,,,
1962-06-25,4.43,,,,,
1962-06-26,4.27,,,,,
1962-06-27,4.44,,,,,
1962-06-28,4.59,,,,,
1962-06-29,4.52,,,,,
1962-07-02,4.67,,,,,
1962-07-03,4.69,,,,,
1962-07-05,4.67,,,,,
1962-07-06,4.6,,,,,
1962-07-09,4.67,,,,,
1962-07-10,4.78,,,,,
1962-07-11,4.99,,,,,
1962-07-12,5.05,,,,,
1962-07-13,5.02,,,,,
1962-07-16,5.1,,,,,
1962-07-17,4.94,,,,,
1962-07-18,4.87,,,,,
1962-07-19,4.9,,,,,
1962-07-20,4.96,,,,,
1962-07-23,4.97,,,,,
