date,close price,HIG_SHE,HIG_TA,HIG_TL,market cap,PB Ratio
1996-02-05,25.0,3184000000.0,76765000000.0,73581000000.0,,
1996-02-06,25.13,3184000000.0,76765000000.0,73581000000.0,,
1996-02-07,25.19,3184000000.0,76765000000.0,73581000000.0,,
1996-02-08,25.63,3184000000.0,76765000000.0,73581000000.0,,
1996-02-09,25.38,3184000000.0,76765000000.0,73581000000.0,,
1996-02-12,25.75,3184000000.0,76765000000.0,73581000000.0,,
1996-02-13,25.94,3184000000.0,76765000000.0,73581000000.0,,
1996-02-14,26.0,3184000000.0,76765000000.0,73581000000.0,,
1996-02-15,25.88,3184000000.0,76765000000.0,73581000000.0,,
1996-02-16,25.44,3184000000.0,76765000000.0,73581000000.0,,
1996-02-20,25.44,3184000000.0,76765000000.0,73581000000.0,,
1996-02-21,25.69,3184000000.0,76765000000.0,73581000000.0,,
1996-02-22,26.19,3184000000.0,76765000000.0,73581000000.0,,
1996-02-23,26.38,3184000000.0,76765000000.0,73581000000.0,,
1996-02-26,26.5,3184000000.0,76765000000.0,73581000000.0,,
1996-02-27,26.31,3184000000.0,76765000000.0,73581000000.0,,
1996-02-28,25.88,3184000000.0,76765000000.0,73581000000.0,,
1996-02-29,25.75,3184000000.0,76765000000.0,73581000000.0,,
1996-03-01,26.19,3184000000.0,76765000000.0,73581000000.0,,
1996-03-04,26.38,3184000000.0,76765000000.0,73581000000.0,,
1996-03-05,26.25,3184000000.0,76765000000.0,73581000000.0,,
1996-03-06,26.25,3184000000.0,76765000000.0,73581000000.0,,
1996-03-07,26.06,3184000000.0,76765000000.0,73581000000.0,,
1996-03-08,25.13,3184000000.0,76765000000.0,73581000000.0,,
1996-03-11,24.75,3184000000.0,76765000000.0,73581000000.0,,
1996-03-12,24.25,3184000000.0,76765000000.0,73581000000.0,,
1996-03-13,24.25,3184000000.0,76765000000.0,73581000000.0,,
1996-03-14,24.25,3184000000.0,76765000000.0,73581000000.0,,
1996-03-15,23.56,3184000000.0,76765000000.0,73581000000.0,,
1996-03-18,24.31,3184000000.0,76765000000.0,73581000000.0,,
1996-03-19,25.0,3184000000.0,76765000000.0,73581000000.0,,
1996-03-20,25.13,3184000000.0,76765000000.0,73581000000.0,,
1996-03-21,25.19,3184000000.0,76765000000.0,73581000000.0,,
1996-03-22,25.0,3184000000.0,76765000000.0,73581000000.0,,
1996-03-25,25.06,3184000000.0,76765000000.0,73581000000.0,,
1996-03-26,25.0,3184000000.0,76765000000.0,73581000000.0,,
1996-03-27,24.94,3184000000.0,76765000000.0,73581000000.0,,
1996-03-28,24.31,3184000000.0,76765000000.0,73581000000.0,,
1996-03-29,24.5,3184000000.0,76765000000.0,73581000000.0,,
1996-04-01,24.75,3184000000.0,76765000000.0,73581000000.0,,
1996-04-02,24.63,3184000000.0,76765000000.0,73581000000.0,,
1996-04-03,24.56,3184000000.0,76765000000.0,73581000000.0,,
1996-04-04,24.44,3184000000.0,76765000000.0,73581000000.0,,
1996-04-08,24.06,3184000000.0,76765000000.0,73581000000.0,,
1996-04-09,23.56,3184000000.0,76765000000.0,73581000000.0,,
1996-04-10,23.13,3184000000.0,76765000000.0,73581000000.0,,
1996-04-11,22.75,3184000000.0,76765000000.0,73581000000.0,,
1996-04-12,23.25,3184000000.0,76765000000.0,73581000000.0,,
1996-04-15,23.38,3184000000.0,76765000000.0,73581000000.0,,
1996-04-16,22.81,3184000000.0,76765000000.0,73581000000.0,,
1996-04-17,23.38,3184000000.0,76765000000.0,73581000000.0,,
1996-04-18,24.06,3184000000.0,76765000000.0,73581000000.0,,
1996-04-19,24.0,3184000000.0,76765000000.0,73581000000.0,,
1996-04-22,24.13,3184000000.0,76765000000.0,73581000000.0,,
1996-04-23,23.75,3184000000.0,76765000000.0,73581000000.0,,
1996-04-24,23.69,3184000000.0,76765000000.0,73581000000.0,,
1996-04-25,23.44,3184000000.0,76765000000.0,73581000000.0,,
1996-04-26,23.25,3184000000.0,76765000000.0,73581000000.0,,
1996-04-29,23.56,3184000000.0,76765000000.0,73581000000.0,,
1996-04-30,24.19,3184000000.0,76765000000.0,73581000000.0,,
1996-05-01,24.25,3184000000.0,76765000000.0,73581000000.0,,
1996-05-02,24.0,3184000000.0,76765000000.0,73581000000.0,,
1996-05-03,23.75,3184000000.0,76765000000.0,73581000000.0,,
1996-05-06,23.63,3184000000.0,76765000000.0,73581000000.0,,
1996-05-07,23.25,3184000000.0,76765000000.0,73581000000.0,,
1996-05-08,23.31,3184000000.0,76765000000.0,73581000000.0,,
1996-05-09,23.38,3184000000.0,76765000000.0,73581000000.0,,
1996-05-10,23.69,3184000000.0,76765000000.0,73581000000.0,,
1996-05-13,24.5,3184000000.0,76765000000.0,73581000000.0,,
1996-05-14,24.25,3184000000.0,76765000000.0,73581000000.0,,
1996-05-15,24.69,4397000000.0,96986000000.0,92589000000.0,,
1996-05-16,24.63,4397000000.0,96986000000.0,92589000000.0,,
1996-05-17,25.25,4397000000.0,96986000000.0,92589000000.0,,
1996-05-20,25.19,4397000000.0,96986000000.0,92589000000.0,,
1996-05-21,25.63,4397000000.0,96986000000.0,92589000000.0,,
1996-05-22,25.81,4397000000.0,96986000000.0,92589000000.0,,
1996-05-23,25.81,4397000000.0,96986000000.0,92589000000.0,,
1996-05-24,25.94,4397000000.0,96986000000.0,92589000000.0,,
1996-05-28,25.88,4397000000.0,96986000000.0,92589000000.0,,
1996-05-29,25.75,4397000000.0,96986000000.0,92589000000.0,,
1996-05-30,25.88,4397000000.0,96986000000.0,92589000000.0,,
1996-05-31,25.88,4397000000.0,96986000000.0,92589000000.0,,
1996-06-03,25.88,4397000000.0,96986000000.0,92589000000.0,,
1996-06-04,25.81,4397000000.0,96986000000.0,92589000000.0,,
1996-06-05,26.44,4397000000.0,96986000000.0,92589000000.0,,
1996-06-06,26.5,4397000000.0,96986000000.0,92589000000.0,,
1996-06-07,26.31,4397000000.0,96986000000.0,92589000000.0,,
1996-06-10,26.56,4397000000.0,96986000000.0,92589000000.0,,
1996-06-11,26.31,4397000000.0,96986000000.0,92589000000.0,,
1996-06-12,26.5,4397000000.0,96986000000.0,92589000000.0,,
1996-06-13,26.5,4397000000.0,96986000000.0,92589000000.0,,
1996-06-14,26.56,4397000000.0,96986000000.0,92589000000.0,,
1996-06-17,26.56,4397000000.0,96986000000.0,92589000000.0,,
1996-06-18,26.69,4397000000.0,96986000000.0,92589000000.0,,
1996-06-19,26.56,4397000000.0,96986000000.0,92589000000.0,,
1996-06-20,26.63,4397000000.0,96986000000.0,92589000000.0,,
1996-06-21,26.69,4397000000.0,96986000000.0,92589000000.0,,
1996-06-24,27.06,4397000000.0,96986000000.0,92589000000.0,,
1996-06-25,26.81,4397000000.0,96986000000.0,92589000000.0,,
1996-06-26,26.63,4397000000.0,96986000000.0,92589000000.0,,
1996-06-27,26.5,4397000000.0,96986000000.0,92589000000.0,,
1996-06-28,26.63,4397000000.0,96986000000.0,92589000000.0,,
1996-07-01,27.31,4397000000.0,96986000000.0,92589000000.0,,
1996-07-02,27.38,4397000000.0,96986000000.0,92589000000.0,,
1996-07-03,27.13,4397000000.0,96986000000.0,92589000000.0,,
1996-07-05,26.5,4397000000.0,96986000000.0,92589000000.0,,
1996-07-08,26.44,4397000000.0,96986000000.0,92589000000.0,,
1996-07-09,26.19,4397000000.0,96986000000.0,92589000000.0,,
1996-07-10,26.5,4397000000.0,96986000000.0,92589000000.0,,
1996-07-11,26.06,4397000000.0,96986000000.0,92589000000.0,,
1996-07-12,26.13,4397000000.0,96986000000.0,92589000000.0,,
1996-07-15,25.5,4397000000.0,96986000000.0,92589000000.0,,
1996-07-16,25.88,4397000000.0,96986000000.0,92589000000.0,,
1996-07-17,26.75,4397000000.0,96986000000.0,92589000000.0,,
1996-07-18,26.81,4397000000.0,96986000000.0,92589000000.0,,
1996-07-19,26.81,4397000000.0,96986000000.0,92589000000.0,,
1996-07-22,26.19,4397000000.0,96986000000.0,92589000000.0,,
1996-07-23,25.69,4397000000.0,96986000000.0,92589000000.0,,
1996-07-24,25.81,4397000000.0,96986000000.0,92589000000.0,,
1996-07-25,25.38,4397000000.0,96986000000.0,92589000000.0,,
1996-07-26,25.44,4397000000.0,96986000000.0,92589000000.0,,
1996-07-29,25.38,4397000000.0,96986000000.0,92589000000.0,,
1996-07-30,26.25,4397000000.0,96986000000.0,92589000000.0,,
1996-07-31,26.44,4397000000.0,96986000000.0,92589000000.0,,
1996-08-01,26.56,4397000000.0,96986000000.0,92589000000.0,,
1996-08-02,27.06,4397000000.0,96986000000.0,92589000000.0,,
1996-08-05,26.94,4397000000.0,96986000000.0,92589000000.0,,
1996-08-06,27.06,4397000000.0,96986000000.0,92589000000.0,,
1996-08-07,26.81,4397000000.0,96986000000.0,92589000000.0,,
1996-08-08,26.88,4397000000.0,96986000000.0,92589000000.0,,
1996-08-09,26.94,4397000000.0,96986000000.0,92589000000.0,,
1996-08-12,27.06,4397000000.0,96986000000.0,92589000000.0,,
1996-08-13,27.0,4397000000.0,96986000000.0,92589000000.0,,
1996-08-14,26.75,4386000000.0,100214000000.0,95828000000.0,,
1996-08-15,26.81,4386000000.0,100214000000.0,95828000000.0,,
1996-08-16,26.81,4386000000.0,100214000000.0,95828000000.0,,
1996-08-19,27.06,4386000000.0,100214000000.0,95828000000.0,,
1996-08-20,27.0,4386000000.0,100214000000.0,95828000000.0,,
1996-08-21,27.06,4386000000.0,100214000000.0,95828000000.0,,
1996-08-22,27.0,4386000000.0,100214000000.0,95828000000.0,,
1996-08-23,27.13,4386000000.0,100214000000.0,95828000000.0,,
1996-08-26,27.06,4386000000.0,100214000000.0,95828000000.0,,
1996-08-27,27.0,4386000000.0,100214000000.0,95828000000.0,,
1996-08-28,26.75,4386000000.0,100214000000.0,95828000000.0,,
1996-08-29,26.75,4386000000.0,100214000000.0,95828000000.0,,
1996-08-30,26.38,4386000000.0,100214000000.0,95828000000.0,,
1996-09-03,25.88,4386000000.0,100214000000.0,95828000000.0,,
1996-09-04,26.25,4386000000.0,100214000000.0,95828000000.0,,
1996-09-05,26.38,4386000000.0,100214000000.0,95828000000.0,,
1996-09-06,26.5,4386000000.0,100214000000.0,95828000000.0,,
1996-09-09,26.75,4386000000.0,100214000000.0,95828000000.0,,
1996-09-10,26.5,4386000000.0,100214000000.0,95828000000.0,,
1996-09-11,27.06,4386000000.0,100214000000.0,95828000000.0,,
1996-09-12,28.56,4386000000.0,100214000000.0,95828000000.0,,
1996-09-13,28.63,4386000000.0,100214000000.0,95828000000.0,,
1996-09-16,28.56,4386000000.0,100214000000.0,95828000000.0,,
1996-09-17,28.5,4386000000.0,100214000000.0,95828000000.0,,
1996-09-18,28.81,4386000000.0,100214000000.0,95828000000.0,,
1996-09-19,28.69,4386000000.0,100214000000.0,95828000000.0,,
1996-09-20,28.63,4386000000.0,100214000000.0,95828000000.0,,
1996-09-23,28.75,4386000000.0,100214000000.0,95828000000.0,,
1996-09-24,29.06,4386000000.0,100214000000.0,95828000000.0,,
1996-09-25,28.94,4386000000.0,100214000000.0,95828000000.0,,
1996-09-26,29.13,4386000000.0,100214000000.0,95828000000.0,,
1996-09-27,29.81,4386000000.0,100214000000.0,95828000000.0,,
1996-09-30,29.5,4386000000.0,100214000000.0,95828000000.0,,
1996-10-01,30.0,4386000000.0,100214000000.0,95828000000.0,,
1996-10-02,29.69,4386000000.0,100214000000.0,95828000000.0,,
1996-10-03,29.56,4386000000.0,100214000000.0,95828000000.0,,
1996-10-04,30.75,4386000000.0,100214000000.0,95828000000.0,,
1996-10-07,30.13,4386000000.0,100214000000.0,95828000000.0,,
1996-10-08,30.44,4386000000.0,100214000000.0,95828000000.0,,
1996-10-09,30.31,4386000000.0,100214000000.0,95828000000.0,,
1996-10-10,30.13,4386000000.0,100214000000.0,95828000000.0,,
1996-10-11,30.13,4386000000.0,100214000000.0,95828000000.0,,
1996-10-14,30.19,4386000000.0,100214000000.0,95828000000.0,,
1996-10-15,30.06,4386000000.0,100214000000.0,95828000000.0,,
1996-10-16,30.94,4386000000.0,100214000000.0,95828000000.0,,
1996-10-17,31.38,4386000000.0,100214000000.0,95828000000.0,,
1996-10-18,31.19,4386000000.0,100214000000.0,95828000000.0,,
1996-10-21,30.69,4386000000.0,100214000000.0,95828000000.0,,
1996-10-22,30.69,4386000000.0,100214000000.0,95828000000.0,,
1996-10-23,31.25,4386000000.0,100214000000.0,95828000000.0,,
1996-10-24,30.69,4386000000.0,100214000000.0,95828000000.0,,
1996-10-25,30.94,4386000000.0,100214000000.0,95828000000.0,,
1996-10-28,31.0,4386000000.0,100214000000.0,95828000000.0,,
1996-10-29,31.31,4386000000.0,100214000000.0,95828000000.0,,
1996-10-30,31.38,4386000000.0,100214000000.0,95828000000.0,,
1996-10-31,31.5,4386000000.0,100214000000.0,95828000000.0,,
1996-11-01,32.31,4386000000.0,100214000000.0,95828000000.0,,
1996-11-04,32.19,4386000000.0,100214000000.0,95828000000.0,,
1996-11-05,32.38,4386000000.0,100214000000.0,95828000000.0,,
1996-11-06,32.69,4386000000.0,100214000000.0,95828000000.0,,
1996-11-07,33.31,4386000000.0,100214000000.0,95828000000.0,,
1996-11-08,33.25,4386000000.0,100214000000.0,95828000000.0,,
1996-11-11,33.69,4386000000.0,100214000000.0,95828000000.0,,
1996-11-12,33.19,4386000000.0,100214000000.0,95828000000.0,,
1996-11-13,33.38,4386000000.0,100214000000.0,95828000000.0,,
1996-11-14,33.31,4386000000.0,100214000000.0,95828000000.0,,
1996-11-15,33.0,4386000000.0,100214000000.0,95828000000.0,,
1996-11-18,32.75,4386000000.0,100214000000.0,95828000000.0,,
1996-11-19,32.44,4386000000.0,100214000000.0,95828000000.0,,
1996-11-20,33.13,4386000000.0,100214000000.0,95828000000.0,,
1996-11-21,33.0,4386000000.0,100214000000.0,95828000000.0,,
1996-11-22,33.5,4386000000.0,100214000000.0,95828000000.0,,
1996-11-25,34.0,4386000000.0,100214000000.0,95828000000.0,,
1996-11-26,34.19,4386000000.0,100214000000.0,95828000000.0,,
1996-11-27,33.81,4386000000.0,100214000000.0,95828000000.0,,
1996-11-29,34.19,4386000000.0,100214000000.0,95828000000.0,,
1996-12-02,34.38,4386000000.0,100214000000.0,95828000000.0,,
1996-12-03,34.31,4386000000.0,100214000000.0,95828000000.0,,
1996-12-04,33.25,4386000000.0,100214000000.0,95828000000.0,,
1996-12-05,33.06,4386000000.0,100214000000.0,95828000000.0,,
1996-12-06,32.5,4386000000.0,100214000000.0,95828000000.0,,
1996-12-09,33.0,4386000000.0,100214000000.0,95828000000.0,,
1996-12-10,32.88,4386000000.0,100214000000.0,95828000000.0,,
1996-12-11,32.44,4386000000.0,100214000000.0,95828000000.0,,
1996-12-12,32.38,4386000000.0,100214000000.0,95828000000.0,,
1996-12-13,32.13,4386000000.0,100214000000.0,95828000000.0,,
1996-12-16,32.0,4386000000.0,100214000000.0,95828000000.0,,
1996-12-17,32.44,4386000000.0,100214000000.0,95828000000.0,,
1996-12-18,32.94,4386000000.0,100214000000.0,95828000000.0,,
1996-12-19,34.31,4386000000.0,100214000000.0,95828000000.0,,
1996-12-20,34.75,4386000000.0,100214000000.0,95828000000.0,,
1996-12-23,34.25,4386000000.0,100214000000.0,95828000000.0,,
1996-12-24,34.31,4386000000.0,100214000000.0,95828000000.0,,
1996-12-26,34.63,4386000000.0,100214000000.0,95828000000.0,,
1996-12-27,34.38,4386000000.0,100214000000.0,95828000000.0,,
1996-12-30,34.63,4386000000.0,100214000000.0,95828000000.0,,
1996-12-31,33.75,4386000000.0,100214000000.0,95828000000.0,,
1997-01-02,32.81,4386000000.0,100214000000.0,95828000000.0,,
1997-01-03,33.69,4386000000.0,100214000000.0,95828000000.0,,
1997-01-06,34.19,4386000000.0,100214000000.0,95828000000.0,,
1997-01-07,34.5,4386000000.0,100214000000.0,95828000000.0,,
1997-01-08,34.44,4386000000.0,100214000000.0,95828000000.0,,
1997-01-09,34.63,4386000000.0,100214000000.0,95828000000.0,,
1997-01-10,33.88,4386000000.0,100214000000.0,95828000000.0,,
1997-01-13,33.5,4386000000.0,100214000000.0,95828000000.0,,
1997-01-14,34.13,4386000000.0,100214000000.0,95828000000.0,,
1997-01-15,33.94,4386000000.0,100214000000.0,95828000000.0,,
1997-01-16,33.94,4386000000.0,100214000000.0,95828000000.0,,
1997-01-17,34.69,4386000000.0,100214000000.0,95828000000.0,,
1997-01-20,34.88,4386000000.0,100214000000.0,95828000000.0,,
1997-01-21,35.06,4386000000.0,100214000000.0,95828000000.0,,
1997-01-22,35.94,4386000000.0,100214000000.0,95828000000.0,,
1997-01-23,36.06,4386000000.0,100214000000.0,95828000000.0,,
1997-01-24,36.13,4386000000.0,100214000000.0,95828000000.0,,
1997-01-27,35.44,4386000000.0,100214000000.0,95828000000.0,,
1997-01-28,35.56,4386000000.0,100214000000.0,95828000000.0,,
1997-01-29,35.19,4386000000.0,100214000000.0,95828000000.0,,
1997-01-30,35.88,4386000000.0,100214000000.0,95828000000.0,,
1997-01-31,36.69,4386000000.0,100214000000.0,95828000000.0,,
1997-02-03,37.06,4386000000.0,100214000000.0,95828000000.0,,
1997-02-04,37.31,4386000000.0,100214000000.0,95828000000.0,,
1997-02-05,38.13,4386000000.0,100214000000.0,95828000000.0,,
1997-02-06,37.56,4386000000.0,100214000000.0,95828000000.0,,
1997-02-07,37.63,4386000000.0,100214000000.0,95828000000.0,,
1997-02-10,39.19,4386000000.0,100214000000.0,95828000000.0,,
1997-02-11,39.19,4386000000.0,100214000000.0,95828000000.0,,
1997-02-12,39.0,4386000000.0,100214000000.0,95828000000.0,,
1997-02-13,39.13,4386000000.0,100214000000.0,95828000000.0,,
1997-02-14,40.38,4386000000.0,100214000000.0,95828000000.0,,
1997-02-18,39.5,4386000000.0,100214000000.0,95828000000.0,,
1997-02-19,39.56,4386000000.0,100214000000.0,95828000000.0,,
1997-02-20,38.63,4386000000.0,100214000000.0,95828000000.0,,
1997-02-21,37.63,4386000000.0,100214000000.0,95828000000.0,,
1997-02-24,38.88,4386000000.0,100214000000.0,95828000000.0,,
1997-02-25,39.13,4386000000.0,100214000000.0,95828000000.0,,
1997-02-26,38.69,4386000000.0,100214000000.0,95828000000.0,,
1997-02-27,37.81,4386000000.0,100214000000.0,95828000000.0,,
1997-02-28,37.5,4386000000.0,100214000000.0,95828000000.0,,
1997-03-03,37.25,4386000000.0,100214000000.0,95828000000.0,,
1997-03-04,37.06,4386000000.0,100214000000.0,95828000000.0,,
1997-03-05,37.44,4386000000.0,100214000000.0,95828000000.0,,
1997-03-06,37.63,4386000000.0,100214000000.0,95828000000.0,,
1997-03-07,38.38,4386000000.0,100214000000.0,95828000000.0,,
1997-03-10,39.19,4386000000.0,100214000000.0,95828000000.0,,
1997-03-11,39.75,4386000000.0,100214000000.0,95828000000.0,,
1997-03-12,39.44,4386000000.0,100214000000.0,95828000000.0,,
1997-03-13,38.0,4386000000.0,100214000000.0,95828000000.0,,
1997-03-14,37.94,4386000000.0,100214000000.0,95828000000.0,,
1997-03-17,37.56,4386000000.0,100214000000.0,95828000000.0,,
1997-03-18,36.94,4386000000.0,100214000000.0,95828000000.0,,
1997-03-19,36.38,4386000000.0,100214000000.0,95828000000.0,,
1997-03-20,36.31,4386000000.0,100214000000.0,95828000000.0,,
1997-03-21,37.56,4386000000.0,100214000000.0,95828000000.0,,
1997-03-24,36.94,4386000000.0,100214000000.0,95828000000.0,,
1997-03-25,37.63,4386000000.0,100214000000.0,95828000000.0,,
1997-03-26,36.81,4386000000.0,100214000000.0,95828000000.0,,
1997-03-27,36.5,4386000000.0,100214000000.0,95828000000.0,,
1997-03-31,36.06,4386000000.0,100214000000.0,95828000000.0,,
1997-04-01,35.94,4386000000.0,100214000000.0,95828000000.0,,
1997-04-02,35.5,4386000000.0,100214000000.0,95828000000.0,,
1997-04-03,34.75,4386000000.0,100214000000.0,95828000000.0,,
1997-04-04,34.88,4386000000.0,100214000000.0,95828000000.0,,
1997-04-07,35.75,4386000000.0,100214000000.0,95828000000.0,,
1997-04-08,35.44,4386000000.0,100214000000.0,95828000000.0,,
1997-04-09,35.75,4386000000.0,100214000000.0,95828000000.0,,
1997-04-10,35.81,4386000000.0,100214000000.0,95828000000.0,,
1997-04-11,34.94,4386000000.0,100214000000.0,95828000000.0,,
1997-04-14,34.31,4386000000.0,100214000000.0,95828000000.0,,
1997-04-15,34.69,4386000000.0,100214000000.0,95828000000.0,,
1997-04-16,35.0,4386000000.0,100214000000.0,95828000000.0,,
1997-04-17,34.75,4386000000.0,100214000000.0,95828000000.0,,
1997-04-18,35.19,4386000000.0,100214000000.0,95828000000.0,,
1997-04-21,34.5,4386000000.0,100214000000.0,95828000000.0,,
1997-04-22,35.13,4386000000.0,100214000000.0,95828000000.0,,
1997-04-23,35.31,4386000000.0,100214000000.0,95828000000.0,,
1997-04-24,35.06,4386000000.0,100214000000.0,95828000000.0,,
1997-04-25,34.56,4386000000.0,100214000000.0,95828000000.0,,
1997-04-28,34.88,4386000000.0,100214000000.0,95828000000.0,,
1997-04-29,36.63,4386000000.0,100214000000.0,95828000000.0,,
1997-04-30,37.25,4386000000.0,100214000000.0,95828000000.0,,
1997-05-01,36.81,4386000000.0,100214000000.0,95828000000.0,,
1997-05-02,37.0,4386000000.0,100214000000.0,95828000000.0,,
1997-05-05,38.5,4386000000.0,100214000000.0,95828000000.0,,
1997-05-06,38.5,4386000000.0,100214000000.0,95828000000.0,,
1997-05-07,38.0,4386000000.0,100214000000.0,95828000000.0,,
1997-05-08,38.69,4386000000.0,100214000000.0,95828000000.0,,
1997-05-09,38.63,4386000000.0,100214000000.0,95828000000.0,,
1997-05-12,38.69,4386000000.0,100214000000.0,95828000000.0,,
1997-05-13,38.06,4386000000.0,100214000000.0,95828000000.0,,
1997-05-14,38.19,4386000000.0,100214000000.0,95828000000.0,,
1997-05-15,38.44,4386000000.0,100214000000.0,95828000000.0,,
1997-05-16,37.63,4386000000.0,100214000000.0,95828000000.0,,
1997-05-19,38.25,4386000000.0,100214000000.0,95828000000.0,,
1997-05-20,38.88,4386000000.0,100214000000.0,95828000000.0,,
1997-05-21,39.5,4386000000.0,100214000000.0,95828000000.0,,
1997-05-22,39.19,4386000000.0,100214000000.0,95828000000.0,,
1997-05-23,38.75,4386000000.0,100214000000.0,95828000000.0,,
1997-05-27,37.94,4386000000.0,100214000000.0,95828000000.0,,
1997-05-28,37.94,4386000000.0,100214000000.0,95828000000.0,,
1997-05-29,37.81,4386000000.0,100214000000.0,95828000000.0,,
1997-05-30,39.0,4386000000.0,100214000000.0,95828000000.0,,
1997-06-02,38.56,4386000000.0,100214000000.0,95828000000.0,,
1997-06-03,38.31,4386000000.0,100214000000.0,95828000000.0,,
1997-06-04,38.31,4386000000.0,100214000000.0,95828000000.0,,
1997-06-05,38.81,4386000000.0,100214000000.0,95828000000.0,,
1997-06-06,39.0,4386000000.0,100214000000.0,95828000000.0,,
1997-06-09,39.56,4386000000.0,100214000000.0,95828000000.0,,
1997-06-10,40.69,4386000000.0,100214000000.0,95828000000.0,,
1997-06-11,41.19,4386000000.0,100214000000.0,95828000000.0,,
1997-06-12,42.5,4386000000.0,100214000000.0,95828000000.0,,
1997-06-13,42.63,4386000000.0,100214000000.0,95828000000.0,,
1997-06-16,43.13,4386000000.0,100214000000.0,95828000000.0,,
1997-06-17,42.44,4386000000.0,100214000000.0,95828000000.0,,
1997-06-18,42.19,4386000000.0,100214000000.0,95828000000.0,,
1997-06-19,42.5,4386000000.0,100214000000.0,95828000000.0,,
1997-06-20,42.44,4386000000.0,100214000000.0,95828000000.0,,
1997-06-23,42.0,4386000000.0,100214000000.0,95828000000.0,,
1997-06-24,42.28,4386000000.0,100214000000.0,95828000000.0,,
1997-06-25,42.38,4386000000.0,100214000000.0,95828000000.0,,
1997-06-26,42.19,4386000000.0,100214000000.0,95828000000.0,,
1997-06-27,41.94,4386000000.0,100214000000.0,95828000000.0,,
1997-06-30,41.38,4386000000.0,100214000000.0,95828000000.0,,
1997-07-01,41.16,4386000000.0,100214000000.0,95828000000.0,,
1997-07-02,42.47,4386000000.0,100214000000.0,95828000000.0,,
1997-07-03,43.22,4386000000.0,100214000000.0,95828000000.0,,
1997-07-07,43.22,4386000000.0,100214000000.0,95828000000.0,,
1997-07-08,43.06,4386000000.0,100214000000.0,95828000000.0,,
1997-07-09,43.31,4386000000.0,100214000000.0,95828000000.0,,
1997-07-10,43.91,4386000000.0,100214000000.0,95828000000.0,,
1997-07-11,44.0,4386000000.0,100214000000.0,95828000000.0,,
1997-07-14,43.72,4386000000.0,100214000000.0,95828000000.0,,
1997-07-15,43.66,4386000000.0,100214000000.0,95828000000.0,,
1997-07-16,43.97,4386000000.0,100214000000.0,95828000000.0,,
1997-07-17,42.88,4386000000.0,100214000000.0,95828000000.0,,
1997-07-18,41.81,4386000000.0,100214000000.0,95828000000.0,,
1997-07-21,41.47,4386000000.0,100214000000.0,95828000000.0,,
1997-07-22,42.47,4386000000.0,100214000000.0,95828000000.0,,
1997-07-23,43.72,4386000000.0,100214000000.0,95828000000.0,,
1997-07-24,43.09,4386000000.0,100214000000.0,95828000000.0,,
1997-07-25,43.5,4386000000.0,100214000000.0,95828000000.0,,
1997-07-28,42.94,4386000000.0,100214000000.0,95828000000.0,,
