date,close price,FTI_SHE,FTI_TA,FTI_TL,market cap,PB Ratio
2001-06-15,5.46,,,,,
2001-06-18,5.38,,,,,
2001-06-19,5.21,,,,,
2001-06-20,5.2,,,,,
2001-06-21,5.0,,,,,
2001-06-22,5.0,,,,,
2001-06-25,5.0,,,,,
2001-06-26,5.0,,,,,
2001-06-27,4.95,,,,,
2001-06-28,4.93,,,,,
2001-06-29,5.16,,,,,
2001-07-02,4.95,,,,,
2001-07-03,4.78,,,,,
2001-07-05,4.88,,,,,
2001-07-06,4.86,,,,,
2001-07-09,4.79,,,,,
2001-07-10,4.5,,,,,
2001-07-11,4.53,,,,,
2001-07-12,4.53,,,,,
2001-07-13,4.67,,,,,
2001-07-16,4.49,,,,,
2001-07-17,4.4,,,,,
2001-07-18,4.46,,,,,
2001-07-19,4.54,,,,,
2001-07-20,4.52,,,,,
2001-07-23,4.5,,,,,
2001-07-24,4.5,,,,,
2001-07-25,4.8,,,,,
2001-07-26,4.78,,,,,
2001-07-27,4.62,,,,,
2001-07-30,4.62,,,,,
2001-07-31,4.52,,,,,
2001-08-01,4.5,,,,,
2001-08-02,4.55,,,,,
2001-08-03,4.49,,,,,
2001-08-06,4.4,,,,,
2001-08-07,4.31,,,,,
2001-08-08,4.25,,,,,
2001-08-09,4.06,,,,,
2001-08-10,4.06,,,,,
2001-08-13,4.0,,,,,
2001-08-14,4.04,,,,,
2001-08-15,4.23,,,,,
2001-08-16,4.19,,,,,
2001-08-17,4.16,,,,,
2001-08-20,4.22,,,,,
2001-08-21,4.18,,,,,
2001-08-22,4.16,,,,,
2001-08-23,4.12,,,,,
2001-08-24,4.06,,,,,
2001-08-27,4.13,,,,,
2001-08-28,4.11,,,,,
2001-08-29,4.11,,,,,
2001-08-30,4.0,,,,,
2001-08-31,4.07,,,,,
2001-09-04,4.18,,,,,
2001-09-05,4.13,,,,,
2001-09-06,4.03,,,,,
2001-09-07,3.96,,,,,
2001-09-10,3.89,,,,,
2001-09-17,3.48,,,,,
2001-09-18,3.56,,,,,
2001-09-19,3.5,,,,,
2001-09-20,3.56,,,,,
2001-09-21,3.5,,,,,
2001-09-24,3.5,,,,,
2001-09-25,3.23,,,,,
2001-09-26,2.88,,,,,
2001-09-27,2.95,,,,,
2001-09-28,2.89,,,,,
2001-10-01,2.84,,,,,
2001-10-02,2.83,,,,,
2001-10-03,3.0,,,,,
2001-10-04,3.11,,,,,
2001-10-05,2.94,,,,,
2001-10-08,3.03,,,,,
2001-10-09,3.04,,,,,
2001-10-10,3.18,,,,,
2001-10-11,3.43,,,,,
2001-10-12,3.28,,,,,
2001-10-15,3.16,,,,,
2001-10-16,3.15,,,,,
2001-10-17,3.13,,,,,
2001-10-18,3.15,,,,,
2001-10-19,3.16,,,,,
2001-10-22,3.23,,,,,
2001-10-23,3.28,,,,,
2001-10-24,3.26,,,,,
2001-10-25,3.38,,,,,
2001-10-26,3.44,,,,,
2001-10-29,3.4,,,,,
2001-10-30,3.34,,,,,
2001-10-31,3.28,,,,,
2001-11-01,3.25,,,,,
2001-11-02,3.34,,,,,
2001-11-05,3.45,,,,,
2001-11-06,3.43,,,,,
2001-11-07,3.41,,,,,
2001-11-08,3.39,,,,,
2001-11-09,3.43,,,,,
2001-11-12,3.41,,,,,
2001-11-13,3.41,,,,,
2001-11-14,3.38,,,,,
2001-11-15,3.25,,,,,
2001-11-16,3.29,,,,,
2001-11-19,3.4,,,,,
2001-11-20,3.31,,,,,
2001-11-21,3.3,,,,,
2001-11-23,3.31,,,,,
2001-11-26,3.3,,,,,
2001-11-27,3.28,,,,,
2001-11-28,3.25,,,,,
2001-11-29,3.2,,,,,
2001-11-30,3.15,,,,,
2001-12-03,3.13,,,,,
2001-12-04,3.13,,,,,
2001-12-05,3.3,,,,,
2001-12-06,3.28,,,,,
2001-12-07,3.31,,,,,
2001-12-10,3.3,,,,,
2001-12-11,3.33,,,,,
2001-12-12,3.31,,,,,
2001-12-13,3.32,,,,,
2001-12-14,3.3,,,,,
2001-12-17,3.3,,,,,
2001-12-18,3.32,,,,,
2001-12-19,3.53,,,,,
2001-12-20,3.86,,,,,
2001-12-21,3.83,,,,,
2001-12-24,3.86,,,,,
2001-12-26,3.9,,,,,
2001-12-27,3.97,,,,,
2001-12-28,4.06,,,,,
2001-12-31,4.11,,,,,
2002-01-02,4.13,,,,,
2002-01-03,4.25,,,,,
2002-01-04,4.29,,,,,
2002-01-07,4.22,,,,,
2002-01-08,4.01,,,,,
2002-01-09,3.98,,,,,
2002-01-10,3.94,,,,,
2002-01-11,3.88,,,,,
2002-01-14,3.8,,,,,
2002-01-15,3.8,,,,,
2002-01-16,3.74,,,,,
2002-01-17,3.62,,,,,
2002-01-18,3.68,,,,,
2002-01-22,3.73,,,,,
2002-01-23,3.72,,,,,
2002-01-24,3.82,,,,,
2002-01-25,3.89,,,,,
2002-01-28,3.91,,,,,
2002-01-29,3.91,,,,,
2002-01-30,3.91,,,,,
2002-01-31,3.96,,,,,
2002-02-01,4.03,,,,,
2002-02-04,4.0,,,,,
2002-02-05,4.04,,,,,
2002-02-06,4.03,,,,,
2002-02-07,4.03,,,,,
2002-02-08,4.25,,,,,
2002-02-11,4.39,,,,,
2002-02-12,4.41,,,,,
2002-02-13,4.46,,,,,
2002-02-14,4.5,,,,,
2002-02-15,4.41,,,,,
2002-02-19,4.38,,,,,
2002-02-20,4.39,,,,,
2002-02-21,4.34,,,,,
2002-02-22,4.43,,,,,
2002-02-25,4.52,,,,,
2002-02-26,4.55,,,,,
2002-02-27,4.66,,,,,
2002-02-28,4.65,,,,,
2002-03-01,4.74,,,,,
2002-03-04,4.95,,,,,
2002-03-05,4.86,,,,,
2002-03-06,4.9,,,,,
2002-03-07,5.0,,,,,
2002-03-08,5.08,,,,,
2002-03-11,5.13,,,,,
2002-03-12,5.05,,,,,
2002-03-13,4.98,,,,,
2002-03-14,4.97,,,,,
2002-03-15,4.87,,,,,
2002-03-18,4.85,,,,,
2002-03-19,4.82,,,,,
2002-03-20,4.81,,,,,
2002-03-21,4.82,,,,,
2002-03-22,4.74,,,,,
2002-03-25,4.71,,,,,
2002-03-26,4.73,,,,,
2002-03-27,4.99,,,,,
2002-03-28,4.98,,,,,
2002-04-01,5.18,,,,,
2002-04-02,5.13,,,,,
2002-04-03,4.99,,,,,
2002-04-04,4.85,,,,,
2002-04-05,4.86,,,,,
2002-04-08,5.0,,,,,
2002-04-09,5.0,,,,,
2002-04-10,5.09,,,,,
2002-04-11,5.04,,,,,
2002-04-12,4.92,,,,,
2002-04-15,4.98,,,,,
2002-04-16,5.1,,,,,
2002-04-17,5.06,,,,,
2002-04-18,5.17,,,,,
2002-04-19,5.19,,,,,
2002-04-22,5.19,,,,,
2002-04-23,5.38,,,,,
2002-04-24,5.38,,,,,
2002-04-25,5.75,,,,,
2002-04-26,5.69,,,,,
2002-04-29,5.66,,,,,
2002-04-30,5.69,,,,,
2002-05-01,5.78,,,,,
2002-05-02,5.76,,,,,
2002-05-03,5.74,,,,,
2002-05-06,5.48,,,,,
2002-05-07,5.47,,,,,
2002-05-08,5.61,,,,,
2002-05-09,5.64,,,,,
2002-05-10,5.74,,,,,
2002-05-13,5.75,,,,,
2002-05-14,5.9,,,,,
2002-05-15,5.84,,,,,
2002-05-16,5.88,,,,,
2002-05-17,5.71,,,,,
2002-05-20,5.44,,,,,
2002-05-21,5.36,,,,,
2002-05-22,5.49,,,,,
2002-05-23,5.58,,,,,
2002-05-24,5.56,,,,,
2002-05-28,5.56,,,,,
2002-05-29,5.59,,,,,
2002-05-30,5.65,,,,,
2002-05-31,5.61,,,,,
2002-06-03,5.5,,,,,
2002-06-04,5.6,,,,,
2002-06-05,5.52,,,,,
2002-06-06,5.56,,,,,
2002-06-07,5.38,,,,,
2002-06-10,5.36,,,,,
2002-06-11,5.13,,,,,
2002-06-12,5.28,,,,,
2002-06-13,5.29,,,,,
2002-06-14,5.37,,,,,
2002-06-17,5.35,,,,,
2002-06-18,5.38,,,,,
2002-06-19,5.31,,,,,
2002-06-20,5.25,,,,,
2002-06-21,5.11,,,,,
2002-06-24,5.15,,,,,
2002-06-25,5.13,,,,,
2002-06-26,5.11,,,,,
2002-06-27,5.0,,,,,
2002-06-28,5.19,,,,,
2002-07-01,5.08,,,,,
2002-07-02,4.73,,,,,
2002-07-03,4.9,,,,,
2002-07-05,4.98,,,,,
2002-07-08,4.86,,,,,
2002-07-09,4.93,,,,,
2002-07-10,4.9,,,,,
2002-07-11,4.65,,,,,
2002-07-12,4.63,,,,,
2002-07-15,4.54,,,,,
2002-07-16,4.56,,,,,
2002-07-17,4.49,,,,,
2002-07-18,4.48,,,,,
2002-07-19,4.39,,,,,
2002-07-22,4.13,,,,,
2002-07-23,3.88,,,,,
2002-07-24,4.18,,,,,
2002-07-25,4.34,,,,,
2002-07-26,4.35,,,,,
2002-07-29,4.77,,,,,
2002-07-30,4.75,,,,,
2002-07-31,4.63,,,,,
2002-08-01,4.54,,,,,
2002-08-02,4.35,,,,,
2002-08-05,4.24,,,,,
2002-08-06,4.45,,,,,
2002-08-07,4.43,,,,,
2002-08-08,4.73,,,,,
2002-08-09,4.67,,,,,
2002-08-12,4.99,,,,,
2002-08-13,4.79,,,,,
2002-08-14,4.72,,,,,
2002-08-15,4.98,,,,,
2002-08-16,4.96,,,,,
2002-08-19,5.08,,,,,
2002-08-20,4.86,,,,,
2002-08-21,4.97,,,,,
2002-08-22,5.03,,,,,
2002-08-23,4.78,,,,,
2002-08-26,4.95,,,,,
2002-08-27,4.73,,,,,
2002-08-28,4.49,,,,,
2002-08-29,4.54,,,,,
2002-08-30,4.59,,,,,
2002-09-03,4.35,,,,,
2002-09-04,4.39,,,,,
2002-09-05,4.34,,,,,
2002-09-06,4.52,,,,,
2002-09-09,4.57,,,,,
2002-09-10,4.73,,,,,
2002-09-11,4.75,,,,,
2002-09-12,4.59,,,,,
2002-09-13,4.62,,,,,
2002-09-16,4.63,,,,,
2002-09-17,4.5,,,,,
2002-09-18,4.51,,,,,
2002-09-19,4.47,,,,,
2002-09-20,4.38,,,,,
2002-09-23,4.36,,,,,
2002-09-24,4.25,,,,,
2002-09-25,4.56,,,,,
2002-09-26,4.47,,,,,
2002-09-27,4.21,,,,,
2002-09-30,4.19,,,,,
2002-10-01,4.27,,,,,
2002-10-02,4.41,,,,,
2002-10-03,4.42,,,,,
2002-10-04,4.4,,,,,
2002-10-07,4.27,,,,,
2002-10-08,4.24,,,,,
2002-10-09,4.18,,,,,
2002-10-10,4.26,,,,,
2002-10-11,4.45,,,,,
2002-10-14,4.58,,,,,
2002-10-15,4.74,,,,,
2002-10-16,4.7,,,,,
2002-10-17,4.83,,,,,
2002-10-18,4.8,,,,,
2002-10-21,4.79,,,,,
2002-10-22,4.55,,,,,
2002-10-23,4.73,,,,,
2002-10-24,4.61,,,,,
2002-10-25,4.41,,,,,
2002-10-28,4.54,,,,,
2002-10-29,4.56,,,,,
2002-10-30,4.63,,,,,
2002-10-31,4.63,,,,,
2002-11-01,4.77,,,,,
2002-11-04,4.75,,,,,
2002-11-05,4.69,,,,,
2002-11-06,4.84,,,,,
2002-11-07,4.7,,,,,
2002-11-08,4.64,,,,,
2002-11-11,4.49,,,,,
2002-11-12,4.47,,,,,
2002-11-13,4.33,,,,,
2002-11-14,4.46,,,,,
2002-11-15,4.5,,,,,
2002-11-18,4.66,,,,,
2002-11-19,4.63,,,,,
2002-11-20,4.74,,,,,
2002-11-21,4.7,,,,,
2002-11-22,4.68,,,,,
2002-11-25,4.75,,,,,
2002-11-26,4.69,,,,,
2002-11-27,4.77,,,,,
2002-11-29,4.82,,,,,
2002-12-02,5.01,,,,,
2002-12-03,5.04,,,,,
2002-12-04,5.0,,,,,
2002-12-05,4.98,,,,,
2002-12-06,4.97,,,,,
2002-12-09,4.92,,,,,
2002-12-10,4.93,,,,,
2002-12-11,4.94,,,,,
2002-12-12,4.98,,,,,
2002-12-13,4.91,,,,,
2002-12-16,5.19,,,,,
2002-12-17,5.14,,,,,
2002-12-18,4.9,,,,,
2002-12-19,4.88,,,,,
2002-12-20,5.01,,,,,
2002-12-23,4.98,,,,,
