date,close price,ETN_SHE,ETN_TA,ETN_TL,market cap,PB Ratio
1989-11-17,5.86,1199000000.0,3076000000.0,1877000000.0,,
1989-11-20,5.84,1199000000.0,3076000000.0,1877000000.0,,
1989-11-21,5.84,1199000000.0,3076000000.0,1877000000.0,,
1989-11-22,5.84,1199000000.0,3076000000.0,1877000000.0,,
1989-11-24,5.91,1199000000.0,3076000000.0,1877000000.0,,
1989-11-27,5.91,1199000000.0,3076000000.0,1877000000.0,,
1989-11-28,5.97,1199000000.0,3076000000.0,1877000000.0,,
1989-11-29,5.95,1199000000.0,3076000000.0,1877000000.0,,
1989-11-30,6.02,1199000000.0,3076000000.0,1877000000.0,,
1989-12-01,6.05,1199000000.0,3076000000.0,1877000000.0,,
1989-12-04,6.1,1199000000.0,3076000000.0,1877000000.0,,
1989-12-05,6.03,1199000000.0,3076000000.0,1877000000.0,,
1989-12-06,6.01,1199000000.0,3076000000.0,1877000000.0,,
1989-12-07,6.02,1199000000.0,3076000000.0,1877000000.0,,
1989-12-08,6.05,1199000000.0,3076000000.0,1877000000.0,,
1989-12-11,6.05,1199000000.0,3076000000.0,1877000000.0,,
1989-12-12,6.18,1199000000.0,3076000000.0,1877000000.0,,
1989-12-13,6.02,1199000000.0,3076000000.0,1877000000.0,,
1989-12-14,6.02,1199000000.0,3076000000.0,1877000000.0,,
1989-12-15,6.07,1199000000.0,3076000000.0,1877000000.0,,
1989-12-18,6.1,1199000000.0,3076000000.0,1877000000.0,,
1989-12-19,6.09,1199000000.0,3076000000.0,1877000000.0,,
1989-12-20,6.07,1199000000.0,3076000000.0,1877000000.0,,
1989-12-21,6.02,1199000000.0,3076000000.0,1877000000.0,,
1989-12-22,6.03,1199000000.0,3076000000.0,1877000000.0,,
1989-12-26,6.18,1199000000.0,3076000000.0,1877000000.0,,
1989-12-27,6.18,1199000000.0,3076000000.0,1877000000.0,,
1989-12-28,6.18,1199000000.0,3076000000.0,1877000000.0,,
1989-12-29,6.18,1199000000.0,3076000000.0,1877000000.0,,
1990-01-02,6.18,1199000000.0,3076000000.0,1877000000.0,,
1990-01-03,6.16,1199000000.0,3076000000.0,1877000000.0,,
1990-01-04,6.07,1199000000.0,3076000000.0,1877000000.0,,
1990-01-05,6.06,1199000000.0,3076000000.0,1877000000.0,,
1990-01-08,6.1,1199000000.0,3076000000.0,1877000000.0,,
1990-01-09,6.01,1199000000.0,3076000000.0,1877000000.0,,
1990-01-10,5.99,1199000000.0,3076000000.0,1877000000.0,,
1990-01-11,5.94,1199000000.0,3076000000.0,1877000000.0,,
1990-01-12,5.75,1199000000.0,3076000000.0,1877000000.0,,
1990-01-15,5.75,1199000000.0,3076000000.0,1877000000.0,,
1990-01-16,5.79,1199000000.0,3076000000.0,1877000000.0,,
1990-01-17,5.75,1199000000.0,3076000000.0,1877000000.0,,
1990-01-18,5.79,1199000000.0,3076000000.0,1877000000.0,,
1990-01-19,5.67,1199000000.0,3076000000.0,1877000000.0,,
1990-01-22,5.56,1199000000.0,3076000000.0,1877000000.0,,
1990-01-23,5.48,1199000000.0,3076000000.0,1877000000.0,,
1990-01-24,5.48,1199000000.0,3076000000.0,1877000000.0,,
1990-01-25,5.48,1199000000.0,3076000000.0,1877000000.0,,
1990-01-26,5.59,1199000000.0,3076000000.0,1877000000.0,,
1990-01-29,5.68,1199000000.0,3076000000.0,1877000000.0,,
1990-01-30,5.71,1199000000.0,3076000000.0,1877000000.0,,
1990-01-31,5.75,1199000000.0,3076000000.0,1877000000.0,,
1990-02-01,5.71,1199000000.0,3076000000.0,1877000000.0,,
1990-02-02,5.68,1199000000.0,3076000000.0,1877000000.0,,
1990-02-05,5.56,1199000000.0,3076000000.0,1877000000.0,,
1990-02-06,5.5,1199000000.0,3076000000.0,1877000000.0,,
1990-02-07,5.53,1199000000.0,3076000000.0,1877000000.0,,
1990-02-08,5.55,1199000000.0,3076000000.0,1877000000.0,,
1990-02-09,5.53,1199000000.0,3076000000.0,1877000000.0,,
1990-02-12,5.5,1199000000.0,3076000000.0,1877000000.0,,
1990-02-13,5.49,1199000000.0,3076000000.0,1877000000.0,,
1990-02-14,5.56,1199000000.0,3076000000.0,1877000000.0,,
1990-02-15,5.56,1199000000.0,3076000000.0,1877000000.0,,
1990-02-16,5.49,1199000000.0,3076000000.0,1877000000.0,,
1990-02-20,5.45,1199000000.0,3076000000.0,1877000000.0,,
1990-02-21,5.55,1199000000.0,3076000000.0,1877000000.0,,
1990-02-22,5.48,1199000000.0,3076000000.0,1877000000.0,,
1990-02-23,5.45,1199000000.0,3076000000.0,1877000000.0,,
1990-02-26,5.4,1199000000.0,3076000000.0,1877000000.0,,
1990-02-27,5.44,1199000000.0,3076000000.0,1877000000.0,,
1990-02-28,5.55,1199000000.0,3076000000.0,1877000000.0,,
1990-03-01,5.53,1199000000.0,3076000000.0,1877000000.0,,
1990-03-02,5.55,1199000000.0,3076000000.0,1877000000.0,,
1990-03-05,5.55,1199000000.0,3076000000.0,1877000000.0,,
1990-03-06,5.56,1199000000.0,3076000000.0,1877000000.0,,
1990-03-07,5.64,1199000000.0,3076000000.0,1877000000.0,,
1990-03-08,5.86,1199000000.0,3076000000.0,1877000000.0,,
1990-03-09,5.88,1199000000.0,3076000000.0,1877000000.0,,
1990-03-12,6.02,1199000000.0,3076000000.0,1877000000.0,,
1990-03-13,6.07,1199000000.0,3076000000.0,1877000000.0,,
1990-03-14,5.98,1199000000.0,3076000000.0,1877000000.0,,
1990-03-15,5.99,1199000000.0,3076000000.0,1877000000.0,,
1990-03-16,5.99,1199000000.0,3076000000.0,1877000000.0,,
1990-03-19,5.98,1199000000.0,3076000000.0,1877000000.0,,
1990-03-20,5.99,1199000000.0,3076000000.0,1877000000.0,,
1990-03-21,6.02,1199000000.0,3076000000.0,1877000000.0,,
1990-03-22,6.03,1199000000.0,3076000000.0,1877000000.0,,
1990-03-23,6.02,1199000000.0,3076000000.0,1877000000.0,,
1990-03-26,6.05,1199000000.0,3076000000.0,1877000000.0,,
1990-03-27,6.11,1199000000.0,3076000000.0,1877000000.0,,
1990-03-28,6.13,1199000000.0,3076000000.0,1877000000.0,,
1990-03-29,6.1,1199000000.0,3076000000.0,1877000000.0,,
1990-03-30,6.1,1199000000.0,3076000000.0,1877000000.0,,
1990-04-02,6.03,1199000000.0,3076000000.0,1877000000.0,,
1990-04-03,6.09,1199000000.0,3076000000.0,1877000000.0,,
1990-04-04,6.05,1199000000.0,3076000000.0,1877000000.0,,
1990-04-05,6.02,1199000000.0,3076000000.0,1877000000.0,,
1990-04-06,6.02,1199000000.0,3076000000.0,1877000000.0,,
1990-04-09,6.03,1199000000.0,3076000000.0,1877000000.0,,
1990-04-10,5.99,1199000000.0,3076000000.0,1877000000.0,,
1990-04-11,6.01,1199000000.0,3076000000.0,1877000000.0,,
1990-04-12,6.01,1199000000.0,3076000000.0,1877000000.0,,
1990-04-16,5.98,1199000000.0,3076000000.0,1877000000.0,,
1990-04-17,5.97,1199000000.0,3076000000.0,1877000000.0,,
1990-04-18,5.87,1199000000.0,3076000000.0,1877000000.0,,
1990-04-19,5.83,1199000000.0,3076000000.0,1877000000.0,,
1990-04-20,5.79,1199000000.0,3076000000.0,1877000000.0,,
1990-04-23,5.75,1199000000.0,3076000000.0,1877000000.0,,
1990-04-24,5.73,1199000000.0,3076000000.0,1877000000.0,,
1990-04-25,5.8,1199000000.0,3076000000.0,1877000000.0,,
1990-04-26,5.95,1199000000.0,3076000000.0,1877000000.0,,
1990-04-27,5.95,1199000000.0,3076000000.0,1877000000.0,,
1990-04-30,5.98,1199000000.0,3076000000.0,1877000000.0,,
1990-05-01,5.9,1199000000.0,3076000000.0,1877000000.0,,
1990-05-02,5.91,1199000000.0,3076000000.0,1877000000.0,,
1990-05-03,5.91,1199000000.0,3076000000.0,1877000000.0,,
1990-05-04,6.05,1199000000.0,3076000000.0,1877000000.0,,
1990-05-07,6.2,1199000000.0,3076000000.0,1877000000.0,,
1990-05-08,6.33,1199000000.0,3076000000.0,1877000000.0,,
1990-05-09,6.4,1199000000.0,3076000000.0,1877000000.0,,
1990-05-10,6.39,1199000000.0,3076000000.0,1877000000.0,,
1990-05-11,6.49,1199000000.0,3076000000.0,1877000000.0,,
1990-05-14,6.48,1199000000.0,3076000000.0,1877000000.0,,
1990-05-15,6.59,1199000000.0,3076000000.0,1877000000.0,,
1990-05-16,6.56,1199000000.0,3076000000.0,1877000000.0,,
1990-05-17,6.58,1199000000.0,3076000000.0,1877000000.0,,
1990-05-18,6.6,1199000000.0,3076000000.0,1877000000.0,,
1990-05-21,6.62,1199000000.0,3076000000.0,1877000000.0,,
1990-05-22,6.64,1199000000.0,3076000000.0,1877000000.0,,
1990-05-23,6.66,1199000000.0,3076000000.0,1877000000.0,,
1990-05-24,6.64,1199000000.0,3076000000.0,1877000000.0,,
1990-05-25,6.63,1199000000.0,3076000000.0,1877000000.0,,
1990-05-29,6.66,1199000000.0,3076000000.0,1877000000.0,,
1990-05-30,6.67,1199000000.0,3076000000.0,1877000000.0,,
1990-05-31,6.66,1199000000.0,3076000000.0,1877000000.0,,
1990-06-01,6.52,1199000000.0,3076000000.0,1877000000.0,,
1990-06-04,6.59,1199000000.0,3076000000.0,1877000000.0,,
1990-06-05,6.72,1199000000.0,3076000000.0,1877000000.0,,
1990-06-06,6.81,1199000000.0,3076000000.0,1877000000.0,,
1990-06-07,6.74,1199000000.0,3076000000.0,1877000000.0,,
1990-06-08,6.68,1199000000.0,3076000000.0,1877000000.0,,
1990-06-11,6.77,1199000000.0,3076000000.0,1877000000.0,,
1990-06-12,6.93,1199000000.0,3076000000.0,1877000000.0,,
1990-06-13,6.89,1199000000.0,3076000000.0,1877000000.0,,
1990-06-14,6.83,1199000000.0,3076000000.0,1877000000.0,,
1990-06-15,6.72,1199000000.0,3076000000.0,1877000000.0,,
1990-06-18,6.75,1199000000.0,3076000000.0,1877000000.0,,
1990-06-19,6.77,1199000000.0,3076000000.0,1877000000.0,,
1990-06-20,6.74,1199000000.0,3076000000.0,1877000000.0,,
1990-06-21,6.79,1199000000.0,3076000000.0,1877000000.0,,
1990-06-22,6.81,1199000000.0,3076000000.0,1877000000.0,,
1990-06-25,6.78,1199000000.0,3076000000.0,1877000000.0,,
1990-06-26,6.78,1199000000.0,3076000000.0,1877000000.0,,
1990-06-27,6.81,1199000000.0,3076000000.0,1877000000.0,,
1990-06-28,6.81,1199000000.0,3076000000.0,1877000000.0,,
1990-06-29,6.82,1199000000.0,3076000000.0,1877000000.0,,
1990-07-02,6.82,1199000000.0,3076000000.0,1877000000.0,,
1990-07-03,6.82,1199000000.0,3076000000.0,1877000000.0,,
1990-07-05,6.72,1199000000.0,3076000000.0,1877000000.0,,
1990-07-06,6.77,1199000000.0,3076000000.0,1877000000.0,,
1990-07-09,6.72,1199000000.0,3076000000.0,1877000000.0,,
1990-07-10,6.66,1199000000.0,3076000000.0,1877000000.0,,
1990-07-11,6.75,1199000000.0,3076000000.0,1877000000.0,,
1990-07-12,6.83,1199000000.0,3076000000.0,1877000000.0,,
1990-07-13,6.89,1199000000.0,3076000000.0,1877000000.0,,
1990-07-16,6.89,1199000000.0,3076000000.0,1877000000.0,,
1990-07-17,6.98,1199000000.0,3076000000.0,1877000000.0,,
1990-07-18,6.91,1199000000.0,3076000000.0,1877000000.0,,
1990-07-19,6.91,1199000000.0,3076000000.0,1877000000.0,,
1990-07-20,6.74,1199000000.0,3076000000.0,1877000000.0,,
1990-07-23,6.64,1199000000.0,3076000000.0,1877000000.0,,
1990-07-24,6.68,1199000000.0,3076000000.0,1877000000.0,,
1990-07-25,6.74,1199000000.0,3076000000.0,1877000000.0,,
1990-07-26,6.59,1199000000.0,3076000000.0,1877000000.0,,
1990-07-27,6.51,1199000000.0,3076000000.0,1877000000.0,,
1990-07-30,6.71,1199000000.0,3076000000.0,1877000000.0,,
1990-07-31,6.55,1199000000.0,3076000000.0,1877000000.0,,
1990-08-01,6.62,1199000000.0,3076000000.0,1877000000.0,,
1990-08-02,6.44,1199000000.0,3076000000.0,1877000000.0,,
1990-08-03,6.21,1199000000.0,3076000000.0,1877000000.0,,
1990-08-06,5.95,1199000000.0,3076000000.0,1877000000.0,,
1990-08-07,5.91,1199000000.0,3076000000.0,1877000000.0,,
1990-08-08,5.88,1199000000.0,3076000000.0,1877000000.0,,
1990-08-09,5.83,1199000000.0,3076000000.0,1877000000.0,,
1990-08-10,5.64,1199000000.0,3076000000.0,1877000000.0,,
1990-08-13,5.65,1199000000.0,3076000000.0,1877000000.0,,
1990-08-14,5.76,1199000000.0,3076000000.0,1877000000.0,,
1990-08-15,5.64,1199000000.0,3076000000.0,1877000000.0,,
1990-08-16,5.64,1199000000.0,3076000000.0,1877000000.0,,
1990-08-17,5.45,1199000000.0,3076000000.0,1877000000.0,,
1990-08-20,5.56,1199000000.0,3076000000.0,1877000000.0,,
1990-08-21,5.45,1199000000.0,3076000000.0,1877000000.0,,
1990-08-22,5.44,1199000000.0,3076000000.0,1877000000.0,,
1990-08-23,5.37,1199000000.0,3076000000.0,1877000000.0,,
1990-08-24,5.4,1199000000.0,3076000000.0,1877000000.0,,
1990-08-27,5.44,1199000000.0,3076000000.0,1877000000.0,,
1990-08-28,5.41,1199000000.0,3076000000.0,1877000000.0,,
1990-08-29,5.46,1199000000.0,3076000000.0,1877000000.0,,
1990-08-30,5.48,1199000000.0,3076000000.0,1877000000.0,,
1990-08-31,5.55,1199000000.0,3076000000.0,1877000000.0,,
1990-09-04,5.52,1199000000.0,3076000000.0,1877000000.0,,
1990-09-05,5.53,1199000000.0,3076000000.0,1877000000.0,,
1990-09-06,5.48,1199000000.0,3076000000.0,1877000000.0,,
1990-09-07,5.44,1199000000.0,3076000000.0,1877000000.0,,
1990-09-10,5.38,1199000000.0,3076000000.0,1877000000.0,,
1990-09-11,5.22,1199000000.0,3076000000.0,1877000000.0,,
1990-09-12,5.18,1199000000.0,3076000000.0,1877000000.0,,
1990-09-13,5.12,1199000000.0,3076000000.0,1877000000.0,,
1990-09-14,5.02,1199000000.0,3076000000.0,1877000000.0,,
1990-09-17,4.99,1199000000.0,3076000000.0,1877000000.0,,
1990-09-18,5.03,1199000000.0,3076000000.0,1877000000.0,,
1990-09-19,4.98,1199000000.0,3076000000.0,1877000000.0,,
1990-09-20,4.96,1199000000.0,3076000000.0,1877000000.0,,
1990-09-21,5.0,1199000000.0,3076000000.0,1877000000.0,,
1990-09-24,4.94,1199000000.0,3076000000.0,1877000000.0,,
1990-09-25,4.91,1199000000.0,3076000000.0,1877000000.0,,
1990-09-26,4.87,1199000000.0,3076000000.0,1877000000.0,,
1990-09-27,4.77,1199000000.0,3076000000.0,1877000000.0,,
1990-09-28,4.8,1199000000.0,3076000000.0,1877000000.0,,
1990-10-01,4.8,1199000000.0,3076000000.0,1877000000.0,,
1990-10-02,4.83,1199000000.0,3076000000.0,1877000000.0,,
1990-10-03,4.77,1199000000.0,3076000000.0,1877000000.0,,
1990-10-04,4.75,1199000000.0,3076000000.0,1877000000.0,,
1990-10-05,4.66,1199000000.0,3076000000.0,1877000000.0,,
1990-10-08,4.72,1199000000.0,3076000000.0,1877000000.0,,
1990-10-09,4.72,1199000000.0,3076000000.0,1877000000.0,,
1990-10-10,4.64,1199000000.0,3076000000.0,1877000000.0,,
1990-10-11,4.64,1199000000.0,3076000000.0,1877000000.0,,
1990-10-12,4.62,1199000000.0,3076000000.0,1877000000.0,,
1990-10-15,4.56,1199000000.0,3076000000.0,1877000000.0,,
1990-10-16,4.56,1199000000.0,3076000000.0,1877000000.0,,
1990-10-17,4.56,1199000000.0,3076000000.0,1877000000.0,,
1990-10-18,4.6,1199000000.0,3076000000.0,1877000000.0,,
1990-10-19,4.65,1199000000.0,3076000000.0,1877000000.0,,
1990-10-22,4.65,1199000000.0,3076000000.0,1877000000.0,,
1990-10-23,4.56,1199000000.0,3076000000.0,1877000000.0,,
1990-10-24,4.62,1199000000.0,3076000000.0,1877000000.0,,
1990-10-25,4.56,1199000000.0,3076000000.0,1877000000.0,,
1990-10-26,4.45,1199000000.0,3076000000.0,1877000000.0,,
1990-10-29,4.5,1199000000.0,3076000000.0,1877000000.0,,
1990-10-30,4.57,1199000000.0,3076000000.0,1877000000.0,,
1990-10-31,4.47,1199000000.0,3076000000.0,1877000000.0,,
1990-11-01,4.53,1199000000.0,3076000000.0,1877000000.0,,
1990-11-02,4.54,1199000000.0,3076000000.0,1877000000.0,,
1990-11-05,4.61,1199000000.0,3076000000.0,1877000000.0,,
1990-11-06,4.62,1199000000.0,3076000000.0,1877000000.0,,
1990-11-07,4.58,1199000000.0,3076000000.0,1877000000.0,,
1990-11-08,4.6,1199000000.0,3076000000.0,1877000000.0,,
1990-11-09,4.69,1199000000.0,3076000000.0,1877000000.0,,
1990-11-12,4.72,1199000000.0,3076000000.0,1877000000.0,,
1990-11-13,4.76,1199000000.0,3076000000.0,1877000000.0,,
1990-11-14,4.77,1199000000.0,3076000000.0,1877000000.0,,
1990-11-15,4.84,1199000000.0,3076000000.0,1877000000.0,,
1990-11-16,4.8,1199000000.0,3076000000.0,1877000000.0,,
1990-11-19,4.83,1199000000.0,3076000000.0,1877000000.0,,
1990-11-20,4.84,1199000000.0,3076000000.0,1877000000.0,,
1990-11-21,4.95,1199000000.0,3076000000.0,1877000000.0,,
1990-11-23,4.96,1199000000.0,3076000000.0,1877000000.0,,
1990-11-26,4.98,1199000000.0,3076000000.0,1877000000.0,,
1990-11-27,4.94,1199000000.0,3076000000.0,1877000000.0,,
1990-11-28,4.98,1199000000.0,3076000000.0,1877000000.0,,
1990-11-29,4.98,1199000000.0,3076000000.0,1877000000.0,,
1990-11-30,5.04,1199000000.0,3076000000.0,1877000000.0,,
1990-12-03,5.18,1199000000.0,3076000000.0,1877000000.0,,
1990-12-04,5.31,1199000000.0,3076000000.0,1877000000.0,,
1990-12-05,5.37,1199000000.0,3076000000.0,1877000000.0,,
1990-12-06,5.25,1199000000.0,3076000000.0,1877000000.0,,
1990-12-07,5.31,1199000000.0,3076000000.0,1877000000.0,,
1990-12-10,5.41,1199000000.0,3076000000.0,1877000000.0,,
1990-12-11,5.3,1199000000.0,3076000000.0,1877000000.0,,
1990-12-12,5.48,1199000000.0,3076000000.0,1877000000.0,,
1990-12-13,5.44,1199000000.0,3076000000.0,1877000000.0,,
1990-12-14,5.31,1199000000.0,3076000000.0,1877000000.0,,
1990-12-17,5.34,1199000000.0,3076000000.0,1877000000.0,,
1990-12-18,5.34,1199000000.0,3076000000.0,1877000000.0,,
1990-12-19,5.31,1199000000.0,3076000000.0,1877000000.0,,
1990-12-20,5.31,1199000000.0,3076000000.0,1877000000.0,,
1990-12-21,5.34,1199000000.0,3076000000.0,1877000000.0,,
1990-12-24,5.36,1199000000.0,3076000000.0,1877000000.0,,
1990-12-26,5.41,1199000000.0,3076000000.0,1877000000.0,,
1990-12-27,5.36,1199000000.0,3076000000.0,1877000000.0,,
1990-12-28,5.4,1199000000.0,3076000000.0,1877000000.0,,
1990-12-31,5.41,1199000000.0,3076000000.0,1877000000.0,,
1991-01-02,5.38,1199000000.0,3076000000.0,1877000000.0,,
1991-01-03,5.31,1199000000.0,3076000000.0,1877000000.0,,
1991-01-04,5.34,1199000000.0,3076000000.0,1877000000.0,,
1991-01-07,5.34,1199000000.0,3076000000.0,1877000000.0,,
1991-01-08,5.31,1199000000.0,3076000000.0,1877000000.0,,
1991-01-09,5.23,1199000000.0,3076000000.0,1877000000.0,,
1991-01-10,5.31,1199000000.0,3076000000.0,1877000000.0,,
1991-01-11,5.26,1199000000.0,3076000000.0,1877000000.0,,
1991-01-14,5.19,1199000000.0,3076000000.0,1877000000.0,,
1991-01-15,5.11,1199000000.0,3076000000.0,1877000000.0,,
1991-01-16,5.06,1199000000.0,3076000000.0,1877000000.0,,
1991-01-17,5.14,1199000000.0,3076000000.0,1877000000.0,,
1991-01-18,5.18,1199000000.0,3076000000.0,1877000000.0,,
1991-01-21,5.19,1199000000.0,3076000000.0,1877000000.0,,
1991-01-22,5.26,1199000000.0,3076000000.0,1877000000.0,,
1991-01-23,5.25,1199000000.0,3076000000.0,1877000000.0,,
1991-01-24,5.29,1199000000.0,3076000000.0,1877000000.0,,
1991-01-25,5.37,1199000000.0,3076000000.0,1877000000.0,,
1991-01-28,5.42,1199000000.0,3076000000.0,1877000000.0,,
1991-01-29,5.45,1199000000.0,3076000000.0,1877000000.0,,
1991-01-30,5.99,1199000000.0,3076000000.0,1877000000.0,,
1991-01-31,5.92,1199000000.0,3076000000.0,1877000000.0,,
1991-02-01,5.9,1199000000.0,3076000000.0,1877000000.0,,
1991-02-04,6.02,1199000000.0,3076000000.0,1877000000.0,,
1991-02-05,6.09,1199000000.0,3076000000.0,1877000000.0,,
1991-02-06,6.14,1199000000.0,3076000000.0,1877000000.0,,
1991-02-07,6.29,1199000000.0,3076000000.0,1877000000.0,,
1991-02-08,6.43,1199000000.0,3076000000.0,1877000000.0,,
1991-02-11,6.43,1199000000.0,3076000000.0,1877000000.0,,
1991-02-12,6.13,1199000000.0,3076000000.0,1877000000.0,,
1991-02-13,6.22,1199000000.0,3076000000.0,1877000000.0,,
1991-02-14,6.24,1199000000.0,3076000000.0,1877000000.0,,
1991-02-15,6.26,1199000000.0,3076000000.0,1877000000.0,,
1991-02-19,6.26,1199000000.0,3076000000.0,1877000000.0,,
1991-02-20,6.21,1199000000.0,3076000000.0,1877000000.0,,
1991-02-21,6.1,1199000000.0,3076000000.0,1877000000.0,,
1991-02-22,5.99,1199000000.0,3076000000.0,1877000000.0,,
1991-02-25,6.16,1199000000.0,3076000000.0,1877000000.0,,
1991-02-26,6.16,1199000000.0,3076000000.0,1877000000.0,,
1991-02-27,6.24,1199000000.0,3076000000.0,1877000000.0,,
1991-02-28,6.21,1199000000.0,3076000000.0,1877000000.0,,
1991-03-01,6.22,1199000000.0,3076000000.0,1877000000.0,,
1991-03-04,6.33,1199000000.0,3076000000.0,1877000000.0,,
1991-03-05,6.45,1199000000.0,3076000000.0,1877000000.0,,
1991-03-06,6.32,1199000000.0,3076000000.0,1877000000.0,,
1991-03-07,6.43,1199000000.0,3076000000.0,1877000000.0,,
1991-03-08,6.43,1199000000.0,3076000000.0,1877000000.0,,
1991-03-11,6.44,1199000000.0,3076000000.0,1877000000.0,,
1991-03-12,6.4,1199000000.0,3076000000.0,1877000000.0,,
1991-03-13,6.48,1199000000.0,3076000000.0,1877000000.0,,
1991-03-14,6.58,1199000000.0,3076000000.0,1877000000.0,,
1991-03-15,6.59,1199000000.0,3076000000.0,1877000000.0,,
1991-03-18,6.58,1199000000.0,3076000000.0,1877000000.0,,
1991-03-19,6.51,1199000000.0,3076000000.0,1877000000.0,,
1991-03-20,6.4,1199000000.0,3076000000.0,1877000000.0,,
1991-03-21,6.32,1199000000.0,3076000000.0,1877000000.0,,
1991-03-22,6.26,1199000000.0,3076000000.0,1877000000.0,,
1991-03-25,6.39,1199000000.0,3076000000.0,1877000000.0,,
1991-03-26,6.4,1199000000.0,3076000000.0,1877000000.0,,
1991-03-27,6.28,1199000000.0,3076000000.0,1877000000.0,,
1991-03-28,6.1,1199000000.0,3076000000.0,1877000000.0,,
1991-04-01,6.13,1199000000.0,3076000000.0,1877000000.0,,
1991-04-02,6.18,1199000000.0,3076000000.0,1877000000.0,,
1991-04-03,6.18,1199000000.0,3076000000.0,1877000000.0,,
1991-04-04,6.25,1199000000.0,3076000000.0,1877000000.0,,
1991-04-05,6.18,1199000000.0,3076000000.0,1877000000.0,,
1991-04-08,6.17,1199000000.0,3076000000.0,1877000000.0,,
1991-04-09,6.13,1199000000.0,3076000000.0,1877000000.0,,
1991-04-10,5.99,1199000000.0,3076000000.0,1877000000.0,,
1991-04-11,5.99,1199000000.0,3076000000.0,1877000000.0,,
1991-04-12,6.09,1199000000.0,3076000000.0,1877000000.0,,
1991-04-15,6.13,1199000000.0,3076000000.0,1877000000.0,,
1991-04-16,6.3,1199000000.0,3076000000.0,1877000000.0,,
1991-04-17,6.43,1199000000.0,3076000000.0,1877000000.0,,
1991-04-18,6.43,1199000000.0,3076000000.0,1877000000.0,,
1991-04-19,6.3,1199000000.0,3076000000.0,1877000000.0,,
1991-04-22,6.33,1199000000.0,3076000000.0,1877000000.0,,
1991-04-23,6.43,1199000000.0,3076000000.0,1877000000.0,,
1991-04-24,6.28,1199000000.0,3076000000.0,1877000000.0,,
1991-04-25,6.48,1199000000.0,3076000000.0,1877000000.0,,
1991-04-26,6.39,1199000000.0,3076000000.0,1877000000.0,,
1991-04-29,6.36,1199000000.0,3076000000.0,1877000000.0,,
1991-04-30,6.35,1199000000.0,3076000000.0,1877000000.0,,
