date,close price,CSX_SHE,CSX_TA,CSX_TL,market cap,PB Ratio
1980-11-03,1.17,,,,,
1980-11-05,1.18,,,,,
1980-11-06,1.16,,,,,
1980-11-07,1.15,,,,,
1980-11-10,1.16,,,,,
1980-11-11,1.19,,,,,
1980-11-12,1.24,,,,,
1980-11-13,1.27,,,,,
1980-11-14,1.26,,,,,
1980-11-17,1.25,,,,,
1980-11-18,1.27,,,,,
1980-11-19,1.27,,,,,
1980-11-20,1.25,,,,,
1980-11-21,1.26,,,,,
1980-11-24,1.26,,,,,
1980-11-25,1.26,,,,,
1980-11-26,1.26,,,,,
1980-11-28,1.26,,,,,
1980-12-01,1.25,,,,,
1980-12-02,1.24,,,,,
1980-12-03,1.25,,,,,
1980-12-04,1.26,,,,,
1980-12-05,1.24,,,,,
1980-12-08,1.21,,,,,
1980-12-09,1.22,,,,,
1980-12-10,1.22,,,,,
1980-12-11,1.17,,,,,
1980-12-12,1.19,,,,,
1980-12-15,1.22,,,,,
1980-12-16,1.2,,,,,
1980-12-17,1.22,,,,,
1980-12-18,1.24,,,,,
1980-12-19,1.25,,,,,
1980-12-22,1.27,,,,,
1980-12-23,1.3,,,,,
1980-12-24,1.34,,,,,
1980-12-26,1.35,,,,,
1980-12-29,1.32,,,,,
1980-12-30,1.32,,,,,
1980-12-31,1.33,,,,,
1981-01-02,1.33,,,,,
1981-01-05,1.35,,,,,
1981-01-06,1.36,,,,,
1981-01-07,1.33,,,,,
1981-01-08,1.32,,,,,
1981-01-09,1.3,,,,,
1981-01-12,1.31,,,,,
1981-01-13,1.3,,,,,
1981-01-14,1.3,,,,,
1981-01-15,1.31,,,,,
1981-01-16,1.34,,,,,
1981-01-19,1.38,,,,,
1981-01-20,1.39,,,,,
1981-01-21,1.39,,,,,
1981-01-22,1.38,,,,,
1981-01-23,1.38,,,,,
1981-01-26,1.36,,,,,
1981-01-27,1.4,,,,,
1981-01-28,1.42,,,,,
1981-01-29,1.42,,,,,
1981-01-30,1.46,,,,,
1981-02-02,1.42,,,,,
1981-02-03,1.43,,,,,
1981-02-04,1.44,,,,,
1981-02-05,1.43,,,,,
1981-02-06,1.44,,,,,
1981-02-09,1.38,,,,,
1981-02-10,1.38,,,,,
1981-02-11,1.35,,,,,
1981-02-12,1.28,,,,,
1981-02-13,1.26,,,,,
1981-02-17,1.29,,,,,
1981-02-18,1.33,,,,,
1981-02-19,1.31,,,,,
1981-02-20,1.28,,,,,
1981-02-23,1.3,,,,,
1981-02-24,1.33,,,,,
1981-02-25,1.31,,,,,
1981-02-26,1.32,,,,,
1981-02-27,1.31,,,,,
1981-03-02,1.3,,,,,
1981-03-03,1.3,,,,,
1981-03-04,1.31,,,,,
1981-03-05,1.3,,,,,
1981-03-06,1.28,,,,,
1981-03-09,1.28,,,,,
1981-03-10,1.28,,,,,
1981-03-11,1.27,,,,,
1981-03-12,1.36,,,,,
1981-03-13,1.39,,,,,
1981-03-16,1.42,,,,,
1981-03-17,1.42,,,,,
1981-03-18,1.41,,,,,
1981-03-19,1.39,,,,,
1981-03-20,1.41,,,,,
1981-03-23,1.43,,,,,
1981-03-24,1.44,,,,,
1981-03-25,1.49,,,,,
1981-03-26,1.51,,,,,
1981-03-27,1.49,,,,,
1981-03-30,1.51,,,,,
1981-03-31,1.54,,,,,
1981-04-01,1.49,,,,,
1981-04-02,1.45,,,,,
1981-04-03,1.45,,,,,
1981-04-06,1.41,,,,,
1981-04-07,1.44,,,,,
1981-04-08,1.5,,,,,
1981-04-09,1.51,,,,,
1981-04-10,1.5,,,,,
1981-04-13,1.47,,,,,
1981-04-14,1.48,,,,,
1981-04-15,1.51,,,,,
1981-04-16,1.5,,,,,
1981-04-20,1.48,,,,,
1981-04-21,1.44,,,,,
1981-04-22,1.45,,,,,
1981-04-23,1.47,,,,,
1981-04-24,1.49,,,,,
1981-04-27,1.47,,,,,
1981-04-28,1.47,,,,,
1981-04-29,1.44,,,,,
1981-04-30,1.4,,,,,
1981-05-01,1.39,,,,,
1981-05-04,1.38,,,,,
1981-05-05,1.38,,,,,
1981-05-06,1.4,,,,,
1981-05-07,1.43,,,,,
1981-05-08,1.45,,,,,
1981-05-11,1.4,,,,,
1981-05-12,1.41,,,,,
1981-05-13,1.41,,,,,
1981-05-14,1.41,,,,,
1981-05-15,1.41,,,,,
1981-05-18,1.42,,,,,
1981-05-19,1.4,,,,,
1981-05-20,1.41,,,,,
1981-05-21,1.41,,,,,
1981-05-22,1.42,,,,,
1981-05-26,1.44,,,,,
1981-05-27,1.46,,,,,
1981-05-28,1.48,,,,,
1981-05-29,1.49,,,,,
1981-06-01,1.51,,,,,
1981-06-02,1.48,,,,,
1981-06-03,1.44,,,,,
1981-06-04,1.45,,,,,
1981-06-05,1.46,,,,,
1981-06-08,1.51,,,,,
1981-06-09,1.51,,,,,
1981-06-10,1.52,,,,,
1981-06-11,1.55,,,,,
1981-06-12,1.56,,,,,
1981-06-15,1.53,,,,,
1981-06-16,1.53,,,,,
1981-06-17,1.53,,,,,
1981-06-18,1.54,,,,,
1981-06-19,1.53,,,,,
1981-06-22,1.53,,,,,
1981-06-23,1.54,,,,,
1981-06-24,1.53,,,,,
1981-06-25,1.53,,,,,
1981-06-26,1.53,,,,,
1981-06-29,1.52,,,,,
1981-06-30,1.53,,,,,
1981-07-01,1.53,,,,,
