date,HAL,dcf,Deviation
1972-06-01,3.95,,
1972-06-02,3.98,,
1972-06-05,3.82,,
1972-06-06,3.81,,
1972-06-07,3.8,,
1972-06-08,3.78,,
1972-06-09,3.76,,
1972-06-12,3.76,,
1972-06-13,3.74,,
1972-06-14,3.77,,
1972-06-15,3.8,,
1972-06-16,3.82,,
1972-06-19,3.86,,
1972-06-20,3.85,,
1972-06-21,3.86,,
1972-06-22,3.88,,
1972-06-23,3.94,,
1972-06-26,3.94,,
1972-06-27,3.97,,
1972-06-28,3.97,,
1972-06-29,3.99,,
1972-06-30,3.96,,
1972-07-03,3.93,,
1972-07-05,3.93,,
1972-07-06,3.92,,
1972-07-07,3.87,,
1972-07-10,3.91,,
1972-07-11,3.88,,
1972-07-12,3.81,,
1972-07-13,3.81,,
1972-07-14,3.88,,
1972-07-17,3.87,,
1972-07-18,3.87,,
1972-07-19,3.89,,
1972-07-20,3.85,,
1972-07-21,3.88,,
1972-07-24,3.88,,
1972-07-25,3.93,,
1972-07-26,3.92,,
1972-07-27,3.97,,
1972-07-28,3.99,,
1972-07-31,3.99,,
1972-08-01,4.03,,
1972-08-02,4.2,,
1972-08-03,4.31,,
1972-08-04,4.35,,
1972-08-07,4.32,,
1972-08-08,4.43,,
1972-08-09,4.45,,
1972-08-10,4.5,,
1972-08-11,4.61,,
1972-08-14,4.65,,
1972-08-15,4.62,,
1972-08-16,4.57,,
1972-08-17,4.57,,
1972-08-18,4.57,,
1972-08-21,4.5,,
1972-08-22,4.55,,
1972-08-23,4.56,,
1972-08-24,4.5,,
1972-08-25,4.28,,
1972-08-28,4.25,,
1972-08-29,4.22,,
1972-08-30,4.31,,
1972-08-31,4.45,,
1972-09-01,4.48,,
1972-09-05,4.42,,
1972-09-06,4.41,,
1972-09-07,4.42,,
1972-09-08,4.37,,
1972-09-11,4.38,,
1972-09-12,4.3,,
1972-09-13,4.31,,
1972-09-14,4.33,,
1972-09-15,4.33,,
1972-09-18,4.32,,
1972-09-19,4.3,,
1972-09-20,4.26,,
1972-09-21,4.23,,
1972-09-22,4.32,,
1972-09-25,4.33,,
1972-09-26,4.36,,
1972-09-27,4.48,,
1972-09-28,4.63,,
1972-09-29,4.71,,
1972-10-02,4.68,,
1972-10-03,4.77,,
1972-10-04,4.78,,
1972-10-05,4.69,,
1972-10-06,4.62,,
1972-10-09,4.66,,
1972-10-10,4.77,,
1972-10-11,4.77,,
1972-10-12,4.76,,
1972-10-13,4.75,,
1972-10-16,4.71,,
1972-10-17,4.71,,
1972-10-18,4.83,,
1972-10-19,4.83,,
1972-10-20,4.87,,
1972-10-23,4.95,,
1972-10-24,4.96,,
1972-10-25,4.92,,
1972-10-26,4.84,,
1972-10-27,4.88,,
1972-10-30,4.93,,
1972-10-31,5.06,,
1972-11-01,5.16,,
1972-11-02,5.19,,
1972-11-03,5.32,,
1972-11-06,5.36,,
1972-11-08,5.38,,
1972-11-09,5.39,,
1972-11-10,5.39,,
1972-11-13,5.41,,
1972-11-14,5.31,,
1972-11-15,5.19,,
1972-11-16,5.16,,
1972-11-17,5.11,,
1972-11-20,5.1,,
1972-11-21,5.11,,
1972-11-22,5.16,,
1972-11-24,5.16,,
1972-11-27,5.13,,
1972-11-28,5.08,,
1972-11-29,5.08,,
1972-11-30,5.08,,
1972-12-01,5.19,,
1972-12-04,5.3,,
1972-12-05,5.4,,
1972-12-06,5.51,,
1972-12-07,5.51,,
1972-12-08,5.52,,
1972-12-11,5.43,,
1972-12-12,5.47,,
1972-12-13,5.44,,
1972-12-14,5.45,,
1972-12-15,5.4,,
1972-12-18,5.35,,
1972-12-19,5.38,,
1972-12-20,5.35,,
1972-12-21,5.4,,
1972-12-22,5.47,,
1972-12-26,5.46,,
1972-12-27,5.49,,
1972-12-29,5.57,,
1973-01-02,5.65,,
1973-01-03,5.7,,
1973-01-04,5.82,,
1973-01-05,6.08,,
1973-01-08,6.02,,
1973-01-09,5.96,,
1973-01-10,6.05,,
1973-01-11,6.35,,
1973-01-12,6.15,,
1973-01-15,6.32,,
1973-01-16,6.31,,
1973-01-17,6.25,,
1973-01-18,6.31,,
1973-01-19,6.32,,
1973-01-22,6.32,,
1973-01-23,6.32,,
1973-01-24,6.27,,
1973-01-26,6.19,,
1973-01-29,6.15,,
1973-01-30,5.89,,
1973-01-31,5.66,,
1973-02-01,5.73,,
1973-02-02,5.78,,
1973-02-05,5.76,,
1973-02-06,5.81,,
1973-02-07,5.84,,
1973-02-08,5.8,,
1973-02-09,5.9,,
1973-02-12,6.13,,
1973-02-13,6.14,,
1973-02-14,6.07,,
1973-02-15,5.94,,
1973-02-16,5.9,,
1973-02-20,5.91,,
1973-02-21,5.81,,
1973-02-22,5.72,,
1973-02-23,5.7,,
1973-02-26,5.44,,
1973-02-27,5.32,,
1973-02-28,5.6,,
1973-03-01,5.52,,
1973-03-02,5.62,,
1973-03-05,5.64,,
1973-03-06,5.65,,
1973-03-07,5.53,,
1973-03-08,5.67,,
1973-03-09,5.65,,
1973-03-12,5.68,,
1973-03-13,5.8,,
1973-03-14,5.75,,
1973-03-15,5.74,,
1973-03-16,5.62,,
1973-03-19,5.44,,
1973-03-20,5.42,,
1973-03-21,5.12,,
1973-03-22,5.02,,
1973-03-23,5.17,,
1973-03-26,5.38,,
1973-03-27,5.4,,
1973-03-28,5.56,,
1973-03-29,5.55,,
1973-03-30,5.45,,
1973-04-02,5.39,,
1973-04-03,5.43,,
1973-04-04,5.38,,
1973-04-05,5.24,,
1973-04-06,5.32,,
1973-04-09,5.4,,
1973-04-10,5.68,,
1973-04-11,5.7,,
1973-04-12,5.72,,
1973-04-13,5.61,,
1973-04-16,5.56,,
1973-04-17,5.44,,
1973-04-18,5.59,,
1973-04-19,5.65,,
1973-04-23,5.75,,
1973-04-24,5.58,,
1973-04-25,5.47,,
1973-04-26,5.42,,
1973-04-27,5.41,,
1973-04-30,5.27,,
1973-05-01,5.32,,
1973-05-02,5.43,,
1973-05-03,5.49,,
1973-05-04,5.57,,
1973-05-07,5.55,,
1973-05-08,5.64,,
1973-05-09,5.66,,
1973-05-10,5.6,,
1973-05-11,5.51,,
1973-05-14,5.38,,
1973-05-15,5.42,,
1973-05-16,5.53,,
1973-05-17,5.4,,
1973-05-18,5.24,,
1973-05-21,5.24,,
1973-05-22,5.23,,
1973-05-23,5.24,,
1973-05-24,5.52,,
1973-05-25,5.54,,
1973-05-29,5.65,,
1973-05-30,5.55,,
1973-05-31,5.42,,
1973-06-01,5.39,,
1973-06-04,5.32,,
1973-06-05,5.51,,
1973-06-06,5.52,,
1973-06-07,5.76,,
1973-06-08,5.97,,
1973-06-11,5.97,,
1973-06-12,6.17,,
1973-06-13,6.24,,
1973-06-14,6.23,,
1973-06-15,6.08,,
1973-06-18,5.75,,
1973-06-19,5.75,,
1973-06-20,5.84,,
1973-06-21,5.84,,
1973-06-22,5.93,,
1973-06-25,5.84,,
1973-06-26,5.89,,
1973-06-27,5.97,,
1973-06-28,6.09,,
1973-06-29,6.01,,
1973-07-02,5.9,,
1973-07-03,5.84,,
1973-07-05,5.81,,
1973-07-06,5.79,,
1973-07-09,5.9,,
1973-07-10,5.94,,
1973-07-11,6.19,,
1973-07-12,6.19,,
1973-07-13,6.11,,
1973-07-16,6.11,,
1973-07-17,6.06,,
1973-07-18,6.18,,
1973-07-19,6.23,,
1973-07-20,6.25,,
1973-07-23,6.33,,
1973-07-24,6.35,,
1973-07-25,6.53,,
1973-07-26,6.43,,
1973-07-27,6.46,,
1973-07-30,6.55,,
1973-07-31,6.44,,
1973-08-01,6.46,,
1973-08-02,6.55,,
1973-08-03,6.52,,
1973-08-06,6.63,,
1973-08-07,6.59,,
1973-08-08,6.58,,
1973-08-09,6.54,,
1973-08-10,6.43,,
1973-08-13,6.35,,
1973-08-14,6.29,,
1973-08-15,6.28,,
1973-08-16,6.25,,
1973-08-17,6.27,,
1973-08-20,6.23,,
1973-08-21,6.22,,
1973-08-22,6.11,,
1973-08-23,6.18,,
1973-08-24,6.25,,
1973-08-27,6.28,,
1973-08-28,6.34,,
1973-08-29,6.39,,
