date,XEL,dcf,Deviation
1973-02-21,7.25,,
1973-02-22,7.25,,
1973-02-23,7.22,,
1973-02-26,7.13,,
1973-02-27,7.13,,
1973-02-28,6.97,,
1973-03-01,7.0,,
1973-03-02,7.06,,
1973-03-05,7.0,,
1973-03-06,7.09,,
1973-03-07,7.0,,
1973-03-08,7.06,,
1973-03-09,7.06,,
1973-03-12,7.06,,
1973-03-13,7.13,,
1973-03-14,7.16,,
1973-03-15,7.13,,
1973-03-16,7.0,,
1973-03-19,6.94,,
1973-03-20,6.94,,
1973-03-21,6.97,,
1973-03-22,6.94,,
1973-03-23,7.06,,
1973-03-26,6.91,,
1973-03-27,6.94,,
1973-03-28,6.94,,
1973-03-29,6.94,,
1973-03-30,6.88,,
1973-04-02,6.91,,
1973-04-03,6.88,,
1973-04-04,6.84,,
1973-04-05,6.84,,
1973-04-06,6.78,,
1973-04-09,6.81,,
1973-04-10,6.94,,
1973-04-11,6.94,,
1973-04-12,7.03,,
1973-04-13,7.0,,
1973-04-16,7.06,,
1973-04-17,7.03,,
1973-04-18,7.03,,
1973-04-19,7.09,,
1973-04-23,7.13,,
1973-04-24,7.13,,
1973-04-25,7.03,,
1973-04-26,7.09,,
1973-04-27,7.09,,
1973-04-30,7.06,,
1973-05-01,7.13,,
1973-05-02,7.16,,
1973-05-03,7.16,,
1973-05-04,7.13,,
1973-05-07,7.19,,
1973-05-08,7.13,,
1973-05-09,7.0,,
1973-05-10,7.03,,
1973-05-11,7.06,,
1973-05-14,7.0,,
1973-05-15,7.0,,
1973-05-16,7.0,,
1973-05-17,7.0,,
1973-05-18,7.03,,
1973-05-21,7.06,,
1973-05-22,7.13,,
1973-05-23,7.19,,
1973-05-24,7.16,,
1973-05-25,7.25,,
1973-05-29,7.25,,
1973-05-30,7.25,,
1973-05-31,7.19,,
1973-06-01,7.22,,
1973-06-04,7.25,,
1973-06-05,7.38,,
1973-06-06,7.41,,
1973-06-07,7.47,,
1973-06-08,7.5,,
1973-06-11,7.41,,
1973-06-12,7.5,,
1973-06-13,7.44,,
1973-06-14,7.44,,
1973-06-15,7.38,,
1973-06-18,7.44,,
1973-06-19,7.41,,
1973-06-20,7.38,,
1973-06-21,7.38,,
1973-06-22,7.44,,
1973-06-25,7.13,,
1973-06-26,7.03,,
1973-06-27,7.13,,
1973-06-28,7.06,,
1973-06-29,7.06,,
1973-07-02,7.06,,
1973-07-03,7.06,,
1973-07-05,7.03,,
1973-07-06,7.0,,
1973-07-09,7.03,,
1973-07-10,6.91,,
1973-07-11,6.97,,
1973-07-12,7.0,,
1973-07-13,6.84,,
1973-07-16,6.84,,
1973-07-17,6.88,,
1973-07-18,6.84,,
1973-07-19,6.81,,
1973-07-20,6.84,,
1973-07-23,6.81,,
1973-07-24,7.03,,
1973-07-25,7.0,,
1973-07-26,7.03,,
1973-07-27,6.97,,
1973-07-30,6.94,,
1973-07-31,6.94,,
1973-08-01,6.81,,
1973-08-02,6.78,,
1973-08-03,6.78,,
1973-08-06,6.69,,
1973-08-07,6.59,,
1973-08-08,6.53,,
1973-08-09,6.5,,
1973-08-10,6.44,,
1973-08-13,6.31,,
1973-08-14,6.31,,
1973-08-15,6.44,,
1973-08-16,6.28,,
1973-08-17,6.34,,
1973-08-20,6.25,,
1973-08-21,6.22,,
1973-08-22,6.22,,
1973-08-23,6.22,,
1973-08-24,6.19,,
1973-08-27,6.16,,
1973-08-28,6.22,,
1973-08-29,6.31,,
1973-08-30,6.47,,
1973-08-31,6.63,,
1973-09-04,6.59,,
1973-09-05,6.59,,
1973-09-06,6.69,,
1973-09-07,6.69,,
1973-09-10,6.66,,
1973-09-11,6.53,,
1973-09-12,6.56,,
1973-09-13,6.59,,
1973-09-14,6.53,,
1973-09-17,6.63,,
1973-09-18,6.56,,
1973-09-19,6.63,,
1973-09-20,6.59,,
1973-09-21,6.75,,
1973-09-24,6.75,,
1973-09-25,6.72,,
1973-09-26,6.81,,
1973-09-27,6.88,,
1973-09-28,6.84,,
1973-10-01,6.78,,
1973-10-02,6.66,,
1973-10-03,6.59,,
1973-10-04,6.56,,
1973-10-05,6.56,,
1973-10-08,6.5,,
1973-10-09,6.5,,
1973-10-10,6.47,,
1973-10-11,6.44,,
