date,HBAN,dcf,Deviation
1980-03-17,1.83,,
1980-03-18,1.79,,
1980-03-19,1.81,,
1980-03-20,1.81,,
1980-03-21,1.81,,
1980-03-24,1.81,,
1980-03-25,1.79,,
1980-03-26,1.79,,
1980-03-27,1.73,,
1980-03-28,1.73,,
1980-03-31,1.92,,
1980-04-01,2.13,,
1980-04-02,2.09,,
1980-04-03,2.04,,
1980-04-07,1.88,,
1980-04-08,1.87,,
1980-04-09,1.88,,
1980-04-10,1.88,,
1980-04-11,1.88,,
1980-04-14,1.83,,
1980-04-15,1.81,,
1980-04-16,1.81,,
1980-04-17,1.79,,
1980-04-18,1.79,,
1980-04-21,1.79,,
1980-04-22,1.79,,
1980-04-23,1.79,,
1980-04-24,1.75,,
1980-04-25,1.75,,
1980-04-28,1.75,,
1980-04-29,1.75,,
1980-04-30,1.75,,
1980-05-01,1.75,,
1980-05-02,1.75,,
1980-05-05,1.77,,
1980-05-06,1.77,,
1980-05-07,1.77,,
1980-05-08,1.77,,
1980-05-09,1.79,,
1980-05-12,1.81,,
1980-05-13,1.85,,
1980-05-14,1.85,,
1980-05-15,1.87,,
1980-05-16,1.87,,
1980-05-19,1.87,,
1980-05-20,1.87,,
1980-05-21,1.87,,
1980-05-22,1.87,,
1980-05-23,1.87,,
1980-05-27,1.88,,
1980-05-28,1.9,,
1980-05-29,1.92,,
1980-05-30,1.96,,
1980-06-02,1.96,,
1980-06-03,1.96,,
1980-06-04,1.96,,
1980-06-05,2.0,,
1980-06-06,2.02,,
1980-06-09,2.02,,
1980-06-10,2.02,,
1980-06-11,2.04,,
1980-06-12,2.08,,
1980-06-13,2.09,,
1980-06-16,2.09,,
1980-06-17,2.09,,
1980-06-18,2.09,,
1980-06-19,2.09,,
1980-06-20,2.09,,
1980-06-23,2.11,,
1980-06-24,2.11,,
1980-06-25,2.17,,
1980-06-26,2.23,,
1980-06-27,2.3,,
1980-06-30,2.36,,
1980-07-01,2.36,,
1980-07-02,2.38,,
1980-07-03,2.38,,
1980-07-07,2.38,,
1980-07-08,2.38,,
1980-07-09,2.38,,
1980-07-10,2.38,,
1980-07-11,2.38,,
1980-07-14,2.38,,
1980-07-15,2.38,,
1980-07-16,2.38,,
1980-07-17,2.38,,
1980-07-18,2.38,,
1980-07-21,2.38,,
1980-07-22,2.38,,
1980-07-23,2.38,,
1980-07-24,2.38,,
1980-07-25,2.4,,
1980-07-28,2.42,,
1980-07-29,2.42,,
1980-07-30,2.42,,
1980-07-31,2.42,,
1980-08-01,2.42,,
1980-08-04,2.42,,
1980-08-05,2.42,,
1980-08-06,2.42,,
1980-08-07,2.42,,
1980-08-08,2.42,,
1980-08-11,2.42,,
1980-08-12,2.38,,
1980-08-13,2.34,,
1980-08-14,2.3,,
1980-08-15,2.28,,
1980-08-18,2.28,,
1980-08-19,2.21,,
1980-08-20,2.21,,
1980-08-21,2.21,,
1980-08-22,2.23,,
1980-08-25,2.27,,
1980-08-26,2.28,,
1980-08-27,2.36,,
1980-08-28,2.38,,
1980-08-29,2.44,,
1980-09-02,2.42,,
1980-09-03,2.48,,
1980-09-04,2.51,,
1980-09-05,2.51,,
1980-09-08,2.51,,
1980-09-09,2.51,,
1980-09-10,2.51,,
1980-09-11,2.51,,
1980-09-12,2.51,,
1980-09-15,2.51,,
1980-09-16,2.51,,
1980-09-17,2.51,,
1980-09-18,2.51,,
1980-09-19,2.51,,
1980-09-22,2.51,,
1980-09-23,2.51,,
1980-09-24,2.51,,
1980-09-25,2.51,,
1980-09-26,2.51,,
1980-09-29,2.34,,
1980-09-30,2.34,,
1980-10-01,2.28,,
1980-10-02,2.21,,
1980-10-03,2.21,,
1980-10-06,2.21,,
1980-10-07,2.21,,
1980-10-08,2.21,,
1980-10-09,2.19,,
1980-10-10,2.19,,
1980-10-13,2.17,,
1980-10-14,2.17,,
1980-10-15,2.17,,
1980-10-16,2.17,,
1980-10-17,2.17,,
1980-10-20,2.17,,
1980-10-21,2.17,,
1980-10-22,2.17,,
1980-10-23,2.17,,
1980-10-24,2.17,,
1980-10-27,2.17,,
1980-10-28,2.15,,
1980-10-29,2.13,,
1980-10-30,2.13,,
1980-10-31,2.13,,
1980-11-03,2.11,,
