date,TWTR,dcf,Deviation
2013-11-07,44.9,,
2013-11-08,41.65,,
2013-11-11,42.9,,
2013-11-12,41.9,,
2013-11-13,42.6,,
2013-11-14,44.69,,
2013-11-15,43.98,,
2013-11-18,41.14,,
2013-11-19,41.75,,
2013-11-20,41.05,,
2013-11-21,42.06,,
2013-11-22,41.0,,
2013-11-25,39.06,,
2013-11-26,40.18,,
2013-11-27,40.9,,
2013-11-29,41.57,,
2013-12-02,40.78,,
2013-12-03,41.37,,
2013-12-04,43.69,,
2013-12-05,45.62,,
2013-12-06,44.95,,
2013-12-09,49.14,,
2013-12-10,51.99,,
2013-12-11,52.34,,
2013-12-12,55.33,,
2013-12-13,59.0,,
2013-12-16,56.61,,
2013-12-17,56.45,,
2013-12-18,55.51,,
2013-12-19,57.49,,
2013-12-20,60.01,,
2013-12-23,64.54,,
2013-12-24,69.96,,
2013-12-26,73.31,,
2013-12-27,63.75,,
2013-12-30,60.51,,
2013-12-31,63.65,,
2014-01-02,67.5,,
2014-01-03,69.0,,
2014-01-06,66.29,,
2014-01-07,61.46,,
2014-01-08,59.29,,
2014-01-09,57.05,,
2014-01-10,57.0,,
2014-01-13,57.82,,
2014-01-14,58.21,,
2014-01-15,61.57,,
2014-01-16,60.57,,
2014-01-17,62.2,,
2014-01-21,62.53,,
2014-01-22,62.44,,
2014-01-23,62.8,,
2014-01-24,61.74,,
2014-01-27,57.91,,
2014-01-28,60.44,,
2014-01-29,59.45,,
2014-01-30,63.47,,
2014-01-31,64.5,,
2014-02-03,65.25,,
2014-02-04,66.32,,
2014-02-05,65.97,,
2014-02-06,50.03,,
2014-02-07,54.35,,
2014-02-10,52.92,,
2014-02-11,54.0,,
2014-02-12,56.85,,
2014-02-13,56.47,,
2014-02-14,57.44,,
2014-02-18,58.18,,
2014-02-19,55.5,,
2014-02-20,56.63,,
2014-02-21,55.92,,
2014-02-24,55.78,,
2014-02-25,54.96,,
2014-02-26,55.87,,
2014-02-27,55.77,,
2014-02-28,54.91,,
2014-03-03,53.71,,
2014-03-04,54.28,,
2014-03-05,54.38,,
2014-03-06,54.83,,
2014-03-07,53.53,,
2014-03-10,53.88,,
2014-03-11,54.02,,
2014-03-12,54.5,,
2014-03-13,53.57,,
2014-03-14,51.92,,
2014-03-17,52.05,,
2014-03-18,51.13,,
2014-03-19,51.24,,
2014-03-20,50.12,,
2014-03-21,50.92,,
2014-03-24,48.77,,
2014-03-25,47.88,,
