date,NBL,dcf,Deviation
1980-03-17,3.33,,
1980-03-18,3.61,,
1980-03-19,3.61,,
1980-03-20,3.61,,
1980-03-21,3.55,,
1980-03-24,3.39,,
1980-03-25,3.36,,
1980-03-26,3.44,,
1980-03-27,3.25,,
1980-03-28,3.36,,
1980-03-31,3.53,,
1980-04-01,3.67,,
1980-04-02,3.67,,
1980-04-03,3.64,,
1980-04-07,3.5,,
1980-04-08,3.53,,
1980-04-09,3.58,,
1980-04-10,3.64,,
1980-04-11,3.64,,
1980-04-14,3.61,,
1980-04-15,3.64,,
1980-04-16,3.61,,
1980-04-17,3.55,,
1980-04-18,3.58,,
1980-04-21,3.5,,
1980-04-22,3.72,,
1980-04-23,3.72,,
1980-04-24,3.78,,
1980-04-25,3.75,,
1980-04-28,3.83,,
1980-04-29,3.92,,
1980-04-30,3.89,,
1980-05-01,3.92,,
1980-05-02,3.97,,
1980-05-05,4.03,,
1980-05-06,4.0,,
1980-05-07,4.03,,
1980-05-08,3.97,,
1980-05-09,3.83,,
1980-05-12,3.75,,
1980-05-13,3.81,,
1980-05-14,3.86,,
1980-05-15,4.06,,
1980-05-16,4.09,,
1980-05-19,4.11,,
1980-05-20,4.17,,
1980-05-21,4.2,,
1980-05-22,4.31,,
1980-05-23,4.28,,
1980-05-27,4.37,,
1980-05-28,4.31,,
1980-05-29,4.28,,
1980-05-30,4.34,,
1980-06-02,4.25,,
1980-06-03,4.28,,
1980-06-04,4.34,,
1980-06-05,4.37,,
1980-06-06,4.45,,
1980-06-09,4.48,,
1980-06-10,4.64,,
1980-06-11,4.74,,
1980-06-12,4.67,,
1980-06-13,4.59,,
1980-06-16,4.52,,
1980-06-17,4.78,,
1980-06-18,4.77,,
1980-06-19,4.81,,
1980-06-20,4.73,,
1980-06-23,4.7,,
1980-06-24,4.94,,
1980-06-25,5.04,,
1980-06-26,5.09,,
1980-06-27,4.99,,
1980-06-30,4.78,,
1980-07-01,4.78,,
1980-07-02,4.78,,
1980-07-03,4.92,,
1980-07-07,5.09,,
1980-07-08,5.15,,
1980-07-09,5.32,,
1980-07-10,5.33,,
1980-07-11,5.43,,
1980-07-14,5.37,,
1980-07-15,5.44,,
1980-07-16,5.44,,
1980-07-17,5.43,,
1980-07-18,5.32,,
1980-07-21,5.32,,
1980-07-22,5.09,,
1980-07-23,5.01,,
1980-07-24,4.98,,
1980-07-25,4.92,,
1980-07-28,4.97,,
1980-07-29,5.2,,
1980-07-30,5.32,,
1980-07-31,5.19,,
1980-08-01,5.19,,
1980-08-04,4.98,,
1980-08-05,4.83,,
1980-08-06,4.9,,
1980-08-07,5.01,,
1980-08-08,4.95,,
1980-08-11,4.98,,
1980-08-12,5.02,,
1980-08-13,5.08,,
1980-08-14,5.2,,
1980-08-15,5.33,,
1980-08-18,5.18,,
1980-08-19,5.12,,
1980-08-20,5.15,,
1980-08-21,5.2,,
1980-08-22,5.18,,
1980-08-25,5.22,,
1980-08-26,5.27,,
1980-08-27,5.25,,
1980-08-28,5.2,,
1980-08-29,5.01,,
1980-09-02,5.16,,
1980-09-03,5.2,,
1980-09-04,5.23,,
1980-09-05,5.32,,
1980-09-08,5.37,,
1980-09-09,5.33,,
1980-09-10,5.57,,
1980-09-11,5.65,,
1980-09-12,5.75,,
1980-09-15,5.67,,
1980-09-16,5.93,,
1980-09-17,5.9,,
1980-09-18,5.93,,
1980-09-19,5.93,,
1980-09-22,6.1,,
1980-09-23,5.89,,
1980-09-24,5.89,,
1980-09-25,5.85,,
1980-09-26,5.55,,
1980-09-29,5.32,,
1980-09-30,5.48,,
1980-10-01,5.79,,
1980-10-02,5.79,,
1980-10-03,6.1,,
1980-10-06,6.1,,
1980-10-07,5.96,,
1980-10-08,6.03,,
1980-10-09,5.93,,
1980-10-10,5.76,,
1980-10-13,5.82,,
1980-10-14,5.93,,
1980-10-15,6.0,,
1980-10-16,6.07,,
1980-10-17,6.13,,
1980-10-20,6.16,,
1980-10-21,6.21,,
1980-10-22,6.27,,
1980-10-23,5.99,,
1980-10-24,5.95,,
1980-10-27,5.74,,
1980-10-28,5.71,,
1980-10-29,5.62,,
