date,MDLZ,dcf,Deviation
2001-06-13,31.25,,
2001-06-14,30.15,,
2001-06-15,30.6,,
2001-06-18,30.32,,
2001-06-19,30.4,,
2001-06-20,30.3,,
2001-06-21,30.0,,
2001-06-22,30.0,,
2001-06-25,30.15,,
2001-06-26,30.04,,
2001-06-27,29.94,,
2001-06-28,30.41,,
2001-06-29,31.0,,
2001-07-02,30.47,,
2001-07-03,30.56,,
2001-07-05,30.93,,
2001-07-06,30.65,,
2001-07-09,30.38,,
2001-07-10,30.35,,
2001-07-11,30.3,,
2001-07-12,30.9,,
2001-07-13,30.73,,
2001-07-16,30.71,,
2001-07-17,31.45,,
2001-07-18,31.49,,
2001-07-19,31.32,,
2001-07-20,31.2,,
2001-07-23,31.0,,
2001-07-24,31.07,,
2001-07-25,30.7,,
2001-07-26,31.12,,
2001-07-27,30.91,,
2001-07-30,30.6,,
2001-07-31,30.95,,
2001-08-01,30.78,,
2001-08-02,30.95,,
2001-08-03,30.7,,
2001-08-06,30.35,,
2001-08-07,30.5,,
2001-08-08,30.01,,
2001-08-09,30.37,,
2001-08-10,30.8,,
2001-08-13,31.1,,
2001-08-14,31.1,,
2001-08-15,30.98,,
2001-08-16,31.15,,
2001-08-17,31.35,,
2001-08-20,31.72,,
2001-08-21,32.08,,
2001-08-22,32.9,,
2001-08-23,32.89,,
2001-08-24,32.35,,
2001-08-27,32.3,,
2001-08-28,31.9,,
2001-08-29,32.29,,
2001-08-30,32.65,,
2001-08-31,32.25,,
2001-09-04,33.05,,
2001-09-05,33.35,,
2001-09-06,34.0,,
2001-09-07,34.0,,
2001-09-10,33.75,,
2001-09-17,32.9,,
2001-09-18,32.9,,
2001-09-19,32.4,,
2001-09-20,32.53,,
2001-09-21,32.0,,
2001-09-24,33.5,,
2001-09-25,33.3,,
2001-09-26,33.3,,
2001-09-27,33.51,,
2001-09-28,34.37,,
2001-10-01,33.92,,
2001-10-02,34.15,,
2001-10-03,34.7,,
2001-10-04,34.0,,
2001-10-05,33.73,,
2001-10-08,33.9,,
2001-10-09,33.95,,
2001-10-10,33.97,,
2001-10-11,33.0,,
2001-10-12,33.4,,
2001-10-15,33.35,,
2001-10-16,33.6,,
2001-10-17,34.0,,
2001-10-18,34.01,,
2001-10-19,34.52,,
2001-10-22,35.26,,
2001-10-23,35.39,,
2001-10-24,35.1,,
2001-10-25,34.9,,
2001-10-26,34.3,,
2001-10-29,33.53,,
2001-10-30,33.7,,
2001-10-31,33.75,,
2001-11-01,33.75,,
2001-11-02,34.5,,
2001-11-05,34.2,,
2001-11-06,34.68,,
2001-11-07,34.35,,
2001-11-08,35.03,,
2001-11-09,34.46,,
2001-11-12,34.42,,
2001-11-13,33.9,,
2001-11-14,33.95,,
2001-11-15,34.05,,
2001-11-16,34.0,,
2001-11-19,33.3,,
2001-11-20,33.28,,
2001-11-21,33.9,,
2001-11-23,33.71,,
2001-11-26,33.25,,
2001-11-27,32.86,,
2001-11-28,32.95,,
2001-11-29,33.81,,
2001-11-30,33.12,,
2001-12-03,33.6,,
2001-12-04,32.98,,
2001-12-05,33.0,,
2001-12-06,32.3,,
2001-12-07,32.0,,
2001-12-10,32.0,,
2001-12-11,32.22,,
2001-12-12,32.32,,
2001-12-13,32.5,,
2001-12-14,32.8,,
