date,AVB,dcf,Deviation
1994-03-11,20.88,,
1994-03-14,20.63,,
1994-03-15,20.63,,
1994-03-16,21.38,,
1994-03-17,21.13,,
1994-03-18,21.0,,
1994-03-21,20.88,,
1994-03-22,20.75,,
1994-03-23,21.25,,
1994-03-24,21.0,,
1994-03-25,21.0,,
1994-03-28,21.13,,
1994-03-29,20.63,,
1994-03-30,20.5,,
1994-03-31,20.63,,
1994-04-04,20.13,,
1994-04-05,20.75,,
1994-04-06,20.88,,
1994-04-07,20.75,,
1994-04-08,20.5,,
1994-04-11,20.38,,
1994-04-12,20.5,,
1994-04-13,20.38,,
1994-04-14,20.38,,
1994-04-15,20.13,,
1994-04-18,20.13,,
1994-04-19,20.25,,
1994-04-20,20.25,,
1994-04-21,20.25,,
1994-04-22,20.5,,
1994-04-25,20.25,,
1994-04-26,20.5,,
1994-04-28,20.63,,
1994-04-29,20.5,,
1994-05-02,20.63,,
1994-05-03,20.5,,
1994-05-04,20.25,,
1994-05-05,20.38,,
1994-05-06,20.13,,
1994-05-09,20.25,,
1994-05-10,20.25,,
1994-05-11,20.25,,
1994-05-12,20.25,,
1994-05-13,20.25,,
1994-05-16,20.25,,
1994-05-17,20.13,,
1994-05-18,20.38,,
1994-05-19,20.5,,
1994-05-20,20.5,,
1994-05-23,21.0,,
1994-05-24,21.38,,
1994-05-25,21.75,,
1994-05-26,21.5,,
1994-05-27,21.38,,
1994-05-31,21.5,,
1994-06-01,21.75,,
1994-06-02,21.75,,
1994-06-03,21.75,,
1994-06-06,22.63,,
1994-06-07,21.88,,
1994-06-08,21.88,,
1994-06-09,22.0,,
1994-06-10,22.0,,
1994-06-13,22.0,,
1994-06-14,22.13,,
1994-06-15,22.0,,
1994-06-16,21.88,,
1994-06-17,21.38,,
1994-06-20,21.0,,
1994-06-21,21.0,,
1994-06-22,21.25,,
1994-06-23,20.75,,
1994-06-24,21.38,,
1994-06-27,20.75,,
1994-06-28,20.63,,
1994-06-29,20.5,,
1994-06-30,20.5,,
1994-07-01,21.25,,
1994-07-05,21.63,,
1994-07-06,21.75,,
1994-07-07,21.5,,
1994-07-08,21.63,,
1994-07-11,21.75,,
1994-07-12,21.25,,
1994-07-13,21.38,,
1994-07-14,21.63,,
1994-07-15,21.63,,
1994-07-18,21.5,,
1994-07-19,21.25,,
1994-07-20,21.63,,
1994-07-21,21.88,,
1994-07-22,21.13,,
1994-07-25,20.5,,
1994-07-26,20.5,,
1994-07-27,20.5,,
1994-07-28,20.5,,
1994-07-29,20.5,,
1994-08-01,20.75,,
1994-08-02,21.5,,
1994-08-03,21.88,,
1994-08-04,21.5,,
1994-08-05,21.13,,
1994-08-08,21.0,,
1994-08-09,21.0,,
1994-08-10,21.13,,
1994-08-11,21.13,,
1994-08-12,21.25,,
1994-08-15,21.0,,
1994-08-16,20.63,,
1994-08-17,20.5,,
1994-08-18,20.25,,
1994-08-19,20.63,,
1994-08-22,20.5,,
1994-08-23,20.25,,
1994-08-24,20.0,,
1994-08-25,19.88,,
1994-08-26,20.0,,
1994-08-29,20.13,,
1994-08-30,20.38,,
1994-08-31,20.38,,
1994-09-01,20.75,,
1994-09-02,21.0,,
1994-09-06,21.0,,
1994-09-07,20.88,,
1994-09-08,20.88,,
1994-09-09,20.75,,
1994-09-12,20.75,,
1994-09-13,20.88,,
1994-09-14,20.63,,
1994-09-15,21.25,,
1994-09-16,20.88,,
1994-09-19,21.25,,
1994-09-20,21.13,,
1994-09-21,21.0,,
1994-09-22,20.88,,
1994-09-23,20.25,,
1994-09-26,20.38,,
1994-09-27,20.5,,
1994-09-28,20.63,,
1994-09-29,21.25,,
1994-09-30,21.25,,
1994-10-03,21.0,,
1994-10-04,20.88,,
1994-10-05,20.75,,
1994-10-06,20.63,,
1994-10-07,21.0,,
1994-10-10,20.75,,
1994-10-11,20.88,,
1994-10-12,20.88,,
1994-10-13,20.75,,
1994-10-14,20.25,,
1994-10-17,20.38,,
1994-10-18,20.38,,
1994-10-19,20.38,,
1994-10-20,20.25,,
1994-10-21,20.25,,
1994-10-24,20.0,,
1994-10-25,20.38,,
1994-10-26,20.25,,
1994-10-27,20.13,,
1994-10-28,19.88,,
1994-10-31,19.5,,
1994-11-01,19.38,,
1994-11-02,18.75,,
1994-11-03,18.25,,
1994-11-04,18.38,,
1994-11-07,18.63,,
1994-11-08,18.38,,
1994-11-09,18.38,,
1994-11-10,18.38,,
1994-11-11,18.5,,
1994-11-14,18.5,,
1994-11-15,18.38,,
1994-11-16,18.38,,
1994-11-17,18.38,,
1994-11-18,18.25,,
1994-11-21,18.25,,
1994-11-22,18.0,,
1994-11-23,18.0,,
1994-11-25,18.13,,
1994-11-28,18.0,,
1994-11-29,17.75,,
