date,ORLY,dcf,Deviation
1993-04-23,2.41,,
1993-04-26,2.34,,
1993-04-27,2.31,,
1993-04-28,2.28,,
1993-04-29,2.31,,
1993-04-30,2.34,,
1993-05-03,2.34,,
1993-05-04,2.38,,
1993-05-05,2.44,,
1993-05-06,2.45,,
1993-05-07,2.41,,
1993-05-10,2.44,,
1993-05-11,2.47,,
1993-05-12,2.53,,
1993-05-13,2.59,,
1993-05-14,2.73,,
1993-05-17,2.69,,
1993-05-18,2.66,,
1993-05-19,2.61,,
1993-05-20,2.56,,
1993-05-21,2.59,,
1993-05-24,2.56,,
1993-05-25,2.59,,
1993-05-26,2.56,,
1993-05-27,2.63,,
1993-05-28,2.66,,
1993-06-01,2.66,,
1993-06-02,2.78,,
1993-06-03,2.81,,
1993-06-04,2.75,,
1993-06-07,2.81,,
1993-06-08,2.81,,
1993-06-09,2.81,,
1993-06-10,2.84,,
1993-06-11,2.88,,
1993-06-14,2.84,,
1993-06-15,2.81,,
1993-06-16,2.75,,
1993-06-17,2.75,,
1993-06-18,2.88,,
1993-06-21,2.89,,
1993-06-22,2.94,,
1993-06-23,2.94,,
1993-06-24,2.94,,
1993-06-25,2.94,,
1993-06-28,2.97,,
1993-06-29,3.03,,
1993-06-30,3.0,,
1993-07-01,2.91,,
1993-07-02,2.94,,
1993-07-06,2.94,,
1993-07-07,2.94,,
1993-07-08,2.94,,
1993-07-09,3.0,,
1993-07-12,3.0,,
1993-07-13,2.97,,
1993-07-14,3.0,,
1993-07-15,2.94,,
1993-07-16,2.94,,
1993-07-19,2.91,,
1993-07-20,2.91,,
1993-07-21,3.0,,
1993-07-22,2.91,,
1993-07-23,2.94,,
1993-07-26,2.94,,
1993-07-27,2.94,,
1993-07-28,2.94,,
1993-07-29,2.94,,
1993-07-30,2.97,,
1993-08-02,2.97,,
1993-08-03,2.97,,
1993-08-04,2.91,,
1993-08-05,2.94,,
1993-08-06,2.91,,
1993-08-09,2.89,,
1993-08-10,2.88,,
1993-08-11,2.94,,
1993-08-12,2.97,,
1993-08-13,3.0,,
1993-08-16,2.94,,
1993-08-17,3.0,,
1993-08-18,2.95,,
1993-08-19,2.91,,
1993-08-20,2.91,,
1993-08-23,2.91,,
1993-08-24,2.97,,
1993-08-25,2.92,,
1993-08-26,2.97,,
1993-08-27,2.97,,
1993-08-30,2.88,,
1993-08-31,2.94,,
1993-09-01,2.88,,
1993-09-02,2.84,,
1993-09-03,2.91,,
1993-09-07,2.84,,
1993-09-08,2.84,,
1993-09-09,2.84,,
1993-09-10,2.91,,
1993-09-13,2.84,,
1993-09-14,2.94,,
1993-09-15,2.94,,
1993-09-16,2.94,,
1993-09-17,2.94,,
1993-09-20,2.97,,
1993-09-21,3.0,,
1993-09-22,2.94,,
1993-09-23,3.03,,
1993-09-24,3.03,,
1993-09-27,3.03,,
1993-09-28,3.09,,
1993-09-29,3.03,,
1993-09-30,2.91,,
1993-10-01,2.97,,
1993-10-04,2.97,,
1993-10-05,2.97,,
1993-10-06,2.97,,
1993-10-07,3.03,,
1993-10-08,3.09,,
1993-10-11,3.09,,
1993-10-12,3.31,,
1993-10-13,3.25,,
1993-10-14,3.28,,
1993-10-15,3.56,,
1993-10-18,3.63,,
1993-10-19,3.63,,
1993-10-20,3.69,,
1993-10-21,3.88,,
1993-10-22,3.69,,
1993-10-25,3.63,,
1993-10-26,3.75,,
1993-10-27,3.91,,
1993-10-28,3.91,,
1993-10-29,3.84,,
1993-11-01,3.84,,
1993-11-02,3.97,,
1993-11-03,3.84,,
1993-11-04,3.88,,
1993-11-05,3.72,,
1993-11-08,3.72,,
1993-11-09,3.69,,
1993-11-10,3.69,,
1993-11-11,3.72,,
1993-11-12,3.69,,
1993-11-15,3.59,,
1993-11-16,3.59,,
1993-11-17,3.66,,
1993-11-18,3.59,,
1993-11-19,3.56,,
1993-11-22,3.53,,
1993-11-23,3.53,,
1993-11-24,3.5,,
1993-11-26,3.53,,
1993-11-29,3.5,,
1993-11-30,3.44,,
1993-12-01,3.69,,
1993-12-02,3.78,,
1993-12-03,3.72,,
1993-12-06,3.81,,
1993-12-07,3.83,,
1993-12-08,3.72,,
1993-12-09,3.75,,
1993-12-10,3.75,,
1993-12-13,3.69,,
1993-12-14,3.69,,
1993-12-15,3.63,,
