date,TAP,dcf,Deviation
1975-06-12,15.25,,
1975-06-13,15.44,,
1975-06-16,15.25,,
1975-06-17,14.94,,
1975-06-18,15.38,,
1975-06-19,15.63,,
1975-06-20,15.69,,
1975-06-23,15.56,,
1975-06-24,15.25,,
1975-06-25,15.13,,
1975-06-26,15.0,,
1975-06-27,14.94,,
1975-06-30,15.25,,
1975-07-01,15.06,,
1975-07-02,14.94,,
1975-07-03,15.56,,
1975-07-07,15.19,,
1975-07-08,15.13,,
1975-07-09,15.5,,
1975-07-10,15.44,,
1975-07-11,16.0,,
1975-07-14,16.81,,
1975-07-15,16.75,,
1975-07-16,16.69,,
1975-07-17,16.94,,
1975-07-18,17.75,,
1975-07-21,17.56,,
1975-07-22,16.94,,
1975-07-23,16.63,,
1975-07-24,16.38,,
1975-07-25,15.94,,
1975-07-28,15.88,,
1975-07-29,15.38,,
1975-07-30,15.56,,
1975-07-31,15.25,,
1975-08-01,14.94,,
1975-08-04,14.94,,
1975-08-05,15.44,,
1975-08-06,16.06,,
1975-08-07,15.38,,
1975-08-08,14.81,,
1975-08-11,15.13,,
1975-08-12,15.06,,
1975-08-13,14.25,,
1975-08-14,14.25,,
1975-08-15,14.0,,
1975-08-18,13.38,,
1975-08-19,13.38,,
1975-08-20,13.81,,
1975-08-21,14.38,,
1975-08-22,14.75,,
1975-08-25,14.69,,
1975-08-26,14.19,,
1975-08-27,14.44,,
1975-08-28,15.19,,
1975-08-29,15.38,,
1975-09-02,14.69,,
1975-09-03,14.94,,
1975-09-04,15.06,,
1975-09-05,14.63,,
1975-09-08,14.19,,
1975-09-09,13.75,,
1975-09-10,13.38,,
1975-09-11,13.31,,
1975-09-12,13.5,,
1975-09-15,13.63,,
1975-09-16,13.75,,
1975-09-17,14.19,,
1975-09-18,15.19,,
1975-09-19,15.75,,
1975-09-22,15.13,,
1975-09-23,14.75,,
1975-09-24,14.75,,
1975-09-25,14.31,,
1975-09-26,14.19,,
1975-09-29,14.06,,
1975-09-30,13.81,,
1975-10-01,13.81,,
1975-10-02,14.13,,
1975-10-03,14.5,,
1975-10-06,14.5,,
1975-10-07,14.25,,
1975-10-08,14.56,,
1975-10-09,14.81,,
1975-10-10,14.94,,
1975-10-13,15.0,,
1975-10-14,15.06,,
1975-10-15,15.25,,
1975-10-16,15.06,,
1975-10-17,14.0,,
1975-10-20,14.19,,
1975-10-21,13.63,,
1975-10-22,13.75,,
1975-10-23,14.38,,
1975-10-24,14.0,,
1975-10-27,14.0,,
1975-10-28,14.25,,
1975-10-29,13.63,,
1975-10-30,13.31,,
1975-10-31,13.38,,
1975-11-03,13.0,,
1975-11-04,12.63,,
1975-11-05,12.44,,
1975-11-06,12.38,,
1975-11-07,11.63,,
1975-11-10,12.13,,
1975-11-11,12.0,,
1975-11-12,13.06,,
1975-11-13,12.63,,
1975-11-14,12.69,,
1975-11-17,12.69,,
1975-11-18,12.31,,
1975-11-19,12.06,,
1975-11-20,12.06,,
1975-11-21,12.31,,
1975-11-24,12.44,,
1975-11-25,12.25,,
1975-11-26,12.63,,
1975-11-28,12.44,,
1975-12-01,12.38,,
1975-12-02,12.25,,
1975-12-03,12.06,,
1975-12-04,11.69,,
1975-12-05,11.25,,
1975-12-08,11.19,,
1975-12-09,11.06,,
1975-12-10,11.75,,
1975-12-11,11.81,,
1975-12-12,11.81,,
1975-12-15,11.69,,
1975-12-16,11.94,,
1975-12-17,12.06,,
1975-12-18,12.25,,
1975-12-19,12.19,,
1975-12-22,12.38,,
1975-12-23,12.44,,
1975-12-24,12.44,,
1975-12-26,12.75,,
1975-12-29,12.69,,
1975-12-30,12.63,,
1975-12-31,12.75,,
1976-01-02,12.69,,
1976-01-05,12.38,,
1976-01-06,12.38,,
1976-01-07,12.88,,
1976-01-08,13.38,,
1976-01-09,13.19,,
1976-01-12,12.81,,
1976-01-13,12.63,,
1976-01-14,12.63,,
1976-01-15,12.69,,
1976-01-16,12.88,,
1976-01-19,12.88,,
1976-01-20,12.81,,
1976-01-21,13.0,,
1976-01-22,12.81,,
1976-01-23,12.88,,
1976-01-26,12.88,,
1976-01-27,12.69,,
1976-01-28,12.44,,
1976-01-29,12.81,,
1976-01-30,13.25,,
1976-02-02,13.06,,
1976-02-03,13.0,,
1976-02-04,13.13,,
1976-02-05,13.06,,
1976-02-06,13.06,,
1976-02-09,13.88,,
1976-02-10,14.25,,
1976-02-11,14.19,,
1976-02-12,14.0,,
1976-02-13,14.0,,
1976-02-17,14.31,,
1976-02-18,14.75,,
1976-02-19,14.75,,
1976-02-20,14.5,,
1976-02-23,14.25,,
1976-02-24,13.63,,
1976-02-25,13.69,,
1976-02-26,13.31,,
1976-02-27,12.56,,
1976-03-01,13.5,,
1976-03-02,12.81,,
1976-03-03,12.88,,
1976-03-04,13.0,,
1976-03-05,12.88,,
1976-03-08,13.31,,
1976-03-09,13.38,,
1976-03-10,13.63,,
1976-03-11,13.75,,
1976-03-12,13.75,,
1976-03-15,13.44,,
1976-03-16,13.44,,
1976-03-17,13.5,,
1976-03-18,13.44,,
1976-03-19,13.25,,
1976-03-22,13.25,,
1976-03-23,13.56,,
1976-03-24,13.63,,
1976-03-25,13.81,,
1976-03-26,13.75,,
1976-03-29,14.0,,
1976-03-30,13.94,,
1976-03-31,13.75,,
1976-04-01,13.56,,
1976-04-02,13.56,,
1976-04-05,13.06,,
1976-04-06,13.0,,
1976-04-07,12.94,,
1976-04-08,12.88,,
1976-04-09,12.63,,
1976-04-12,12.75,,
1976-04-13,12.94,,
1976-04-14,12.94,,
1976-04-15,13.0,,
1976-04-19,13.06,,
1976-04-20,13.63,,
1976-04-21,13.94,,
1976-04-22,14.13,,
1976-04-23,14.0,,
1976-04-26,13.75,,
1976-04-27,12.75,,
1976-04-28,12.81,,
1976-04-29,12.88,,
1976-04-30,12.69,,
1976-05-03,12.56,,
1976-05-04,12.56,,
1976-05-05,12.69,,
1976-05-06,12.63,,
1976-05-07,12.69,,
1976-05-10,12.69,,
1976-05-11,12.31,,
1976-05-12,12.25,,
1976-05-13,12.19,,
1976-05-14,12.19,,
1976-05-17,12.06,,
1976-05-18,12.06,,
1976-05-19,12.13,,
1976-05-20,12.25,,
1976-05-21,12.19,,
1976-05-24,12.06,,
1976-05-25,11.88,,
1976-05-26,11.75,,
1976-05-27,11.63,,
1976-05-28,11.19,,
1976-06-01,11.25,,
1976-06-02,11.69,,
1976-06-03,11.69,,
1976-06-04,11.5,,
1976-06-07,11.5,,
1976-06-08,11.38,,
1976-06-09,11.25,,
1976-06-10,11.19,,
1976-06-11,11.0,,
1976-06-14,11.19,,
1976-06-15,11.13,,
1976-06-16,11.38,,
1976-06-17,11.38,,
1976-06-18,12.31,,
1976-06-21,12.38,,
1976-06-22,12.19,,
1976-06-23,11.88,,
1976-06-24,12.0,,
1976-06-25,12.0,,
1976-06-28,12.06,,
1976-06-29,12.19,,
1976-06-30,12.13,,
1976-07-01,12.31,,
1976-07-02,12.81,,
1976-07-06,13.13,,
1976-07-07,13.31,,
1976-07-08,13.25,,
1976-07-09,13.63,,
1976-07-12,13.69,,
1976-07-13,13.5,,
1976-07-14,12.44,,
1976-07-15,12.06,,
1976-07-16,12.13,,
1976-07-19,11.94,,
1976-07-20,11.94,,
1976-07-21,11.94,,
1976-07-22,11.94,,
1976-07-23,12.0,,
1976-07-26,11.88,,
1976-07-27,11.81,,
1976-07-28,11.81,,
1976-07-29,11.56,,
1976-07-30,11.56,,
1976-08-02,11.56,,
1976-08-03,11.69,,
1976-08-04,11.38,,
1976-08-05,11.0,,
1976-08-06,11.13,,
1976-08-09,11.31,,
1976-08-10,11.56,,
1976-08-11,11.56,,
1976-08-12,11.63,,
1976-08-13,11.56,,
1976-08-16,11.63,,
1976-08-17,11.75,,
1976-08-18,11.63,,
