date,BLK,dcf,Deviation
1999-10-01,14.13,,
1999-10-04,14.0,,
1999-10-05,14.13,,
1999-10-06,14.88,,
1999-10-07,14.13,,
1999-10-08,14.06,,
1999-10-11,14.06,,
1999-10-12,14.13,,
1999-10-13,14.06,,
1999-10-14,13.63,,
1999-10-15,13.06,,
1999-10-18,12.81,,
1999-10-19,13.25,,
1999-10-20,13.13,,
1999-10-21,13.44,,
1999-10-22,13.5,,
1999-10-25,13.94,,
1999-10-26,14.0,,
1999-10-27,14.06,,
1999-10-28,14.13,,
1999-10-29,15.25,,
1999-11-01,14.75,,
1999-11-02,14.75,,
1999-11-03,14.75,,
1999-11-04,14.94,,
1999-11-05,15.75,,
1999-11-08,16.63,,
1999-11-09,16.13,,
1999-11-10,16.06,,
1999-11-11,16.13,,
1999-11-12,18.0,,
1999-11-15,17.69,,
1999-11-16,17.44,,
1999-11-17,17.5,,
1999-11-18,17.25,,
1999-11-19,17.63,,
1999-11-22,17.81,,
1999-11-23,19.13,,
1999-11-24,18.56,,
1999-11-26,18.44,,
1999-11-29,18.13,,
1999-11-30,18.38,,
1999-12-01,18.56,,
1999-12-02,19.0,,
1999-12-03,19.19,,
1999-12-06,18.38,,
1999-12-07,18.63,,
1999-12-08,18.19,,
1999-12-09,18.25,,
1999-12-10,17.63,,
1999-12-13,17.44,,
1999-12-14,17.13,,
1999-12-15,17.13,,
1999-12-16,16.81,,
1999-12-17,17.13,,
1999-12-20,16.94,,
1999-12-21,17.0,,
1999-12-22,17.19,,
1999-12-23,17.13,,
1999-12-27,17.13,,
1999-12-28,17.38,,
1999-12-29,17.25,,
1999-12-30,17.31,,
1999-12-31,17.19,,
2000-01-03,16.63,,
2000-01-04,15.88,,
2000-01-05,15.75,,
2000-01-06,16.0,,
2000-01-07,15.88,,
2000-01-10,16.0,,
2000-01-11,16.44,,
2000-01-12,17.13,,
2000-01-13,16.94,,
2000-01-14,17.5,,
2000-01-18,18.0,,
2000-01-19,18.25,,
2000-01-20,17.5,,
2000-01-21,17.38,,
2000-01-24,17.13,,
2000-01-25,17.25,,
2000-01-26,17.44,,
2000-01-27,17.5,,
2000-01-28,17.38,,
2000-01-31,17.5,,
2000-02-01,17.75,,
2000-02-02,17.94,,
2000-02-03,18.0,,
2000-02-04,18.44,,
2000-02-07,18.5,,
2000-02-08,18.56,,
2000-02-09,18.38,,
2000-02-10,17.88,,
2000-02-11,17.94,,
2000-02-14,18.0,,
2000-02-15,17.88,,
2000-02-16,18.5,,
2000-02-17,18.38,,
2000-02-18,18.5,,
2000-02-22,18.56,,
2000-02-23,18.81,,
2000-02-24,19.0,,
2000-02-25,19.25,,
2000-02-28,20.13,,
2000-02-29,21.88,,
2000-03-01,21.75,,
2000-03-02,22.06,,
2000-03-03,22.13,,
2000-03-06,22.06,,
2000-03-07,22.0,,
2000-03-08,22.0,,
2000-03-09,22.0,,
2000-03-10,22.13,,
2000-03-13,22.88,,
2000-03-14,22.88,,
2000-03-15,24.13,,
2000-03-16,24.38,,
2000-03-17,24.75,,
2000-03-20,24.0,,
2000-03-21,24.0,,
2000-03-22,22.63,,
2000-03-23,22.5,,
2000-03-24,22.44,,
2000-03-27,22.06,,
2000-03-28,20.0,,
2000-03-29,19.75,,
2000-03-30,20.44,,
2000-03-31,20.25,,
2000-04-03,20.63,,
2000-04-04,20.75,,
2000-04-05,21.44,,
2000-04-06,22.38,,
2000-04-07,24.25,,
2000-04-10,24.0,,
2000-04-11,24.06,,
2000-04-12,23.88,,
2000-04-13,23.38,,
2000-04-14,23.0,,
2000-04-17,22.44,,
2000-04-18,21.94,,
2000-04-19,21.0,,
2000-04-20,21.13,,
2000-04-24,21.63,,
2000-04-25,24.0,,
2000-04-26,24.13,,
2000-04-27,24.31,,
2000-04-28,26.0,,
2000-05-01,24.0,,
2000-05-02,23.81,,
2000-05-03,24.25,,
2000-05-04,23.63,,
2000-05-05,23.69,,
2000-05-08,24.0,,
2000-05-09,24.38,,
2000-05-10,25.06,,
2000-05-11,25.25,,
2000-05-12,25.75,,
2000-05-15,25.75,,
2000-05-16,26.25,,
2000-05-17,26.38,,
2000-05-18,26.19,,
2000-05-19,26.13,,
2000-05-22,25.81,,
2000-05-23,23.75,,
2000-05-24,23.25,,
2000-05-25,23.38,,
2000-05-26,23.25,,
2000-05-30,23.25,,
2000-05-31,24.06,,
2000-06-01,24.38,,
2000-06-02,25.75,,
2000-06-05,26.88,,
2000-06-06,26.44,,
2000-06-07,25.94,,
2000-06-08,25.44,,
2000-06-09,25.44,,
2000-06-12,25.25,,
2000-06-13,26.0,,
2000-06-14,26.81,,
2000-06-15,27.5,,
2000-06-16,29.0,,
2000-06-19,28.81,,
2000-06-20,28.44,,
2000-06-21,29.25,,
2000-06-22,30.88,,
2000-06-23,30.19,,
2000-06-26,31.0,,
2000-06-27,32.38,,
2000-06-28,35.0,,
2000-06-29,32.63,,
2000-06-30,29.0,,
2000-07-03,29.25,,
2000-07-05,29.38,,
2000-07-06,28.88,,
2000-07-07,29.75,,
2000-07-10,32.0,,
2000-07-11,33.38,,
2000-07-12,34.25,,
2000-07-13,33.69,,
2000-07-14,33.88,,
2000-07-17,33.06,,
2000-07-18,32.31,,
2000-07-19,32.13,,
2000-07-20,32.56,,
2000-07-21,33.81,,
2000-07-24,34.06,,
2000-07-25,33.75,,
2000-07-26,34.06,,
2000-07-27,34.06,,
2000-07-28,34.0,,
2000-07-31,33.75,,
2000-08-01,33.63,,
2000-08-02,33.56,,
2000-08-03,33.63,,
2000-08-04,33.75,,
2000-08-07,32.38,,
2000-08-08,32.88,,
2000-08-09,33.88,,
2000-08-10,33.63,,
2000-08-11,33.31,,
2000-08-14,33.5,,
2000-08-15,33.38,,
2000-08-16,33.69,,
2000-08-17,34.75,,
2000-08-18,34.63,,
2000-08-21,34.88,,
2000-08-22,35.38,,
2000-08-23,34.75,,
2000-08-24,35.0,,
2000-08-25,35.31,,
2000-08-28,35.31,,
2000-08-29,38.13,,
2000-08-30,38.0,,
2000-08-31,41.0,,
2000-09-01,41.69,,
2000-09-05,41.5,,
2000-09-06,40.44,,
2000-09-07,36.63,,
2000-09-08,37.0,,
2000-09-11,38.63,,
2000-09-12,38.88,,
2000-09-13,38.94,,
2000-09-14,38.63,,
2000-09-15,38.0,,
2000-09-18,38.0,,
2000-09-19,38.38,,
2000-09-20,38.25,,
2000-09-21,36.5,,
2000-09-22,34.63,,
2000-09-25,35.63,,
2000-09-26,35.31,,
2000-09-27,34.75,,
2000-09-28,33.56,,
2000-09-29,32.0,,
2000-10-02,33.0,,
2000-10-03,35.0,,
2000-10-04,35.13,,
2000-10-05,36.81,,
2000-10-06,37.0,,
2000-10-09,37.38,,
2000-10-10,37.75,,
2000-10-11,36.06,,
2000-10-12,35.88,,
2000-10-13,38.63,,
2000-10-16,39.88,,
2000-10-17,38.75,,
2000-10-18,41.63,,
2000-10-19,40.75,,
2000-10-20,42.06,,
2000-10-23,41.38,,
2000-10-24,39.5,,
2000-10-25,40.5,,
2000-10-26,40.81,,
2000-10-27,42.44,,
2000-10-30,42.5,,
2000-10-31,42.63,,
2000-11-01,42.38,,
2000-11-02,44.25,,
2000-11-03,43.69,,
2000-11-06,43.63,,
2000-11-07,43.69,,
2000-11-08,43.5,,
2000-11-09,44.25,,
2000-11-10,44.13,,
2000-11-13,42.5,,
2000-11-14,43.38,,
2000-11-15,45.13,,
2000-11-16,46.0,,
2000-11-17,46.56,,
2000-11-20,44.88,,
2000-11-21,41.75,,
2000-11-22,41.5,,
2000-11-24,42.5,,
2000-11-27,43.13,,
2000-11-28,43.88,,
2000-11-29,44.0,,
2000-11-30,43.63,,
2000-12-01,43.81,,
2000-12-04,42.75,,
2000-12-05,44.0,,
2000-12-06,45.0,,
2000-12-07,45.44,,
2000-12-08,47.5,,
2000-12-11,47.13,,
2000-12-12,45.0,,
2000-12-13,44.75,,
2000-12-14,44.25,,
2000-12-15,43.19,,
2000-12-18,45.25,,
2000-12-19,43.44,,
2000-12-20,41.75,,
2000-12-21,40.13,,
2000-12-22,38.5,,
2000-12-26,39.31,,
2000-12-27,41.13,,
2000-12-28,43.38,,
2000-12-29,42.0,,
2001-01-02,40.0,,
2001-01-03,39.81,,
2001-01-04,39.38,,
2001-01-05,35.75,,
2001-01-08,36.5,,
2001-01-09,36.31,,
2001-01-10,37.88,,
2001-01-11,36.63,,
2001-01-12,37.0,,
2001-01-16,38.0,,
2001-01-17,40.25,,
2001-01-18,40.38,,
2001-01-19,39.81,,
2001-01-22,39.94,,
2001-01-23,40.31,,
2001-01-24,39.19,,
2001-01-25,39.5,,
2001-01-26,39.56,,
2001-01-29,41.25,,
2001-01-30,40.79,,
2001-01-31,39.92,,
2001-02-01,41.0,,
2001-02-02,42.5,,
2001-02-05,41.0,,
2001-02-06,41.2,,
2001-02-07,42.86,,
2001-02-08,43.0,,
2001-02-09,42.2,,
2001-02-12,43.39,,
2001-02-13,43.6,,
2001-02-14,43.1,,
2001-02-15,43.4,,
2001-02-16,42.1,,
2001-02-20,39.4,,
2001-02-21,39.37,,
2001-02-22,39.01,,
2001-02-23,39.75,,
2001-02-26,42.1,,
2001-02-27,41.0,,
2001-02-28,39.4,,
2001-03-01,40.3,,
2001-03-02,40.51,,
2001-03-05,39.56,,
2001-03-06,39.6,,
2001-03-07,39.9,,
2001-03-08,39.95,,
2001-03-09,37.6,,
2001-03-12,38.03,,
2001-03-13,38.99,,
2001-03-14,39.2,,
2001-03-15,38.74,,
2001-03-16,38.05,,
2001-03-19,37.95,,
2001-03-20,36.19,,
2001-03-21,35.95,,
2001-03-22,34.0,,
2001-03-23,32.6,,
2001-03-26,33.25,,
2001-03-27,34.94,,
2001-03-28,35.5,,
2001-03-29,36.35,,
2001-03-30,36.0,,
2001-04-02,35.5,,
2001-04-03,34.75,,
2001-04-04,32.0,,
2001-04-05,33.54,,
2001-04-06,33.2,,
2001-04-09,33.7,,
2001-04-10,34.8,,
2001-04-11,36.4,,
2001-04-12,34.22,,
2001-04-16,31.82,,
2001-04-17,33.0,,
2001-04-18,34.4,,
2001-04-19,34.1,,
2001-04-20,32.3,,
2001-04-23,32.0,,
2001-04-24,33.4,,
2001-04-25,33.75,,
2001-04-26,32.4,,
2001-04-27,33.5,,
2001-04-30,33.8,,
2001-05-01,34.25,,
2001-05-02,33.87,,
2001-05-03,33.91,,
2001-05-04,33.65,,
2001-05-07,34.43,,
2001-05-08,34.93,,
2001-05-09,35.55,,
2001-05-10,36.0,,
2001-05-11,36.03,,
2001-05-14,36.16,,
2001-05-15,37.2,,
2001-05-16,36.15,,
2001-05-17,37.0,,
2001-05-18,37.02,,
2001-05-21,37.2,,
2001-05-22,37.17,,
2001-05-23,36.35,,
2001-05-24,35.75,,
2001-05-25,36.11,,
2001-05-29,36.75,,
2001-05-30,36.35,,
2001-05-31,36.4,,
2001-06-01,35.47,,
2001-06-04,35.9,,
2001-06-05,36.65,,
2001-06-06,36.4,,
2001-06-07,35.65,,
2001-06-08,35.46,,
2001-06-11,34.75,,
2001-06-12,34.73,,
2001-06-13,34.45,,
2001-06-14,33.55,,
2001-06-15,32.95,,
2001-06-18,32.98,,
2001-06-19,33.1,,
2001-06-20,33.25,,
2001-06-21,33.5,,
2001-06-22,32.98,,
2001-06-25,33.0,,
