date,HON,dcf,Deviation
1989-09-19,9.15,,
1989-09-20,9.15,,
1989-09-21,9.24,,
1989-09-22,9.24,,
1989-09-25,9.12,,
1989-09-26,9.03,,
1989-09-27,8.94,,
1989-09-28,8.91,,
1989-09-29,8.91,,
1989-10-02,8.85,,
1989-10-03,8.91,,
1989-10-04,9.18,,
1989-10-05,9.06,,
1989-10-06,9.0,,
1989-10-09,8.94,,
1989-10-10,8.91,,
1989-10-11,8.82,,
1989-10-12,8.7,,
1989-10-13,7.63,,
1989-10-16,8.43,,
1989-10-17,8.43,,
1989-10-18,8.49,,
1989-10-19,8.64,,
1989-10-20,8.58,,
1989-10-23,8.37,,
1989-10-24,8.85,,
1989-10-25,8.58,,
1989-10-26,8.37,,
1989-10-27,8.4,,
1989-10-30,8.43,,
1989-10-31,8.61,,
1989-11-01,8.61,,
1989-11-02,8.61,,
1989-11-03,8.67,,
1989-11-06,8.61,,
1989-11-07,8.55,,
1989-11-08,8.64,,
1989-11-09,8.7,,
1989-11-10,8.73,,
1989-11-13,8.67,,
1989-11-14,8.46,,
1989-11-15,8.46,,
1989-11-16,8.46,,
1989-11-17,8.34,,
1989-11-20,8.34,,
1989-11-21,8.43,,
1989-11-22,8.49,,
1989-11-24,8.52,,
1989-11-27,8.52,,
1989-11-28,8.61,,
1989-11-29,8.46,,
1989-11-30,8.64,,
1989-12-01,8.64,,
1989-12-04,8.7,,
1989-12-05,8.76,,
1989-12-06,8.76,,
1989-12-07,8.64,,
1989-12-08,8.58,,
1989-12-11,8.61,,
1989-12-12,8.55,,
1989-12-13,8.64,,
1989-12-14,8.58,,
1989-12-15,8.43,,
1989-12-18,8.4,,
1989-12-19,8.25,,
1989-12-20,8.37,,
1989-12-21,8.49,,
1989-12-22,8.43,,
1989-12-26,8.34,,
1989-12-27,8.4,,
1989-12-28,8.37,,
1989-12-29,8.31,,
1990-01-02,8.43,,
1990-01-03,8.46,,
1990-01-04,8.73,,
1990-01-05,8.85,,
1990-01-08,8.85,,
1990-01-09,8.67,,
1990-01-10,8.58,,
1990-01-11,8.52,,
1990-01-12,8.37,,
1990-01-15,8.34,,
1990-01-16,8.52,,
1990-01-17,8.34,,
1990-01-18,8.49,,
1990-01-19,8.43,,
1990-01-22,8.25,,
1990-01-23,8.28,,
1990-01-24,8.1,,
1990-01-25,7.81,,
1990-01-26,8.1,,
1990-01-29,8.22,,
1990-01-30,8.22,,
1990-01-31,8.1,,
1990-02-01,8.13,,
1990-02-02,8.07,,
1990-02-05,8.13,,
1990-02-06,8.22,,
1990-02-07,8.4,,
1990-02-08,8.4,,
1990-02-09,8.46,,
1990-02-12,8.34,,
1990-02-13,8.43,,
1990-02-14,8.46,,
1990-02-15,8.49,,
1990-02-16,8.4,,
1990-02-20,8.25,,
1990-02-21,8.16,,
1990-02-22,8.07,,
1990-02-23,8.07,,
1990-02-26,8.19,,
1990-02-27,8.22,,
1990-02-28,8.37,,
1990-03-01,8.46,,
1990-03-02,8.52,,
1990-03-05,8.46,,
1990-03-06,8.55,,
1990-03-07,8.46,,
1990-03-08,8.61,,
1990-03-09,8.58,,
1990-03-12,8.52,,
1990-03-13,8.43,,
1990-03-14,8.49,,
1990-03-15,8.49,,
1990-03-16,8.61,,
1990-03-19,8.64,,
1990-03-20,8.46,,
1990-03-21,8.52,,
1990-03-22,8.49,,
1990-03-23,8.55,,
1990-03-26,8.55,,
1990-03-27,8.7,,
1990-03-28,8.73,,
1990-03-29,8.82,,
1990-03-30,8.82,,
1990-04-02,8.61,,
1990-04-03,8.61,,
1990-04-04,8.61,,
1990-04-05,8.49,,
1990-04-06,8.52,,
1990-04-09,8.58,,
1990-04-10,8.58,,
1990-04-11,8.49,,
1990-04-12,8.52,,
1990-04-16,8.58,,
1990-04-17,8.67,,
1990-04-18,8.61,,
1990-04-19,8.55,,
1990-04-20,8.46,,
1990-04-23,8.37,,
1990-04-24,8.34,,
1990-04-25,8.28,,
1990-04-26,8.34,,
1990-04-27,8.19,,
1990-04-30,8.37,,
1990-05-01,8.34,,
1990-05-02,8.4,,
1990-05-03,8.43,,
1990-05-04,8.46,,
1990-05-07,8.43,,
1990-05-08,8.52,,
1990-05-09,8.52,,
1990-05-10,8.55,,
1990-05-11,8.67,,
1990-05-14,8.61,,
1990-05-15,8.88,,
1990-05-16,8.79,,
1990-05-17,8.88,,
1990-05-18,8.64,,
1990-05-21,8.64,,
1990-05-22,8.55,,
1990-05-23,8.49,,
1990-05-24,8.4,,
1990-05-25,8.25,,
1990-05-29,8.7,,
1990-05-30,8.88,,
1990-05-31,8.7,,
1990-06-01,8.82,,
1990-06-04,8.88,,
1990-06-05,8.91,,
1990-06-06,8.88,,
1990-06-07,8.76,,
1990-06-08,8.73,,
1990-06-11,8.79,,
1990-06-12,8.76,,
1990-06-13,8.82,,
1990-06-14,8.85,,
1990-06-15,8.64,,
1990-06-18,8.52,,
1990-06-19,8.58,,
1990-06-20,8.55,,
1990-06-21,8.64,,
1990-06-22,8.55,,
1990-06-25,8.52,,
1990-06-26,8.52,,
1990-06-27,8.52,,
1990-06-28,8.7,,
1990-06-29,8.76,,
1990-07-02,8.67,,
1990-07-03,8.7,,
1990-07-05,8.52,,
1990-07-06,8.55,,
1990-07-09,8.46,,
1990-07-10,8.4,,
1990-07-11,8.49,,
1990-07-12,8.52,,
1990-07-13,8.43,,
1990-07-16,8.46,,
1990-07-17,8.55,,
1990-07-18,8.46,,
1990-07-19,8.43,,
1990-07-20,8.13,,
1990-07-23,7.98,,
1990-07-24,8.07,,
1990-07-25,8.19,,
1990-07-26,8.07,,
1990-07-27,8.04,,
1990-07-30,7.98,,
1990-07-31,8.04,,
1990-08-01,8.07,,
1990-08-02,7.87,,
1990-08-03,7.95,,
1990-08-06,7.54,,
1990-08-07,7.51,,
1990-08-08,7.78,,
1990-08-09,8.13,,
1990-08-10,8.1,,
1990-08-13,7.98,,
1990-08-14,7.95,,
1990-08-15,7.87,,
1990-08-16,7.54,,
1990-08-17,7.24,,
1990-08-20,7.39,,
1990-08-21,7.42,,
1990-08-22,7.33,,
1990-08-23,7.06,,
1990-08-24,7.09,,
1990-08-27,7.39,,
1990-08-28,7.39,,
1990-08-29,7.39,,
1990-08-30,7.27,,
1990-08-31,7.39,,
1990-09-04,7.36,,
1990-09-05,7.36,,
1990-09-06,7.3,,
1990-09-07,7.33,,
1990-09-10,7.48,,
1990-09-11,7.39,,
1990-09-12,7.36,,
1990-09-13,7.15,,
1990-09-14,7.06,,
1990-09-17,7.06,,
1990-09-18,7.06,,
1990-09-19,7.15,,
1990-09-20,7.09,,
1990-09-21,6.85,,
1990-09-24,6.85,,
1990-09-25,7.0,,
1990-09-26,6.94,,
1990-09-27,6.88,,
1990-09-28,6.64,,
1990-10-01,6.64,,
1990-10-02,6.97,,
1990-10-03,6.88,,
1990-10-04,7.09,,
1990-10-05,7.09,,
1990-10-08,6.97,,
1990-10-09,6.55,,
1990-10-10,6.32,,
1990-10-11,6.29,,
1990-10-12,6.38,,
1990-10-15,6.29,,
1990-10-16,6.23,,
1990-10-17,6.05,,
1990-10-18,6.14,,
1990-10-19,6.08,,
1990-10-22,6.14,,
1990-10-23,6.02,,
1990-10-24,6.08,,
1990-10-25,6.02,,
1990-10-26,6.02,,
1990-10-29,6.02,,
1990-10-30,6.14,,
1990-10-31,5.99,,
1990-11-01,6.05,,
1990-11-02,6.2,,
1990-11-05,6.26,,
1990-11-06,6.14,,
1990-11-07,6.08,,
1990-11-08,6.26,,
1990-11-09,6.23,,
1990-11-12,6.26,,
1990-11-13,6.29,,
1990-11-14,6.38,,
1990-11-15,6.52,,
1990-11-16,6.49,,
1990-11-19,6.55,,
1990-11-20,6.47,,
1990-11-21,6.55,,
1990-11-23,6.49,,
1990-11-26,6.49,,
1990-11-27,6.44,,
1990-11-28,6.49,,
1990-11-29,6.44,,
1990-11-30,6.61,,
1990-12-03,6.67,,
1990-12-04,6.64,,
1990-12-05,6.55,,
1990-12-06,6.67,,
1990-12-07,6.41,,
1990-12-10,6.41,,
1990-12-11,6.35,,
1990-12-12,6.52,,
1990-12-13,6.52,,
1990-12-14,6.38,,
1990-12-17,6.44,,
1990-12-18,6.44,,
1990-12-19,6.47,,
1990-12-20,6.49,,
1990-12-21,6.58,,
1990-12-24,6.55,,
1990-12-26,6.52,,
1990-12-27,6.41,,
1990-12-28,6.41,,
1990-12-31,6.44,,
1991-01-02,6.67,,
1991-01-03,6.64,,
1991-01-04,6.61,,
1991-01-07,6.44,,
1991-01-08,6.41,,
1991-01-09,6.32,,
1991-01-10,6.38,,
1991-01-11,6.35,,
1991-01-14,6.17,,
1991-01-15,6.23,,
1991-01-16,6.32,,
1991-01-17,6.76,,
1991-01-18,6.88,,
1991-01-21,6.73,,
1991-01-22,6.49,,
1991-01-23,6.76,,
1991-01-24,6.91,,
1991-01-25,6.94,,
1991-01-28,7.12,,
1991-01-29,7.21,,
1991-01-30,7.09,,
1991-01-31,6.91,,
1991-02-01,6.85,,
1991-02-04,7.15,,
1991-02-05,7.18,,
1991-02-06,7.24,,
1991-02-07,7.57,,
1991-02-08,7.3,,
1991-02-11,7.15,,
1991-02-12,7.18,,
1991-02-13,7.42,,
1991-02-14,7.15,,
1991-02-15,7.36,,
1991-02-19,7.15,,
1991-02-20,7.06,,
1991-02-21,7.09,,
1991-02-22,7.15,,
1991-02-25,7.15,,
1991-02-26,7.03,,
1991-02-27,7.12,,
1991-02-28,7.09,,
1991-03-01,7.15,,
1991-03-04,7.18,,
1991-03-05,7.24,,
1991-03-06,7.3,,
1991-03-07,7.15,,
1991-03-08,7.15,,
1991-03-11,7.03,,
1991-03-12,7.09,,
1991-03-13,7.12,,
1991-03-14,7.12,,
1991-03-15,7.12,,
1991-03-18,7.06,,
1991-03-19,6.97,,
1991-03-20,7.06,,
1991-03-21,6.91,,
1991-03-22,6.79,,
1991-03-25,6.73,,
1991-03-26,6.64,,
1991-03-27,6.79,,
1991-03-28,6.91,,
1991-04-01,6.94,,
1991-04-02,7.03,,
1991-04-03,7.06,,
1991-04-04,6.94,,
1991-04-05,6.88,,
1991-04-08,6.88,,
1991-04-09,6.7,,
1991-04-10,6.67,,
1991-04-11,6.73,,
1991-04-12,6.97,,
1991-04-15,6.88,,
1991-04-16,7.03,,
1991-04-17,7.15,,
1991-04-18,7.09,,
1991-04-19,7.09,,
1991-04-22,7.03,,
1991-04-23,6.97,,
1991-04-24,6.79,,
1991-04-25,6.85,,
1991-04-26,6.94,,
1991-04-29,6.85,,
1991-04-30,7.06,,
1991-05-01,6.91,,
1991-05-02,7.03,,
1991-05-03,7.12,,
1991-05-06,7.09,,
1991-05-07,6.97,,
1991-05-08,7.12,,
1991-05-09,7.06,,
1991-05-10,7.09,,
1991-05-13,7.03,,
1991-05-14,6.85,,
1991-05-15,6.7,,
1991-05-16,6.64,,
1991-05-17,6.67,,
1991-05-20,6.67,,
1991-05-21,6.7,,
1991-05-22,6.67,,
1991-05-23,6.64,,
1991-05-24,6.58,,
1991-05-28,6.67,,
1991-05-29,6.85,,
1991-05-30,7.15,,
1991-05-31,7.12,,
1991-06-03,7.12,,
1991-06-04,7.09,,
1991-06-05,7.06,,
1991-06-06,7.0,,
1991-06-07,6.76,,
1991-06-10,6.82,,
1991-06-11,6.79,,
1991-06-12,6.85,,
1991-06-13,6.82,,
1991-06-14,6.88,,
1991-06-17,6.91,,
1991-06-18,6.91,,
1991-06-19,6.88,,
1991-06-20,6.94,,
1991-06-21,7.06,,
1991-06-24,7.12,,
1991-06-25,7.12,,
1991-06-26,7.0,,
1991-06-27,7.92,,
1991-06-28,7.87,,
1991-07-01,8.13,,
1991-07-02,8.25,,
1991-07-03,8.1,,
1991-07-05,8.07,,
1991-07-08,8.1,,
1991-07-09,8.31,,
1991-07-10,8.52,,
1991-07-11,8.61,,
1991-07-12,8.67,,
1991-07-15,8.64,,
1991-07-16,8.97,,
1991-07-17,9.03,,
1991-07-18,9.06,,
1991-07-19,9.0,,
1991-07-22,8.67,,
1991-07-23,8.67,,
1991-07-24,8.61,,
1991-07-25,8.85,,
1991-07-26,9.0,,
1991-07-29,9.09,,
1991-07-30,9.33,,
1991-07-31,9.27,,
1991-08-01,9.24,,
1991-08-02,9.33,,
1991-08-05,9.03,,
1991-08-06,9.18,,
1991-08-07,9.06,,
1991-08-08,9.09,,
1991-08-09,9.0,,
1991-08-12,8.94,,
1991-08-13,8.97,,
1991-08-14,9.0,,
1991-08-15,9.0,,
1991-08-16,9.06,,
1991-08-19,8.79,,
1991-08-20,8.91,,
1991-08-21,9.0,,
1991-08-22,9.12,,
1991-08-23,9.35,,
1991-08-26,9.3,,
1991-08-27,9.15,,
1991-08-28,9.3,,
1991-08-29,9.24,,
1991-08-30,9.15,,
1991-09-03,9.12,,
1991-09-04,9.18,,
1991-09-05,9.18,,
1991-09-06,9.15,,
1991-09-09,9.21,,
1991-09-10,9.27,,
1991-09-11,9.09,,
1991-09-12,9.15,,
1991-09-13,9.03,,
1991-09-16,8.91,,
1991-09-17,8.73,,
1991-09-18,8.76,,
1991-09-19,8.79,,
1991-09-20,8.82,,
1991-09-23,8.82,,
1991-09-24,8.91,,
1991-09-25,8.97,,
1991-09-26,8.91,,
1991-09-27,8.67,,
1991-09-30,8.64,,
1991-10-01,8.73,,
1991-10-02,8.64,,
1991-10-03,8.4,,
1991-10-04,8.34,,
1991-10-07,8.34,,
1991-10-08,8.61,,
1991-10-09,9.62,,
1991-10-10,9.21,,
1991-10-11,9.47,,
1991-10-14,9.44,,
1991-10-15,9.47,,
1991-10-16,9.65,,
1991-10-17,9.56,,
1991-10-18,9.71,,
1991-10-21,9.68,,
1991-10-22,9.71,,
1991-10-23,9.71,,
1991-10-24,9.53,,
1991-10-25,9.56,,
1991-10-28,9.53,,
1991-10-29,9.83,,
1991-10-30,9.83,,
1991-10-31,9.89,,
1991-11-01,9.77,,
1991-11-04,9.71,,
1991-11-05,9.8,,
1991-11-06,10.01,,
1991-11-07,10.01,,
1991-11-08,9.92,,
1991-11-11,9.83,,
1991-11-12,9.95,,
1991-11-13,10.07,,
1991-11-14,10.25,,
1991-11-15,9.68,,
1991-11-18,9.74,,
1991-11-19,9.59,,
1991-11-20,9.33,,
1991-11-21,9.3,,
1991-11-22,9.18,,
1991-11-25,9.27,,
1991-11-26,9.3,,
1991-11-27,9.3,,
1991-11-29,9.27,,
1991-12-02,9.35,,
1991-12-03,9.3,,
1991-12-04,9.38,,
1991-12-05,9.38,,
1991-12-06,9.24,,
1991-12-09,9.3,,
1991-12-10,9.06,,
1991-12-11,9.06,,
1991-12-12,9.06,,
1991-12-13,9.09,,
1991-12-16,9.03,,
1991-12-17,8.88,,
1991-12-18,8.7,,
1991-12-19,8.79,,
1991-12-20,9.0,,
1991-12-23,9.06,,
1991-12-24,9.77,,
1991-12-26,9.8,,
1991-12-27,9.83,,
1991-12-30,10.52,,
1991-12-31,10.46,,
1992-01-02,10.01,,
1992-01-03,10.13,,
1992-01-06,10.28,,
1992-01-07,10.37,,
1992-01-08,10.64,,
1992-01-09,10.9,,
1992-01-10,10.7,,
1992-01-13,10.67,,
1992-01-14,10.84,,
1992-01-15,11.11,,
1992-01-16,11.11,,
1992-01-17,11.02,,
1992-01-20,11.05,,
1992-01-21,11.11,,
1992-01-22,11.05,,
1992-01-23,10.9,,
1992-01-24,10.99,,
1992-01-27,11.02,,
1992-01-28,11.32,,
1992-01-29,11.56,,
1992-01-30,11.59,,
1992-01-31,11.8,,
1992-02-03,11.74,,
1992-02-04,11.74,,
1992-02-05,11.8,,
1992-02-06,11.89,,
1992-02-07,11.74,,
1992-02-10,11.86,,
1992-02-11,11.92,,
1992-02-12,12.01,,
1992-02-13,12.1,,
1992-02-14,12.13,,
1992-02-18,12.1,,
1992-02-19,11.89,,
1992-02-20,12.01,,
1992-02-21,11.86,,
1992-02-24,11.8,,
1992-02-25,11.47,,
1992-02-26,11.53,,
1992-02-27,11.56,,
1992-02-28,11.83,,
1992-03-02,11.92,,
1992-03-03,12.27,,
1992-03-04,11.98,,
1992-03-05,11.74,,
1992-03-06,11.68,,
1992-03-09,11.59,,
1992-03-10,11.83,,
1992-03-11,11.74,,
1992-03-12,11.47,,
1992-03-13,11.56,,
1992-03-16,11.53,,
1992-03-17,11.86,,
1992-03-18,11.86,,
1992-03-19,11.77,,
1992-03-20,12.48,,
1992-03-23,12.63,,
1992-03-24,12.72,,
1992-03-25,12.75,,
1992-03-26,13.05,,
1992-03-27,12.51,,
1992-03-30,12.54,,
1992-03-31,12.04,,
1992-04-01,11.92,,
1992-04-02,12.36,,
1992-04-03,12.24,,
1992-04-06,12.39,,
1992-04-07,12.24,,
1992-04-08,12.13,,
1992-04-09,12.39,,
1992-04-10,12.81,,
1992-04-13,12.84,,
1992-04-14,13.02,,
1992-04-15,13.23,,
1992-04-16,13.59,,
1992-04-20,13.47,,
1992-04-21,13.53,,
1992-04-22,13.41,,
1992-04-23,14.06,,
1992-04-24,13.82,,
1992-04-27,13.73,,
1992-04-28,13.76,,
1992-04-29,13.97,,
1992-04-30,13.88,,
1992-05-01,14.12,,
1992-05-04,13.97,,
1992-05-05,13.85,,
1992-05-06,14.0,,
1992-05-07,13.88,,
1992-05-08,13.85,,
1992-05-11,13.97,,
1992-05-12,14.18,,
1992-05-13,14.09,,
1992-05-14,13.97,,
1992-05-15,13.88,,
1992-05-18,14.03,,
1992-05-19,14.15,,
1992-05-20,14.12,,
1992-05-21,13.85,,
1992-05-22,13.85,,
1992-05-26,13.59,,
1992-05-27,13.85,,
1992-05-28,13.7,,
1992-05-29,13.82,,
1992-06-01,13.82,,
1992-06-02,14.51,,
1992-06-03,14.45,,
1992-06-04,14.48,,
1992-06-05,14.45,,
1992-06-08,14.18,,
1992-06-09,14.15,,
1992-06-10,13.73,,
1992-06-11,13.79,,
1992-06-12,13.73,,
1992-06-15,13.62,,
1992-06-16,13.62,,
1992-06-17,13.56,,
1992-06-18,13.11,,
1992-06-19,12.99,,
1992-06-22,12.75,,
1992-06-23,12.54,,
1992-06-24,12.66,,
1992-06-25,12.69,,
1992-06-26,12.78,,
1992-06-29,12.99,,
1992-06-30,12.81,,
1992-07-01,12.99,,
1992-07-02,12.99,,
1992-07-06,12.63,,
1992-07-07,12.27,,
1992-07-08,12.19,,
1992-07-09,12.33,,
1992-07-10,12.54,,
1992-07-13,12.66,,
1992-07-14,12.69,,
1992-07-15,12.84,,
1992-07-16,12.81,,
1992-07-17,12.66,,
1992-07-20,12.51,,
1992-07-21,12.66,,
1992-07-22,12.51,,
1992-07-23,12.87,,
1992-07-24,12.99,,
1992-07-27,12.9,,
1992-07-28,12.99,,
1992-07-29,13.41,,
1992-07-30,13.35,,
1992-07-31,13.23,,
1992-08-03,13.32,,
1992-08-04,13.47,,
1992-08-05,13.26,,
1992-08-06,13.35,,
1992-08-07,13.32,,
1992-08-10,13.35,,
1992-08-11,13.26,,
1992-08-12,13.32,,
1992-08-13,12.87,,
1992-08-14,12.75,,
1992-08-17,12.84,,
1992-08-18,12.78,,
1992-08-19,12.66,,
1992-08-20,12.72,,
1992-08-21,12.63,,
1992-08-24,12.27,,
1992-08-25,12.16,,
1992-08-26,12.51,,
1992-08-27,12.78,,
1992-08-28,12.66,,
1992-08-31,12.48,,
1992-09-01,12.51,,
1992-09-02,12.6,,
1992-09-03,12.69,,
1992-09-04,12.66,,
1992-09-08,12.48,,
1992-09-09,12.33,,
1992-09-10,12.57,,
1992-09-11,12.72,,
1992-09-14,13.32,,
1992-09-15,13.29,,
1992-09-16,13.14,,
1992-09-17,13.32,,
1992-09-18,13.29,,
1992-09-21,13.05,,
1992-09-22,12.57,,
1992-09-23,12.81,,
1992-09-24,12.99,,
1992-09-25,12.66,,
1992-09-28,12.75,,
1992-09-29,12.6,,
1992-09-30,12.39,,
1992-10-01,12.51,,
1992-10-02,12.27,,
1992-10-05,12.07,,
1992-10-06,12.3,,
1992-10-07,12.48,,
1992-10-08,12.22,,
1992-10-09,12.07,,
1992-10-12,12.1,,
1992-10-13,12.45,,
1992-10-14,12.69,,
1992-10-15,12.63,,
1992-10-16,12.75,,
1992-10-19,12.66,,
1992-10-20,12.9,,
1992-10-21,13.05,,
1992-10-22,13.05,,
1992-10-23,13.29,,
1992-10-26,13.59,,
1992-10-27,13.44,,
1992-10-28,13.38,,
1992-10-29,13.35,,
1992-10-30,13.23,,
1992-11-02,13.26,,
1992-11-03,13.56,,
1992-11-04,13.53,,
1992-11-05,13.56,,
1992-11-06,13.7,,
1992-11-09,13.7,,
1992-11-10,13.59,,
1992-11-11,13.53,,
1992-11-12,13.56,,
1992-11-13,13.56,,
1992-11-16,13.32,,
1992-11-17,13.35,,
1992-11-18,13.32,,
1992-11-19,13.29,,
1992-11-20,13.14,,
1992-11-23,13.08,,
1992-11-24,13.26,,
1992-11-25,13.35,,
1992-11-27,13.44,,
1992-11-30,13.62,,
1992-12-01,13.76,,
1992-12-02,14.0,,
1992-12-03,13.67,,
1992-12-04,13.79,,
1992-12-07,13.79,,
1992-12-08,13.91,,
1992-12-09,14.03,,
1992-12-10,13.88,,
1992-12-11,14.21,,
1992-12-14,13.94,,
1992-12-15,14.06,,
1992-12-16,14.03,,
1992-12-17,13.97,,
1992-12-18,14.36,,
1992-12-21,14.24,,
1992-12-22,14.42,,
1992-12-23,14.51,,
1992-12-24,14.42,,
1992-12-28,14.69,,
1992-12-29,14.63,,
1992-12-30,14.51,,
1992-12-31,14.42,,
1993-01-04,14.39,,
1993-01-05,14.21,,
1993-01-06,14.12,,
1993-01-07,13.82,,
1993-01-08,13.82,,
1993-01-11,14.03,,
1993-01-12,14.09,,
1993-01-13,13.82,,
1993-01-14,13.73,,
1993-01-15,13.79,,
1993-01-18,14.18,,
1993-01-19,14.12,,
1993-01-20,14.15,,
1993-01-21,14.09,,
1993-01-22,13.76,,
1993-01-25,13.88,,
1993-01-26,14.27,,
1993-01-27,14.15,,
1993-01-28,13.97,,
1993-01-29,13.73,,
1993-02-01,13.91,,
1993-02-02,14.06,,
1993-02-03,14.75,,
1993-02-04,15.58,,
1993-02-05,15.73,,
1993-02-08,15.37,,
1993-02-09,15.08,,
1993-02-10,15.31,,
1993-02-11,15.94,,
1993-02-12,15.4,,
1993-02-16,15.31,,
1993-02-17,15.46,,
1993-02-18,15.28,,
1993-02-19,15.31,,
1993-02-22,15.52,,
1993-02-23,15.43,,
1993-02-24,15.58,,
1993-02-25,15.79,,
1993-02-26,15.7,,
1993-03-01,15.49,,
1993-03-02,15.64,,
1993-03-03,16.15,,
1993-03-04,15.91,,
1993-03-05,15.79,,
1993-03-08,15.94,,
1993-03-09,16.0,,
1993-03-10,15.91,,
1993-03-11,16.03,,
1993-03-12,15.94,,
1993-03-15,16.12,,
1993-03-16,16.18,,
1993-03-17,16.06,,
1993-03-18,16.33,,
1993-03-19,16.21,,
1993-03-22,16.18,,
1993-03-23,16.42,,
1993-03-24,16.36,,
1993-03-25,16.33,,
1993-03-26,16.18,,
1993-03-29,15.97,,
1993-03-30,15.97,,
1993-03-31,15.88,,
1993-04-01,15.91,,
1993-04-02,15.55,,
1993-04-05,15.49,,
1993-04-06,15.08,,
1993-04-07,15.4,,
1993-04-08,15.49,,
1993-04-12,15.61,,
1993-04-13,15.97,,
1993-04-14,16.15,,
1993-04-15,16.36,,
1993-04-16,16.74,,
1993-04-19,16.45,,
1993-04-20,16.15,,
1993-04-21,15.82,,
1993-04-22,15.43,,
1993-04-23,15.79,,
1993-04-26,15.16,,
1993-04-27,14.93,,
1993-04-28,14.84,,
1993-04-29,15.13,,
1993-04-30,15.55,,
1993-05-03,15.49,,
1993-05-04,15.37,,
1993-05-05,15.52,,
1993-05-06,15.31,,
1993-05-07,14.99,,
1993-05-10,15.02,,
1993-05-11,15.13,,
1993-05-12,15.25,,
1993-05-13,15.16,,
1993-05-14,15.28,,
1993-05-17,15.31,,
1993-05-18,15.28,,
1993-05-19,15.61,,
1993-05-20,15.7,,
1993-05-21,15.76,,
1993-05-24,15.79,,
1993-05-25,15.91,,
1993-05-26,15.97,,
1993-05-27,15.97,,
1993-05-28,15.91,,
1993-06-01,15.76,,
1993-06-02,15.67,,
1993-06-03,15.61,,
1993-06-04,15.64,,
1993-06-07,15.79,,
1993-06-08,15.76,,
1993-06-09,15.76,,
1993-06-10,16.0,,
1993-06-11,16.0,,
1993-06-14,16.0,,
1993-06-15,16.0,,
1993-06-16,15.91,,
1993-06-17,15.58,,
1993-06-18,15.55,,
1993-06-21,15.94,,
1993-06-22,15.73,,
1993-06-23,15.73,,
1993-06-24,15.85,,
1993-06-25,15.73,,
1993-06-28,16.48,,
1993-06-29,16.12,,
1993-06-30,15.91,,
1993-07-01,15.7,,
1993-07-02,15.61,,
1993-07-06,15.31,,
1993-07-07,15.67,,
1993-07-08,15.82,,
1993-07-09,15.82,,
1993-07-12,15.82,,
1993-07-13,15.88,,
1993-07-14,16.03,,
1993-07-15,16.21,,
1993-07-16,16.36,,
1993-07-19,16.54,,
1993-07-20,16.59,,
1993-07-21,16.62,,
1993-07-22,16.45,,
1993-07-23,16.45,,
1993-07-26,16.54,,
1993-07-27,16.62,,
1993-07-28,16.42,,
1993-07-29,17.01,,
1993-07-30,16.71,,
1993-08-02,16.98,,
1993-08-03,17.13,,
1993-08-04,17.22,,
1993-08-05,17.43,,
1993-08-06,17.43,,
1993-08-09,17.49,,
1993-08-10,17.43,,
1993-08-11,17.55,,
1993-08-12,17.55,,
1993-08-13,17.46,,
1993-08-16,17.34,,
1993-08-17,17.49,,
1993-08-18,17.34,,
1993-08-19,17.55,,
1993-08-20,17.52,,
1993-08-23,17.31,,
1993-08-24,17.43,,
1993-08-25,17.79,,
1993-08-26,17.67,,
1993-08-27,17.58,,
1993-08-30,17.64,,
1993-08-31,17.82,,
1993-09-01,17.67,,
1993-09-02,17.49,,
1993-09-03,17.46,,
1993-09-07,17.52,,
1993-09-08,17.19,,
1993-09-09,16.92,,
1993-09-10,17.4,,
1993-09-13,17.34,,
1993-09-14,17.25,,
1993-09-15,17.22,,
1993-09-16,17.46,,
1993-09-17,17.49,,
1993-09-20,17.64,,
1993-09-21,17.19,,
1993-09-22,17.4,,
1993-09-23,17.4,,
1993-09-24,17.04,,
1993-09-27,16.92,,
1993-09-28,16.98,,
1993-09-29,17.25,,
1993-09-30,17.37,,
1993-10-01,17.37,,
1993-10-04,17.61,,
1993-10-05,17.7,,
1993-10-06,17.67,,
1993-10-07,17.4,,
1993-10-08,17.19,,
1993-10-11,17.1,,
1993-10-12,17.07,,
1993-10-13,16.95,,
1993-10-14,17.04,,
1993-10-15,17.07,,
1993-10-18,17.58,,
1993-10-19,17.22,,
1993-10-20,16.95,,
1993-10-21,16.68,,
1993-10-22,17.07,,
1993-10-25,17.37,,
1993-10-26,17.34,,
1993-10-27,16.89,,
1993-10-28,16.98,,
1993-10-29,17.07,,
1993-11-01,17.31,,
1993-11-02,17.46,,
1993-11-03,16.92,,
1993-11-04,17.07,,
1993-11-05,16.92,,
1993-11-08,16.86,,
1993-11-09,16.92,,
1993-11-10,17.13,,
1993-11-11,17.37,,
1993-11-12,17.46,,
1993-11-15,17.37,,
1993-11-16,17.37,,
1993-11-17,17.25,,
1993-11-18,17.19,,
1993-11-19,16.98,,
1993-11-22,16.92,,
1993-11-23,17.01,,
1993-11-24,17.22,,
1993-11-26,17.22,,
1993-11-29,17.1,,
1993-11-30,16.95,,
1993-12-01,17.22,,
1993-12-02,17.4,,
1993-12-03,17.67,,
1993-12-06,17.94,,
1993-12-07,17.91,,
1993-12-08,18.02,,
1993-12-09,18.08,,
1993-12-10,18.05,,
1993-12-13,17.85,,
1993-12-14,17.91,,
1993-12-15,17.91,,
1993-12-16,17.94,,
