date,AIV,dcf,Deviation
1994-07-22,18.5,,
1994-07-25,18.63,,
1994-07-26,18.5,,
1994-07-27,18.5,,
1994-07-28,18.5,,
1994-07-29,18.5,,
1994-08-01,18.5,,
1994-08-02,18.5,,
1994-08-03,18.63,,
1994-08-04,18.25,,
1994-08-05,18.25,,
1994-08-08,18.25,,
1994-08-09,18.38,,
1994-08-10,18.0,,
1994-08-11,17.88,,
1994-08-12,18.0,,
1994-08-15,18.0,,
1994-08-16,18.13,,
1994-08-17,18.0,,
1994-08-18,18.13,,
1994-08-19,18.0,,
1994-08-22,18.0,,
1994-08-23,17.88,,
1994-08-24,18.0,,
1994-08-25,18.13,,
1994-08-26,18.25,,
1994-08-29,18.25,,
1994-08-30,18.5,,
1994-08-31,18.38,,
1994-09-01,18.25,,
1994-09-02,18.25,,
1994-09-06,18.0,,
1994-09-07,18.0,,
1994-09-08,18.13,,
1994-09-09,18.25,,
1994-09-12,18.0,,
1994-09-13,18.13,,
1994-09-14,17.75,,
1994-09-15,18.0,,
1994-09-16,17.75,,
1994-09-19,17.75,,
1994-09-20,17.38,,
1994-09-21,17.13,,
1994-09-22,17.63,,
1994-09-23,17.5,,
1994-09-26,17.75,,
1994-09-27,17.63,,
1994-09-28,17.5,,
1994-09-29,17.63,,
1994-09-30,17.38,,
1994-10-03,17.13,,
1994-10-04,16.75,,
1994-10-05,17.13,,
1994-10-06,17.25,,
1994-10-07,17.38,,
1994-10-10,17.63,,
1994-10-11,17.88,,
1994-10-12,17.88,,
1994-10-13,17.88,,
1994-10-14,17.75,,
1994-10-17,17.88,,
1994-10-18,17.75,,
1994-10-19,18.0,,
1994-10-20,18.0,,
1994-10-21,18.0,,
1994-10-24,17.75,,
1994-10-25,17.88,,
1994-10-26,17.75,,
1994-10-27,18.0,,
1994-10-28,18.0,,
1994-10-31,18.25,,
1994-11-01,18.0,,
1994-11-02,18.13,,
1994-11-03,18.13,,
1994-11-04,18.0,,
1994-11-07,17.88,,
1994-11-08,17.63,,
1994-11-09,17.5,,
1994-11-10,17.63,,
1994-11-11,17.5,,
1994-11-14,17.5,,
1994-11-15,17.75,,
1994-11-16,17.63,,
