date,ADM,dcf,Deviation
1980-03-17,1.85,,
1980-03-18,1.91,,
1980-03-19,1.93,,
1980-03-20,1.98,,
1980-03-21,1.93,,
1980-03-24,1.88,,
1980-03-25,1.81,,
1980-03-26,1.73,,
1980-03-27,1.69,,
1980-03-28,1.85,,
1980-03-31,1.93,,
1980-04-01,2.0,,
1980-04-02,1.96,,
1980-04-03,1.93,,
1980-04-07,1.87,,
1980-04-08,1.9,,
1980-04-09,1.88,,
1980-04-10,1.95,,
1980-04-11,1.97,,
1980-04-14,1.95,,
1980-04-15,1.94,,
1980-04-16,1.87,,
1980-04-17,1.82,,
1980-04-18,1.82,,
1980-04-21,1.76,,
1980-04-22,1.96,,
1980-04-23,1.86,,
1980-04-24,1.92,,
1980-04-25,1.96,,
1980-04-28,2.04,,
1980-04-29,2.04,,
1980-04-30,2.13,,
1980-05-01,2.08,,
1980-05-02,2.11,,
1980-05-05,2.19,,
1980-05-06,2.25,,
1980-05-07,2.3,,
1980-05-08,2.28,,
1980-05-09,2.26,,
1980-05-12,2.33,,
1980-05-13,2.34,,
1980-05-14,2.3,,
1980-05-15,2.25,,
1980-05-16,2.22,,
1980-05-19,2.25,,
1980-05-20,2.24,,
1980-05-21,2.24,,
1980-05-22,2.3,,
1980-05-23,2.33,,
1980-05-27,2.4,,
1980-05-28,2.45,,
1980-05-29,2.31,,
1980-05-30,2.29,,
1980-06-02,2.35,,
1980-06-03,2.35,,
1980-06-04,2.41,,
1980-06-05,2.3,,
1980-06-06,2.35,,
1980-06-09,2.35,,
1980-06-10,2.35,,
1980-06-11,2.35,,
1980-06-12,2.31,,
1980-06-13,2.35,,
1980-06-16,2.35,,
1980-06-17,2.31,,
1980-06-18,2.25,,
1980-06-19,2.28,,
1980-06-20,2.27,,
1980-06-23,2.3,,
1980-06-24,2.4,,
1980-06-25,2.41,,
1980-06-26,2.39,,
1980-06-27,2.35,,
1980-06-30,2.26,,
1980-07-01,2.3,,
1980-07-02,2.35,,
1980-07-03,2.29,,
1980-07-07,2.34,,
1980-07-08,2.28,,
1980-07-09,2.29,,
1980-07-10,2.25,,
1980-07-11,2.2,,
1980-07-14,2.16,,
1980-07-15,2.26,,
1980-07-16,2.26,,
1980-07-17,2.3,,
1980-07-18,2.26,,
1980-07-21,2.25,,
1980-07-22,2.21,,
1980-07-23,2.1,,
1980-07-24,2.09,,
1980-07-25,2.11,,
1980-07-28,2.23,,
1980-07-29,2.3,,
1980-07-30,2.21,,
1980-07-31,2.19,,
1980-08-01,2.21,,
1980-08-04,2.1,,
1980-08-05,2.16,,
1980-08-06,2.22,,
1980-08-07,2.28,,
1980-08-08,2.25,,
1980-08-11,2.25,,
1980-08-12,2.18,,
1980-08-13,2.15,,
1980-08-14,2.25,,
1980-08-15,2.3,,
1980-08-18,2.19,,
1980-08-19,2.25,,
1980-08-20,2.35,,
1980-08-21,2.36,,
1980-08-22,2.36,,
1980-08-25,2.31,,
1980-08-26,2.36,,
1980-08-27,2.33,,
1980-08-28,2.31,,
1980-08-29,2.33,,
1980-09-02,2.24,,
1980-09-03,2.29,,
1980-09-04,2.27,,
1980-09-05,2.26,,
1980-09-08,2.2,,
1980-09-09,2.22,,
1980-09-10,2.21,,
1980-09-11,2.23,,
1980-09-12,2.41,,
1980-09-15,2.48,,
1980-09-16,2.6,,
1980-09-17,2.62,,
1980-09-18,2.56,,
1980-09-19,2.57,,
1980-09-22,2.57,,
