date,ED,dcf,Deviation
1962-01-02,10.13,,
1962-01-03,10.13,,
1962-01-04,10.09,,
1962-01-05,9.88,,
1962-01-08,9.92,,
1962-01-09,9.91,,
1962-01-10,9.88,,
1962-01-11,9.92,,
1962-01-12,10.0,,
1962-01-15,10.03,,
1962-01-16,9.89,,
1962-01-17,9.88,,
1962-01-18,9.88,,
1962-01-19,9.86,,
1962-01-22,9.84,,
1962-01-23,9.72,,
1962-01-24,9.69,,
1962-01-25,9.53,,
1962-01-26,9.53,,
1962-01-29,9.58,,
1962-01-30,9.63,,
1962-01-31,9.59,,
1962-02-01,9.63,,
1962-02-02,9.63,,
1962-02-05,9.63,,
1962-02-06,9.61,,
1962-02-07,9.66,,
1962-02-08,9.58,,
1962-02-09,9.63,,
1962-02-12,9.63,,
1962-02-13,9.77,,
1962-02-14,9.91,,
1962-02-15,10.03,,
1962-02-16,9.89,,
1962-02-19,9.92,,
1962-02-20,9.97,,
1962-02-21,9.83,,
1962-02-23,9.81,,
1962-02-26,9.78,,
1962-02-27,9.72,,
1962-02-28,9.75,,
1962-03-01,9.81,,
1962-03-02,9.81,,
1962-03-05,9.83,,
1962-03-06,9.75,,
1962-03-07,9.77,,
1962-03-08,9.86,,
1962-03-09,10.06,,
1962-03-12,10.11,,
1962-03-13,10.13,,
1962-03-14,10.09,,
1962-03-15,10.08,,
1962-03-16,10.09,,
1962-03-19,10.13,,
1962-03-20,10.13,,
1962-03-21,10.17,,
1962-03-22,10.14,,
1962-03-23,10.19,,
1962-03-26,10.28,,
1962-03-27,10.31,,
1962-03-28,10.25,,
1962-03-29,10.22,,
1962-03-30,10.13,,
1962-04-02,10.02,,
1962-04-03,10.0,,
1962-04-04,9.94,,
1962-04-05,9.95,,
1962-04-06,10.03,,
1962-04-09,9.88,,
1962-04-10,9.95,,
1962-04-11,9.94,,
1962-04-12,9.94,,
1962-04-13,9.94,,
1962-04-16,9.95,,
1962-04-17,10.02,,
1962-04-18,9.95,,
1962-04-19,9.95,,
1962-04-23,9.95,,
1962-04-24,9.94,,
1962-04-25,9.98,,
1962-04-26,9.88,,
1962-04-27,9.83,,
1962-04-30,9.83,,
1962-05-01,9.69,,
1962-05-02,9.69,,
1962-05-03,9.7,,
1962-05-04,9.63,,
1962-05-07,9.69,,
1962-05-08,9.59,,
1962-05-09,9.56,,
1962-05-10,9.59,,
1962-05-11,9.39,,
1962-05-14,9.44,,
1962-05-15,9.5,,
1962-05-16,9.61,,
1962-05-17,9.56,,
1962-05-18,9.61,,
1962-05-21,9.53,,
1962-05-22,9.36,,
1962-05-23,9.25,,
1962-05-24,9.09,,
1962-05-25,8.94,,
1962-05-28,8.42,,
1962-05-29,8.72,,
1962-05-31,9.06,,
1962-06-01,9.16,,
1962-06-04,8.75,,
1962-06-05,8.84,,
1962-06-06,8.98,,
1962-06-07,8.89,,
1962-06-08,8.94,,
1962-06-11,8.88,,
1962-06-12,8.64,,
1962-06-13,8.75,,
1962-06-14,8.63,,
1962-06-15,8.75,,
1962-06-18,8.97,,
1962-06-19,8.94,,
1962-06-20,8.81,,
1962-06-21,8.64,,
1962-06-22,8.44,,
1962-06-25,8.47,,
1962-06-26,8.47,,
1962-06-27,8.53,,
1962-06-28,8.67,,
1962-06-29,8.73,,
1962-07-02,8.86,,
1962-07-03,8.88,,
1962-07-05,8.91,,
1962-07-06,8.94,,
1962-07-09,9.05,,
1962-07-10,9.14,,
1962-07-11,9.17,,
1962-07-12,9.2,,
1962-07-13,9.17,,
1962-07-16,9.25,,
1962-07-17,9.03,,
1962-07-18,9.13,,
1962-07-19,9.08,,
1962-07-20,9.13,,
1962-07-23,9.09,,
1962-07-24,9.08,,
1962-07-25,9.17,,
1962-07-26,9.28,,
1962-07-27,9.31,,
1962-07-30,9.36,,
1962-07-31,9.3,,
1962-08-01,9.25,,
1962-08-02,9.3,,
1962-08-03,9.25,,
1962-08-06,9.2,,
1962-08-07,9.16,,
1962-08-08,9.19,,
1962-08-09,9.14,,
1962-08-10,9.17,,
1962-08-13,9.16,,
1962-08-14,9.2,,
1962-08-15,9.25,,
1962-08-16,9.27,,
1962-08-17,9.34,,
1962-08-20,9.42,,
1962-08-21,9.59,,
1962-08-22,9.66,,
1962-08-23,9.8,,
1962-08-24,9.8,,
1962-08-27,9.66,,
1962-08-28,9.67,,
1962-08-29,9.63,,
1962-08-30,9.5,,
1962-08-31,9.48,,
1962-09-04,9.44,,
1962-09-05,9.38,,
1962-09-06,9.5,,
1962-09-07,9.5,,
1962-09-10,9.61,,
1962-09-11,9.53,,
1962-09-12,9.56,,
1962-09-13,9.56,,
1962-09-14,9.5,,
1962-09-17,9.52,,
1962-09-18,9.53,,
1962-09-19,9.56,,
1962-09-20,9.52,,
1962-09-21,9.42,,
1962-09-24,9.13,,
1962-09-25,9.28,,
1962-09-26,9.17,,
1962-09-27,9.22,,
1962-09-28,9.3,,
1962-10-01,9.19,,
1962-10-02,9.25,,
1962-10-03,9.19,,
1962-10-04,9.27,,
1962-10-05,9.31,,
1962-10-08,9.36,,
1962-10-09,9.36,,
1962-10-10,9.38,,
1962-10-11,9.36,,
1962-10-12,9.3,,
1962-10-15,9.31,,
1962-10-16,9.33,,
1962-10-17,9.3,,
1962-10-18,9.22,,
1962-10-19,9.06,,
1962-10-22,8.94,,
1962-10-23,8.63,,
1962-10-24,8.77,,
1962-10-25,8.78,,
1962-10-26,8.8,,
1962-10-29,9.0,,
1962-10-30,9.0,,
1962-10-31,9.08,,
1962-11-01,9.08,,
1962-11-02,9.16,,
1962-11-05,9.17,,
1962-11-07,9.25,,
1962-11-08,9.33,,
1962-11-09,9.38,,
1962-11-12,9.44,,
1962-11-13,9.44,,
1962-11-14,9.55,,
1962-11-15,9.63,,
1962-11-16,9.63,,
1962-11-19,9.63,,
1962-11-20,9.69,,
1962-11-21,9.78,,
1962-11-23,9.88,,
1962-11-26,9.94,,
1962-11-27,9.98,,
1962-11-28,9.92,,
1962-11-29,10.0,,
1962-11-30,9.94,,
1962-12-03,9.94,,
1962-12-04,9.98,,
1962-12-05,9.92,,
1962-12-06,9.98,,
1962-12-07,9.97,,
1962-12-10,9.95,,
1962-12-11,10.0,,
1962-12-12,10.16,,
1962-12-13,10.19,,
1962-12-14,10.28,,
1962-12-17,10.25,,
1962-12-18,10.25,,
1962-12-19,10.27,,
1962-12-20,10.33,,
1962-12-21,10.38,,
1962-12-24,10.34,,
1962-12-26,10.42,,
1962-12-27,10.42,,
1962-12-28,10.44,,
1962-12-31,10.47,,
1963-01-02,10.23,,
1963-01-03,10.41,,
1963-01-04,10.44,,
1963-01-07,10.44,,
1963-01-08,10.53,,
1963-01-09,10.56,,
1963-01-10,10.63,,
1963-01-11,10.59,,
1963-01-14,10.64,,
1963-01-15,10.66,,
1963-01-16,10.56,,
1963-01-17,10.64,,
1963-01-18,10.67,,
1963-01-21,10.69,,
1963-01-22,10.77,,
1963-01-23,10.75,,
1963-01-24,10.97,,
1963-01-25,10.94,,
1963-01-28,10.95,,
1963-01-29,10.78,,
1963-01-30,10.81,,
1963-01-31,10.8,,
1963-02-01,10.83,,
1963-02-04,10.83,,
1963-02-05,10.83,,
1963-02-06,10.84,,
1963-02-07,10.89,,
1963-02-08,10.88,,
1963-02-11,11.0,,
1963-02-12,11.02,,
1963-02-13,11.13,,
1963-02-14,11.08,,
1963-02-15,11.16,,
1963-02-18,11.11,,
1963-02-19,11.0,,
1963-02-20,10.97,,
1963-02-21,10.95,,
1963-02-25,10.97,,
1963-02-26,10.88,,
1963-02-27,10.77,,
1963-02-28,10.53,,
1963-03-01,10.47,,
1963-03-04,10.66,,
1963-03-05,10.69,,
1963-03-06,10.63,,
1963-03-07,10.69,,
1963-03-08,10.64,,
1963-03-11,10.67,,
1963-03-12,10.72,,
1963-03-13,10.8,,
1963-03-14,10.83,,
1963-03-15,10.84,,
1963-03-18,10.81,,
1963-03-19,10.75,,
1963-03-20,10.73,,
1963-03-21,10.63,,
1963-03-22,10.58,,
1963-03-25,10.59,,
1963-03-26,10.59,,
1963-03-27,10.66,,
1963-03-28,10.61,,
1963-03-29,10.61,,
1963-04-01,10.61,,
1963-04-02,10.66,,
1963-04-03,10.75,,
1963-04-04,10.64,,
1963-04-05,10.69,,
1963-04-08,10.78,,
1963-04-09,10.78,,
1963-04-10,10.73,,
1963-04-11,10.72,,
1963-04-15,10.8,,
1963-04-16,10.89,,
1963-04-17,10.95,,
1963-04-18,10.95,,
1963-04-19,10.92,,
1963-04-22,10.91,,
1963-04-23,10.92,,
1963-04-24,10.88,,
1963-04-25,10.86,,
1963-04-26,10.88,,
1963-04-29,10.91,,
1963-04-30,10.83,,
1963-05-01,10.78,,
1963-05-02,10.77,,
1963-05-03,10.78,,
1963-05-06,10.72,,
1963-05-07,10.69,,
1963-05-08,10.75,,
1963-05-09,10.77,,
1963-05-10,10.83,,
1963-05-13,10.86,,
1963-05-14,10.81,,
1963-05-15,10.86,,
1963-05-16,10.83,,
1963-05-17,10.78,,
1963-05-20,10.8,,
1963-05-21,10.83,,
1963-05-22,10.81,,
1963-05-23,10.86,,
1963-05-24,10.86,,
1963-05-27,10.81,,
1963-05-28,10.84,,
1963-05-29,10.81,,
1963-05-31,10.81,,
1963-06-03,10.78,,
1963-06-04,10.72,,
1963-06-05,10.66,,
1963-06-06,10.64,,
1963-06-07,10.63,,
1963-06-10,10.59,,
1963-06-11,10.53,,
1963-06-12,10.59,,
1963-06-13,10.59,,
1963-06-14,10.59,,
1963-06-17,10.56,,
1963-06-18,10.63,,
1963-06-19,10.58,,
1963-06-20,10.56,,
1963-06-21,10.5,,
1963-06-24,10.5,,
1963-06-25,10.48,,
