date,NTAP,dcf,Deviation
1995-11-21,1.28,,
1995-11-22,1.56,,
1995-11-24,1.69,,
1995-11-27,1.58,,
1995-11-28,1.59,,
1995-11-29,1.8,,
1995-11-30,1.89,,
1995-12-01,1.88,,
1995-12-04,2.34,,
1995-12-05,2.21,,
1995-12-06,2.09,,
1995-12-07,1.98,,
1995-12-08,2.2,,
1995-12-11,2.23,,
1995-12-12,2.3,,
1995-12-13,2.31,,
1995-12-14,2.3,,
1995-12-15,2.23,,
1995-12-18,2.02,,
1995-12-19,2.03,,
1995-12-20,2.13,,
1995-12-21,2.11,,
1995-12-22,2.13,,
1995-12-26,2.27,,
1995-12-27,2.33,,
1995-12-28,2.45,,
1995-12-29,2.51,,
1996-01-02,2.38,,
1996-01-03,2.13,,
1996-01-04,1.88,,
1996-01-05,1.94,,
1996-01-08,1.95,,
1996-01-09,1.69,,
1996-01-10,1.63,,
1996-01-11,1.8,,
1996-01-12,1.75,,
1996-01-15,1.7,,
1996-01-16,1.69,,
1996-01-17,1.67,,
1996-01-18,1.69,,
1996-01-19,1.83,,
1996-01-22,1.88,,
1996-01-23,1.9,,
1996-01-24,2.0,,
1996-01-25,2.11,,
1996-01-26,2.15,,
1996-01-29,2.13,,
1996-01-30,2.0,,
1996-01-31,1.92,,
1996-02-01,1.97,,
1996-02-02,1.95,,
1996-02-05,2.02,,
1996-02-06,2.08,,
1996-02-07,2.13,,
1996-02-08,2.27,,
1996-02-09,2.23,,
1996-02-12,2.2,,
1996-02-13,2.25,,
1996-02-14,2.37,,
1996-02-15,2.42,,
1996-02-16,2.23,,
1996-02-20,2.17,,
1996-02-21,2.25,,
1996-02-22,2.34,,
1996-02-23,2.22,,
1996-02-26,2.13,,
1996-02-27,2.08,,
1996-02-28,2.08,,
1996-02-29,1.98,,
1996-03-01,1.94,,
1996-03-04,1.98,,
1996-03-05,1.94,,
1996-03-06,1.97,,
1996-03-07,1.98,,
1996-03-08,1.95,,
1996-03-11,2.02,,
1996-03-12,1.94,,
1996-03-13,1.94,,
1996-03-14,1.95,,
1996-03-15,2.02,,
1996-03-18,1.95,,
1996-03-19,1.97,,
1996-03-20,1.92,,
1996-03-21,1.92,,
1996-03-22,1.92,,
1996-03-25,2.02,,
1996-03-26,1.92,,
1996-03-27,1.98,,
1996-03-28,1.92,,
1996-03-29,1.98,,
1996-04-01,1.86,,
1996-04-02,1.8,,
1996-04-03,1.8,,
1996-04-04,1.72,,
1996-04-08,1.69,,
1996-04-09,1.7,,
1996-04-10,1.69,,
1996-04-11,1.7,,
1996-04-12,1.69,,
1996-04-15,1.69,,
1996-04-16,1.69,,
1996-04-17,1.69,,
1996-04-18,1.75,,
1996-04-19,1.76,,
1996-04-22,1.77,,
1996-04-23,1.81,,
1996-04-24,1.87,,
1996-04-25,1.98,,
1996-04-26,2.14,,
1996-04-29,2.11,,
1996-04-30,2.0,,
1996-05-01,1.97,,
1996-05-02,1.97,,
1996-05-03,2.0,,
1996-05-06,2.0,,
1996-05-07,2.06,,
1996-05-08,2.06,,
1996-05-09,2.25,,
1996-05-10,2.32,,
1996-05-13,2.41,,
1996-05-14,2.36,,
1996-05-15,2.42,,
1996-05-16,2.28,,
1996-05-17,2.22,,
1996-05-20,2.17,,
1996-05-21,2.17,,
1996-05-22,2.17,,
1996-05-23,2.17,,
1996-05-24,2.14,,
1996-05-28,2.11,,
1996-05-29,2.08,,
1996-05-30,2.08,,
1996-05-31,2.14,,
1996-06-03,2.11,,
1996-06-04,2.09,,
1996-06-05,2.08,,
1996-06-06,2.06,,
1996-06-07,2.08,,
1996-06-10,2.02,,
1996-06-11,2.02,,
1996-06-12,2.08,,
1996-06-13,2.14,,
1996-06-14,2.17,,
1996-06-17,2.05,,
1996-06-18,1.81,,
1996-06-19,1.84,,
1996-06-20,1.84,,
1996-06-21,1.88,,
1996-06-24,1.88,,
1996-06-25,1.81,,
1996-06-26,1.81,,
1996-06-27,1.78,,
1996-06-28,1.86,,
1996-07-01,1.83,,
1996-07-02,1.81,,
1996-07-03,1.81,,
1996-07-05,1.81,,
1996-07-08,1.81,,
1996-07-09,1.73,,
1996-07-10,1.69,,
1996-07-11,1.59,,
1996-07-12,1.66,,
1996-07-15,1.56,,
1996-07-16,1.56,,
1996-07-17,1.56,,
1996-07-18,1.63,,
1996-07-19,1.63,,
1996-07-22,1.63,,
1996-07-23,1.52,,
1996-07-24,1.52,,
1996-07-25,1.52,,
1996-07-26,1.52,,
1996-07-29,1.55,,
1996-07-30,1.55,,
1996-07-31,1.5,,
1996-08-01,1.36,,
1996-08-02,1.64,,
1996-08-05,1.69,,
1996-08-06,1.58,,
1996-08-07,1.69,,
1996-08-08,1.8,,
1996-08-09,1.85,,
1996-08-12,1.88,,
1996-08-13,1.78,,
1996-08-14,1.73,,
1996-08-15,1.77,,
1996-08-16,1.69,,
1996-08-19,1.66,,
1996-08-20,1.64,,
1996-08-21,1.65,,
1996-08-22,1.72,,
1996-08-23,1.7,,
1996-08-26,1.72,,
1996-08-27,1.7,,
1996-08-28,1.74,,
1996-08-29,1.69,,
1996-08-30,1.75,,
1996-09-03,1.78,,
1996-09-04,1.8,,
1996-09-05,1.73,,
1996-09-06,1.8,,
1996-09-09,1.75,,
1996-09-10,1.75,,
1996-09-11,1.63,,
1996-09-12,1.69,,
1996-09-13,1.67,,
1996-09-16,1.67,,
1996-09-17,1.63,,
1996-09-18,1.53,,
1996-09-19,1.59,,
1996-09-20,1.69,,
1996-09-23,1.77,,
1996-09-24,1.78,,
1996-09-25,1.95,,
1996-09-26,1.96,,
1996-09-27,1.91,,
1996-09-30,1.88,,
1996-10-01,1.75,,
1996-10-02,1.8,,
1996-10-03,1.88,,
1996-10-04,1.89,,
1996-10-07,1.88,,
1996-10-08,1.89,,
1996-10-09,1.84,,
1996-10-10,1.8,,
1996-10-11,1.95,,
1996-10-14,1.98,,
1996-10-15,2.18,,
1996-10-16,2.2,,
1996-10-17,2.2,,
1996-10-18,2.08,,
1996-10-21,2.09,,
1996-10-22,1.98,,
1996-10-23,1.97,,
1996-10-24,2.06,,
1996-10-25,2.0,,
1996-10-28,1.97,,
1996-10-29,2.0,,
1996-10-30,2.06,,
1996-10-31,2.19,,
1996-11-01,2.13,,
1996-11-04,2.13,,
1996-11-05,2.13,,
1996-11-06,2.22,,
1996-11-07,2.36,,
1996-11-08,2.41,,
1996-11-11,2.44,,
1996-11-12,2.31,,
1996-11-13,2.39,,
1996-11-14,2.4,,
1996-11-15,2.31,,
1996-11-18,2.17,,
1996-11-19,2.16,,
1996-11-20,2.22,,
1996-11-21,2.19,,
1996-11-22,2.23,,
1996-11-25,2.27,,
1996-11-26,2.25,,
1996-11-27,2.25,,
1996-11-29,2.25,,
1996-12-02,2.32,,
1996-12-03,2.42,,
1996-12-04,2.34,,
1996-12-05,2.35,,
1996-12-06,2.3,,
1996-12-09,2.36,,
1996-12-10,2.32,,
1996-12-11,2.27,,
